konkretnoj	konkretan	Agpfsly
kritičnog	kritičan	Agpmsgy
dana	dan	Ncmsg
23.	23.	Mdo
prosinca	prosinac	Ncmsg
2012.	2012.	Mdo
godine	godina	Ncfsg
u	u	Sl
kojem	koji	Pi-msl
ošt	oš	Ncmsl
.	.	Z

Jasmina	Jasmina	Npfsn
Mišković	Mišković	Npfsn
Špernoga	Šperni	Npmsay
savjetuje	savjetovati	Vmr3s
optuženika	optuženik	Ncmsay
da	da	Cs
pođe	poći	Vmr3s
liječiti	liječiti	Vmn
psihičke	psihički	Agpfpay
tegobe	tegoba	Ncfpa
i	i	Cc
bolesti	bolest	Ncfsg
riječima	riječ	Ncfpl
'	'	Z
djedo	djeda	Ncfsv
,	,	Z
pođi	poći	Vmm2s
se	sebe	Px--sa
liječiti	liječiti	Vmn
'	'	Z
.	.	Z

Nije	biti	Var3s
na	na	Sa
odmet	odmet	Ncmsan
primijetiti	primijetiti	Vmn
da	da	Cs
je	biti	Var3s
opt	opi	Agpnsny
.	.	Z

Jakob	Jakob	Npmsn
Špernoga	Šperni	Npmsay
od	od	Sg
svoje	svoj	Px-fsg
bračne	bračni	Agpfsgy
partnerice	partnerica	Ncfsg
stariji	star	Agcmsny
preko	preko	Sg
dvadesetpet	dvadesetpea	Ncfsg
godina	godina	Ncfpg
,	,	Z
ozbiljno	ozbiljno	Rgp
narušenog	narušiti	Appnsgy
fizičkog	fizički	Agpnsgy
i	i	Cc
psihičkog	psihički	Agpnsgy
zdravlja	zdravlje	Ncnsg
.	.	Z

Dakle	dakle	Cc
,	,	Z
optuženik	optuženik	Ncmsn
nakon	nakon	Sg
telefonskih	telefonski	Agpmpgy
razgovora	razgovor	Ncmpg
i	i	Cc
molbi	molba	Ncfpg
da	da	Cs
provedu	provesti	Vmr3p
predstojeće	predstojeći	Agpmpay
praznike	praznik	Ncmpa
zajedno	zajedno	Rgp
,	,	Z
iz	iz	Sg
Starih	star	Agpmpgy
Mikanovaca	Mikanovac	Npmpg
gdje	gdje	Cs
prebiva	prebivati	Vmr3s
,	,	Z
zapućuje	zapućivati	Vmr3s
se	sebe	Px--sa
u	u	Sl
Belišće	Belišć	Npmsl
s	sa	Si
ciljem	cilj	Ncmsi
da	da	Cs
liši	lišiti	Vmr3s
života	život	Ncmsg
svoju	svoj	Px-fsa
suprugu	supruga	Ncfsa
Jasminu	jasmin	Ncmsd
Mišković	Mišković	Npmsn
Špernoga	Šperni	Npmsay
i	i	Cc
njene	njen	Ps3mpa
ukućane	ukućanin	Ncmpa
.	.	Z

Naime	naime	Qo
,	,	Z
optuženik	optuženik	Ncmsn
priznaje	priznavati	Vmr3s
da	da	Cs
je	biti	Var3s
bio	biti	Vap-sm
u	u	Sl
posjedu	posjed	Ncmsl
i	i	Cc
nosio	nositi	Vmp-sm
predmetni	predmetni	Agpmsayn
pištolj	pištolj	Ncmsan
za	za	Si
pasom	pas	Ncmsi
kada	kada	Cs
se	sebe	Px--sa
osjećao	osjećati	Vmp-sm
životno	životno	Rgp
ugrožen	ugroziti	Appmsnn
.	.	Z

Međutim	međutim	Rgp
,	,	Z
sud	sud	Ncmsn
nije	biti	Var3s
povjerovao	povjerovati	Vmp-sm
obrani	obrana	Ncfsl
optuženika	optuženik	Ncmsay
da	da	Cs
je	biti	Var3s
pri	pri	Sl
posjetu	posjet	Ncmsl
kući	kuća	Ncfsl
ošt	oša	Ncfsg
.	.	Z

Miloša	Miloš	Npmsay
Ognjenovića	Ognjenović	Npmsay
mogao	moći	Vmp-sm
smatrati	smatrati	Vmn
da	da	Cs
bi	biti	Vaa3s
bio	biti	Vap-sm
životno	životno	Rgp
ugrožen	ugroziti	Appmsnn
.	.	Z

Ništa	ništa	Pi3n-n
ne	ne	Qz
upućuje	upućivati	Vmr3s
na	na	Sa
ovaj	ovaj	Pd-msan
zaključak	zaključak	Ncmsan
,	,	Z
niti	niti	Cc
jedan	jedan	Mlcmsn
izvedeni	izvesti	Appmsayn
dokaz	dokaz	Ncmsan
,	,	Z
niti	niti	Cc
je	biti	Var3s
optuženik	optuženik	Ncmsn

