ono	onaj	Pd-nsn
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
može	moći	Vmr3s
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
preinačiti	preinačiti	Vmn
ili	ili	Cc
ukinuti	ukinuti	Vmn
pravomoćno	pravomoćan	Agpnsay
rješenje	rješenje	Ncnsa
ako	ako	Cs
je	biti	Var3s
bio	biti	Vap-sm
ovlašten	ovlastiti	Appmsnn
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
pokrenuti	pokrenuti	Vmn
taj	taj	Pd-msan
postupak	postupak	Ncmsan
,	,	Z
osim	osim	Cs
ako	ako	Cs
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
nije	biti	Var3s
drukčije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Postupak	postupak	Ncmsan
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
provodi	provoditi	Vmr3s
se	sebe	Px--sa
uz	uz	Sa
odgovarajuću	odgovarajući	Agpfsay
primjenu	primjena	Ncfsa
odredaba	odredba	Ncfpg
Zakona	zakon	Ncmsg
o	o	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
o	o	Sl
ponavljanju	ponavljanje	Ncnsl
postupka	postupak	Ncmsg
.	.	Z

2.	2.	Mdo
POSTUPAK	postupak	Ncmsan
RADI	radi	Sg
DAVANJA	davanje	Ncnsg
DOPUŠTENJA	dopuštenje	Ncnsg
ZA	za	Sa
SKLAPANJE	sklapanje	Ncnsa
BRAKA	brak	Ncmsg

Prijedlog	prijedlog	Ncmsn
i	i	Cc
odluka	odluka	Ncfsn
suda	sud	Ncmsg
za	za	Sa
maloljetnu	maloljetan	Agpfsay
osobu	osoba	Ncfsa

Članak	članak	Ncmsn
449.	449.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
navršila	navršiti	Vmp-sf
šesnaest	šesnaest	Mlc
godina	godina	Ncfpg
samostalno	samostalno	Rgp
podnosi	podnositi	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
dopuštenju	dopuštenje	Ncnsl
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
saslušati	saslušati	Vmn
maloljetnog	maloljetan	Agpmsgy
podnositelja	podnositelj	Ncmsg
prijedloga	prijedlog	Ncmsg
,	,	Z
njegove	njegov	Ps3mpa
roditelje	roditelj	Ncmpa
,	,	Z
odnosno	odnosno	Rgp
skrbnika	skrbnik	Ncmpg
i	i	Cc
osobu	osoba	Ncfsa
s	sa	Si
kojom	koji	Pi-fsi
namjerava	namjeravati	Vmr3s
sklopiti	sklopiti	Vmn
brak	brak	Ncmsan
te	te	Cc
pribaviti	pribaviti	Vmn
mišljenje	mišljenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
i	i	Cc
ispitati	ispitati	Vmn
okolnosti	okolnost	Ncfpa
važne	važan	Agpfpny
za	za	Sa
odluku	odluka	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
kojim	koji	Pi-nsi
dopušta	dopuštati	Vmr3s
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
maloljetnoj	maloljetan	Agpfsdy
osobi	osoba	Ncfsd
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ako	ako	Cs
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
mentalno	mentalan	Agpnsny
i	i	Cc
tjelesno	tjelesno	Rgp
zrela	zreti	Vmp-sf
za	za	Sa
brak	brak	Ncmsan
te	te	Cc
da	da	Cs
je	biti	Var3s
sklapanje	sklapanje	Ncnsn
braka	brak	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njezinom	njezin	Ps3fsi
dobrobiti	dobrobit	Ncfsg
.	.	Z

Prijedlog	prijedlog	Ncmsn
i	i	Cc
rješenje	rješenje	Ncnsa
suda	sud	Ncmsg
za	za	Sa
osobu	osoba	Ncfsa
lišenu	lišiti	Appfsay
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg

Članak	članak	Ncmsn
450.	450.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoba	osoba	Ncfsn
lišena	lišiti	Appfsny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
samostalno	samostalno	Rgp
podnosi	podnositi	Vmr3s
prijedlog	prijedlog	Ncmsan
za	za	Sa
donošenje	donošenje	Ncnsa
rješenja	rješenje	Ncnsg
o	o	Sl
dopuštenju	dopuštenje	Ncnsl
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
pribaviti	pribaviti	Vmn
mišljenje	mišljenje	Ncnsa
skrbnika	skrbnik	Ncmpg
i	i	Cc
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
o	o	Sl
podnesenom	podnesen	Agpmsly
prijedlogu	prijedlog	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Sud	sud	Ncmsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
o	o	Sl
dopuštenju	dopuštenje	Ncnsl
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
za	za	Sa
osobu	osoba	Ncfsa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
koju	koji	Pi-fsa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
sposobna	sposoban	Agpfsny
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
braka	brak	Ncmsg
i	i	Cc
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
iz	iz	Sg
njega	on	Pp3msg
proizlaze	proizlaziti	Vmr3p
te	te	Cc
da	da	Cs
je	biti	Var3s
brak	brak	Ncmsn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njezinom	njezin	Ps3fsi
dobrobiti	dobrobit	Ncfsg
.	.	Z

Mjesna	mjesni	Agpfsny
nadležnost	nadležnost	Ncfsn

Članak	članak	Ncmsn
451.	451.	Mdo

U	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
dopuštenju	dopuštenje	Ncnsl
za	za	Sa
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
nadležan	nadležan	Agpmsnn
je	biti	Var3s
sud	sud	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
opće	opći	Agpnsny
mjesno	mjesno	Rgp
nadležan	nadležan	Agpmsnn
za	za	Sa
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
podnijela	podnijeti	Vmp-sf
prijedlog	prijedlog	Ncmsan
za	za	Sa
donošenje	donošenje	Ncnsa
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
dopušta	dopuštati	Vmr3s
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
.	.	Z

Pravni	pravni	Agpmsny
lijek	lijek	Ncmsn

Članak	članak	Ncmsn
452.	452.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
odbija	odbijati	Vmr3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
dopuštenje	dopuštenje	Ncnsa
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
zbog	zbog	Sg
maloljetnosti	maloljetnost	Ncfsg
,	,	Z
žalbu	žalba	Ncfsa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
samo	samo	Rgp
maloljetna	maloljetan	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
namjerava	namjeravati	Vmr3s
sklopiti	sklopiti	Vmn
brak	brak	Ncmsan
i	i	Cc
osoba	osoba	Ncfsn
s	sa	Si
kojom	koji	Pi-fsi
ona	on	Pp3fsn
namjerava	namjeravati	Vmr3s
sklopiti	sklopiti	Vmn
brak	brak	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
dopušta	dopuštati	Vmr3s
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
maloljetnoj	maloljetan	Agpfsdy
osobi	osoba	Ncfsd
,	,	Z
žalbu	žalba	Ncfsa
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
njezini	njezin	Ps3mpn
roditelji	roditelj	Ncmpn
,	,	Z
odnosno	odnosno	Rgp
njezin	njezin	Ps3msn
skrbnik	skrbnik	Ncmsn
i	i	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
odbija	odbijati	Vmr3s
prijedlog	prijedlog	Ncmsn
za	za	Sa
dopuštenje	dopuštenje	Ncnsa
sklapanja	sklapanje	Ncnsg
braka	brak	Ncmsg
zbog	zbog	Sg
lišenja	lišenje	Ncnsg
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
žalbu	žalba	Ncfsa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
osoba	osoba	Ncfsn
lišena	lišiti	Appfsny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
i	i	Cc
osoba	osoba	Ncfsn
s	sa	Si
kojom	koji	Pi-fsi
namjerava	namjeravati	Vmr3s
sklopiti	sklopiti	Vmn
brak	brak	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
suda	sud	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
dopušta	dopuštati	Vmr3s
sklapanje	sklapanje	Ncnsa
braka	brak	Ncmsg
osobi	osoba	Ncfsd
lišenoj	lišen	Agpfsly
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
žalbu	žalba	Ncfsa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
njezin	njezin	Ps3msn
skrbnik	skrbnik	Ncmsn
i	i	Cc
centar	centar	Ncmsan
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

3.	3.	Mdo
POSTUPAK	postupak	Ncmsan
RADI	radi	Sg
SPORAZUMNOG	sporazuman	Agpmsgy
RAZVODA	razvod	Ncmsg
BRAKA	brak	Ncmsg

Bračne	bračni	Agpfpny
stvari	stvar	Ncfpn

Članak	članak	Ncmsn
453.	453.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
oba	oba	Mlsm-n
bračna	bračni	Agpmsgn
druga	drug	Ncmsg
predlažu	predlagati	Vmr3p
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
,	,	Z
izvanparnični	izvanparnični	Agpmsny
postupak	postupak	Ncmsn
pokreće	pokretati	Vmr3s
se	sebe	Px--sa
prijedlogom	prijedlog	Ncmsi
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
jedan	jedan	Mlcmsn
od	od	Sg
bračnih	bračni	Agpmpgy
drugova	drug	Ncmpg
odustane	odustati	Vmr3s
od	od	Sg
prijedloga	prijedlog	Ncmsg
za	za	Sa
sporazumni	sporazuman	Agpmsayn
razvod	razvod	Ncmsan
braka	brak	Ncmsg
,	,	Z
a	a	Cc
drugi	drugi	Mlomsn
ostane	ostati	Vmr3s
pri	pri	Sl
zahtjevu	zahtjev	Ncmsl
da	da	Cs
se	sebe	Px--sa
brak	brak	Ncmsn
razvede	razvesti	Vmr3s
,	,	Z
takav	takav	Pd-msn
zahtjev	zahtjev	Ncmsn
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
tužbom	tužba	Ncfsi
radi	radi	Sg
razvoda	razvod	Ncmsg
braka	brak	Ncmsg
i	i	Cc
postupak	postupak	Ncmsan
će	htjeti	Var3s
se	sebe	Px--sa
nastaviti	nastaviti	Vmn
prema	prema	Sl
odredbama	odredba	Ncfpl
članaka	članak	Ncmpg
369.	369.	Mdo
do	do	Sg
373.	373.	Mdo
i	i	Cc
članaka	članak	Ncmpg
379.	379.	Mdo
do	do	Sg
381.	381.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Nastavak	nastavak	Ncmsn
postupka	postupak	Ncmsg

Članak	članak	Ncmsn
454.	454.	Mdo

Odredbe	odredba	Ncfpn
članka	članak	Ncmsg
380.	380.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
primjenjivat	primjenjivati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn

