povrede	povreda	Ncfpa
na	na	Sa
navode	navod	Ncmpa
prvopodnositelja	prvopodnositelj	Ncmpg
,	,	Z
koje	koji	Pi-nsn
je	biti	Var3s
isticao	isticati	Vmp-sm
i	i	Cc
prethodno	prethodno	Rgp
,	,	Z
tijekom	tijekom	Sg
parničnog	parnični	Agpmsgy
postupka	postupak	Ncmsg
(	(	Z
na	na	Sl
zadnjem	zadnji	Agpnsly
ročištu	ročište	Ncnsl
održanom	održati	Appnsly
20.	20.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
)	)	Z
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
nasilničko	nasilnički	Agpnsay
ponašanje	ponašanje	Ncnsa
majke	majka	Ncfsg
C.	C.	Mro
B.	B.	Y
prema	prema	Sl
mldb	mlda	Ncfsl
.	.	Z
djeci	dijete	Ncnpd
,	,	Z
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
očitovao	očitovati	Vmp-sm
u	u	Sl
presudi	presuda	Ncfsl
od	od	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
.	.	Z

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
,	,	Z
nadalje	nadalje	Rgp
,	,	Z
napominje	napominjati	Vmr3s
da	da	Cs
iz	iz	Sg
činjenica	činjenica	Ncfpg
navedenih	naveden	Agpfpgy
u	u	Sl
točki	točka	Ncfsl
2.	2.	Mdo
ove	ovaj	Pd-fsg
odluke	odluka	Ncfsg
proizlazi	proizlaziti	Vmr3s
da	da	Cs
je	biti	Var3s
u	u	Sl
pogledu	pogled	Ncmsl
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
koje	koji	Pi-fpn
se	sebe	Px--sa
stavljaju	stavljati	Vmr3p
na	na	Sa
teret	teret	Ncmsan
majci	majka	Ncfsl
C.	C.	Y
B.	B.	Y
podignuta	podići	Appfsny
optužnica	optužnica	Ncfsn
11.	11.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo
(	(	Z
a	a	Cc
potvrđena	potvrditi	Appfsny
11.	11.	Mdo
lipnja	lipanj	Ncmsg
2015.	2015.	Mdo
)	)	Z
,	,	Z
dakle	dakle	Cc
,	,	Z
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
prvostupanjski	prvostupanjski	Agpmsny
sud	sud	Ncmsn
već	već	Rgp
donio	donijeti	Vmp-sm
presudu	presuda	Ncfsa
od	od	Sg
30.	30.	Mdo
travnja	travanj	Ncmsg
2014.	2014.	Mdo
i	i	Cc
dopunsku	dopunski	Agpfsay
presudu	presuda	Ncfsa
od	od	Sg
23.	23.	Mdo
lipnja	lipanj	Ncmsg
2014.	2014.	Mdo

Također	također	Rgp
se	sebe	Px--sa
napominje	napominjati	Vmr3s
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
još	još	Rgp
uvijek	uvijek	Rgp
nepravomoćnom	nepravomoćan	Agpmsly
kaznenom	kazneni	Agpmsly
postupku	postupak	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
vodi	voditi	Vmr3s
protiv	protiv	Sg
iste	isti	Agpfsgy
te	te	Cc
da	da	Cs
je	biti	Var3s
sukladno	sukladan	Agpnsny
članku	članak	Ncmsd
12.	12.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ZPP-a	zpp-	Ncmsg
u	u	Sl
parničnom	parnični	Agpmsly
postupku	postupak	Ncmsl
»	»	Z
sud	sud	Ncmsn
u	u	Sl
pogledu	pogled	Ncmsl
postojanja	postojanje	Ncnsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
i	i	Cc
kaznene	kazneni	Agpfsgy
odgovornosti	odgovornost	Ncfsg
učinioca	učinilac	Ncmsg
vezan	vezan	Agpmsnn
za	za	Sa
pravomoćnu	pravomoćan	Agpfsay
presudu	presuda	Ncfsa
kaznenog	kazneni	Agpmsgy
suda	sud	Ncmsg
kojom	koji	Pi-fsi
se	sebe	Px--sa
optuženik	optuženik	Ncmsn
oglašava	oglašavati	Vmr3s
krivim	kriv	Agpmsiy
«	«	Z
.	.	Z

6.6	6.6	Mdc
U	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
podnositelji	podnositelj	Ncmpn
ističu	isticati	Vmr3p
prigovor	prigovor	Ncmsan
pristranosti	pristranost	Ncfsg
sutkinje	sutkinja	Ncfsg
(	(	Z
I.	I.	Y
P.	P.	Y
)	)	Z
.	.	Z

Uvidom	uvid	Ncmsi
u	u	Sa
parnični	parnični	Agpmsayn
spis	spis	Ncmsan
utvrđeno	utvrditi	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
prvopodnositelj	prvopodnositelj	Ncmsn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
izuzeće	izuzeće	Ncnsa
sutkinje	sutkinja	Ncfsg
u	u	Sl
konkretnom	konkretan	Agpmsly
predmetu	predmet	Ncmsl
,	,	Z
međutim	međutim	Rgp
navedeni	naveden	Agpmsny
zahtjev	zahtjev	Ncmsn
odbijen	odbiti	Appmsnn
je	biti	Var3s
kao	kao	Cs
neosnovan	neosnovan	Agpmsnn
rješenjem	rješenje	Ncnsi
predsjednika	predsjednik	Ncmsg
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zadru	Zadar	Npmsl
od	od	Sg
17.	17.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
broj	broj	Ncmsn
:	:	Z
29	29	Mdc
Su-152	Su-152	Mdc
/	/	Z
14.	14.	Mdo

Također	također	Rgp
,	,	Z
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
prvopodnositelj	prvopodnositelj	Ncmsn
ponovno	ponovno	Rgp
dostavio	dostaviti	Vmp-sm
isti	isti	Agpmsayn
zahtjev	zahtjev	Ncmsan
za	za	Sa
izuzeće	izuzeće	Ncnsa
,	,	Z
predsjednik	predsjednik	Ncmsn
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zadru	Zadar	Npmsl
je	biti	Var3s
rješenjem	rješenje	Ncnsi
od	od	Sg
20.	20.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo
broj	broj	Ncmsn
:	:	Z
29	29	Mdc
Su-87	Su-87	Mdc
/	/	Z
15	15	Mdc
navedeni	naveden	Agpmsayn
zahtjev	zahtjev	Ncmsan
odbacio	odbaciti	Vmp-sm
.	.	Z

Stoga	stoga	Rgp
su	biti	Var3p
,	,	Z
budući	budući	Cs
da	da	Cs
je	biti	Var3s
predsjednik	predsjednik	Ncmsn
Županijskog	županijski	Agpmsgy
suda	sud	Ncmsg
u	u	Sl
Zadru	Zadar	Npmsl
donio	donijeti	Vmp-sm
i	i	Cc
obrazložio	obrazložiti	Vmp-sm
odluku	odluka	Ncfsa
povodom	povod	Sg
zahtjeva	zahtjev	Ncmpg
prvopodnositelja	prvopodnositelj	Ncmpg
za	za	Sa
izuzećem	izuzeće	Ncnsi
sutkinje	sutkinja	Ncfpa
te	te	Cc
da	da	Cs
tijekom	tijekom	Sg
daljnjeg	daljnji	Agpmsgy
postupka	postupak	Ncmsg
(	(	Z
kao	kao	Cs
ni	ni	Qo
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
)	)	Z
podnositelji	podnositelj	Ncmpn
prigovore	prigovoriti	Vmr3p
o	o	Sl
pristranosti	pristranost	Ncfsl
sutkinje	sutkinja	Ncfsg
nisu	biti	Var3p
potkrijepili	potkrijepiti	Vmp-pm
konkretnim	konkretan	Agpmpiy
i	i	Cc
osnovanim	osnovati	Agpmpiy
razlozima	razlog	Ncmpi
,	,	Z
navedeni	navesti	Appmpny
prigovori	prigovor	Ncmpn
ocjenjeni	ocjenjen	Agpmpny
neosnovanim	neosnovan	Agpnsiy
.	.	Z

7.	7.	Mdo
U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
praksu	praksa	Ncfsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
(	(	Z
odluka	odluka	Ncfsn
broj	broj	Ncmsn
:	:	Z
U-III-5036	U-III-5036	X
/	/	Z
2011	2011	Mdc
od	od	Sg
31.	31.	Mdo
svibnja	svibanj	Ncmsg
2012.	2012.	Mdo
,	,	Z
www.usud.hr	www.usud.hr	X
)	)	Z
,	,	Z
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
podnositelji	podnositelj	Ncmpn
pozivaju	pozivati	Vmr3p
u	u	Sl
ustavnoj	ustavan	Agpfsly
tužbi	tužba	Ncfsl
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
napominje	napominjati	Vmr3s
da	da	Cs
se	sebe	Px--sa
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
ne	ne	Qz
radi	raditi	Vmr3s
o	o	Sl
istovjetnoj	istovjetan	Agpfsly
činjeničnoj	činjeničan	Agpfsly
i	i	Cc
pravnoj	pravni	Agpfsly
situaciji	situacija	Ncfsl
koja	koji	Pi-fsn
bi	biti	Vaa3s
se	sebe	Px--sa
mogla	moći	Vmp-sf
primijeniti	primijeniti	Vmn
na	na	Sa
konkretan	konkretan	Agpmsann
slučaj	slučaj	Ncmsan
.	.	Z

Stoga	stoga	Rgp
,	,	Z
pozivanje	pozivanje	Ncnsn
podnositelja	podnositelj	Ncmpg
na	na	Sa
navedenu	naveden	Agpfsay
praksu	praksa	Ncfsa
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ocjenjuje	ocjenjivati	Vmr3s
irelevantnim	irelevantan	Agpmsiy
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
osnovanosti	osnovanost	Ncfsg
konkretne	konkretan	Agpfsgy
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
.	.	Z

8.	8.	Mdo
Nastavno	nastavno	Rgp
navedenom	naveden	Agpnsly
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
su	biti	Var3p
u	u	Sl
konkretnoj	konkretan	Agpfsly
pravnoj	pravni	Agpfsly
stvari	stvar	Ncfsl
prvostupanjski	prvostupanjski	Agpmsny
i	i	Cc
drugostupanjski	drugostupanjski	Agpmsayn
sud	sud	Ncmsan
presude	presuda	Ncfsg
donijeli	donijeti	Vmp-pm
sukladno	sukladno	Rgp
mjerodavnom	mjerodavan	Agpnsly
pravu	pravo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
te	te	Cc
da	da	Cs
su	biti	Var3p
pravna	pravni	Agpnpny
stajališta	stajalište	Ncnpn
obrazložena	obrazložiti	Appnpny
valjano	valjati	Appnsny
,	,	Z
jasno	jasan	Agpnsny
i	i	Cc
na	na	Sa
ustavnopravno	ustavnopravno	Rgp
prihvatljiv	prihvatljiv	Agpmsann
način	način	Ncmsan
.	.	Z

Također	također	Rgp
je	biti	Var3s
razvidno	razvidan	Agpnsny
da	da	Cs
su	biti	Var3p
podnositelji	podnositelj	Ncmpn
bili	biti	Vap-pm
u	u	Sl
mogućnosti	mogućnost	Ncfsl
pratiti	pratiti	Vmn
postupak	postupak	Ncmsan
i	i	Cc
sudjelovati	sudjelovati	Vmn
u	u	Sl
njemu	on	Pp3msl
te	te	Cc
poduzimati	poduzimati	Vmn
sve	sav	Agpnsay
zakonom	zakon	Ncmsi
dopuštene	dopustiti	Appfpny
postupovne	postupovni	Agpfsgy
radnje	radnja	Ncfsg
i	i	Cc
ulagati	ulagati	Vmn
redovni	redovan	Agpmsayn
pravni	pravni	Agpmsayn
lijek	lijek	Ncmsan
.	.	Z

U	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
,	,	Z
Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
iz	iz	Sg
spisa	spis	Ncmsg
predmeta	predmet	Ncmsg
ocijenio	ocijeniti	Vmp-sm
da	da	Cs
su	biti	Var3p
neosnovani	neosnovan	Agpmpny
podnositeljevi	podnositeljev	Ncmpn
navodi	navod	Ncmpn
da	da	Cs
su	biti	Var3p
sudovi	sud	Ncmpn
na	na	Sa
bilo	bilo	Qo
koji	koji	Pi-msan
način	način	Ncmsan
pokazali	pokazati	Vmp-pm
samovolju	samovolja	Ncfsa
prilikom	prilikom	Sg
primjene	primjena	Ncfsg
materijalnopravnih	materijalnopravan	Agpfpgy
i	i	Cc
procesnopravnih	procesnopravan	Agpfpgy
odredaba	odredba	Ncfpg
.	.	Z

Primjena	primjena	Ncfsn
materijalnog	materijalan	Agpnsgy
prava	pravo	Ncnsg
također	također	Rgp
je	biti	Var3s
,	,	Z
kao	kao	Cs
i	i	Qo
ocjena	ocjena	Ncfsn
dokaza	dokaz	Ncmpg
,	,	Z

