sl.	sl.	Y
procjeni	procjena	Ncfsl
fer	fer	Agpfsly
vrijednosti	vrijednost	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obrazložiti	obrazložiti	Vmn
i	i	Cc
dokumentirati	dokumentirati	Vmn
razloge	razlog	Ncmpa
i	i	Cc
način	način	Ncmsan
odabira	odabir	Ncmsg
pojedine	pojedini	Agpfpny
metode	metoda	Ncfpn
procjene	procjena	Ncfsg
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z
a	a	Cc
ako	ako	Cs
koristi	koristiti	Vmr3s
više	mnogo	Rgc
metoda	metoda	Ncfpg
,	,	Z
način	način	Ncmsn
dodjeljivanja	dodjeljivanje	Ncnsg
pondera	ponder	Ncmpg
za	za	Sa
pojedinu	pojedini	Agpfsay
metodu	metoda	Ncfsa
procjene	procjena	Ncfsg
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Cc
razloge	razlog	Ncmpa
neuključivanja	neuključivanje	Ncnsg
pojedine	pojedini	Agpfsgy
metode	metoda	Ncfsg
u	u	Sl
izračun	izračun	Ncmsan
fer	fer	Agpfsly
vrijednosti	vrijednost	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
prilikom	prilikom	Sg
izrade	izrada	Ncfsg
procjene	procjena	Ncfsg
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z
u	u	Sl
najvećoj	velik	Ncfsl
mogućoj	moguć	Agpfsly
mjeri	mjera	Ncfsl
,	,	Z
koristiti	koristiti	Vmn
ulazne	ulazan	Agpmpay
podatke	podatak	Ncmpa
s	sa	Sg
tržišta	tržište	Ncnsg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
javno	javno	Rgp
dostupni	dostupan	Agpmpny
i	i	Cc
što	što	Qo
manje	malo	Rgc
se	sebe	Px--sa
oslanjati	oslanjati	Vmn
na	na	Sa
podatke	podatak	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
javno	javno	Rgp
dostupni	dostupan	Agpmpny
,	,	Z
a	a	Cc
specifični	specifičan	Agpmpny
su	biti	Var3p
za	za	Sa
pojedinog	pojedini	Agpmsayy
izdavatelja	izdavatelj	Ncmsay
,	,	Z
odnosno	odnosni	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
uključiti	uključiti	Vmn
sve	sav	Agpmpay
čimbenike	čimbenik	Ncmpa
koje	koji	Pi-mpa
bi	biti	Vaa3p
sudionici	sudionik	Ncmpn
tržišta	tržište	Ncnsg
razmatrali	razmatrati	Vmp-pm
u	u	Sl
određivanju	određivanje	Ncnsl
fer	fer	Agpfsly
vrijednosti	vrijednost	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
procjenu	procjena	Ncfsa
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
prenosivih	prenosiv	Agpmpgy
vrijednosnih	vrijednosan	Agpmpgy
papira	papir	Ncmpg
,	,	Z
instrumenata	instrument	Ncmpg
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
ili	ili	Cc
financijskih	financijski	Agpfpgy
izvedenica	izvedenica	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
revidirati	revidirati	Vmn
najmanje	malo	Rgs
na	na	Sa
datum	datum	Ncmsan
sastavljanja	sastavljanje	Ncnsg
godišnjih	godišnji	Agpnpgy
i	i	Cc
polugodišnjih	polugodišnji	Agpmpgy
izvještaja	izvještaj	Ncmpg
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
i	i	Cc
odmah	odmah	Rgp
po	po	Sl
saznanju	saznanje	Ncnsl
bitnih	bitan	Agpfpgy
informacija	informacija	Ncfpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
vrednovanje	vrednovanje	Ncnsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
dužno	dužan	Agpnsny
je	biti	Var3s
u	u	Sl
proceduri	procedura	Ncfsl
UCITS	ucii	Agpmsgy
fonda	fond	Ncmsg
opisati	opisati	Vmn
postupak	postupak	Ncmsan
revidiranja	revidiranje	Ncnsg
procjena	procjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
uključujući	uključivati	Rr
primjerice	primjerice	Rgp
:	:	Z

a	a	Cc
)	)	Z
usporedbu	usporedba	Ncfsa
realiziranih	realizirati	Agpfpgy
cijena	cijena	Ncfpg
,	,	Z
u	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
je	biti	Var3s
bilo	biti	Vap-sn
trgovanja	trgovanje	Ncnsg
,	,	Z
s	sa	Si
posljednjom	posljednji	Agpfsiy
procijenjenom	procijeniti	Ncfsi
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z

b	b	Npmsn
)	)	Z
razmatranje	razmatranje	Ncnsa
ugleda	ugled	Ncmsg
,	,	Z
dosljednosti	dosljednost	Ncfsg
i	i	Cc
kvalitete	kvaliteta	Ncfsg
izvora	izvor	Ncmpg
podataka	podatak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
koriste	koristiti	Vmr3p
za	za	Sa
vrednovanje	vrednovanje	Ncnsa
,	,	Z

c	C	Npmsn
)	)	Z
ispitivanje	ispitivanje	Ncnsn
i	i	Cc
dokumentiranje	dokumentiranje	Ncnsa
izuzetaka	izuzetak	Ncmpg
,	,	Z

d	i	Agpnsny
)	)	Z
isticanje	isticanje	Ncnsa
i	i	Cc
istraživanje	istraživanje	Ncnsa
svih	sav	Agpfpgy
razlika	razlika	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
čine	činiti	Vmr3p
neobičnima	neobičan	Agpmpdy
ili	ili	Cc
odstupaju	odstupati	Vmr3p
od	od	Sg
referentne	referentan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
utvrđene	utvrditi	Vmr3s
procjenom	procjena	Ncfsi
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
,	,	Z

e	e	I
)	)	Z
testiranje	testiranje	Ncnsn
sa	sa	Si
zastarjelim	zastario	Agpfpiy
cijenama	cijena	Ncfpi
i	i	Cc
implicitnim	implicitan	Agpmpiy
parametrima	parametar	Ncmpi
,	,	Z

f	f	Npmsn
)	)	Z
usporedbu	usporedba	Ncfsa
s	sa	Si
cijenama	cijena	Ncfpi
bilo	bilo	Cc
koje	koji	Pi-fsg
povezane	povezan	Agpfsgy
imovine	imovina	Ncfsg
ili	ili	Cc
njihovim	njihov	Ps3fpl
zaštitama	zaštita	Ncfpl
od	od	Sg
rizika	rizik	Ncmsg
i	i	Cc

g	g	Npmsn
)	)	Z
pregled	pregled	Ncmsan
ulaznih	ulazan	Agpmpgy
podataka	podatak	Ncmpg
korištenih	koristiti	Appmpgy
kod	kod	Sg
određivanja	određivanje	Ncnsg
cijena	cijena	Ncfpg
na	na	Sl
temelju	temelj	Ncmsl
modela	model	Ncmsg
,	,	Z
a	a	Cc
posebno	posebno	Rgp
onih	onaj	Pd-mpg
prema	prema	Sl
kojima	koji	Pi-fpl
cijena	cijena	Ncfsn
modela	model	Ncmpg
iskazuje	iskazivati	Vmr3s
znatnu	znatan	Agpfsay
osjetljivost	osjetljivost	Ncfsa
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Depozitar	depozitar	Ncmsn
UCITS	UCITS	Npmsn
fonda	fond	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
provjeravati	provjeravati	Vmn
je	biti	Var3s
li	li	Agpnsny
društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
prilikom	prilikom	Sg
utvrđivanja	utvrđivanje	Ncnsg
fer	fer	Agpfsgy
vrijednosti	vrijednost	Ncfsg
tehnikama	tehnika	Ncfpd
procjene	procjena	Ncfsg
za	za	Sa
prenosive	prenosiv	Agpmpay
vrijednosne	vrijednosan	Agpmpay
papire	papir	Ncmpa
,	,	Z
instrumente	instrument	Ncmpa
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
te	te	Cc
financijske	financijski	Agpfsgy
izvedenica	izvedenica	Ncfsn
postupalo	postupati	Vmp-sn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
člankom	članak	Ncmsi
8.	8.	Mdo
stavkom	stavak	Ncmsi
1.	1.	Mdo
točkom	točka	Ncfsi
c	C	X
)	)	Z
te	te	Cc
člankom	članak	Ncmsi
9.	9.	Mdo
stavcima	stavak	Ncmpi
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
dužan	dužan	Agpmsnn
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ponovnim	ponovan	Agpnsiy
aktiviranjem	aktiviranje	Ncnsi
trgovanja	trgovanje	Ncnsg
i	i	Cc
ispunjenjem	ispunjenje	Ncnsi
uvjeta	uvjet	Ncmsg
aktivnog	aktivan	Agpnsgy
tržišta	tržište	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
prenosivi	prenosiv	Agpmpny
vrijednosni	vrijednosan	Agpmpny
papiri	papir	Ncmpn
,	,	Z
instrumenti	instrument	Ncmpn
tržišta	tržište	Ncnsg
novca	novac	Ncmsg
te	te	Cc
financijske	financijski	Agpfsgy
izvedenice	izvedenica	Ncfsg
će	htjeti	Var3s
se	sebe	Px--sa
početi	početi	Vmn
vrednovati	vrednovati	Vmn
po	po	Sl
načelima	načelo	Ncnpl
važećim	važeći	Agpmply
u	u	Sl
uvjetima	uvjet	Ncmpl
njihova	njihov	Ps3nsg
kotiranja	kotiranje	Ncnsg
na	na	Sl
aktivnom	aktivan	Agpnsly
tržištu	tržište	Ncnsl
.	.	Z

Financijski	financijski	Agpmpny
instrumenti	instrument	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
vrednuju	vrednovati	Vmr3p
po	po	Sl
amortiziranom	amortizirati	Agpmsly
trošku	trošak	Ncmsl

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Financijske	financijski	Agpfpny
obveze	obveza	Ncfpn
i	i	Cc
financijska	financijski	Agpfsny
imovina	imovina	Ncfsn
klasificirana	klasificirati	Appfsny
kao	kao	Cs
zajmovi	zajam	Ncmpn
i	i	Cc
potraživanja	potraživanje	Ncnsg
te	te	Cc
ulaganja	ulaganje	Ncnpg
koja	koji	Pi-npn
se	sebe	Px--sa
drže	držati	Vmr3p
do	do	Sg
dospijeća	dospijeće	Ncnsg
vrednuju	vrednovati	Vmr3p
se	sebe	Px--sa
po	po	Sl
amortiziranom	amortizirati	Agpmsly
trošku	trošak	Ncmsl
primjenom	primjena	Ncfsi
metode	metoda	Ncfsg
efektivne	efektivan	Agpfsgy
kamatne	kamatan	Agpfsgy
stope	stopa	Ncfsg
ostvarene	ostvariti	Appfpny
prilikom	prilikom	Sg
svakog	svaki	Pi-msg
početnog	početan	Agpnsgy
pojedinačnog	pojedinačan	Agpnsgy
ulaganja	ulaganje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
upravljanje	upravljanje	Ncnsa
može	moći	Vmr3s
najviše	mnogo	Rgs
10	10	Mdc
%	%	Z
neto	neto	Agpfsgy
vrijednosti	vrijednost	Ncfsg
imovine	imovina	Ncfsg
UCITS	ucii	Agpmsgy
fonda	fond	Ncmsg
klasificirati	klasificirati	Vmn
kao	kao	Cs
ulaganja	ulaganje	Ncnpa
koja	koji	Pi-npn
se	sebe	Px--sa
drže	držati	Vmr3p
do	do	Sg
dospijeća	dospijeće	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
prodaje	prodaja	Ncfsg
dijela	dio	Ncmsg
imovine	imovina	Ncfsg
UCITS	UCITS	Npfsg
fonda	fond	Ncmsg
koja	koji	Pi-fsn
se	sebe	Px--sa
drži	držati	Vmr3s
do	do	Sg
dospijeća	dospijeće	Ncnsg
ili	ili	Cc
uslijed	uslijed	Sg
promjene	promjena	Ncfsg
namjere	namjera	Ncfsg
društva	društvo	Ncnsg
ili	ili	Cc
promjene	promjena	Ncfsg
sposobnosti	sposobnost	Ncfsg
da	da	Cs
se	sebe	Px--sa
drži	držati	Vmr3s
do	do	Sg
dospijeća	dospijeće	Ncnsg
(	(	Z
npr.	npr.	Y
prekoračenja	prekoračenje	Ncnsg
odredbe	odredba	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
)	)	Z
,	,	Z
cjelokupnu	cjelokupan	Agpfsay
imovinu	imovina	Ncfsa
UCITS	UCITS	Sg
fonda	fond	Ncmsg
koja	koji	Pi-fsn
se	sebe	Px--sa
drži	držati	Vmr3s
do	do	Sg
dospijeća	dospijeće	Ncnsg
treba	trebati	Vmr3s
mjeriti	mjeriti	Vmn
po	po	Sl
fer	fer	Agpfsly
vrijednosti	vrijednost	Ncfsl
.	.	Z

Od	od	Sg
datuma	datum	Ncmsg
nastanka	nastanak	Ncmsg
slučaja	slučaj	Ncmsg
djelomične	djelomičan	Agpfsgy
prodaje	prodaja	Ncfsg
ili	ili	Cc
reklasifikacije	reklasifikacija	Ncfpa
tijekom	tijekom	Sg
naredne	naredan	Agpfsgy
dvije	dva	Ncfsg
poslovne	poslovan	Agpfsgy
godine	godina	Ncfsg
niti	niti	Cc
jedan	jedan	Mlcmsn
preostali	preostao	Agpmsny
vrijednosni	vrijednosan	Agpmsny
papir	papir	Ncmsn
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
vrednovati	vrednovati	Vmn
na	na	Sa

