mjesečnu	mjesečan	Agpfsay
je	biti	Var3s
konkretnoj	konkretan	Agpfsly
vezi	veza	Ncfsl
predmet	predmet	Ncmsn
spora	spor	Ncmsg
između	između	Sg
H1	H1	Npfsg
i	i	Cc
tužitelja	tužitelj	Ncmpg
sa	sa	Si
obvezama	obveza	Ncfpi
iz	iz	Sg
članka	članak	Ncmsg
61.	61.	Mdo
i	i	Cc
58.	58.	Mdo

ZEK-a	ZEK	Npmsg
,	,	Z
te	te	Cc
najvažnije	važno	Rgs
,	,	Z
nije	biti	Var3s
obrazloženo	obrazložiti	Appnsny
kako	kako	Cs
i	i	Cc
zašto	zašto	Rgp
bi	biti	Vaa3s
ta	taj	Pd-fsn
veza	veza	Ncfsn
bila	biti	Vap-sf
relevantna	relevantan	Agpfsny
za	za	Sa
tuženikovo	tuženikov	Agpnsay
odlučivanje	odlučivanje	Ncnsa
po	po	Sl
članku	članak	Ncmsl
20.	20.	Mdo

ZEK-a	ZEK	Npmsg
.	.	Z

Veza	veza	Ncfsn
između	između	Sg
predmeta	predmet	Ncmpg
spora	spora	Ncfpg
i	i	Cc
obveza	obveza	Ncfsn
iz	iz	Sg
ZEK-a	ZEK	Npmsg
mora	morati	Vmr3s
biti	biti	Van
neposredna	neposredan	Agpfsny
,	,	Z
određena	odrediti	Appfsny
i	i	Cc
konkretna	konkretan	Agpfsny
.	.	Z

Udaljena	udaljiti	Appfsny
,	,	Z
posredna	posredan	Agpfsny
veza	veza	Ncfsn
s	sa	Si
obvezama	obveza	Ncfpi
iz	iz	Sg
ZEK-a	ZEK	Npmsg
po	po	Sl
njegovom	njegov	Agpnsly
shvaćanju	shvaćanje	Ncnsl
nije	biti	Var3s
dostatna	dostatan	Agpfsny
za	za	Sa
tuženikovu	tuženikov	Pd-fsa
nadležnost	nadležnost	Ncfsa
po	po	Sl
članku	članak	Ncmsl
20.	20.	Mdo

ZEK-a	ZEK	Npmsg
.	.	Z

Tuženik	tuženik	Ncmsn
nije	biti	Var3s
obrazložio	obrazložiti	Vmp-sm
koja	koji	Pi-fsn
se	sebe	Px--sa
regulatorna	regulatoran	Agpnpny
načela	načelo	Ncnpn
i	i	Cc
ciljevi	cilj	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
5.	5.	Mdo
ZEK-a	ZEK	Npmsg
ostvaruju	ostvarivati	Vmr3p
osporenim	osporiti	Agpnsiy
rješenjem	rješenje	Ncnsi
i	i	Cc
kako	kako	Cs
se	sebe	Px--sa
ostvaruju	ostvarivati	Vmr3p
,	,	Z
a	a	Cc
obveze	obveza	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
tuženik	tuženik	Ncmsn
odredio	odrediti	Vmp-sm
osporenim	osporiti	Agpnsiy
rješenjem	rješenje	Ncnsi
ne	ne	Qz
temelje	temeljiti	Vmr3p
se	sebe	Px--sa
na	na	Sl
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
,	,	Z
što	što	Pi3n-n
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
20.	20.	Mdo
stavkom	stavak	Ncmsi
3.	3.	Mdo
ZEK-a	zek-	Ncmsg
.	.	Z

Smatra	smatrati	Vmr3s
da	da	Cs
tuženik	tuženik	Ncmsn
nije	biti	Var3s
bio	biti	Vap-sm
nadležan	nadležan	Agpmsnn
donijeti	donijeti	Vmn
osporeno	osporiti	Agpnsay
rješenje	rješenje	Ncnsa
te	te	Cc
da	da	Cs
tuženik	tuženik	Ncmsn
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
pogrešno	pogrešan	Agpnsny
navodi	navoditi	Vmr3s
da	da	Cs
su	biti	Var3p
naknade	naknada	Ncfpn
koje	koji	Pi-fpa
potražuje	potraživati	Vmr3s
H1		Agsmsayn
Telekom	telekom	Ncmsan
određene	određen	Agpfsgy
propisom	propis	Ncmsi
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
ističe	isticati	Vmr3s
da	da	Cs
se	sebe	Px--sa
u	u	Sl
sporu	spor	Ncmsl
između	između	Sg
H1	h	Ncmsg
i	i	Cc
tužitelja	tužitelj	Ncmpg
radi	raditi	Vmr3s
o	o	Sl
ispunjenju	ispunjenje	Ncnsl
ugovorne	ugovoran	Agpfsgy
obveze	obveza	Ncfsg
plaćanja	plaćanje	Ncnsg
određenih	određen	Agpfpgy
naknada	naknada	Ncfpg
za	za	Sa
zakašnjenje	zakašnjenje	Ncnsa
u	u	Sl
ispunjenju	ispunjenje	Ncnsl
ugovornih	ugovoran	Agpfpgy
obveza	obveza	Ncfpg
,	,	Z
a	a	Cc
ne	ne	Qz
radi	raditi	Vmr3s
se	sebe	Px--sa
o	o	Sl
obvezi	obveza	Ncfsl
određenoj	određen	Agpfsly
propisom	propis	Ncfsl
,	,	Z
jer	jer	Cs
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
propisu	propis	Ncmsl
,	,	Z
ne	ne	Qz
bi	biti	Vaa3s
bilo	biti	Vap-sn
nikakve	nikakav	Agpfsgy
potrebe	potreba	Ncfsg
odredbe	odredba	Ncfsg
propisa	propis	Ncmpg
prepisivati	prepisivati	Vmn
u	u	Sa
standardnu	standardan	Agpfsay
ponudu	ponuda	Ncfsa
ili	ili	Cc
ugovor	ugovor	Ncmsan
.	.	Z

Tužitelj	tužitelj	Ncmsn
smatra	smatrati	Vmr3s
da	da	Cs
izreka	izreka	Ncfsn
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
nije	biti	Var3s
određena	određen	Agpfsny
,	,	Z
jer	jer	Cs
nije	biti	Var3s
određen	određen	Agpmsnn
iznos	iznos	Ncmsn
koji	koji	Pi-msn
mora	morati	Vmr3s
platiti	platiti	Vmn
po	po	Sl
osporenom	osporiti	Agpnsly
rješenju	rješenje	Ncnsl
,	,	Z
a	a	Cc
nisu	biti	Var3p
određeni	odrediti	Appmpny
niti	niti	Qo
parametri	parametar	Ncmpn
za	za	Sa
izračunavanje	izračunavanje	Ncnsa
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
mora	morati	Vmr3s
platiti	platiti	Vmn
,	,	Z
već	već	Cc
umjesto	umjesto	Sg
toga	taj	Pd-nsg
osporeno	osporiti	Agpnsny
rješenje	rješenje	Ncnsn
upućuje	upućivati	Vmr3s
na	na	Sa
specifikacije	specifikacija	Ncfpa
stranaka	stranka	Ncfpg
spora	spor	Ncmsg
i	i	Cc
akte	akt	Ncmpa
koji	koji	Pi-mpn
nisu	biti	Var3p
sastavni	sastavan	Agpmsayn
dio	dio	Ncmsan
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
.	.	Z

Zbog	zbog	Sg
navedenog	naveden	Agpmsgy
izreka	izreka	Ncmsg
osporenog	osporiti	Agpnsgy
rješenja	rješenje	Ncnsg
nije	biti	Var3s
određena	određen	Agpfsny
kako	kako	Cs
bi	biti	Vaa3s
trebala	trebati	Vmp-sf
biti	biti	Van
po	po	Sl
članku	članak	Ncmsl
98.	98.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Zakona	zakon	Ncmsg
o	o	Sl
općem	opći	Agpmsly
upravnom	upravan	Agpmsly
postupku	postupak	Ncmsl
,	,	Z
niti	niti	Cc
onako	onako	Rgp
kako	kako	Cs
bi	biti	Vaa3s
trebala	trebati	Vmp-sf
biti	biti	Van
po	po	Sl
članku	članak	Ncmsl
20.	20.	Mdo

ZEK-a	ZEK	Npmsg
jer	jer	Cs
se	sebe	Px--sa
njome	on	Vmr3s
ne	ne	Qz
rješava	rješavati	Vmr3s
spor	spor	Ncmsan
(	(	Z
koliko	koliko	Rgp
tužitelj	tužitelj	Ncmsn
mora	morati	Vmr3s
platiti	platiti	Vmn
)	)	Z
već	već	Rgp
se	sebe	Px--sa
generira	generirati	Vmr3s
novi	nov	Agpmsny
spor	spor	Ncmsn
–	–	Z
je	biti	Var3s
li	li	Qq
tužitelj	tužitelj	Ncmsn
pravilno	pravilno	Rgp
izračunao	izračunati	Vmp-sm
svoju	svoj	Px-fsa
obvezu	obveza	Ncfsa
.	.	Z

Tuženik	tuženik	Ncmsn
je	biti	Var3s
osporenim	osporiti	Appmpdy
rješenjem	rješenje	Ncnsi
prepustio	prepustiti	Vmp-sm
tužitelju	tužitelj	Ncmsd
da	da	Cs
sam	sam	Agpmsnn
odredi	odrediti	Vmr3s
iznos	iznos	Ncmsan
koji	koji	Pi-msn
mora	morati	Vmr3s
platiti	platiti	Vmn
.	.	Z

Međutim	međutim	Rgp
po	po	Sl
općim	opći	Agpnply
pravilima	pravilo	Ncnpl
obveznog	obvezan	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
ako	ako	Cs
ugovorne	ugovoran	Agpfsgy
strane	strana	Ncfsg
ostave	ostava	Ncfsg
jednoj	jedan	Mlcfsl
od	od	Sg
njih	oni	Pp3-pg
da	da	Cs
odredi	odrediti	Vmr3s
ugovornu	ugovoran	Agpfsay
činidbu	činidba	Ncfsa
,	,	Z
takav	takav	Pd-msn
bi	biti	Vaa3s
ugovor	ugovor	Ncmsn
bio	biti	Vap-sm
ništetan	ništetan	Agpmsnn
(	(	Z
članak	članak	Ncmsn
272.	272.	Mdo

Zakona	zakon	Ncmsg
o	o	Sl
obveznim	obvezan	Agpmply
odnosima	odnos	Ncmpl
)	)	Z
.	.	Z

Premda	premda	Cs
se	sebe	Px--sa
ovdje	ovdje	Rgp
ne	ne	Qz
radi	raditi	Vmr3s
o	o	Sl
samom	sam	Agpmsly
ugovoru	ugovor	Ncmsl
već	već	Rgp
o	o	Sl
odluci	odluka	Ncfsl
donesenoj	donijeti	Appfsly
u	u	Sl
privatno	privatno	Rgp
pravnom	pravni	Agpmsly
imovinskom	imovinski	Agpmsly
sporu	spor	Ncmsl
iz	iz	Sg
ugovora	ugovor	Ncmsg
o	o	Sl
pružanju	pružanje	Ncnsl
usluga	usluga	Ncfpg
,	,	Z
u	u	Sl
nedostatku	nedostatak	Ncmsl
posebnog	poseban	Agpnsgy
pravila	pravilo	Ncnsg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
koje	koji	Pi-fpn
bi	biti	Vaa3s
to	taj	Pd-nsn
izrijekom	izrijekom	Rgp
dopuštalo	dopuštati	Vmp-sn
,	,	Z
po	po	Sl
analogiji	analogija	Ncfsl
sa	sa	Si
spomenutim	spomenuti	Agpnsiy
pravilom	pravilo	Ncnsi
obveznog	obvezan	Agpnsgy
prava	pravo	Ncnsg
,	,	Z
pita	pitati	Vmr3s
se	sebe	Px--sa
može	moći	Vmr3s
li	li	Qq
biti	biti	Van
zakonito	zakonit	Agpnsny
obvezivati	obvezivati	Vmn
stranku	stranka	Ncfsa
u	u	Sl
sporu	spor	Ncmsl
da	da	Cs
sama	sam	Agpfsny
odredi	odred	Ncmpn
svoju	svoj	Px-fsa
obvezu	obveza	Ncfsa
(	(	Z
koju	koji	Pi-fsa
ta	taj	Pd-fsn
stranka	stranka	Ncfsn
osporava	osporavati	Vmr3s
i	i	Cc
u	u	Sl
osnovi	osnova	Ncfsl
i	i	Cc
u	u	Sl
visini	visina	Ncfsl
)	)	Z
.	.	Z

Tužitelj	tužitelj	Ncmsn

