imati	imati	Vmn
3	3	Mdc
)	)	Z
Programe	program	Ncmpa
usavršavanja	usavršavanje	Ncnsg
mogu	moći	Vmr3p
pohađati	pohađati	Vmn
osobe	osoba	Ncfpa
koje	koji	Pi-fpn
posjeduju	posjedovati	Vmr3p
važeću	važeći	Agpfsay
potvrdu	potvrda	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Program	program	Ncmsn
usavršavanja	usavršavanje	Ncnsg
provodi	provoditi	Vmr3s
ovlaštenik	ovlaštenik	Ncmsn
izobrazbe	izobrazba	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Program	program	Ncmsn
usavršavanja	usavršavanje	Ncnsg
se	sebe	Px--sa
provodi	provoditi	Vmr3s
prema	prema	Sl
nastavnom	nastavni	Agpmsly
programu	program	Ncmsl
propisanom	propisati	Appmsly
u	u	Sl
Prilogu	prilog	Ncmsl
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ovlaštenik	ovlaštenik	Ncmsn
izobrazbe	izobrazba	Ncfsg
vodi	voditi	Vmr3s
elektronički	elektronički	Agpmsny
zapisnik	zapisnik	Ncmsn
o	o	Sl
polaznicima	polaznik	Ncmpl
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg

i	i	Cc
polaganju	polaganje	Ncnsl
ispita	ispit	Ncmsg
koji	koji	Pi-msn
sadrži	sadržati	Vmr3s
:	:	Z

1.	1.	Mdo
ime	ime	Ncnsa
,	,	Z
prezime	prezime	Ncnsa
,	,	Z
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
i	i	Cc
OIB	oi	Agpmpgy
polaznika	polaznik	Ncmpg
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
,	,	Z

2.	2.	Mdo
vrijeme	vrijeme	Ncnsa
i	i	Cc
mjesto	mjesto	Ncnsa
održavanja	održavanje	Ncnsg
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
,	,	Z

3.	3.	Mdo
datum	datum	Ncmsn
pristupanja	pristupanje	Ncnsg
ispitu	ispit	Ncmsd
,	,	Z

4.	4.	Mdo
uspjeh	uspjeh	Ncmsan
na	na	Sl
ispitu	ispit	Ncmsl
,	,	Z

5.	5.	Mdo
naziv	naziv	Ncmsn
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

6.	6.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
voditelja	voditelj	Ncmpg
i	i	Cc
izvoditelja	izvoditelj	Ncmpg
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg

(	(	Z
7	7	Mdc
)	)	Z
Nakon	nakon	Sg
izvedenog	izvesti	Agpmsgy
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
polaznici	polaznik	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
evaluirati	evaluirati	Vmn
kvalitetu	kvaliteta	Ncfsa
izvedenog	izvesti	Agpmsgy
programa	program	Ncmsg
anonimnom	anoniman	Agpfsiy
anketom	anketa	Ncfsi
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ovlaštenik	ovlaštenik	Ncmsn
izobrazbe	izobrazba	Ncfsg
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
program	program	Ncmsan
usavršavanja	usavršavanje	Ncnsg
izdaje	izdavati	Vmr3s
polazniku	polaznik	Ncmsd
potvrdu	potvrda	Ncfsa
iz	iz	Sg
članka	članak	Ncmsg
7.	7.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potvrda	potvrda	Ncfsn
se	sebe	Px--sa
može	moći	Vmr3s
obnoviti	obnoviti	Vmn
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
valjanosti	valjanost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Obnavljanje	obnavljanje	Ncnsn
potvrde	potvrda	Ncfsg
je	biti	Var3s
moguće	moguć	Agpnsny
ukoliko	ukoliko	Cs
je	biti	Var3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
posjeduje	posjedovati	Vmr3s
potvrdu	potvrda	Ncfsa
završila	završiti	Vmp-sf
program	program	Ncmsan
usavršavanja	usavršavanje	Ncnsg
i	i	Cc
položila	položiti	Vmp-sf
ispit	ispit	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Na	na	Sa
obnavljanje	obnavljanje	Ncnsa
potvrde	potvrditi	Vmr3p
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članka	članak	Ncmsg
7.	7.	Mdo
i	i	Cc
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlaštenik	ovlaštenik	Ncmsn
izobrazbe	izobrazba	Ncfsg
koji	koji	Pi-msn
provodi	provoditi	Vmr3s
program	program	Ncmsan
osnovne	osnovan	Agpfsgy
izobrazbe	izobrazba	Ncfsg
i	i	Cc
program	program	Ncmsn
usavršavanja	usavršavanje	Ncnsg
dužan	dužan	Agpmsnn
je	biti	Var3s
:	:	Z

1.	1.	Mdo
provoditi	provoditi	Vmn
program	program	Ncmsan
izobrazbe	izobrazba	Ncfsg
sukladno	sukladno	Rgp
nastavnom	nastavni	Agpmsly
programu	program	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
1.	1.	Mdo
i	i	Cc
Priloga	prilog	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
Programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

2.	2.	Mdo
utvrditi	utvrditi	Vmn
osobne	osoban	Agpmpay
podatke	podatak	Ncmpa
polaznika	polaznik	Ncmpg
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

3.	3.	Mdo
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
prisutnosti	prisutnost	Ncfsg
polaznika	polaznik	Ncmpg
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

4.	4.	Mdo
voditi	voditi	Vmn
evidenciju	evidencija	Ncfsa
o	o	Sl
položenim	položiti	Agpmply
ispitima	ispit	Ncmpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ovlaštenik	ovlaštenik	Ncmsn
izobrazbe	izobrazba	Ncfsg
dužan	dužan	Agpmsnn
je	biti	Var3s
Ministarstvu	ministarstvo	Ncnsl
dostaviti	dostaviti	Vmn
izvješće	izvješće	Ncnsa
o	o	Sl
provedbi	provedba	Ncfsl
svakog	svaki	Pi-msg
pojedinačnog	pojedinačan	Agpmsgy
programa	program	Ncmsg
osnovne	osnovan	Agpfsgy
izobrazbe	izobrazba	Ncfsg
,	,	Z
dodatne	dodatan	Agpfsgy
izobrazbe	izobrazba	Ncfsg
i	i	Cc
programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
najkasnije	kasno	Rgs
15	15	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
završetka	završetak	Ncmsg
izobrazbe	izobrazba	Ncfsg
odnosno	odnosno	Rgp
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
najmanje	mali	Agsmpay
sljedeće	sljedeći	Agpmpay
podatke	podatak	Ncmpa
:	:	Z

1.	1.	Mdo
oblik	oblik	Ncmsan
izobrazbe	izobrazba	Ncfsg
(	(	Z
program	program	Ncmsn
osnovne	osnovan	Agpfsgy
izobrazbe	izobrazba	Ncfsg
,	,	Z
dodatna	dodatan	Agpfsny
izobrazba	izobrazba	Ncfsn
ili	ili	Cc
program	program	Ncmsn
usavršavanja	usavršavanje	Ncnsg
)	)	Z
,	,	Z

2.	2.	Mdo
vrijeme	vrijeme	Ncnsa
i	i	Cc
mjesto	mjesto	Ncnsa
održavanja	održavanje	Ncnsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

3.	3.	Mdo
detaljni	detaljan	Agpmsny
prikaz	prikaz	Ncmsn
provedene	provesti	Agpfsgy
nastave	nastava	Ncfsg
,	,	Z

4.	4.	Mdo
popis	popis	Ncmsn
polaznika	polaznik	Ncmpg
(	(	Z
ime	ime	Ncnsa
,	,	Z
prezime	prezime	Ncnsa
,	,	Z
datum	datum	Ncmsan
i	i	Cc
mjesto	mjesto	Ncnsa
rođenja	rođenje	Ncnsg
i	i	Cc
OIB	oi	Agpmpgy
polaznika	polaznik	Ncmpg
)	)	Z
,	,	Z

5.	5.	Mdo
mjesto	mjesto	Ncnsa
zaposlenja	zaposlenje	Ncnsg
polaznika	polaznik	Ncmsg
,	,	Z
ukoliko	ukoliko	Cs
je	biti	Var3s
poznato	poznat	Agpnsny
,	,	Z

6.	6.	Mdo
potpisna	potpisni	Agpfsny
lista	lista	Ncfsn
polaznika	polaznik	Ncmpg
,	,	Z

7.	7.	Mdo
datum	datum	Ncmsan
pristupanja	pristupanje	Ncnsg
ispitu	ispit	Ncmsd
za	za	Sa
svakog	svaki	Pi-msg
polaznika	polaznik	Ncmsg
,	,	Z

8.	8.	Mdo
rezultati	rezultat	Ncmpn
ispita	ispit	Ncmpg
za	za	Sa
svakog	svaki	Pi-msg
polaznika	polaznik	Ncmsg
,	,	Z

9.	9.	Mdo
naziv	naziv	Ncmsn
ovlaštenika	ovlaštenik	Ncmsg
izobrazbe	izobrazba	Ncfsg
,	,	Z

10.	10.	Mdo
ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
voditelja	voditelj	Ncmpg
i	i	Cc
izvoditelja	izvoditelj	Ncmpg
nastavnog	nastavni	Agpmsgy
programa	program	Ncmsg
,	,	Z

11.	11.	Mdo
izvješće	izvješće	Ncnsa
o	o	Sl
evaluaciji	evaluacija	Ncfsl
kvalitete	kvaliteta	Ncfsg
izvedenog	izvesti	Agpmsgy
programa	program	Ncmsg
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

Prilozi	prilog	Ncmpn
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
,	,	Z
3.	3.	Mdo
,	,	Z
4.	4.	Mdo
i	i	Cc
5.	5.	Mdo
čine	činiti	Vmr3p

