viši	visok	Agcmsayn
pokretanje	pokretanje	Ncnsn
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
stegovnu	stegovni	Agpfsay
pogrešku	pogreška	Ncfsa
putem	put	Sg
vojne	vojni	Agpfsgy
policije	policija	Ncfsg
inicira	inicirati	Vmr3s
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
nije	biti	Var3s
Zakonom	zakon	Ncmsi
ovlaštena	ovlastiti	Appfsny
za	za	Sa
pokretanje	pokretanje	Ncnsa
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
vojna	vojni	Agpfsny
policija	policija	Ncfsn
će	htjeti	Var3s
dostaviti	dostaviti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
pokretanje	pokretanje	Ncnsa
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
čelniku	čelnik	Ncmsd
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
osoba	osoba	Ncfsn
protiv	protiv	Sg
koje	koji	Pi-fsg
se	sebe	Px--sa
inicira	inicirati	Vmr3s
pokretanje	pokretanje	Ncnsa
postupka	postupak	Ncmsg
raspoređena	rasporediti	Appfsny
na	na	Sa
službu	služba	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Zaključak	zaključak	Ncmsn
o	o	Sl
pokretanju	pokretanje	Ncnsl
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
donosi	donositi	Vmr3s
,	,	Z
postupak	postupak	Ncmsn
vodi	voditi	Vmr3s
,	,	Z
stegovne	stegovni	Agpfpay
mjere	mjera	Ncfpa
izriče	izricati	Vmr3s
i	i	Cc
druge	drugi	Mlofsg
odluke	odluka	Ncfsg
u	u	Sl
stegovnom	stegovni	Agpmsly
postupku	postupak	Ncmsl
za	za	Sa
stegovnu	stegovni	Agpfsay
pogrešku	pogreška	Ncfsa
donosi	donositi	Vmr3s
nadređena	nadrediti	Appfsny
osoba	osoba	Ncfsn
na	na	Sl
dužnosti	dužnost	Ncfsl
zapovjednika	zapovjednik	Ncmsg
satnije	satnija	Ncfsg
,	,	Z
njoj	on	Pp3fsd
ravne	ravan	Agpfsgy
ili	ili	Cc
više	mnogo	Rgc
razine	razina	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zaključak	zaključak	Ncmsn
o	o	Sl
pokretanju	pokretanje	Ncnsl
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
stranci	stranac	Ncmpn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kada	kada	Cs
se	sebe	Px--sa
stranci	stranac	Ncmpn
ne	ne	Qz
može	moći	Vmr3s
dostaviti	dostaviti	Vmn
zaključak	zaključak	Ncmsan
o	o	Sl
pokretanju	pokretanje	Ncnsl
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
zaključak	zaključak	Ncmsn
će	htjeti	Var3s
se	sebe	Px--sa
javno	javno	Rgp
istaknuti	istaknuti	Vmn
na	na	Sl
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
stranka	stranka	Ncfsn
raspoređena	rasporediti	Appfsny
na	na	Sa
službu	služba	Ncfsa
,	,	Z
odnosno	odnosno	Rgp
oglasnoj	oglasni	Agpfsly
ploči	ploča	Ncfsl
ustrojstvene	ustrojstven	Agpfsgy
jedinice	jedinica	Ncfsg
u	u	Sa
koju	koji	Pi-fsa
je	biti	Var3s
stranka	stranka	Ncfsn
privremeno	privremeno	Rgp
upućena	uputiti	Appfsny
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Nadređena	nadrediti	Appfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
donijela	donijeti	Vmp-sf
zaključak	zaključak	Ncmsan
o	o	Sl
pokretanju	pokretanje	Ncnsl
stegovnog	stegovni	Agpmsgy
postupka	postupak	Ncmsg
zbog	zbog	Sg
stegovne	stegovni	Agpfsgy
pogreške	pogreška	Ncfsg
ispitat	ispitati	Vmn
će	htjeti	Var3s
stranku	stranka	Ncfsa
i	i	Cc
svjedoke	svjedok	Ncmpa
,	,	Z
o	o	Sl
tome	taj	Pd-nsl
sastaviti	sastaviti	Vmn
zapisnik	zapisnik	Ncmsan
i	i	Cc
prikupiti	prikupiti	Vmn
sve	sav	Agpmpay
raspoložive	raspoloživ	Agpmpay
dokaze	dokaz	Ncmpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Stranci	Stranc	Npmpn
se	sebe	Px--sa
mora	morati	Vmr3s
omogućiti	omogućiti	Vmn
izjašnjavanje	izjašnjavanje	Ncnsa
o	o	Sl
svim	sav	Agpfply
činjenicama	činjenica	Ncfpl
,	,	Z
okolnostima	okolnost	Ncfpl
,	,	Z
dokazima	dokaz	Ncmpi
i	i	Cc
izjavama	izjava	Ncfpi
svjedoka	svjedok	Ncmpg

