dokaze	dokaz	Ncmpa
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
podjele	podjela	Ncfsg
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
prema	prema	Sl
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
provodi	provoditi	Vmr3s
odvajanjem	odvajanje	Ncnsi
ili	ili	Cc
razdvajanjem	razdvajanje	Ncnsi
,	,	Z
dozvola	dozvola	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
prenijeti	prenijeti	Vmn
samo	samo	Rgp
na	na	Sa
jednu	jedan	Mlcfsa
pravnu	pravni	Agpfsay
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
sveopći	sveopći	Agpmsny
pravni	pravni	Agpmsny
sljednik	sljednik	Ncmsn
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
registracije	registracija	Ncfsg
nove	nov	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
registracije	registracija	Ncfsg
podjele	podjela	Ncfsg
,	,	Z
energetski	energetski	Agpmsny
subjekt	subjekt	Ncmsn
i	i	Cc
nova	nov	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
odvajanja	odvajanje	Ncnsg
,	,	Z
te	te	Cc
nova	nov	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
,	,	Z
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
u	u	Sl
slučaju	slučaj	Ncmsl
razdvajanja	razdvajanje	Ncnsg
,	,	Z
podnesu	podnijeti	Vmr3p
Agenciji	agencija	Ncfsd
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
pripajanja	pripajanje	Ncnsg
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
ili	ili	Cc
spajanja	spajanje	Ncnsg
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
s	sa	Si
drugom	drugi	Mlofsi
pravnom	pravni	Agpfsiy
osobom	osoba	Ncfsi
,	,	Z
dozvola	dozvola	Ncfsn
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
prenijeti	prenijeti	Vmn
na	na	Sa
društvo	društvo	Ncnsa
preuzimatelja	preuzimatelj	Ncmpg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
registracije	registracija	Ncfsg
pripajanja	pripajanje	Ncnsg
energetskog	energetski	Agpmsgy
subjekta	subjekt	Ncmsg
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
odnosno	odnosno	Rgp
od	od	Sg
dana	dan	Ncmsg
registracije	registracija	Ncfsg
nove	nov	Agpfsgy
pravne	pravni	Agpfsgy
osobe	osoba	Ncfsg
u	u	Sl
slučaju	slučaj	Ncmsl
spajanja	spajanje	Ncnsg
,	,	Z
društvo	društvo	Ncnsn
preuzimatelj	preuzimatelj	Ncmsn
podnese	podnijeti	Vmr3s
Agenciji	agencija	Ncfsd
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
smrti	smrt	Ncfsg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
dozvola	dozvola	Ncfpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
prenijeti	prenijeti	Vmn
na	na	Sa
njezinog	njezin	Ncmsan
nasljednika	nasljednik	Ncmsg
koji	koji	Pi-msn
nastavi	nastaviti	Vmr3s
s	sa	Si
vođenjem	vođenje	Ncnsi
obrta	obrt	Ncmsg
i	i	Cc
obavljanjem	obavljanje	Ncnsi
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
dostave	dostava	Ncfsg
rješenja	rješenje	Ncnsg
nadležnog	nadležan	Agpmsgy
županijskog	županijski	Agpmsgy
ureda	ured	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
ureda	ured	Ncmsg
Grada	grad	Ncmsg
Zagreba	Zagreb	Npmsg
,	,	Z
o	o	Sl
prijenosu	prijenos	Ncmsl
obrtnice	obrtnica	Ncfsg
i	i	Cc
nastavku	nastavak	Ncmsl
vođenja	vođenje	Ncnsg
obrta	obrt	Ncmsg
,	,	Z
nasljednik	nasljednik	Ncmsn
podnese	podnijeti	Vmr3s
Agenciji	agencija	Ncfsd
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
dozvole	dozvola	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
podnosi	podnositi	Vmr3s
se	sebe	Px--sa
Agenciji	agencija	Ncfsl
na	na	Sl
obrascu	obrazac	Ncmsl
ZPDOED	ZPDOE	Npmsl
–	–	Z
PRIJENOS	prijenos	Ncmsn
koji	koji	Pi-msn
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
u	u	Sl
Prilogu	prilog	Ncmsl
VII	vii	Mrc
.	.	Z
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
prenijeti	prenijeti	Vmn
dozvolu	dozvola	Ncfsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
ako	ako	Cs
uz	uz	Sa
uvjete	uvjet	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ispunjava	ispunjavati	Vmr3s
i	i	Cc
uvjete	uvjet	Ncmpa
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
propisane	propisati	Agpfsgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
prenijeti	prenijeti	Vmn
dozvolu	dozvola	Ncfsa
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
ako	ako	Cs
uz	uz	Sa
uvjete	uvjet	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ispunjava	ispunjavati	Vmr3s
i	i	Cc
uvjete	uvjet	Ncmpa
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
propisane	propisati	Agpfsgy
člankom	članak	Ncmsi
9.	9.	Mdo
stavkom	stavka	Ncfsi
1.	1.	Mdo
podstavkom	podstavak	Ncmsi
1.	1.	Mdo
,	,	Z
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
može	moći	Vmr3s
se	sebe	Px--sa
izjaviti	izjaviti	Vmn
žalba	žalba	Ncfsn
Ministarstvu	ministarstvo	Ncnsd
.	.	Z

Članak	članak	Ncmsn
20.	20.	Mdo

Na	na	Sa
postupak	postupak	Ncmsan
produženja	produženje	Ncnsg
i	i	Cc
prijenosa	prijenos	Ncmsg
dozvole	dozvola	Ncfsg
za	za	Sa
obavljanje	obavljanje	Ncnsa
energetske	energetski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
odgovarajuće	odgovarajući	Agpfsgy
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
članaka	članak	Ncmpg
8.	8.	Mdo
,	,	Z
9	9	Mdc
,	,	Z
10.	10.	Mdo
,	,	Z
11.	11.	Mdo
,	,	Z
12.	12.	Mdo
,	,	Z
13.	13.	Mdo
i	i	Cc
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
21.	21.	Mdo

U	u	Sl
postupku	postupak	Ncmsl
utvrđivanja	utvrđivanje	Ncnsg
činjenica	činjenica	Ncfpg
o	o	Sl
ispunjavanju	ispunjavanje	Ncnsl

