mladima	mlad	Agpmpdy
aktivnost	aktivnost	Ncfsa
A565030	a56503e	Ncnsg
–	–	Z
Programi	program	Ncmpn
kazališne	kazališni	Agpfsgy
i	i	Cc
glazbeno	glazbeno	Rgp
scenske	scenski	Agpfsgy
djelatnosti	djelatnost	Ncfsg
–	–	Z
25,94	25,94	Mdc
%	%	Z
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A565033	a56503i	Agpfsgy
–	–	Z
Nove	nov	Agpfsgy
medijske	medijski	Agpfsgy
kulture	kultura	Ncfsg
–	–	Z
12,32	12,32	Mdc
%	%	Z
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A565034	A565034	X
–	–	Z
Međunarodna	međunarodni	Agpfsny
kulturna	kulturan	Agpfsny
suradnja	suradnja	Ncfsn
–	–	Z
10,35	10,35	Mdc
%	%	Z
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A781006	A781006	X
–	–	Z
Zaklada	zaklada	Ncfsn
»	»	Z
Kultura	kultura	Ncfsn
nova	nov	Agpfsny
«	«	Z
–	–	Z
20,15	20,15	Mdc
%	%	Z
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A781008	A781008	Mdc
–	–	Z
Neprofitni	neprofitan	Agpmpny
mediji	medij	Ncmpn
–	–	Z
7,56	7,56	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A781010	A781010	X
–	–	Z
Promocija	promocija	Ncfsn
kulture	kultura	Ncfsg
putem	put	Sg
Zaklade	zaklada	Ncfsg
»	»	Z
Hrvatska	hrvatski	Agpfsny
kuća	kuća	Ncfsn
–	–	Z
Croatia	Croatia	Npfsn
House	House	Npfsn
«	«	Z
–	–	Z
2,52	2,52	Mdc
%	%	Z
.	.	Z

7.	7.	Mdo
sredstva	sredstvo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
7.	7.	Mdo
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
080	080	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
Glavi	glava	Ncfsl
08005	08005	Mdc
Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A577130	a57713e	Ncnsg
–	–	Z
Poticaji	poticaj	Ncmpn
udrugama	udruga	Ncfpi
za	za	Sa
izvaninstitucionalni	izvaninstitucionalan	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
djece	dijete	Ncnpg
i	i	Cc
mladih	mlad	Agpmpgy
–	–	Z
100,00	100,00	Mdc
%	%	Z
.	.	Z

8.	8.	Mdo
sredstva	sredstvo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
2.	2.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
8.	8.	Mdo
,	,	Z
u	u	Sl
razdjelu	razdjel	Ncmsl
020	020	Mdc
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
Glavi	Glavi	Npmsn
02010	02010	Mdc
Ured	ured	Ncmsn
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
udruge	udruga	Ncfpa
,	,	Z
za	za	Sa
aktivnost	aktivnost	Ncfsa
A509014	A509014	X
–	–	Z
Nacionalna	nacionalan	Agpfsny
zaklada	zaklada	Ncfsn
za	za	Sa
razvoj	razvoj	Ncmsan
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
–	–	Z
Udruge	udruga	Ncfsg
za	za	Sa
razvoj	razvoj	Ncmsan
zajednice	zajednica	Ncfsg
–	–	Z
90,36	90,36	Mdc
%	%	Z
i	i	Cc
za	za	Sa
aktivnost	aktivnost	Ncfsa
A509051	A509051	X
–	–	Z
Sufinanciranje	sufinanciranje	Ncnsn
EU	E	Npmsg
projekata	projekat	Ncmpg
organizacijama	organizacija	Ncfpi
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
–	–	Z
9,64	9,64	Mdc
%	%	Z
.	.	Z

Članak	članak	Ncmsn
4.	4.	Mdo

Ministarstvo	ministarstvo	Ncnsn
znanosti	znanost	Ncfsg
,	,	Z
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
sporta	sport	Ncmsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
socijalne	socijalan	Agpfsgy
politike	politika	Ncfsg
i	i	Cc
mladih	mlad	Agpmpgy
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
zdravlja	zdravlje	Ncnsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
kulture	kultura	Ncfsg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
vanjskih	vanjski	Agpmpgy
i	i	Cc
europskih	europski	Agpmpgy
poslova	posao	Ncmpg
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
branitelja	branitelj	Ncmpg
,	,	Z
Državni	državni	Agpmsny
ured	ured	Ncmsn
za	za	Sa
Hrvate	Hrvat	Npmpa
izvan	izvan	Sg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
Ured	ured	Ncmsn
za	za	Sa
udruge	udruga	Ncfpa
izvještaj	izvještaj	Ncmsan
o	o	Sl
utrošku	utrošak	Ncmsl
sredstava	sredstvo	Ncnpg
raspoređenih	raspoređen	Agpmpgy
prema	prema	Sl
članku	članak	Ncmsl
3.	3.	Mdo
ove	ovaj	Pd-fsg
Uredbe	uredba	Ncfsg
,	,	Z
za	za	Sa
razdoblje	razdoblje	Ncnsa
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
do	do	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2015.	2015.	Mdo
godine	godina	Ncfsg
,	,	Z
dostavljaju	dostavljati	Vmr3p
Ministarstvu	ministarstvo	Ncnsd
financija	financije	Ncfpg
do	do	Sg
31.	31.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo
godine	godina	Ncfsg
.	.	Z

Članak	članak	Ncmsn
5.	5.	Mdo

Evidenciju	evidencija	Ncfsa
o	o	Sl
vrstama	vrsta	Ncfpl
prihoda	prihod	Ncmpg
od	od	Sg
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
iz	iz	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
izdvaja	izdvajati	Vmr3s
dio	dio	Ncmsn
prihoda	prihod	Ncmpg
za	za	Sa
financiranje	financiranje	Ncnsa
programa	program	Ncmsg
organizacija	organizacija	Ncfsn
vodi	voditi	Vmr3s
Financijska	financijski	Agpfsny
agencija	agencija	Ncfsn
,	,	Z
i	i	Qo
to	to	Qo
za	za	Sa
:	:	Z

–	i	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
priređivanja	priređivanje	Ncnpa
lutrijskih	lutrijski	Agpfpgy
igara	igra	Ncfpg
,	,	Z

–	i	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
priređivanja	priređivanje	Ncnpa
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
u	u	Sl
casinima	casino	Ncmpl
,	,	Z

–	i	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
priređivanje	priređivanje	Ncnsa
klađenja	klađenje	Ncnsg
,	,	Z

–	i	Agpfsay
naknadu	naknada	Ncfsa
za	za	Sa
priređivanja	priređivanje	Ncnpa
igara	igra	Ncfpg
na	na	Sa
sreću	sreća	Ncfsa
na	na	Sl
automatima	automat	Ncmpl
,	,	Z

–	i	Agpmpay
prihode	prihod	Ncmpa
iz	iz	Sg
dobiti	dobit	Ncfsg
Hrvatske	hrvatski	Agpfsgy
lutrije	lutrija	Ncfsg
.	.	Z

Članak	članak	Ncmsn
6.	6.	Mdo

Ova	ovaj	Pd-fsn
Uredba	uredba	Ncfsn
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
prvoga	prvi	Mlomsg
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/15	03/15	Mdc
-	-	Z
03/03	03/03	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
50301	50301	Mdc
-	-	Z
04/04	04/04	Mdc
-	-	Z
15	15	Mdc
-	-	Z
2	2	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
11.	11.	Mdo
veljače	veljača	Ncfsg
2015.	2015.	Mdo

Predsjednik	predsjednik	Ncmsn
Zoran	Zoran	Npmsn
Milanović	Milanović	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

