ovosudnim	ovosudan	Agpnsiy
neutemeljeni	neutemeljen	Agpmpny
i	i	Cc
usmjereni	usmjeriti	Appmpny
k	k	Sl
neispunjavanju	neispunjavanje	Ncnsl
obveze	obveza	Ncfsg
određene	odrediti	Appfpny
u	u	Sl
osporenoj	osporiti	Agpfsly
odluci	odluka	Ncfsl
.	.	Z

To	taj	Pd-nsn
prvenstveno	prvenstveno	Rgp
stoga	stoga	Cs
jer	jer	Cs
iz	iz	Sg
osporene	osporiti	Agpfsgy
odluke	odluka	Ncfsg
vrlo	vrlo	Rgp
jasno	jasan	Agpnsny
i	i	Cc
decidirano	decidirano	Rgp
proizlazi	proizlaziti	Vmr3s
kako	kako	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
obvezi	obveza	Ncfsl
troškovne	troškovan	Agpfsgy
usmjerenosti	usmjerenost	Ncfsg
cijena	cijena	Ncfpg
,	,	Z
a	a	Cc
što	što	Pi3n-n
je	biti	Var3s
navedeno	navesti	Appnsny
i	i	Cc
detaljno	detaljno	Rgp
obrazloženo	obrazložiti	Appnsny
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
analizi	analiza	Ncfsl
tržišta	tržište	Ncnsg
interneta	internet	Ncmsg
i	i	Cc
televizije	televizija	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Cc
zbog	zbog	Sg
toga	taj	Pd-nsg
što	što	Pi3n-n
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
dobro	dobro	Rgp
upoznat	upoznati	Agpmsnn
s	sa	Si
načinom	način	Ncmsi
na	na	Sa
koji	koji	Pi-msan
je	biti	Var3s
tuženik	tuženik	Ncmsn
proveo	provesti	Vmp-sm
analizu	analiza	Ncfsa
i	i	Cc
s	sa	Si
izračunom	izračun	Ncmsi
troškova	trošak	Ncmpg
koji	koji	Pi-msn
je	biti	Var3s
prihvatio	prihvatiti	Vmp-sm
kao	kao	Cs
mjerodavan	mjerodavan	Agpmsnn
,	,	Z
budući	budući	Agpmsny
je	biti	Var3s
navedeni	naveden	Agpmsny
način	način	Ncmsn
izračun	izračun	Ncmsn
propisan	propisati	Appmsnn
rješenjem	rješenje	Ncnsi
od	od	Sg
18.	18.	Mdo
studenog	studeni	Ncmsg
2008.	2008.	Mdo
u	u	Sl
dokumentu	dokument	Ncmsl
»	»	Z
Naputci	naputak	Ncmpn
za	za	Sa
računovodstveno	računovodstveni	Agpnsay
odvajanje	odvajanje	Ncnsa
i	i	Cc
troškovno	troškovan	Agpnsny
računovodstvo	računovodstvo	Ncnsn
«	«	Z
te	te	Cc
je	biti	Var3s
isti	isti	Agpmsny
uobičajen	uobičajiti	Appmsnn
i	i	Cc
općeprihvaćen	općeprihvaćen	Agpmsnn
između	između	Sg
stranaka	stranka	Ncfpg
ovog	ovaj	Pd-msg
spora	spor	Ncmsg
.	.	Z

Dodatno	dodatno	Rgp
navodi	navoditi	Vmr3s
kako	kako	Cs
tužitelj	tužitelj	Ncmsn
ni	ni	Qz
u	u	Sl
jednom	jedan	Mlcmsl
trenutku	trenutak	Ncmsl
prije	prije	Sg
donošenja	donošenje	Ncnsg
osporene	osporiti	Agpfsgy
odluke	odluka	Ncfsg
nije	biti	Var3s
obavijestio	obavijestiti	Vmp-sm
tuženika	tuženik	Ncmpg
o	o	Sl
bilo	bilo	Qo
kakvim	kakav	Pi-fpl
nejasnoćama	nejasnoća	Ncfpl
vezano	vezano	Rgp
uz	uz	Sa
izračun	izračun	Ncmsan
i	i	Cc
korištene	koristiti	Agpmpay
podatke	podatak	Ncmpa
te	te	Cc
prvi	prvi	Mlomsan
put	put	Rgp
iznosi	iznositi	Vmr3s
ove	ovaj	Pd-mpa
navode	navod	Ncmpa
u	u	Sl
tužbi	tužba	Ncfsl
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prigovor	prigovor	Ncmsan
tužitelja	tužitelj	Ncmpg
da	da	Cs
je	biti	Var3s
osporenu	osporiti	Agpfsay
odluku	odluka	Ncfsa
temeljio	temeljiti	Vmp-sm
na	na	Sl
podacima	podatak	Ncmpl
o	o	Sl
troškovima	trošak	Ncmpl
iz	iz	Sg
2011.	2011.	Mdo
godine	godina	Ncfsg
,	,	Z
tuženik	tuženik	Ncmsn
navodi	navoditi	Vmr3s
kako	kako	Cs
tužitelj	tužitelj	Ncmsn
,	,	Z
pokušavajući	pokušavati	Rr
sud	sud	Ncmsan
dovesti	dovesti	Vmn
u	u	Sa
zabludu	zabluda	Ncfsa
,	,	Z
»	»	Z
miješa	miješati	Vmr3s
«	«	Z
podatke	podatak	Ncmpa
o	o	Sl
troškovima	trošak	Ncmpl
i	i	Cc
obvezu	obveza	Ncfsa
troškovne	troškovan	Agpfsgy
usmjerenosti	usmjerenost	Ncfsg
.	.	Z

Naime	naime	Qo
,	,	Z
regulatorna	regulatoran	Agpfsny
obveza	obveza	Ncfsn
troškovne	troškovan	Agpfsgy
usmjerenosti	usmjerenost	Ncfsg
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
postojeće	postojeći	Agpfpay
cijene	cijena	Ncfpa
a	a	Cc
cijena	cijena	Ncfsn
se	sebe	Px--sa
formira	formirati	Vmr3s
na	na	Sl
temelju	temelj	Ncmsl
troškova	trošak	Ncmpg
te	te	Cc
se	sebe	Px--sa
stoga	stoga	Rgp
u	u	Sa
svrhu	svrha	Ncfsa
određivanja	određivanje	Ncnsg
troškovno	troškovno	Rgp
usmjerene	usmjeriti	Agpfpay
cijene	cijena	Ncfpa
mora	morati	Vmr3s
provesti	provesti	Vmn
analiza	analiza	Ncfsn
troškova	trošak	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
postojali	postojati	Vmp-pm
u	u	Sl
prethodnoj	prethodan	Agpfsly
godini	godina	Ncfsl
,	,	Z
dakle	dakle	Cc
,	,	Z
tuženik	tuženik	Ncmsn
je	biti	Var3s
u	u	Sl
postupku	postupak	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
prethodio	prethoditi	Vmp-sm
donošenju	donošenje	Ncnsl
osporene	osporiti	Agpfsgy
odluke	odluka	Ncfsg
koristio	koristiti	Vmp-sm
podatke	podatak	Ncmpa
o	o	Sl
troškovima	trošak	Ncmpl
koji	koji	Pi-mpn
su	biti	Var3p
utemeljeni	utemeljiti	Appmpny
na	na	Sl
regulatornim	regulatoran	Agpmply
financijskim	financijski	Agpmply
izvještajima	izvještaj	Ncmpl
iz	iz	Sg
2011.	2011.	Mdo
(	(	Z
i	i	Cc
to	to	Qo
na	na	Sa
zahtjev	zahtjev	Ncmsan
tužitelja	tužitelj	Ncmpg
po	po	Sl
dopisu	dopis	Ncmsl
od	od	Sg
25.	25.	Mdo
listopada	listopad	Ncmsg
2012.	2012.	Mdo
)	)	Z
,	,	Z
jer	jer	Cs
su	biti	Var3p
to	taj	Pd-nsn
bili	biti	Vap-pm
najnoviji	nov	Agsmpny
službeni	služben	Agpmpny
revidirani	revidirati	Appmpny
podaci	podatak	Ncmpn
.	.	Z

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prigovor	prigovor	Ncmsan
tužitelja	tužitelj	Ncmpg
da	da	Cs
se	sebe	Px--sa
regulatorne	regulatoran	Agpfpny
obveze	obveza	Ncfpn
koje	koji	Pi-fpn
je	biti	Var3s
tuženik	tuženik	Ncmsn
odredio	odrediti	Vmp-sm
Odlukom	odluka	Ncfsi
o	o	Sl
analizi	analiza	Ncfsl
tržišta	tržište	Ncnsg
interneta	internet	Ncmsg
i	i	Cc
televizije	televizija	Ncfsg
nužno	nužno	Rgp
primjenjuju	primjenjivati	Vmr3p
i	i	Cc
mogu	moći	Vmr3p
primjenjivati	primjenjivati	Vmn
isključivo	isključivo	Rgp
na	na	Sa
onaj	onaj	Pd-msan
dio	dio	Ncmsan
usluge	usluga	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
uslugu	usluga	Ncfsa
,	,	Z
tuženik	tuženik	Ncmsn
napominje	napominjati	Vmr3s
da	da	Cs
je	biti	Var3s
isto	isto	Rgp
predmet	predmet	Ncmsn
drugog	drugi	Mlomsg
spora	spor	Ncmsg
,	,	Z
koji	koji	Pi-msn
se	sebe	Px--sa
vodi	voditi	Vmr3s
pred	pred	Si
ovim	ovaj	Pd-msi
Sudom	sud	Ncmsi
pod	pod	Si
brojem	broj	Ncmsi
UsII-12	UsII-12	X
/	/	Z
2012	2012	Mdc
,	,	Z
vezano	vezan	Agpnsny
za	za	Sa
određivanje	određivanje	Ncnsa
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
.	.	Z

Što	što	Pi3n-n
se	sebe	Px--sa
tiče	ticati	Vmr3s
obveze	obveza	Ncfpn
iz	iz	Sg
osporene	osporiti	Agpfsgy
odluke	odluka	Ncfsg
,	,	Z
tuženik	tuženik	Ncmsn
ističe	isticati	Vmr3s
da	da	Cs
tužitelj	tužitelj	Ncmsn
za	za	Sa
potrebe	potreba	Ncfpa
ovog	ovaj	Pd-msg
postupka	postupak	Ncmsg
radi	raditi	Vmr3s
razliku	razlika	Ncfsa
između	između	Sg
dijela	dio	Ncmsg
MAXtv	maxti	Agpfsgy
usluge	usluga	Ncfsg
koja	koji	Pi-fsn
predstavlja	predstavljati	Vmr3s
elektroničku	elektronički	Agpfsay
komunikacijsku	komunikacijski	Agpfsay
uslugu	usluga	Ncfsa
i	i	Cc
dijela	dio	Ncmsg
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
uređivanje	uređivanje	Ncnsa
sadržaja	sadržaj	Ncmpg
,	,	Z
dok	dok	Cs
u	u	Sl
stvarnosti	stvarnost	Ncfsl
ta	taj	Pd-fsn
razlika	razlika	Ncfsn
ne	ne	Qz
postoji	postojati	Vmr3s
i	i	Cc
krajnji	krajnji	Agpmpny
korisnici	korisnik	Ncmpn
ne	ne	Qz
mogu	moći	Vmr3p
znati	znati	Vmn
koliko	koliko	Rgp
plaćaju	plaćati	Vmr3p
jedan	jedan	Mlcmsn
,	,	Z
a	a	Cc
koliko	koliko	Rgp
drugi	drugi	Mlomsan
aspekt	aspekt	Ncmsan
te	taj	Pd-fsg
usluge	usluga	Ncfsg
,	,	Z
jer	jer	Cs
je	biti	Var3s
za	za	Sa
njih	oni	Pp3-pa
ta	taj	Pd-fsn
usluga	usluga	Ncfsn
jedinstvena	jedinstven	Agpfsny
cjelina	cjelina	Ncfsn
.	.	Z

U	u	Sl
pogledu	pogled	Ncmsl
prigovora	prigovor	Ncmsg
tužitelja	tužitelj	Ncmsg
da	da	Cs
primijenjena	primijeniti	Appfsny
odgovarajuća	odgovarajući	Agpfsny
stopa	stopa	Ncfsn
povrata	povrat	Ncmsg
na	na	Sa
prihode	prihod	Ncmpa
(	(	Z
WACC	WACC	Npmsn
)	)	Z
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odlukom	odluka	Ncfsi
tuženika	tuženik	Ncmpg
od	od	Sg
18.	18.	Mdo
studenog	studeni	Ncmsg
2008.	2008.	Mdo
,	,	Z
ističe	isticati	Vmr3s
se	sebe	Px--sa
da	da	Cs
navedena	navesti	Appfsny
odluka	odluka	Ncfsn
ni	ni	Qz
u	u	Sl
jednom	jedan	Mlcmsl
svom	sav	Agpmsly
dijelu	dio	Ncmsl
ne	ne	Qz
isključuje	isključivati	Vmr3s
primjenu	primjena	Ncfsa
WACC-a	WACC	Npmsg
u	u	Sa
svrhu	svrha	Ncfsa
određivanja	određivanje	Ncnsg
minimalne	minimalan	Agpfsgy
margine	margina	Ncfsg
maloprodajnih	maloprodajni	Agpfpgy
usluga	usluga	Ncfpg
tužitelja	tužitelj	Ncmpg
,	,	Z
dapače	dapače	Rgp
,	,	Z
primjena	primjena	Ncfsn
iste	isti	Agpfsgy
je	biti	Var3s
uobičajena	uobičajiti	Appfsny
u	u	Sl
europskoj	europski	Agpfsly
praksi	praksa	Ncfsl
regulatornih	regulatoran	Agpnpgy
tijela	tijelo	Ncnpg
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
izbjeglo	izbjegao	Agpnsny
istiskivanje	istiskivanje	Ncnsn
konkurencije	konkurencija	Ncfsg
preniskim	prenizak	Agpfpdy
cijenama	cijena	Ncfpd
,	,	Z
a	a	Cc
što	što	Pi3n-n
se	sebe	Px--sa
određivanjem	određivanje	Ncnsi
odgovarajućih	odgovarajući	Agpfpgy
regulatornih	regulatoran	Agpfpgy
obveza	obveza	Ncfpg
na	na	Sl
predmetnom	predmetni	Agpnsly
tržištu	tržište	Ncnsl
upravo	upravo	Rgp
i	i	Cc
želi	željeti	Vmr3s
izbjeći	izbjeći	Vmn
,	,	Z
o	o	Sl
čemu	što	Pi3n-l
u	u	Sl
prilogu	prilog	Ncmsl
odgovora	odgovor	Ncmsg
na	na	Sa
tužbu	tužba	Ncfsa
tuženik	tuženik	Ncmsn
dostavlja	dostavljati	Vmr3s
prijevod	prijevod	Ncmsan
Odluke	odluka	Ncfsg
Komisije	komisija	Ncfsg
od	od	Sg
4.	4.	Mdo
srpnja	srpanj	Ncmsg
2007.	2007.	Mdo

U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
za	za	Sa
odgodnim	odgodn	Aspmsiy
učinkom	učinak	Ncmsi
tužbe	tužba	Ncfsg
,	,	Z
tuženik	tuženik	Ncmsn
predlaže	predlagati	Vmr3s
isti	isti	Agpmsayn
odbiti	odbiti	Vmn
,	,	Z
dok	dok	Cs
prepušta	prepuštati	Vmr3s
ovom	ovaj	Pd-msd
Sudu	sud	Ncmsd
odlučiti	odlučiti	Vmn
je	biti	Var3s
li	li	Qq
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
potrebno	potreban	Agpnsny

