pravima	prav	Agpmpdy
donošenja	donošenje	Ncnsg
ZUIMP-a	ZUIMP	Npmsg
i	i	Cc
Uredbe	uredba	Ncfpn
/	/	Z
ID-ZUIMP	ID-ZUIMP	Qr
.	.	Z

41.2.	41.2.	Mdo

Nadalje	nadalje	Rgp
,	,	Z
Vlada	Vlada	Npfsn
,	,	Z
kao	kao	Cs
predlagateljica	predlagateljica	Ncfsn
ZUIMP-a	ZUIMP	Npmsg
,	,	Z
tvrdila	tvrditi	Vmp-sf
je	biti	Var3s
u	u	Sl
»	»	Z
Ocjeni	ocjena	Ncfsl
stanja	stanje	Ncnsg
«	«	Z
da	da	Cs
na	na	Sa
troškove	trošak	Ncmpa
rada	rad	Ncmsg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
osjetno	osjetno	Rgp
viši	visok	Agcmsny
od	od	Sg
troškova	trošak	Ncmpg
rada	rad	Ncmsg
zemalja	zemlja	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
neizravno	neizravno	Rgp
utječu	utjecati	Vmr3p
i	i	Cc
mnogobrojna	mnogobrojan	Agpnpay
materijalna	materijalan	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
dodaci	dodatak	Ncmpn
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnim	državni	Agpmply
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
i	i	Cc
da	da	Cs
je	biti	Var3s
troškove	trošak	Ncmpa
nastale	nastao	Agpmpay
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
njima	oni	Pp3-pi
bilo	biti	Vap-sn
potrebno	potreban	Agpnsny
privremeno	privremeno	Rgp
smanjiti	smanjiti	Vmn
,	,	Z
sve	sav	Agpnsay
u	u	Sl
cilju	cilj	Ncmsl
konsolidiranja	konsolidiranje	Ncnsg
i	i	Cc
očuvanja	očuvanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
stabilnosti	stabilnost	Ncfsg
.	.	Z

Vlada	vlada	Ncfsn
je	biti	Var3s
također	također	Rgp
istaknula	istaknuti	Vmp-sf
kako	kako	Cs
se	sebe	Px--sa
u	u	Sl
području	područje	Ncnsl
rada	rad	Ncmsg
državnih	državni	Agpfpgy
i	i	Cc
javnih	javan	Agpfpgy
službi	služba	Ncfpg
primjenjuje	primjenjivati	Vmr3s
niz	niz	Ncmsan
kolektivnih	kolektivan	Agpmpgy
ugovora	ugovor	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
sporazuma	sporazum	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
ugovora	ugovor	Ncmpg
,	,	Z
koji	koji	Pi-mpn
su	biti	Var3p
zaključivani	zaključivati	Appmpny
u	u	Sa
vrijeme	vrijeme	Ncnsa
boljeg	dobar	Agpnsgy
gospodarskog	gospodarski	Agpnsgy
stanja	stanje	Ncnsg
,	,	Z
rasta	rast	Ncmsg
plaća	plaća	Ncfpg
i	i	Cc
drugih	drugi	Mlonpg
materijalnih	materijalan	Agpnpgy
prava	pravo	Ncnpg
,	,	Z
ali	ali	Cc
koje	koji	Pi-nsn
u	u	Sa
vrijeme	vrijeme	Ncnsa
recesije	recesija	Ncfsg
i	i	Cc
nužnih	nužan	Agpfpgy
mjera	mjera	Ncfpg
štednje	štednja	Ncfsg
više	mnogo	Rgc
nije	biti	Var3s
moguće	moguć	Agpnsny
u	u	Sl
potpunosti	potpunost	Ncfsl
poštovati	poštovati	Vmn
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
zbog	zbog	Sg
održanja	održanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
stabilnosti	stabilnost	Ncfsg
troškova	trošak	Ncmpg
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
uočeni	uočiti	Agpmsny
problem	problem	Ncmsn
nedostataka	nedostatak	Ncmpg
sredstava	sredstvo	Ncnpg
za	za	Sa
poštovanje	poštovanje	Ncnsa
ugovorenih	ugovoriti	Appmpgy
materijalnih	materijalan	Agpnpgy
prava	pravo	Ncnpg
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
riješiti	riješiti	Vmn
ili	ili	Cc
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
privremeno	privremeno	Rgp
ograniče	ograničiti	Vmr3p
neka	neka	Qo
od	od	Sg
tih	taj	Pd-fpg
ugovorenih	ugovoriti	Agpnpgy
prava	pravo	Ncnpg
ili	ili	Cc
da	da	Cs
se	sebe	Px--sa
smanjenjem	smanjenje	Ncnsi
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
smanje	smanjiti	Vmr3p
ukupni	ukupan	Agpmpny
troškovi	trošak	Ncmpn
zaposlenih	zaposlen	Agpmpgy
.	.	Z

Vrlo	vrlo	Rgp
slične	sličan	Agpfpny
,	,	Z
a	a	Cc
u	u	Sl
pojedinim	pojedini	Agpmply
dijelovima	dio	Ncmpl
i	i	Cc
identične	identičan	Agpmpay
razloge	razlog	Ncmpa
Vlada	Vlada	Npfsn
je	biti	Var3s
iznijela	iznijeti	Vmp-sf
i	i	Cc
pri	pri	Sl
obrazlaganju	obrazlaganje	Ncnsl
Uredbe	uredba	Ncfsg
/	/	Z
ID-ZUIMP	ID-ZUIMP	Qr
.	.	Z

Razliku	razlika	Ncfsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
obrazloženje	obrazloženje	Ncnsa
ZUIMP-a	ZUIMP	Npmsg
čine	činiti	Vmr3p
brojčani	brojčani	Agpmpny
pokazatelji	pokazatelj	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
se	sebe	Px--sa
promijenili	promijeniti	Vmp-pm
unutar	unutar	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
(	(	Z
to	taj	Pd-nsn
jest	biti	Var3s
od	od	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
ZUIMP-a	ZUIMP	Npmsg
do	do	Sg
dana	dan	Ncmpg
donošenja	donošenje	Ncnsg
Uredbe	uredba	Ncfsg
)	)	Z
.	.	Z

Unatoč	unatoč	Sd
tome	taj	Pd-nsd
,	,	Z
Vlada	vlada	Ncfsn
je	biti	Var3s
u	u	Sl
obrazloženju	obrazloženje	Ncnsl
Uredbe	uredba	Ncfsg
/	/	Z
ID-ZUIMP	id-zuimp	Ncfsn
doslovce	doslovce	Rgp
ponovila	ponoviti	Vmp-sf
stajalište	stajalište	Ncnsa
iz	iz	Sg
obrazloženja	obrazloženje	Ncnsg
ZUIMP-a	ZUIMP	Npmsg
da	da	Cs
je	biti	Var3s
»	»	Z
zbog	zbog	Sg
održanja	održanje	Ncnsg
fiskalne	fiskalan	Agpfsgy
stabilnosti	stabilnost	Ncfsg
troškova	trošak	Ncmpg
zaposlenih	zaposlen	Agpmpgy
u	u	Sl
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
i	i	Cc
javnim	javan	Agpfply
službama	služba	Ncfpl
uočeni	uočiti	Agpmsny
problem	problem	Ncmsn
nedostataka	nedostatak	Ncmpg
sredstava	sredstvo	Ncnpg
za	za	Sa
poštovanje	poštovanje	Ncnsa
ugovorenih	ugovoriti	Appmpgy
materijalnih	materijalan	Agpnpgy
prava	pravo	Ncnpg
bilo	biti	Vap-sn
moguće	moguć	Agpnsny
riješiti	riješiti	Vmn
ili	ili	Cc
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
privremeno	privremeno	Rgp
ograniče	ograničiti	Vmr3p
neka	neka	Qo
od	od	Sg
tih	taj	Pd-fpg
ugovorenih	ugovoriti	Agpnpgy
prava	pravo	Ncnpg
ili	ili	Cc
da	da	Cs
se	sebe	Px--sa
smanjenjem	smanjenje	Ncnsi
broja	broj	Ncmsg
zaposlenih	zaposlen	Agpmpgy
smanje	smanjiti	Vmr3p
ukupni	ukupan	Agpmpny
troškovi	trošak	Ncmpn
zaposlenih	zaposlen	Agpmpgy
«		Ncmpg
.	.	Z

41.3.	41.3.	Mdo

Nesporno	nesporan	Agpnsny
je	biti	Var3s
da	da	Cs
se	sebe	Px--sa
Republika	republika	Ncfsn
Hrvatska	Hrvatska	Npfsn
nalazi	nalaziti	Vmr3s
u	u	Sl
gospodarskoj	gospodarski	Agpfsly
krizi	kriza	Ncfsl
i	i	Cc
da	da	Cs
se	sebe	Px--sa
zadnjih	zadnji	Agpfpgy
nekoliko	nekoliko	Rgp
godina	godina	Ncfpg
nosi	nositi	Vmr3s
s	sa	Si
teretom	teret	Ncmsi
iznalaženja	iznalaženje	Ncnsg
načina	način	Ncmpg
smanjenja	smanjenje	Ncnsg
javnih	javan	Agpmpgy
troškova	trošak	Ncmpg
.	.	Z

Na	na	Sl
ovom	ovaj	Pd-nsl
mjestu	mjesto	Ncnsl
dovoljno	dovoljan	Agpnsny
je	biti	Var3s
istaknuti	istaknuti	Vmn
Odluku	odluka	Ncfsa
Europskog	europski	Agpnsgy
vijeća	vijeće	Ncnsg
o	o	Sl
postojanju	postojanje	Ncnsl
prekomjernog	prekomjeran	Agpmsgy
deficita	deficit	Ncmsg
u	u	Sl
Hrvatskoj	Hrvatska	Npfsl
od	od	Sg
21.	21.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
(	(	Z
Council	Council	Xf
Decision	Decision	Xf
on	on	Xf
the	the	Xf
existence	existence	Xf
of	of	Xf
an	an	Xf
excessive	excessive	Xf
deficit	deficit	Ncmsan
in	ia	Ncfsg
Croatia	Croatia	Npfsn
:	:	Z
Interinstitutional	Interinstitutional	Npmsn
File	File	Npmsn
:	:	Z
2013/0437	2013/0437	Mdc
/	/	Z
NLE	NLE	Npfsg
/	/	Z
1790813	1790813	Mdc
LIMITE	limit	Ncmpa
ECOFIN	ECOFIN	Npmsn
1166	1166	Mdc
UEM	UEM	Y
427	427	Mdc
,	,	Z
/	/	Z
http://ec.europa.eu/economy_finance/economic_governance/sgp/deficit/countries/croatia_en.htm/	http://ec.europa.eu/economy_finance/economic_governance/sgp/deficit/countries/croatia_en.htm/	X
)	)	Z
koja	koji	Pi-fsn
jasno	jasno	Rgp
utvrđuje	utvrđivati	Vmr3s
da	da	Cs
deficit	deficit	Ncmsan
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
iznosi	iznositi	Vmr3s
preko	preko	Sg
60	60	Mdc
%	%	Z
BDP-a	BDP	Npmsg
.	.	Z

Donošenju	donošenje	Ncnsl
te	te	Cc
odluke	odluka	Ncfsg
prethodilo	prethoditi	Vmp-sn
je	biti	Var3s
niz	niz	Ncmsan
preporuka	preporuka	Ncfpg
Vijeća	vijeće	Ncnsg
o	o	Sl
nužnosti	nužnost	Ncfsl
kontrole	kontrola	Ncfsg
deficita	deficit	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
(	(	Z
primjerice	primjerice	Rgp
Council	Council	Xf
recommendation	recommendation	Xf
with	with	Xf
a	a	Cc
view	view	Xf
to	taj	Pd-nsa
bringing	bringing	Agpnsay
an	ai	Agpnsay
end	eni	Agpnsay
to	taj	Pd-nsa
the	the	Xf
situation	situation	Xf
of	of	Xf
an	an	Xf
excessive	excessive	Xf
government	government	Xf
deficit	deficit	Ncmsan
in	ia	Ncfsg
Croatia	Croatia	Npfsn
–	–	Z
SWD	SWD	Npmsan
/	/	Z
2013	2013	Mdc
/	/	Z
523	523	Mdc
final	final	Y
)	)	Z
.	.	Z

Navedena	navesti	Appnpny
utvrđenja	utvrđenje	Ncnpn
korespondiraju	korespondirati	Vmr3p
sa	sa	Si
stajalištem	stajalište	Ncnsi
Ministarstva	ministarstvo	Ncnsg
rada	rad	Ncmsg
koje	koji	Pi-fpa
je	biti	Var3s
istaknulo	istaknuti	Vmp-sn
da	da	Cs
je	biti	Var3s
»	»	Z
donošenje	donošenje	Ncnsa
navedenoga	naveden	Agpmsgy
Zakona	zakon	Ncmsg
predstavljalo	predstavljati	Vmp-sn
(	(	Z
je	biti	Var3s
)	)	Z
dio	dio	Ncmsn
ukupnih	ukupan	Agpfpgy
mjera	mjera	Ncfpg
javne	javan	Agpfsgy
politike	politika	Ncfsg
koje	koji	Pi-fpn
zajedno	zajedno	Rgp
djeluju	djelovati	Vmr3p
u	u	Sl
smjeru	smjer	Ncmsl
njegova	njegov	Ps3nsg
ostvarivanja	ostvarivanje	Ncnsg
,	,	Z
pa	pa	Cc
je	biti	Var3s
niz	niz	Ncmsn
mjera	mjera	Ncfpg
koje	koji	Pi-fpa
je	biti	Var3s
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
poduzela	poduzeti	Vmp-sf
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
donošenje	donošenje	Ncnsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
bilo	biti	Vap-sn
usmjereno	usmjeriti	Appnsny
na	na	Sa

