drugim	drugi	Mlomsi
1305/2013.	1305/2013.	Mds

(	(	Z
2	2	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
nepovoljne	nepovoljan	Agpfpay
klimatske	klimatski	Agpfpay
prilike	prilika	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
izjednačiti	izjednačiti	Vmn
s	sa	Si
elementarnom	elementaran	Agpfsiy
nepogodom	nepogoda	Ncfsi
predstavlja	predstavljati	Vmr3s
župan	župan	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsd
o	o	Sl
zaštiti	zaštita	Ncfsl
od	od	Sg
elementarnih	elementaran	Agpfpgy
nepogoda	nepogoda	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/97	73/97	Mdc
,	,	Z
174/04	174/04	Mds
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
proglasi	proglasiti	Vmr3s
elementarnu	elementaran	Agpfsay
nepogodu	nepogoda	Ncfsa
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsd
o	o	Sl
zaštiti	zaštita	Ncfsl
od	od	Sg
elementarnih	elementaran	Agpfpgy
nepogoda	nepogoda	Ncfpg
(	(	Z
»	i	Agpfpny
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
73/97	73/97	Mdc
,	,	Z
174/04	174/04	Mds
)	)	Z
,	,	Z
osiguravatelj	osiguravatelj	Ncmsn
je	biti	Var3s
prije	prije	Sg
isplate	isplata	Ncfsg
nadoknade	nadoknada	Ncfsg
štete	šteta	Ncfsg
po	po	Sl
predmetnoj	predmetni	Agpfsly
polici	polica	Ncfsl
osiguranja	osiguranje	Ncnsg
dužan	dužan	Agpmsnn
zatražiti	zatražiti	Vmn
potvrdu	potvrda	Ncfsa
Državnog	državni	Agpmsgy
hidrometeorološkog	hidrometeorološki	Agpmsgy
zavoda	zavod	Ncmsg
o	o	Sl
evidentiranoj	evidentirati	Agpfsly
nepovoljnoj	nepovoljan	Agpfsly
klimatskoj	klimatski	Agpfsly
prilici	prilika	Ncfsl
na	na	Sl
pogođenom	pogoditi	Agpnsly
području	područje	Ncnsl
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
životinjske	životinjski	Agpfpay
bolesti	bolest	Ncfpa
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
sukladno	sukladan	Agpnsny
Zakonu	zakon	Ncmsl
o	o	Sl
veterinarstvu	veterinarstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
82/13	82/13	Mdc
,	,	Z
148/13	148/13	Mds
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
pojavu	pojava	Ncfsa
biljnih	biljan	Agpfpgy
bolesti	bolest	Ncfpg
i	i	Cc
najezdu	najezda	Ncfsa
nametnika	nametnik	Ncmpg
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
sukladno	sukladan	Agpnsny
Zakonu	zakon	Ncmsl
o	o	Sl
biljnom	biljan	Agpnsly
zdravstvu	zdravstvo	Ncnsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
75/05	75/05	Mdc
,	,	Z
25/09	25/09	Mds
,	,	Z
55/11	55/11	Mdc
)	)	Z
i	i	Cc
Zakonu	zakon	Ncmsl
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
30/15	30/15	Mds
)	)	Z
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
za	za	Sa
okolišne	okolišni	Agpmpay
incidente	incident	Ncmpa
je	biti	Var3s
Ministarstvo	ministarstvo	Ncnsn
zaštite	zaštita	Ncfsg
okoliša	okoliš	Ncmsg
sukladno	sukladno	Rgp
Zakonu	zakon	Ncmsd
o	o	Sl
zaštiti	zaštita	Ncfsl
okoliša	okoliš	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
80/13	80/13	Mdc
,	,	Z
78/15	78/15	Mds
)	)	Z
.	.	Z

Elementi	element	Ncmpn
osiguranja	osiguranje	Ncnsg

Članak	članak	Ncmsn
9.	9.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Polica	polica	Ncfsn
osiguranja	osiguranje	Ncnsg
može	moći	Vmr3s
pokrivati	pokrivati	Vmn
isključivo	isključivo	Rgp
štete	štetiti	Vmr3p
nastale	nastao	Agpfpay
uslijed	uslijed	Sg
gubitka	gubitak	Ncmsg
relevantne	relevantan	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
odvija	odvijati	Vmr3s
na	na	Sl
poljoprivrednom	poljoprivredni	Agpnsly
gospodarstvu	gospodarstvo	Ncnsl
evidentiranom	evidentirati	Appnsly
u	u	Sa
Upisnik	upisnik	Ncmsan
poljoprivrednika	poljoprivrednik	Ncmpg
,	,	Z
s	sa	Si
biljnom	biljan	Agpfsiy
proizvodnjom	proizvodnja	Ncfsi
na	na	Sl
poljoprivrednom	poljoprivredni	Agpnsly
zemljištu	zemljište	Ncnsl
evidentiranom	evidentirati	Appnsly
u	u	Sl
ARKOD	ari	Agpmsly
sustavu	sustav	Ncmsl
i	i	Cc
domaćim	domaći	Agpfply
životinjama	životinja	Ncfpl
evidentiranim	evidentirati	Appfply
u	u	Sl
JRDŽ-u	JRDŽ	Npmsl
,	,	Z
odnosno	odnosno	Rgp
odgovarajućem	odgovarajući	Agpmsly
registru	registar	Ncmsl
sukladno	sukladno	Rgp
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prosječna	prosječan	Agpfsny
vrijednost	vrijednost	Ncfsn
relevantne	relevantan	Agpfsgy
poljoprivredne	poljoprivredni	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
utvrđuje	utvrđivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
vrijednostima	vrijednost	Ncfpl
zabilježenim	zabilježiti	Appfply
u	u	Sl
knjigovodstvenim	knjigovodstven	Agpmply
izvještajima	izvještaj	Ncmpl
korisnika	korisnik	Ncmpg
u	u	Sl
trogodišnjem	trogodišnji	Agpnsly
razdoblju	razdoblje	Ncnsl
koje	koji	Pi-nsa

