STAVLJENIM	stavljen	Agpmsiy
10.	10.	Mdo
11.	11.	Mdo
12.	12.	Mdo
11.	11.	Mdo
+	+	Z
12.	12.	Mdo

Rb	Rb	Qr
.	.	Z

Datum	datum	Ncmsn
preuzimanja	preuzimanje	Ncnsg
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
Ime	ime	Ncnsa
i	i	Cc
prezime	prezime	Ncnsa
/	/	Z
naziv	naziv	Ncmsn
posjednika	posjednik	Ncmpg
Lokacija	lokacija	Ncfsn
preuzimanja	preuzimanje	Ncnsg
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
Dokaz	dokaz	Ncmsan
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
ili	ili	Cc
punomoć	punomoć	Ncfsn
(	(	Z
šifra	šifra	Ncfsn
1	1	Mdc
)	)	Z
;	;	Z
Potvrda	potvrda	Ncfsn
o	o	Sl
provjeri	provjera	Ncfsl
registriranosti	registriranost	Ncfsg
vozila	vozilo	Ncnsg
u	u	Sa
RH	rh	Ncmsan
(	(	Z
šifra	šifra	Ncfsn
2	2	Mdc
)	)	Z
;	;	Z
Rješenje	rješenje	Ncnsn
FZOEU	FZOE	Npmsl
o	o	Sl
plaćenoj	platiti	Agpfsly
naknadi	naknada	Ncfsl
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
otpadnim	otpadni	Agpnply
vozilima	vozilo	Ncnpl
(	(	Z
šifra	šifra	Ncfsn
3	3	Mdc
)	)	Z
*	*	Z
Broj	broj	Ncmsn
šasije	šasija	Ncfsg
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
Zapisnik	zapisnik	Ncmsn
komunalnog	komunalan	Agpmsgy
redara	redar	Ncmsg
(	(	Z
klasa	klasa	Ncfsn
zapisnika	zapisnik	Ncmpg
)	)	Z
Cjelovito	cjelovit	Agpnsny
otpadno	otpadni	Agpnsny
vozilo	vozilo	Ncnsn
Broj	broj	Ncmsn
/	/	Z
naziv	naziv	Ncmsn
fotografije	fotografija	Ncfpa
preuzetog	preuzet	Agpnsgy
vozila	vozilo	Ncnsg
Masa	masa	Ncfsn
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
preuzeta	preuzeti	Appfsny
na	na	Sl
skladištu	skladište	Ncnsl
sakupljača	sakupljač	Ncmpg
(	(	Z
kg	kg	Ncmsn
)	)	Z
Masa	masa	Ncfsn
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
preuzeta	preuzeti	Appfsny
sa	sa	Sg
lokacije	lokacija	Ncfsg
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
otpadno	otpadni	Agpnsny
vozilo	vozilo	Ncnsn
(	(	Z
kg	kg	Rgs
)	)	Z
Isplaćena	isplatiti	Appfsny
naknada	naknada	Ncfsn
za	za	Sa
predaju	predaja	Ncfsa
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
na	na	Sa
oporabu	oporaba	Ncfsa
(	(	Z
kn	KN	Ncmsn
)	)	Z
Cijena	cijena	Ncfsn
usluge	usluga	Ncfsg
sakupljanja	sakupljanje	Ncnsg
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
(	(	Z
kn	KN	Agpmsann
)	)	Z
Ukupan	ukupan	Agpmsnn
iznos	iznos	Ncmsn
troškova	trošak	Ncmpg
sakupljaču	sakupljač	Ncmsd
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
(	(	Z
kn	KN	Appmpgy
)	)	Z
DA	da	Cs
/	/	Z
NE	ne	Qz

Ukupno	ukupno	Rgp
masa	masa	Ncfsn
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
preuzeta	preuzeti	Appfsny
na	na	Sl
skladištu	skladište	Ncnsl
sakupljača	sakupljač	Ncmpg
(	(	Z
ukupno	ukupno	Rgp
kolona	kolona	Ncfsn
9	9	Mdc
)	)	Z
–	–	Z
kg	kg	Cc
Ukupna	ukupan	Agpfsny
masa	masa	Ncfsn
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
preuzeta	preuzeti	Appfsny
sa	sa	Sg
lokacije	lokacija	Ncfsg
na	na	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
otpadno	otpadni	Agpnsny
vozilo	vozilo	Ncnsn
(	(	Z
ukupno	ukupno	Rgp
kolona	kolona	Ncfsn
10	10	Mdc
)	)	Z
–	–	Z
kg	kg	Vmr3s
Sveukupno	sveukupno	Rgp
preuzeta	preuzet	Agpfsny
masa	masa	Ncfsn
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
(	(	Z
9	9	Mdc
+	+	Z
10	10	Mdc
)	)	Z
–	–	Z
kg	kg	I

Potpis	potpis	Ncmsn
:	:	Z
________________________	________________________	Z

M.	M.	Y
P.	P.	Y

Obavezni	obavezan	Agpmpny
prilozi	prilog	Ncmpn
:	:	Z

1.	1.	Mdo
Preslika	preslika	Ncfsn
Pratećeg	prateći	Agpmsgy
lista	list	Ncmsg

2.	2.	Mdo
Vagarski	vagarski	Agpmsny
list	list	Ncmsn

3.	3.	Mdo
Zapisnik	zapisnik	Ncmsn
komunalnog	komunalan	Agpmsgy
redara	redar	Ncmsg
(	(	Z
Obrazac	Obrazac	Npmsn
OV2	OV2	Npmsn
)	)	Z

4.	4.	Mdo
Preslika	preslika	Ncfsn
prometne	prometan	Agpfsgy
dozvole	dozvola	Ncfsg
,	,	Z
punomoći	punomoć	Ncfsg
ili	ili	Cc
drugog	drugi	Mlomsg
dokumenta	dokument	Ncmsg
iz	iz	Sg
kojeg	koji	Pi-msg
je	biti	Var3s
razvidno	razvidan	Agpnsny
da	da	Cs
je	biti	Var3s
otpadno	otpadni	Agpnsny
vozilo	vozilo	Agpnsny
vlasništvo	vlasništvo	Ncnsn
posjednika	posjednik	Ncmpg
ili	ili	Cc
potvrda	potvrda	Ncfsn
o	o	Sl
provjeri	provjera	Ncfsl
registriranosti	registriranost	Ncfsg
vozila	vozilo	Ncnpg
u	u	Sa
RH	rh	Ncmsan
ili	ili	Cc
Rješenje	rješenje	Ncnsn
FZOEU	FZOE	Npmsd
o	o	Sl
plaćenoj	platiti	Agpfsly
naknadi	naknada	Ncfsl
za	za	Sa
gospodarenje	gospodarenje	Ncnsa
otpadnim	otpadni	Agpnpiy
vozilima	vozilo	Ncnpi

5.	5.	Mdo
Preslika	preslika	Ncfsn
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
posjednika	posjednik	Ncmpg
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
Potpis	Potpis	Npmsn
:	:	Z
________________________	________________________	Z

6.	6.	Mdo
Dokaz	dokaz	Ncmsn
o	o	Sl
isplati	isplata	Ncfsl
naknade	naknada	Ncfsg
za	za	Sa
predaju	predaja	Ncfsa
otpadnog	otpadni	Agpnsgy
vozila	vozilo	Ncnsg
na	na	Sa
oporabu	oporaba	Ncfsa

7.	7.	Mdo
Fotografijski	fotografijski	Agpmsny
zapis	zapis	Ncmsn
preuzetih	preuzet	Agpnpgy
otpadnih	otpadni	Agpnpgy
vozila	vozilo	Ncnpg
u	u	Sa

