pogonskim	pogonski	Agpnsiy
Izmjenjivi	izmjenjiv	Agpmsny
radni	radni	Agpmsny
priključak	priključak	Ncmsn
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
ili	ili	Cc
šumarstvu	šumarstvo	Ncnsl
kojem	koji	Pi-msl
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Ncmpg
a	a	Cc
Izmjenjivi	izmjenjiv	Agpmsny
radni	radni	Agpmsny
priključak	priključak	Ncmsn
s	sa	Si
maksimalnom	maksimalan	Agpfsiy
konstrukcijskom	konstrukcijski	Agpfsiy
brzinom	brzina	Ncfsi
manjom	mali	Agpfsiy
ili	ili	Cc
jednakom	jednak	Agpmsly
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
b	b	Agpmsny
Izmjenjivi	izmjenjiv	Agpmsny
radni	radni	Agpmsny
priključak	priključak	Ncmsn
s	sa	Si
maksimalnom	maksimalan	Agpfsiy
konstrukcijskom	konstrukcijski	Agpfsiy
brzinom	brzina	Ncfsi
većom	velik	Agcfsiy
od	od	Sg
40	40	Mdc
km	km	Y
/	/	Z
h	h	Y
Npr.	Npr.	Y
Sb2	sb2	Agpmsny
je	biti	Var3s
izmjenjivi	izmjenjiv	Agpmsny
radni	radni	Agpmsny
priključak	priključak	Ncmsn
za	za	Sa
uporabu	uporaba	Ncfsa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
ili	ili	Cc
šumarstvu	šumarstvo	Ncnsl
kojem	koji	Pi-msl
zbroj	zbroj	Ncmsan
najvećih	velik	Agsnpgy
tehničkih	tehnički	Agpnpgy
dopuštenih	dopustiti	Agpnpgy
osovinskih	osovinski	Agpnpgy
opterećenja	opterećenje	Ncnpg
prelazi	prelaziti	Vmr3s
3500	3500	Mdc
kg	kg	Ncmpg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
konstruiran	konstruirati	Appmsnn
da	da	Cs
ga	on	Pp3msa
vuče	vući	Vmr3s
traktor	traktor	Ncmsn
kategorije	kategorija	Ncfsg
T5	T5	Qr
.	.	Z

G	g	Ncnpn
TERENSKA	terenski	Agpnpny
VOZILA	vozilo	Ncnpn
VOZILA	vozilo	Ncnpa
POSEBNE	poseban	Agpfpay
NAMJENE	namjena	Ncfpa
SA	sa	Sg
Motorno	motoran	Agpnsny
vozilo	vozilo	Ncnsn
za	za	Sa
stanovanje	stanovanje	Ncnsa
SB	SB	Pi-nsn
Oklopljeno	oklopiti	Appnsny
vozilo	vozilo	Ncnsn
SC	si	Agpnsny
Vozilo	vozilo	Ncnsn
hitne	hitan	Agpfsgy
medicinske	medicinski	Agpfsgy
pomoći	pomoć	Ncfsg
ili	ili	Cc
vozilo	vozilo	Ncnsn
za	za	Sa
sanitetski	sanitetski	Agpmsayn
prijevoz	prijevoz	Ncmsan
SD	SD	Npmsan
Pogrebno	pogrebni	Agpnsny
vozilo	vozilo	Ncnsn
SH	si	Agpnsny
Vozilo	vozilo	Ncnsn
pristupačno	pristupačan	Agpnsny
za	za	Sa
invalidska	invalidski	Agpnpay
kolica	kolica	Ncnpa
SE	sebe	Px--sa
Priključno	priključni	Agpnsny
vozilo	vozilo	Ncnsn
za	za	Sa
stanovanje	stanovanje	Ncnsa
SF	SF	Npmsn
Auto	Auto	Npmsn
dizalica	dizalica	Ncfsn
SG	i	Agpnsgy
Ostala	ostali	Agpnsgy
vozila	vozilo	Ncnpa
posebne	poseban	Agpfpay
namjene	namjena	Ncfpa
SJ	SJ	Pi3n-n
Priključno	priključni	Agpnsny
vozilo	vozilo	Ncnsn
za	za	Sa
vuču	vuča	Ncfsa
poluprikolica	poluprikolica	Ncfpg
SK	SK	Npmsn
Priključno	priključni	Agpnsny
vozilo	vozilo	Ncnsn
kategorije	kategorija	Ncfsg
O4	oi	Agpnsny
(	(	Z
uključujući	uključivati	Rr
i	i	Cc
hidraulične	hidrauličan	Agpfpay
modularne	modularan	Agpfpay
prikolice	prikolica	Ncfpa
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
broj	broj	Ncmsan
modula	modul	Ncmpg
)	)	Z
predviđeno	predvidjeti	Appnsny
za	za	Sa
prijevoz	prijevoz	Ncmsan
specijalnih	specijalan	Agpmpgy
nedjeljivih	nedjeljiv	Agpmpgy
tereta	teret	Ncmpg
SL	SL	Npfsg
Motorno	motoran	Agpnsny
vozilo	vozilo	Ncnsn
N3	N3	Pd-fsg
kategorije	kategorija	Ncfsg
za	za	Sa
specijalni	specijalan	Agpmsayn
prijevoz	prijevoz	Ncmsan
SM	ti	Appmsny
Nosač	nosač	Ncmsn
razne	razni	Agpfsgy
opreme	oprema	Ncfsg
RS	RS	Npfsn
RADNI	radni	Agpmsny
STROJ	stroj	Ncmsn
Motorno	motoran	Agpnsny
vozilo	vozilo	Ncnsn
kojem	koji	Pi-nsd
je	biti	Var3s
osnovna	osnovan	Agpfsny
namjena	namjena	Ncfsn
obavljanje	obavljanje	Ncnsn
određenih	određen	Agpmpgy
radova	rad	Ncmpg
vlastitim	vlastit	Agpmpiy
uređajima	uređaj	Ncmpi
i	i	Cc
opremom	oprema	Ncfsi
,	,	Z
a	a	Cc
koje	koji	Pi-fpn
svojom	svoj	Px-fsi
konstrukcijom	konstrukcija	Ncfsi
ne	ne	Qz
pripada	pripadati	Vmr3s
niti	niti	Qo
jednoj	jedan	Mlcfsl
konstrukciji	konstrukcija	Ncfsl
vozila	vozilo	Ncnpg
opisanih	opisati	Appmpgy
u	u	Sl
ovoj	ovaj	Pd-fsl
tablici	tablica	Ncfsl

(	(	Z
3	3	Mdc
)	)	Z
Vozila	vozilo	Ncnsg
M2	M2	Pi-nsa
i	i	Cc
M3	mi	Agpfpny
kategorije	kategorija	Ncfpn
dijele	dijeliti	Vmr3p
se	sebe	Px--sa
na	na	Sa
sljedeće	sljedeći	Agpmpay
razrede	razred	Ncmpa
:	:	Z

Razred	razred	Ncmsan
I	i	Cc
Autobusi	autobus	Ncmpn
s	sa	Si
više	mnogo	Rgc
od	od	Sg
23	23	Mdc
mjesta	mjesto	Ncnpg
(	(	Z
N	N	Xf
>	>	Z
23	23	Mdc
)	)	Z
uključujući	uključivati	Rr
vozača	vozač	Ncmsay
,	,	Z
konstruirani	konstruirati	Appmpny
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
prvenstveno	prvenstveno	Rgp
u	u	Sl
stajaćem	stajaći	Agpmsly
položaju	položaj	Ncmsl
i	i	Cc
čija	čiji	Pi-fsn
je	biti	Var3s
unutrašnjost	unutrašnjost	Ncfsn
konstruirana	konstruirati	Appfsny
tako	tako	Cs
da	da	Cs
omogućuje	omogućivati	Vmr3s
brzi	brz	Agpmsny
prolaz	prolaz	Ncmsn
putnika	putnik	Ncmpg
kroz	kroz	Sa
unutrašnjost	unutrašnjost	Ncfsa
vozila	vozilo	Ncnsg
Razred	razred	Ncmsan
II	ii	Agpmpny
Autobusi	autobus	Ncmpn
s	sa	Si
više	mnogo	Rgc
od	od	Sg
23	23	Mdc
mjesta	mjesto	Ncnpg
(	(	Z
N	N	Xf
>	>	Z
23	23	Mdc
)	)	Z
uključujući	uključivati	Rr
vozača	vozač	Ncmsay
konstruirani	konstruirati	Appmpny
prvenstveno	prvenstven	Agpnsny
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
u	u	Sl
sjedećem	sjedeći	Agpmsly
položaju	položaj	Ncmsl
koji	koji	Pi-msan
mogu	moći	Vmr3p
prevoziti	prevoziti	Vmn
i	i	Qo
stajaće	stajaći	Agpmpay
putnike	putnik	Ncmpa
smještene	smjestiti	Appfpny
samo	samo	Rgp
u	u	Sl
međuprostoru	međuprostor	Ncmsl
za	za	Sa
prolaz	prolaz	Ncmsan
i	i	Cc
/	/	Z
ili	ili	Cc
u	u	Sl
prostoru	prostor	Ncmsl
koji	koji	Pi-msn
nije	biti	Var3s
veći	velik	Agcmsny
od	od	Sg
površine	površina	Ncfsg
koju	koji	Pi-fsa
zauzimaju	zauzimati	Vmr3p
dva	dva	Mlc
dvostruka	dvostruk	Agpnsgn
sjedala	sjedalo	Ncnsg
Razred	razred	Ncmsan
III	III	Agpmpny
Autobusi	autobus	Ncmpn
s	sa	Si
više	mnogo	Rgc
od	od	Sg
23	23	Mdc
mjesta	mjesto	Ncnpg
(	(	Z
N	N	Xf
>	>	Z
23	23	Mdc
)	)	Z
uključujući	uključivati	Rr
vozača	vozač	Ncmsay
konstruirani	konstruirati	Appmpny
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
samo	samo	Rgp
u	u	Sl
sjedećem	sjedeći	Agpmsly
položaju	položaj	Ncmsl
Razred	razred	Ncmsn
A	a	Cc
Autobusi	autobus	Ncmpn
s	sa	Sg
najviše	mnogo	Rgs
23	23	Mdc
ili	ili	Cc
manje	malo	Rgc
mjesta	mjesto	Ncnpg
(	(	Z
N	N	Xf
≤	≤	Z
23	23	Mdc
)	)	Z
uključujući	uključivati	Rr
vozača	vozač	Ncmsay
konstruirani	konstruirati	Appmpny
za	za	Sa
prijevoz	prijevoz	Ncmsan
putnika	putnik	Ncmpg
u	u	Sl
sjedećem	sjedeći	Agpmsly
i	i	Cc
stajaćem	stajaći	Agpmsly
položaju	položaj	Ncmsl
Razred	razred	Ncmsn
B	b	Y
Autobusi	autobus	Ncmpn
s	sa	Sg
najviše	mnogo	Rgs
23	23	Mdc
ili	ili	Cc
manje	malo	Rgc
mjesta	mjesto	Ncnpg
(	(	Z
N	N	Xf
≤	≤	Z
23	23	Mdc
)	)	Z
uključujući	uključivati	Rr
vozača	vozač	Ncmsay
konstruirani	konstruirati	Appmpny
za	za	Sa

