starijih	star	Agcmpgy
kaznenopravne	kaznenopravni	Agpfsgy
zaštite	zaštita	Ncfsg
koji	koji	Pi-mpn
su	biti	Var3p
preko	preko	Sg
resornog	resorni	Agpnsgy
ministarstva	ministarstvo	Ncnsg
vezani	vezan	Agpmpny
za	za	Sa
Nacionalni	nacionalan	Agpmsayn
tim	tim	Ncmsan
za	za	Sa
prevenciju	prevencija	Ncfsa
i	i	Cc
suzbijanje	suzbijanje	Ncnsa
nasilja	nasilje	Ncnsg
u	u	Sl
obitelji	obitelj	Ncfsl
i	i	Cc
nasilja	nasilje	Ncnsg
nad	nad	Si
ženama	žena	Ncfpi
.	.	Z

Zdravstveni	zdravstven	Agpmpny
djelatnici	djelatnik	Ncmpn
imenovani	imenovati	Appmpny
su	biti	Var3p
i	i	Qo
za	za	Sa
županijske	županijski	Agpmpay
koordinatore	koordinator	Ncmpa
za	za	Sa
slučajeve	slučaj	Ncmpa
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
.	.	Z

Ispred	ispred	Sg
Ministarstva	ministarstvo	Ncnsg
zdravlja	zdravlje	Ncnsg
imenovana	imenovati	Appfsny
je	biti	Var3s
i	i	Cc
jedna	jedan	Mlcfsn
osoba	osoba	Ncfsn
kao	kao	Cs
zdravstvena	zdravstven	Agpfsny
koordinatorica	koordinatorica	Ncfsn
svih	sav	Agpmpgy
županijskih	županijski	Agpmpgy
koordinatora	koordinator	Ncmpg
i	i	Cc
ona	on	Pp3fsn
je	biti	Var3s
članica	članica	Ncfsn
Operativnog	operativan	Agpmsgy
tima	tim	Ncmsg
.	.	Z

Prema	prema	Sl
procjeni	procjena	Ncfsl
koordinatora	koordinator	Ncmpg
mobilnog	mobilan	Agpmsgy
tima	tim	Ncmsg
Nacionalnog	nacionalan	Agpmsgy
odbora	odbor	Ncmsg
za	za	Sa
suzbijanje	suzbijanje	Ncnsa
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
,	,	Z
žrtvi	žrtva	Ncfsl
se	sebe	Px--sa
sukladno	sukladno	Rgp
izrađenoj	izraditi	Agpfsly
procjeni	procjena	Ncfsl
njenog	njen	Ps3msg
stajna	stajni	Ncmsg
i	i	Cc
individualnom	individualan	Agpmsly
planu	plan	Ncmsl
i	i	Cc
programu	program	Ncmsl
zaštite	zaštita	Ncfsg
osigurava	osiguravati	Vmr3s
zdravstvena	zdravstven	Agpfsny
pomoć	pomoć	Ncfsn
koja	koji	Pi-fsn
uključuje	uključivati	Vmr3s
hitnu	hitan	Agpfsay
medicinsku	medicinski	Agpfsay
pomoć	pomoć	Ncfsa
,	,	Z
opći	opći	Agpmsayn
zdravstveni	zdravstven	Agpmsayn
pregled	pregled	Ncmsan
i	i	Cc
eventualno	eventualno	Rgp
specijalističku	specijalistički	Agpfsay
zdravstvenu	zdravstven	Agpfsay
zaštitu	zaštita	Ncfsa
.	.	Z

Imenovani	imenovati	Appmsny
nacionalni	nacionalan	Agpmsny
ili	ili	Cc
županijski	županijski	Agpmpny
zdravstveni	zdravstven	Agpmpny
koordinatori	koordinator	Ncmpn
organiziraju	organizirati	Vmr3p
pomoć	pomoć	Ncfsa
te	te	Cc
dogovaraju	dogovarati	Vmr3p
obavljanje	obavljanje	Ncnsa
pregleda	pregled	Ncmsg
kod	kod	Sg
liječnika	liječnik	Ncmpg
opće	opći	Agpfsgy
medicine	medicina	Ncfsg
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
opću	opći	Agpfsay
anamnezu	anamneza	Ncfsa
i	i	Cc
pregled	pregled	Ncmsan
,	,	Z
po	po	Sl
potrebi	potreba	Ncfsl
ginekološku	ginekološki	Agpfsay
anamnezu	anamneza	Ncfsa
i	i	Cc
pregled	pregled	Ncmsan
i	i	Cc
institucionalnu	institucionalan	Agpfsay
pomoć	pomoć	Ncfsa
i	i	Cc
podršku	podrška	Ncfsa
u	u	Sl
zaštiti	zaštita	Ncfsl
mentalnog	mentalan	Agpnsgy
zdravlja	zdravlje	Ncnsg
.	.	Z

Organizacije	organizacija	Ncfpn
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
imaju	imati	Vmr3p
značajnu	značajan	Agpfsay
ulogu	uloga	Ncfsa
te	te	Cc
su	biti	Var3p
u	u	Sl
velikoj	velik	Agpfsly
mjeri	mjera	Ncfsl
prve	prvi	Mlofsg
poduzele	poduzeti	Vmp-pf
značajne	značajan	Agpmpay
korake	korak	Ncmpa
u	u	Sl
organiziranju	organiziranje	Ncnsl
sustavne	sustavan	Agpfsgy
pomoći	pomoć	Ncfsg
i	i	Cc
podrške	podrška	Ncfsg
žrtvama	žrtva	Ncfpl
,	,	Z
kako	kako	Cs
tijekom	tijekom	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
,	,	Z
tako	tako	Rgp
i	i	Qo
nakon	nakon	Sg
njega	on	Pp3msg
.	.	Z

Neke	neki	Pi-fpn
organizacije	organizacija	Ncfpn
imaju	imati	Vmr3p
više	mnogo	Rgc
od	od	Sg
20	20	Mdc
godina	godina	Ncfpg
iskustva	iskustvo	Ncnsg
u	u	Sl
radu	rad	Ncmsl
sa	sa	Si
žrtvama	žrtva	Ncfpl
,	,	Z
raspolažu	raspolagati	Vmr3p
ekspertizom	ekspertiza	Ncfsi
,	,	Z
uvidom	uvid	Ncmsi
u	u	Sa
problematiku	problematika	Ncfsa
na	na	Sl
lokalnoj	lokalan	Agpfsly
i	i	Cc
međunarodnoj	međunarodni	Agpfsly
razini	razina	Ncfsl
,	,	Z
te	te	Cc
su	biti	Var3p
razradile	razraditi	Vmp-pf
metodologiju	metodologija	Ncfsa
rada	rad	Ncmsg
.	.	Z

Značajan	značajan	Agpmsann
doprinos	doprinos	Ncmsan
organizacija	organizacija	Ncfpg
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
izražen	izraziti	Appmsnn
je	biti	Var3s
na	na	Sl
području	područje	Ncnsl
rada	rad	Ncmsg
sa	sa	Si
žrtvama	žrtva	Ncfpi
rata	rat	Ncmsg
,	,	Z
seksualnog	seksualan	Agpmsgy
i	i	Cc
obiteljskog	obiteljski	Agpnsgy
nasilja	nasilje	Ncnsg
,	,	Z
žrtvama	žrtva	Ncfpl
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
,	,	Z
kao	kao	Cs
i	i	Cc
djecom	dijete	Ncnpi
žrtvama	žrtva	Ncfpl
,	,	Z
te	te	Cc
organiziranjem	organiziranje	Ncnsi
i	i	Cc
vođenjem	vođenje	Ncnsi
skloništa	sklonište	Ncnsg
za	za	Sa
žrtve	žrtva	Ncfpa
nasilja	nasilje	Ncnsg
u	u	Sl
obitelji	obitelj	Ncfsl
,	,	Z
prije	prije	Sg
svega	sav	Pi-nsg
žene	žena	Ncfsg
i	i	Cc
njihovu	njihov	Ps3fsa
djecu	dijete	Ncnpa
.	.	Z

Žrtvama	žrtva	Ncfpi
se	sebe	Px--sa
osigurava	osiguravati	Vmr3s
pomoć	pomoć	Ncfsn
i	i	Cc
telefonskim	telefonski	Agpmsiy
putem	put	Ncmsi
,	,	Z
te	te	Cc
su	biti	Var3p
osnovane	osnovati	Appfpny
i	i	Cc
brojne	brojan	Agpfpny
besplatne	besplatan	Agpfsgy
telefonske	telefonski	Agpfsgy
linije	linija	Ncfsg
.	.	Z

Postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
komunikacije	komunikacija	Ncfsg
i	i	Cc
putem	put	Sg
elektroničke	elektronički	Agpfsgy
pošte	pošta	Ncfsg
,	,	Z
te	te	Cc
su	biti	Var3p
informacije	informacija	Ncfpn
o	o	Sl
pravima	pravo	Ncnpl
i	i	Cc
procedurama	procedura	Ncfpl
dostupne	dostupan	Agpfsgy
i	i	Cc
na	na	Sl
internetskim	internetski	Agpfply
stranicama	stranica	Ncfpl
organizacija	organizacija	Ncfsn
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
.	.	Z

Osim	osim	Sg
pružanja	pružanje	Ncnsg
direktne	direktan	Agpfsgy
pomoći	pomoć	Ncfsg
i	i	Cc
podrške	podrška	Ncfsg
,	,	Z
organizacije	organizacija	Ncfsg
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
veliki	velik	Agpmsny
doprinos	doprinos	Ncmsn
daju	dati	Vmr3p
i	i	Cc
na	na	Sl
području	područje	Ncnsl
unaprjeđenja	unaprjeđenje	Ncnsg
zakonodavstva	zakonodavstvo	Ncnsg
,	,	Z
razvoja	razvoj	Ncmsg
javnih	javan	Agpfpgy
politika	politika	Ncfpg
i	i	Cc
javnog	javan	Agpnsgy
osvještavanja	osvještavanje	Ncnsg
o	o	Sl
problematici	problematika	Ncfsl
žrtava	žrtva	Ncfpg
.	.	Z

Organizacije	organizacija	Ncfpn
civilnog	civilan	Agpnsgy
društva	društvo	Ncnsg
financijska	financijski	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
svoj	svoj	Px-msan
rad	rad	Ncmsan
osiguravaju	osiguravati	Vmr3p
kroz	kroz	Sa
projektne	projektni	Agpfpay
aktivnosti	aktivnost	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
financiraju	financirati	Vmr3p
sredstvima	sredstvo	Ncmpi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
različitih	različit	Agpfpgy
fondacija	fondacija	Ncfpg
,	,	Z
zaklada	zaklada	Ncfsn
,	,	Z
lokalne	lokalan	Agpfsgy
zajednice	zajednica	Ncfsg
te	te	Cc
sredstvima	sredstvo	Ncnpd
koja	koji	Pi-fsn
osigurava	osiguravati	Vmr3s
država	država	Ncfsn
.	.	Z

Prema	prema	Sl
Izvješću	izvješće	Ncnsl
o	o	Sl
financiranju	financiranje	Ncnsl
projekata	projekat	Ncmpg
i	i	Cc
programa	program	Ncmpg
organizacija	organizacija	Ncfpg
civilnoga	civilan	Agpnsgy
društva	društvo	Ncnsg
iz	iz	Sg
javnih	javan	Agpmpgy
izvora	izvor	Ncmpg
u	u	Sl
2013.	2013.	Mdo
godini	godina	Ncfsl
koje	koji	Pi-nsn
je	biti	Var3s
izradio	izraditi	Vmp-sm
Ured	ured	Ncmsn
za	za	Sa
udruge	udruga	Ncfpa
u	u	Sl
pregledu	pregled	Ncmsl
specifičnih	specifičan	Agpnpgy
područja	područje	Ncnpg
zaštite	zaštita	Ncfsg
i	i	Cc
promicanja	promicanje	Ncnsg
ljudskih	ljudski	Agpnpgy
prava	pravo	Ncnpg
osigurana	osigurati	Appnpny
su	biti	Var3p
sredstva	sredstvo	Ncnpn
za	za	Sa
aktivnosti	aktivnost	Ncfpa
:	:	Z
pomoć	pomoć	Ncfsn
žrtvama	žrtva	Ncfpl
obiteljskog	obiteljski	Agpnsgy
nasilja	nasilje	Ncnsg
–	–	Z
3.338.749,80	3.338.749,80	Mdc
kn	KN	Ncmpg
;	;	Z
edukacija	edukacija	Ncfsn
o	o	Sl
trgovanju	trgovanje	Ncnsl
ljudima	čovjek	Ncmpl
te	te	Cc
pomoć	pomoć	Ncfsn
žrtvama	žrtva	Ncfpl
trgovanja	trgovanje	Ncnsg
ljudima	čovjek	Ncmpi
–	–	Z
610.011,72	610.011,72	Mdc
kn	KN	Ncmpg
;	;	Z
besplatna	besplatan	Agpfsny
pravna	pravni	Agpfsny
pomoć	pomoć	Ncfsn
–	–	Z
194.246,66	194.246,66	Mdc
kn	KN	Ncmpg
;	;	Z
zaštita	zaštita	Ncfsn
prava	pravo	Ncnsg
azilanata	azilant	Ncmpg
–	–	Z
167.349,58	167.349,58	Mdc
kn	KN	Ncmpg
;	;	Z
zaštita	zaštita	Ncfsn
digniteta	dignitet	Ncmsg
političkih	politički	Agpmpgy
zatvorenika	zatvorenik	Ncmpg
,	,	Z
veterana	veteran	Ncmpg
,	,	Z
civilnih	civilan	Agpmpgy
invalida	invalid	Ncmpg
rata	rat	Ncmsg
te	te	Cc
izbjeglica	izbjeglica	Ncfpg
i	i	Cc
raseljenih	raseljen	Agpfpgy
osoba	osoba	Ncfpg
–	–	Z
95.812,50	95.812,50	Mdc
kn	KN	Y
;	;	Z
osnaživanje	osnaživanje	Ncnsn
žena	žena	Ncfpg
žrtava	žrtva	Ncfpg
nasilja	nasilje	Ncnsg
za	za	Sa
zapošljavanje	zapošljavanje	Ncnsa
i	i	Cc
samozapošljavanje	samozapošljavanje	Ncnsa
–	–	Z
80.482,50	80.482,50	Mdc
kn	KN	Y
.	.	Z

III	III	Mrc
.	.	Z

KOORDINACIJA	koordinacija	Ncfsn
MEĐURESORNOG	međuresorni	Agpnsgy
DJELOVANJA	djelovanje	Ncnsg
I	i	Cc
STANDARDIZACIJA	standardizacija	Ncfsn
POSTUPANJA	postupanje	Ncnsg
U	u	Sl
PRUŽANJU	pružanje	Ncnsl
PODRŠKE	podrška	Ncfsg
I	i	Cc
ZAŠTITI	zaštita	Ncfsl
PRAVA	pravo	Ncnpg
ŽRTAVA	žrtva	Ncfpg
I	i	Cc
SVJEDOKA	svjedok	Ncmpg

a	a	Cc
)	)	Z
Analiza	analiza	Ncfsn
i	i	Cc
ocjena	ocjena	Ncfsn
stanja	stanje	Ncnsg

U	u	Sl
nastojanju	nastojanje	Ncnsl
uspostave	uspostava	Ncfsg
koordiniranog	koordinirati	Agpnsgy
djelovanja	djelovanje	Ncnsg
sa	sa	Si
jasnim	jasan	Agpfpiy
zadaćama	zadaća	Ncfpi
dionika	dionik	Ncmpg
izrađeni	izraditi	Appmpny
su	biti	Var3p
protokoli	protokol	Ncmpn
postupanja	postupanje	Ncnsg
,	,	Z
i	i	Cc
to	to	Qo
:	:	Z

Protokol	protokol	Ncmsn
o	o	Sl
postupanju	postupanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
nasilja	nasilje	Ncnsg
u	u	Sl
obitelji	obitelj	Ncfsl
,	,	Z
Protokol	protokol	Ncmsn
o	o	Sl
postupanju	postupanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
seksualnog	seksualan	Agpnsgy
nasilja	nasilje	Ncnsg
,	,	Z
Protokol	protokol	Ncmsn
o	o	Sl
postupanju	postupanje	Ncnsl
u	u	Sl
slučaju	slučaj	Ncmsl
zlostavljanja	zlostavljanje	Ncnsg
i	i	Cc

