stranicama	stranica	Ncfpl
s	sa	Si
osiguranim	osigurati	Agpmsiy
prevoditeljem	prevoditelj	Ncmsi
,	,	Z
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
ne	ne	Qz
želi	željeti	Vmr3s
iznijeti	iznijeti	Vmn
informacije	informacija	Ncfpa
kojima	koji	Pi-fpi
se	sebe	Px--sa
utvrđuje	utvrđivati	Vmr3s
ispunjava	ispunjavati	Vmr3s
li	li	Qq
uvjete	uvjet	Ncmpa
iz	iz	Sg
članaka	članak	Ncmpg
20.	20.	Mdo
i	i	Cc
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Tražitelj	tražitelj	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
dostaviti	dostaviti	Vmn
prijevod	prijevod	Ncmsan
strane	strana	Ncfsg
isprave	isprava	Ncfsg
na	na	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
poziva	pozivati	Vmr3s
za	za	Sa
dokaz	dokaz	Ncmsan
svojih	svoj	Px-mpg
navoda	navod	Ncmpg
,	,	Z
a	a	Cc
koju	koji	Pi-fsa
je	biti	Var3s
preveo	prevesti	Vmp-sm
prevoditelj	prevoditelj	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Ako	ako	Cs
tražitelj	tražitelj	Ncmsn
ne	ne	Qz
želi	željeti	Vmr3s
koristiti	koristiti	Vmn
usluge	usluga	Ncfpa
prevoditelja	prevoditelj	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
13.	13.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
dostaviti	dostaviti	Vmn
ovjereni	ovjeriti	Agpmsayn
prijevod	prijevod	Ncmsan
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
tražitelj	tražitelj	Ncmsn
ne	ne	Qz
raspolaže	raspolagati	Vmr3s
dovoljnim	dovoljan	Agpnply
novčanim	novčan	Agpnply
sredstvima	sredstvo	Ncnpl
,	,	Z
prijevod	prijevod	Ncmsn
strane	strana	Ncfsg
isprave	isprava	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
slobodnom	slobodan	Agpfsiy
ocjenom	ocjena	Ncfsi
dostupnih	dostupan	Agpfpgy
informacija	informacija	Ncfpg
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
isprava	isprava	Ncfsn
od	od	Sg
utjecaja	utjecaj	Ncmsg
na	na	Sa
odluku	odluka	Ncfsa
o	o	Sl
zahtjevu	zahtjev	Ncmsl
osigurat	osigurati	Vmn
će	htjeti	Var3s
Ministarstvo	ministarstvo	Ncnsn
.	.	Z

Posebna	poseban	Agpfsny
postupovna	postupovni	Agpfsny
i	i	Cc
prihvatna	prihvatni	Agpnpay
jamstva	jamstvo	Ncnpa

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Posebnim	poseban	Agpmsiy
postupovnim	postupovni	Agpmsiy
i	i	Cc
prihvatnim	prihvatni	Agpnply
jamstvima	jamstvo	Ncnpl
pruža	pružati	Vmr3s
se	sebe	Px--sa
odgovarajuća	odgovarajući	Agpfsny
potpora	potpora	Ncfsn
tražiteljima	tražitelj	Ncmpd
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
njihove	njihov	Ps3fpa
osobne	osoban	Agpfpay
okolnosti	okolnost	Ncfpa
,	,	Z
među	među	Si
ostalim	ostali	Agpfpiy
,	,	Z
dob	dob	Ncfsn
,	,	Z
spol	spol	Ncmsan
,	,	Z
spolno	spolan	Agpnsny
opredjeljenje	opredjeljenje	Ncnsn
,	,	Z
rodni	rodan	Agpmsayn
identitet	identitet	Ncmsan
,	,	Z
invalidnost	invalidnost	Ncfsn
,	,	Z
teške	težak	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
mentalno	mentalan	Agpnsny
zdravlje	zdravlje	Ncnsn
ili	ili	Cc
posljedice	posljedica	Ncfsg
mučenja	mučenje	Ncnsg
,	,	Z
silovanja	silovanje	Ncnsg
ili	ili	Cc
drugih	drugi	Mlompg
teških	težak	Agpmpgy
oblika	oblik	Ncmpg
psihološkog	psihološki	Agpnsgy
,	,	Z
fizičkog	fizički	Agpmsgy
ili	ili	Cc
spolnog	spolan	Agpnsgy
nasilja	nasilje	Ncnsg
,	,	Z
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
i	i	Cc
obveza	obveza	Ncfpg
iz	iz	Sg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Postupak	postupak	Ncmsn
prepoznavanja	prepoznavanje	Ncnsg
osobnih	osoban	Agpfpgy
okolnosti	okolnost	Ncfpg
tražitelja	tražitelj	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kontinuirano	kontinuirano	Rgp
provode	provoditi	Vmr3p
za	za	Sa
to	taj	Pd-nsa
osposobljeni	osposobiti	Appmpny
policijski	policijski	Agpmpny
službenici	službenik	Ncmpn
,	,	Z
djelatnici	djelatnik	Ncmpn
Ministarstva	ministarstvo	Ncnsg
i	i	Cc
drugih	drugi	Agpnpgy
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
od	od	Sg
izražene	izraziti	Agpfsgy
namjere	namjera	Ncfsg
do	do	Sg
uručenja	uručenje	Ncnsg
odluke	odluka	Ncfsg
o	o	Sl
zahtjevu	zahtjev	Ncmsl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Odredbe	odredba	Ncfpn
članaka	članak	Ncmpg
41.	41.	Mdo
i	i	Cc
42.	42.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
neće	htjeti	Var3s
se	sebe	Px--sa
primjenjivati	primjenjivati	Vmn
na	na	Sa
zahtjeve	zahtjev	Ncmpa
tražitelja	tražitelj	Ncmpg
kojima	koji	Pi-mpi
su	biti	Var3p
potrebna	potreban	Agpfsny
posebna	poseban	Agpnpny
postupovna	postupovni	Agpnpny
jamstva	jamstvo	Ncnpn
,	,	Z
osobito	osobito	Rgp
na	na	Sa
žrtve	žrtva	Ncfpa
mučenja	mučenje	Ncnsg
,	,	Z
silovanja	silovanje	Ncnsg
ili	ili	Cc
drugog	drugi	Mlomsg
teškog	težak	Agpmsgy
oblika	oblik	Ncmsg
psihološkog	psihološki	Agpmsgy
,	,	Z
fizičkog	fizički	Agpmsgy
ili	ili	Cc
spolnog	spolan	Agpnsgy
nasilja	nasilje	Ncnsg
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
pružiti	pružiti	Vmn
odgovarajuća	odgovarajući	Agpfsny
potpora	potpora	Ncfsn
.	.	Z

Djeca	dijete	Ncnpn

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Namjeru	namjera	Ncfsa
za	za	Sa
dijete	dijete	Ncnsa
izražava	izražavati	Vmr3s
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
djeteta	dijete	Ncnsg
obuhvaćen	obuhvatiti	Appmsnn
je	biti	Var3s
zahtjevom	zahtjev	Ncmsi
njegovog	njegov	Ps3msg
zakonskog	zakonski	Agpmsgy
zastupnika	zastupnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Dijete	dijete	Ncnsn
starije	staro	Rgc
od	od	Sg
16	16	Mdc
godina	godina	Ncfpg
koje	koji	Pi-fpa
je	biti	Var3s
u	u	Sl
braku	brak	Ncmsl
može	moći	Vmr3s
samostalno	samostalno	Rgp
sudjelovati	sudjelovati	Vmn
u	u	Sl
postupku	postupak	Ncmsl
odobrenja	odobrenje	Ncnsg
međunarodne	međunarodni	Agpfsgy
zaštite	zaštita	Ncfsg
.	.	Z

Djeca	dijete	Ncnpn
bez	bez	Sg
pratnje	pratnja	Ncfsg

Članak	članak	Ncmsn
17.	17.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Djetetu	dijete	Ncnsd
bez	bez	Sg
pratnje	pratnja	Ncfsg
,	,	Z
koji	koji	Pi-msn
izrazi	izraziti	Vmr3s
namjeru	namjera	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
33.	33.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
tijelo	tijelo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
imenuje	imenovati	Vmr3s
posebnog	poseban	Agpmsgy
skrbnika	skrbnik	Ncmsg
obučenog	obući	Appmsgy
za	za	Sa
rad	rad	Ncmsan
s	sa	Si
djecom	dijete	Ncnpi
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
sukobu	sukob	Ncmsl
interesa	interes	Ncmsg
s	sa	Si
djetetom	dijete	Ncnsi
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Dijete	dijete	Ncnsn
bez	bez	Sg
pratnje	pratnja	Ncfsg
mora	morati	Vmr3s
biti	biti	Van
odmah	odmah	Rgp
obaviješteno	obavijestiti	Appnsny
o	o	Sl
imenovanju	imenovanje	Ncnsl
posebnog	poseban	Agpmsgy
skrbnika	skrbnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
djetetu	dijete	Ncnsd
bez	bez	Sg
pratnje	pratnja	Ncfsg
starijem	star	Agcmsly
od	od	Sg
16	16	Mdc
godina	godina	Ncfpg
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
braku	brak	Ncmsl
neće	htjeti	Var3s
se	sebe	Px--sa
imenovati	imenovati	Vmn
posebni	poseban	Agpmsny
skrbnik	skrbnik	Ncmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Dijete	dijete	Ncnsn
bez	bez	Sg
pratnje	pratnja	Ncfsg
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan

