postaje	postajati	Vmr3s
(	(	Z
prikaz	prikaz	Ncmsn
slikom	slika	Ncfsi
1.	1.	Mdo
)	)	Z

Slika	slika	Ncfsn
1.	1.	Mdo
Rani	ran	Agpmpny
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa

1.	1.	Mdo
POLAZIŠTA	polazište	Ncnsg

Nacionalnoga	nacionalan	Agpmsgy
kurikuluma	kurikulum	Ncmsg
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa

Polazišta	polazište	Ncnpn
Nacionalnoga	nacionalan	Agpmsgy
kurikuluma	kurikulum	Ncmsg
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
su	biti	Var3p
postojeći	postojeći	Agpmpny
dokumenti	dokument	Ncmpn
,	,	Z
primjeri	primjer	Ncmpn
dobre	dobar	Agpfsgy
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
i	i	Cc
svijetu	svijet	Ncmsl
te	taj	Pd-fsg
znanstvene	znanstven	Agpfsgy
studije	studija	Ncfsg
o	o	Sl
dosezima	doseg	Ncmpl
svjetske	svjetski	Agpfsgy
,	,	Z
a	a	Cc
posebice	posebice	Rgp
hrvatske	hrvatski	Agpfsgy
teorije	teorija	Ncfsg
i	i	Cc
prakse	praksa	Ncfsg
u	u	Sl
području	područje	Ncnsl
institucijskoga	institucijski	Agpnsgy
ranog	ran	Agpnsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
,	,	Z
zatim	zatim	Rgp
kurikuluma	kurikulum	Ncmsg
ranog	ran	Agpmsgy
odgoja	odgoj	Ncmsg
te	te	Cc
o	o	Sl
dosezima	doseg	Ncmpl
u	u	Sl
području	područje	Ncnsl
inicijalnog	inicijalan	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
profesionalnog	profesionalan	Agpmsgy
razvoja	razvoj	Ncmsg
odgojitelja	odgojitelj	Ncmpg
i	i	Cc
drugih	drugi	Mlompg
stručnih	stručan	Agpmpgy
djelatnika	djelatnik	Ncmpg
vrtića	vrtić	Ncmpg
,	,	Z
[	[	Z
2	2	Mdc
]	]	Z
publicirani	publicirati	Appmpny
u	u	Sa
posljednjih	posljednji	Agpfpgy
dvadesetak	dvadesetak	Mls
godina	godina	Ncfpg
.	.	Z

Postojeći	postojeći	Agpmpny
dokumenti	dokument	Ncmpn

Nacionalni	nacionalan	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
polazi	polaziti	Vmr3s
od	od	Sg
sljedećih	sljedeći	Agpmpgy
dokumenata	dokument	Ncmpg
:	:	Z

•	•	Z
Programsko	programski	Agpnsny
usmjerenje	usmjerenje	Ncnsn
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
djece	dijete	Ncnpg
predškolske	predškolski	Agpfsgy
dobi	dob	Ncfsg
(	(	Z
1991.	1991.	Mdo
)	)	Z
[	[	Z
3	3	Mdc
]	]	Z

•	•	Z
Konvencija	konvencija	Ncfsn
o	o	Sl
pravima	pravo	Ncnpl
djeteta	dijete	Ncnsg
(	(	Z
2001.	2001.	Mdo
)	)	Z
[	[	Z
4	4	Mdc
]	]	Z

•	•	Agpmsny
Nacionalni	nacionalan	Agpmsny
okvirni	okviran	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
te	te	Cc
opće	opći	Agpfsgy
obvezno	obvezno	Rgp
i	i	Cc
srednjoškolsko	srednjoškolski	Agpnsay
obrazovanje	obrazovanje	Ncnsa
(	(	Z
2011.	2011.	Mdo
)	)	Z
[	[	Z
5	5	Mdc
]	]	Z

•	i	Agpfpay
Smjernice	smjernica	Ncfpa
za	za	Sa
strategiju	strategija	Ncfsa
obrazovanja	obrazovanje	Ncnsg
,	,	Z
znanosti	znanost	Ncfsg
i	i	Cc
tehnologije	tehnologija	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
(	(	Z
2012.	2012.	Mdo
)	)	Z
[	[	Z
6	6	Mdc
]	]	Z

•	•	Agpmsny
Priručnik	priručnik	Ncmsn
za	za	Sa
samovrednovanje	samovrednovanje	Ncnsa
ustanova	ustanova	Ncfpg
ranoga	ran	Agpmsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
(	(	Z
2012.	2012.	Mdo
)	)	Z
.	.	Z
[	[	Z
7	7	Mdc
]	]	Z

•	•	Z
Strategija	strategija	Ncfsn
obrazovanja	obrazovanje	Ncnsg
,	,	Z
znanosti	znanost	Ncfsg
i	i	Cc
tehnologije	tehnologija	Ncfsg
(	(	Z
2014.	2014.	Mdo
)	)	Z
.	.	Z
[	[	Z
8	8	Mdc
]	]	Z

Primjeri	primjer	Ncmpn
kvalitetne	kvalitetan	Agpfsgy
prakse	praksa	Ncfsg

Nacionalni	nacionalan	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
također	također	Rgp
polazi	polaziti	Vmr3s
od	od	Sg
primjera	primjer	Ncmsg
dobre	dobar	Agpfsgy
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
vrtića	vrtić	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

Primjeri	primjer	Ncmpn
dobre	dobar	Agpfsgy
prakse	praksa	Ncfsg
u	u	Sl
određenom	određen	Agpmsly
broju	broj	Ncmsl
vrtića	vrtić	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
prikazani	prikazati	Appmpny
i	i	Cc
opisani	opisati	Appmpny
u	u	Sl
nizu	niz	Ncmsl
stručnih	stručan	Agpmpgy
i	i	Cc
znanstvenih	znanstven	Agpfpgy
publikacija	publikacija	Ncfpg
domaćih	domaći	Agpmpgy
autora	autor	Ncmpg
,	,	Z
svjedoče	svjedočiti	Vmr3p
o	o	Sl
tome	taj	Pd-nsl
da	da	Cs
je	biti	Var3s
Nacionalni	nacionalan	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
u	u	Sl
hrvatskoj	hrvatski	Agpfsly
praksi	praksa	Ncfsl
ostvariv	ostvariv	Agpmsnn
,	,	Z
a	a	Cc
kvalitetan	kvalitetan	Agpmsnn
temelj	temelj	Ncmsn
njegove	njegov	Ps3fsg
implementacije	implementacija	Ncfsg
već	već	Rgp
postavljen	postaviti	Appmsnn
.	.	Z

Taj	taj	Pd-msn
je	biti	Var3s
temelj	temelj	Ncmsn
postavljen	postaviti	Appmsnn
sinergijom	sinergija	Ncfsi
teoretičara	teoretičar	Ncmpg
i	i	Cc
praktičara	praktičar	Ncmpg
ranog	ran	Agpmsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
u	u	Sl
procesu	proces	Ncmsl
višegodišnjega	višegodišnji	Agpnsgy
zajedničkog	zajednički	Agpnsgy
istraživanja	istraživanje	Ncnsg
i	i	Cc
razvoja	razvoj	Ncmsg
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
i	i	Cc
kurikuluma	kurikulum	Ncmsg
vrtića	vrtić	Ncmpg
,	,	Z
uglavnom	uglavnom	Rgp
participacijskim	participacijski	Agpnpiy
akcijskim	akcijski	Agpnply
istraživanjima	istraživanje	Ncnpl
.	.	Z

Iskustva	iskustvo	Ncnpa
vrtića	vrtić	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
posljednjih	posljednji	Agpfpgy
petnaestak	petnaestaa	Ncfpg
godina	godina	Ncfpg
predstavljali	predstavljati	Vmp-pm
»	»	Z
lučonoše	lučonoša	Ncmpn
«	«	Z
kvalitetne	kvalitetan	Agpfsgy
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
i	i	Cc
čije	čiji	Pi-mpa
kurikulume	kurikulum	Ncmpa
već	već	Rgp
obilježavaju	obilježavati	Vmr3p
humanističke	humanistički	Agpfpny
,	,	Z
sukonstruktivističke	sukonstruktivistička	Ncfpn
i	i	Cc
integrirane	integrirati	Appfsgy
značajke	značajka	Ncfsg
,	,	Z
mogu	moći	Vmr3p
predstavljati	predstavljati	Vmn
putokaz	putokaz	Ncmsan
razvoja	razvoj	Ncmsg
i	i	Cc
pružiti	pružiti	Vmn
vrijednu	vrijedan	Agpfsay
pomoć	pomoć	Ncfsa
drugim	drugi	Mlofpi
ustanovama	ustanova	Ncfpi
u	u	Sl
procesu	proces	Ncmsl
implementacije	implementacija	Ncfsg
Nacionalnoga	nacionalan	Agpmsgy
kurikuluma	kurikulum	Ncmsg
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
.	.	Z

U	u	Sl
tom	taj	Pd-msl
procesu	proces	Ncmsl
može	moći	Vmr3s
pomoći	pomoći	Vmn
i	i	Qo
djelovanje	djelovanje	Ncnsa
Centra	centar	Ncmsg
za	za	Sa
istraživanje	istraživanje	Ncnsa
djetinjstva	djetinjstvo	Ncnsg
pri	pri	Sl
Učiteljskome	učiteljski	Agpmsly
fakultetu	fakultet	Ncmsl
Sveučilišta	sveučilište	Ncnsg
u	u	Sl
Rijeci	Rijeka	Npfsl
,	,	Z
koji	koji	Pi-msn
sustavno	sustavno	Rgp
okuplja	okupljati	Vmr3s
zainteresirane	zainteresiran	Agpmpay
čimbenike	čimbenik	Ncmpa
iz	iz	Sg
područja	područje	Ncnsg
ranog	ran	Agpnsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
potiče	poticati	Vmr3s
razmjenu	razmjena	Ncfsa
primjera	primjer	Ncmpg
kvalitetne	kvalitetan	Agpfsgy
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
prakse	praksa	Ncfsg
i	i	Cc
kurikuluma	kurikulum	Ncmsg
.	.	Z

S	sa	Si
tim	taj	Pd-nsi
ciljem	cilj	Ncmsi
Centar	Centar	Npmsn
funkcionira	funkcionirati	Vmr3s
kao	kao	Cs
svojevrsni	svojevrstan	Agpmsny
poligon	poligon	Ncmsn
za	za	Sa
razvoj	razvoj	Ncmsan
»	»	Z
zajednice	zajednica	Ncfpa
teorijskog	teorijski	Agpmsgy
i	i	Cc
praktičnog	praktičan	Agpmsgy
rada	rad	Ncmsg
«	«	Z
i	i	Cc
omogućuje	omogućivati	Vmr3s
trajni	trajan	Agpmsayn
pristup	pristup	Ncmsan
praktičara	praktičar	Ncmpg
akademskoj	akademski	Agpfsly
zajednici	zajednica	Ncfsl
.	.	Z

Znanstvene	znanstven	Agpfpny
studije	studija	Ncfpn

•	•	Pi-nsg
iz	iz	Sg
područja	područje	Ncnsg
ranog	ran	Agpnsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg
i	i	Cc
obrazovanja	obrazovanje	Ncnsg
,	,	Z
kurikuluma	kurikulum	Ncmsg
ranog	ran	Agpmsgy
odgoja	odgoj	Ncmsg
te	te	Cc
inicijalnog	inicijalan	Agpnsgy
obrazovanja	obrazovanje	Ncnsg
i	i	Cc
profesionalnog	profesionalan	Agpmsgy
razvoja	razvoj	Ncmsg
odgojitelja	odgojitelj	Ncmpg

Nacionalni	nacionalan	Agpmsny
kurikulum	kurikulum	Ncmsn
za	za	Sa
rani	ran	Agpmsayn
i	i	Cc
predškolski	predškolski	Agpmsayn
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
prihvaća	prihvaćati	Ncmpg
postignuća	postignuće	Ncnsg
hrvatske	hrvatski	Agpfsgy
i	i	Cc
svjetske	svjetski	Agpfsgy
teorije	teorija	Ncfsg
i	i	Cc
prakse	praksa	Ncfsg
u	u	Sl
području	područje	Ncnsl
institucijskoga	institucijski	Agpnsgy
ranog	ran	Agpnsgy
i	i	Cc
predškolskog	predškolski	Agpmsgy
odgoja	odgoj	Ncmsg

