izvanrednim	izvanredan	Agpfpiy
odlukom	odluka	Ncfsi
suda	sud	Ncmsg
povjereno	povjeriti	Appnsny
ostvarivanje	ostvarivanje	Ncnsn
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
nad	nad	Si
djetetom	dijete	Ncnsi
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
roditelji	roditelj	Ncmpn
djeteta	dijete	Ncnsg
zajednički	zajednički	Rgp
ostvaruju	ostvarivati	Vmr3p
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
podnose	podnositi	Vmr3p
osobno	osobno	Rgp
oba	oba	Mls
roditelja	roditelj	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
djetetu	dijete	Ncnsd
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
jedan	jedan	Mlcmsn
od	od	Sg
roditelja	roditelj	Ncmpg
,	,	Z
uz	uz	Sa
izjavu	izjava	Ncfsa
da	da	Cs
će	htjeti	Var3s
drugi	drugi	Mlomsn
roditelj	roditelj	Ncmsn
osobno	osobno	Rgp
preuzeti	preuzeti	Vmn
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
drugi	drugi	Mlomsn
roditelj	roditelj	Ncmsn
iz	iz	Sg
stavka	stavak	Ncmsg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
spriječen	spriječiti	Appmsnn
osobno	osobno	Rgp
preuzeti	preuzeti	Vmn
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
,	,	Z
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
može	moći	Vmr3s
preuzeti	preuzeti	Vmn
roditelj	roditelj	Ncmsn
koji	koji	Pi-msn
je	biti	Var3s
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
uz	uz	Sa
pisanu	pisan	Agpfsay
suglasnost	suglasnost	Ncfsa
drugog	drugi	Mlomsg
roditelja	roditelj	Ncmsg
s	sa	Si
potpisom	potpis	Ncmsi
ovjerenim	ovjeriti	Appmsiy
kod	kod	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
ili	ili	Cc
nadležnog	nadležan	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
u	u	Sl
konzularnom	konzularan	Agpnsly
predstavništvu	predstavništvo	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ako	ako	Cs
se	sebe	Px--sa
ne	ne	Qz
nalazi	nalaziti	Vmr3s
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
a	a	Cc
drugi	drugi	Mlomsn
roditelj	roditelj	Ncmsn
će	htjeti	Var3s
moći	moći	Vmn
suglasnost	suglasnost	Ncfsa
dati	dati	Vmn
i	i	Cc
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
korištenjem	korištenje	Ncnsi
javnog	javan	Agpmsgy
servisa	servis	Ncmsg
izdavatelja	izdavatelj	Ncmsg
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
za	za	Sa
dostavu	dostava	Ncfsa
izjave	izjava	Ncfsg
o	o	Sl
suglasnosti	suglasnost	Ncfsl
ovjerene	ovjeriti	Ncfsg
elektroničkim	elektronički	Agpmsiy
potpisom	potpis	Ncmsi
,	,	Z
kad	kad	Rgp
za	za	Sa
to	taj	Pd-nsa
budu	biti	Var3p
ostvarene	ostvariti	Appfpny
pretpostavke	pretpostavka	Ncfpn
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
za	za	Sa
dijete	dijete	Ncnsa
može	moći	Vmr3s
samostalno	samostalno	Rgp
podnijeti	podnijeti	Vmn
jedan	jedan	Mlcmsn
od	od	Sg
roditelja	roditelj	Ncmpg
ako	ako	Cs
je	biti	Var3s
drugi	drugi	Mlomsn
roditelj	roditelj	Ncmsn
umro	umrijeti	Vmp-sm
ili	ili	Cc
je	biti	Var3s
proglašen	proglasiti	Appmsnn
umrlim	umrli	Agpmpiy
,	,	Z
ako	ako	Cs
je	biti	Var3s
lišen	lišiti	Appmsnn
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
ishođenje	ishođenje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
,	,	Z
ako	ako	Cs
na	na	Sl
temelju	temelj	Ncmsl
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
samostalno	samostalno	Rgp
ostvaruje	ostvarivati	Vmr3s
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
u	u	Sl
cijelosti	cijelost	Ncfsl
ili	ili	Cc
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
odnosno	odnosno	Rgp
ako	ako	Cs
drugom	drugi	Mlomsl
roditelju	roditelj	Ncmsl
miruje	mirovati	Vmr3s
ostvarivanje	ostvarivanje	Ncnsa
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
na	na	Sl
temelju	temelj	Ncmsl
sudske	sudski	Agpfsgy
odluke	odluka	Ncfsg
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavaka	stavak	Ncmpg
5.	5.	Mdo
i	i	Cc
6.	6.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
u	u	Sl
žurnim	žuran	Agpmply
slučajevima	slučaj	Ncmpl
,	,	Z
kada	kada	Cs
prijeti	prijetiti	Vmr3s
opasnost	opasnost	Ncfsn
za	za	Sa
dijete	dijete	Ncnsa
ili	ili	Cc
je	biti	Var3s
izdavanje	izdavanje	Ncnsn
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
u	u	Sl
osobitom	osobit	Agpmsly
interesu	interes	Ncmsl
djeteta	dijete	Ncnsg
,	,	Z
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
za	za	Sa
dijete	dijete	Ncnsa
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
i	i	Qo
izdanu	izdan	Agpfsay
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
može	moći	Vmr3s
preuzeti	preuzeti	Vmn
isti	isti	Agpmsayn
roditelj	roditelj	Ncmsan
uz	uz	Sa
pisanu	pisan	Agpfsay
suglasnost	suglasnost	Ncfsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
nadležnog	nadležan	Agpnsgy
prema	prema	Sl
mjestu	mjesto	Ncnsl
prebivališta	prebivalište	Ncnsg
odnosno	odnosno	Rgp
boravišta	boravište	Ncnsg
djeteta	dijete	Ncnsg
,	,	Z
a	a	Cc
ako	ako	Cs
dijete	dijete	Ncnsn
nema	nemati	Vmr3s
prebivalište	prebivalište	Ncnsa
odnosno	odnosni	Agpnsay
boravište	boravište	Ncnsa
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
,	,	Z
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
nadležnog	nadležan	Agpnsgy
prema	prema	Sl
sjedištu	sjedište	Ncnsl
tijela	tijelo	Ncnsg
kojem	koji	Pi-msd
je	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Za	za	Sa
osobu	osoba	Ncfsa
lišenu	lišiti	Appfsay
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
dijelu	dio	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
osobna	osoban	Agpnpay
stanja	stanje	Ncnpa
osobnu	osoban	Agpfsay
iskaznicu	iskaznica	Ncfsa
preuzima	preuzimati	Vmr3s
zakonski	zakonski	Agpmsny
zastupnik	zastupnik	Ncmsn
.	.	Z

Članak	članak	Ncmsn
11.	11.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
izdavanje	izdavanje	Ncnsa
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
prilaže	prilagati	Vmr3s
se	sebe	Px--sa
jedna	jedan	Mlcfsn
fotografija	fotografija	Ncfsn
propisane	propisati	Agpfsgy
veličine	veličina	Ncfsg
koja	koji	Pi-fsn
vjerno	vjerno	Rgp
prikazuje	prikazivati	Vmr3s
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
,	,	Z
bez	bez	Sg
pokrivala	pokrivalo	Ncnsg
za	za	Sa
glavu	glava	Ncfsa
te	te	Cc
se	sebe	Px--sa
daje	davati	Vmr3s
na	na	Sa
uvid	uvid	Ncmsan
prije	prije	Sg
izdana	izdati	Appfsny
osobna	osoban	Agpfsny
iskaznica	iskaznica	Ncfsn

