grupe	grupa	Ncfpa
promatranja	promatranje	Ncnsg
izbornog	izborni	Agpmsgy
postupka	postupak	Ncmsg
i	i	Cc
rada	rad	Ncmsg
izbornih	izborni	Agpnpgy
tijela	tijelo	Ncnpg
.	.	Z

Ako	ako	Cs
nadležno	nadležan	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
promatraču	promatrač	Ncmsd
nije	biti	Var3s
izdalo	izdati	Vmp-sn
iskaznicu	iskaznica	Ncfsa
,	,	Z
promatrač	promatrač	Ncmsn
će	htjeti	Var3s
se	sebe	Px--sa
identificirati	identificirati	Vmn
rješenjem	rješenje	Ncnsi
nadležnog	nadležan	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
i	i	Cc
javnom	javan	Agpfsiy
ispravom	isprava	Ncfsi
na	na	Sl
temelju	temelj	Ncmsl
koje	koji	Pi-mpa
se	sebe	Px--sa
može	moći	Vmr3s
nedvojbeno	nedvojbeno	Rgp
utvrditi	utvrditi	Vmn
identitet	identitet	Ncmsan
promatrača	promatrač	Ncmpg
.	.	Z

4.	4.	Mdo
Strani	stran	Agpmpny
promatrači	promatrač	Ncmpn

Međunarodne	međunarodni	Agpfpny
organizacije	organizacija	Ncfpn
koje	koji	Pi-fpn
djeluju	djelovati	Vmr3p
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
za	za	Sa
strane	stran	Agpmpay
promatrače	promatrač	Ncmpa
ili	ili	Cc
strani	stran	Agpmpny
promatrači	promatrač	Ncmpn
neposredno	neposredno	Rgp
,	,	Z
najkasnije	kasno	Rgs
5	5	Mdc
dana	dan	Ncmpg
prije	prije	Sg
održavanja	održavanje	Ncnsg
izbora	izbor	Ncmpg
dostavljaju	dostavljati	Vmr3p
Državnom	državni	Agpnsly
izbornom	izborni	Agpnsly
povjerenstvu	povjerenstvo	Ncnsl
zahtjev	zahtjev	Ncmsan
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
.	.	Z

Obrazac	obrazac	Ncmsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
dostupan	dostupan	Agpmsnn
je	biti	Var3s
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
–	–	Z
www.izbori.hr	www.izbori.hr	X
.	.	Z

Državno	državni	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
će	htjeti	Var3s
odobrenje	odobrenje	Ncnsn
za	za	Sa
promatranje	promatranje	Ncnsa
izbora	izbor	Ncmpg
bez	bez	Sg
odgode	odgoda	Ncfsg
dostaviti	dostaviti	Vmn
međunarodnoj	međunarodni	Agpfsly
organizaciji	organizacija	Ncfsl
ili	ili	Cc
stranom	stran	Agpmsly
promatraču	promatrač	Ncmsl
na	na	Sa
adresu	adresa	Ncfsa
naznačenu	naznačiti	Appfsay
u	u	Sl
zahtjevu	zahtjev	Ncmsl
.	.	Z

Državno	državni	Agpnsny
izborno	izborni	Agpnsny
povjerenstvo	povjerenstvo	Ncnsn
će	htjeti	Var3s
stranom	stran	Agpmsly
promatraču	promatrač	Ncmsl
kojem	koji	Pi-msd
je	biti	Var3s
izdalo	izdati	Vmp-sn
odobrenje	odobrenje	Ncnsn
za	za	Sa
promatranje	promatranje	Ncnsa
najkasnije	kasno	Rgs
3	3	Mdc
dana	dan	Ncmpg
prije	prije	Sg
održavanja	održavanje	Ncnsg
izbora	izbor	Ncmpg
izdati	izdati	Vmn
službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
.	.	Z

Strani	stran	Agpmsny
promatrač	promatrač	Ncmsn
kojem	koji	Pi-msl
je	biti	Var3s
od	od	Sg
strane	strana	Ncfsg
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
izdano	izdan	Agpnsny
odobrenje	odobrenje	Ncnsn
za	za	Sa
promatranje	promatranje	Ncnsa
i	i	Cc
službena	služben	Agpfsny
iskaznica	iskaznica	Ncfsn
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
predočiti	predočiti	Vmn
izbornom	izborni	Agpnsly
tijelu	tijelo	Ncnsl
čiji	čiji	Pi-msan
rad	rad	Ncmsan
promatra	promatrati	Vmr3s
.	.	Z

Ako	ako	Cs
stranom	stran	Agpmsdy
promatraču	promatrač	Ncmsd
nije	biti	Var3s
bila	biti	Vap-sf
uručena	uručiti	Appfsny
službena	služben	Agpfsny
iskaznica	iskaznica	Ncfsn
od	od	Sg
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
,	,	Z
tada	tada	Rgp
je	biti	Var3s
promatrač	promatrač	Ncmsn
dužan	dužan	Agpmsnn
izbornom	izborni	Agpnsly
tijelu	tijelo	Ncnsl
čiji	čiji	Pi-msn
rad	rad	Ncmsn
promatra	promatrati	Vmr3s
dati	dati	Vmn
na	na	Sa
uvid	uvid	Ncmsan
odobrenje	odobrenje	Ncnsa
za	za	Sa
promatranje	promatranje	Ncnsa
izdano	izdati	Appnsny
od	od	Sg
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
.	.	Z

Nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
izbornom	izborni	Agpnsly
tijelu	tijelo	Ncnsl
strani	stran	Agpmsny
promatrač	promatrač	Ncmsn
predočio	predočiti	Vmp-sm
odobrenje	odobrenje	Ncnsa
za	za	Sa
promatranje	promatranje	Ncnsa
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
,	,	Z
predsjednik	predsjednik	Ncmsn
ili	ili	Cc
zamjenik	zamjenik	Ncmsn
izbornog	izborni	Agpnsgy
tijela	tijelo	Ncnsg
uručit	uručiti	Vmn
će	htjeti	Var3s
promatraču	promatrač	Ncmsd
službenu	služben	Agpfsay
iskaznicu	iskaznica	Ncfsa
.	.	Z

IV	IV	Mrc
.	.	Z

PRAVA	prav	Agpfsny
I	i	Cc
OBVEZE	obveza	Ncfpa
PROMATRAČA	promatrač	Ncmpg

Pravo	pravo	Ncnsn
promatranja	promatranje	Ncnsg
izbora	izbor	Ncmpg
obuhvaća	obuhvaćati	Vmr3s
promatranje	promatranje	Ncnsa
cjelokupnog	cjelokupan	Agpmsgy
izbornog	izborni	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
a	a	Cc
osobito	osobit	Agpnsay
glasovanje	glasovanje	Ncnsa
,	,	Z
rad	rad	Ncmsn
izbornih	izborni	Agpnpgy
tijela	tijelo	Ncnpg
i	i	Cc
uvid	uvid	Ncmsan
u	u	Sa
cjelokupni	cjelokupan	Agpmsayn
izborni	izborni	Agpmsayn

