dužno	dužan	Agpnsny
države	država	Ncfsg
članice	članica	Ncfsg
potvrdi	potvrditi	Vmr3s
Agenciji	Agencija	Npmsd
da	da	Cs
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
preuzimatelj	preuzimatelj	Ncmsn
ima	imati	Vmr3s
potrebna	potreban	Agpnpay
prihvatljiva	prihvatljiv	Agpnpay
vlastita	vlastit	Agpnpay
sredstva	sredstvo	Ncnpa
za	za	Sa
pokriće	pokriće	Ncnsa
potrebnog	potreban	Agpmsgy
solventnog	solventan	Agpmsgy
kapitala	kapital	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
130.	130.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
jer	jer	Cs
u	u	Sl
protivnom	protivan	Agpmsly
takav	takav	Pd-msan
prijenos	prijenos	Ncmsan
nije	biti	Var3s
dopušten	dopustiti	Appmsnn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ako	ako	Cs
su	biti	Var3p
predmet	predmet	Ncmsn
prijenosa	prijenos	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
i	i	Cc
ugovori	ugovor	Ncmpn
sklopljeni	sklopiti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
prava	pravo	Ncnsg
poslovnog	poslovan	Agpmsgy
nastana	nastan	Ncmsg
ili	ili	Cc
na	na	Sl
temelju	temelj	Ncmsl
slobode	sloboda	Ncfsg
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
na	na	Sl
području	područje	Ncnsl
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
,	,	Z
za	za	Sa
izdavanje	izdavanje	Ncnsa
odobrenja	odobrenje	Ncnsg
za	za	Sa
taj	taj	Pd-msan
prijenos	prijenos	Ncmsan
potrebno	potreban	Agpnsny
je	biti	Var3s
da	da	Cs
Agencija	agencija	Ncfsn
dobije	dobiti	Vmr3s
suglasnost	suglasnost	Ncfsn
i	i	Cc
od	od	Sg
nadležnog	nadležan	Agpnsgy
nadzornog	nadzorni	Agpnsgy
tijela	tijelo	Ncnsg
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
su	biti	Var3p
ugovori	ugovor	Ncmpn
sklopljeni	sklopiti	Appmpny
na	na	Sl
temelju	temelj	Ncmsl
prava	pravo	Ncnsg
poslovnog	poslovan	Agpmsgy
nastana	nastan	Ncmsg
ili	ili	Cc
na	na	Sl
temelju	temelj	Ncmsl
slobode	sloboda	Ncfsg
pružanja	pružanje	Ncnsg
usluga	usluga	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ako	ako	Cs
nadležno	nadležan	Agpnsny
nadzorno	nadzorni	Agpnsny
tijelo	tijelo	Ncnsn
države	država	Ncfsg
članice	članica	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
ne	ne	Qz
dostavi	dostaviti	Vmr3s
Agenciji	agencija	Ncfsd
svoje	svoj	Px-nsa
mišljenje	mišljenje	Ncnsa
ili	ili	Cc
suglasnost	suglasnost	Ncfsn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
tri	tri	Mlc
mjeseca	mjesec	Ncmsg
od	od	Sg
dana	dan	Ncmpg
zaprimanja	zaprimanje	Ncnsg
zahtjeva	zahtjev	Ncmsg
Agencije	agencija	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
dalo	dati	Vmp-sn
svoju	svoj	Px-fsa
prešutnu	prešutan	Agpfsay
suglasnost	suglasnost	Ncfsa
za	za	Sa
prijenos	prijenos	Ncmsan
portfelja	portfelj	Ncmsg
osiguranja	osiguranje	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
prenositelj	prenositelj	Ncmsn
dužno	dužan	Agpnsny
je	biti	Var3s
nakon	nakon	Sg
ishođenja	ishođenje	Ncnsg
odobrenja	odobrenje	Ncnsg
za	za	Sa
prijenos	prijenos	Ncmsan
portfelja	portfelj	Ncmsg
osiguranja	osiguranje	Ncnsg
,	,	Z
bez	bez	Sg
odgađanja	odgađanje	Ncnsg
,	,	Z
o	o	Sl
prijenosu	prijenos	Ncmsl
portfelja	portfelj	Ncmsg
osiguranja	osiguranje	Ncnsg
obavijestiti	obavijestiti	Vmn
svakog	svaki	Pi-nsg
ugovaratelja	ugovaratelj	Ncmsg
osiguranja	osiguranje	Ncnsg
čiji	čiji	Pi-msn
je	biti	Var3s
ugovor	ugovor	Ncmsn
o	o	Sl
osiguranju	osiguranje	Ncnsl
prenesen	prenijeti	Appmsnn
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
86.	86.	Mdo
stavkom	stavak	Ncmsi
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
te	te	Cc
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
nacionalnim	nacionalan	Agpnsiy
pravom	pravo	Ncnsi
države	država	Ncfsg
članice	članica	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
nalazi	nalaziti	Vmr3s
rizik	rizik	Ncmsn
,	,	Z
odnosno	odnosno	Rgp
države	država	Ncfsg
članice	članica	Ncfsg
obveze	obveza	Ncfsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Za	za	Sa
prijenos	prijenos	Ncmsan
ugovora	ugovor	Ncmsg
o	o	Sl
osiguranju	osiguranje	Ncnsl
nije	biti	Var3s
potrebna	potreban	Agpfsny
suglasnost	suglasnost	Ncfsn
osiguranika	osiguranik	Ncmpg
,	,	Z
ali	ali	Cc
ugovaratelji	ugovaratelj	Ncmpn
osiguranja	osiguranje	Ncnsg
mogu	moći	Vmr3p
otkazati	otkazati	Vmn

