denominiranog	denominirati	Appmsgy
koje	koji	Pi-fpn
su	biti	Var3p
tijekom	tijekom	Sg
trajanja	trajanje	Ncnsg
ugovora	ugovor	Ncmsg
o	o	Sl
kreditu	kredit	Ncmsl
uvjetovale	uvjetovati	Vmp-pf
izmjenu	izmjena	Ncfsa
početno	početno	Rgp
utvrđenog	utvrditi	Agpmsgy
otplatnog	otplatni	Agpmsgy
plana	plan	Ncmsg
i	i	Cc
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmpg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Pi-mpn
ako	ako	Cs
iznose	iznositi	Vmr3p
uplaćene	uplatiti	Appfpny
radi	radi	Sg
namirenja	namirenje	Ncnsg
početno	početno	Rgp
utvrđenih	utvrditi	Agpmpgy
obroka	obrok	Ncmpg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmpg
u	u	Sl
CHF	CH	Npmsl
i	i	Cc
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sl
CHF	CH	Npmsl
(	(	Z
izuzev	izuzev	Rgp
uplata	uplata	Ncfsn
na	na	Sa
ime	ime	Ncnsa
naplaćenih	naplatiti	Agpfpgy
zateznih	zatezni	Agpfpgy
kamata	kamata	Ncfpg
,	,	Z
naknada	naknada	Ncfsn
i	i	Cc
troškova	trošak	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
ne	ne	Qz
uzimaju	uzimati	Vmr3p
u	u	Sa
obzir	obzir	Ncmsan
za	za	Sa
potrebe	potreba	Ncfpa
izračuna	izračun	Ncmsg
konverzije	konverzija	Ncfsg
)	)	Z
ne	ne	Qz
pretvori	pretvoriti	Vmr3s
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
u	u	Sa
valutnu	valutni	Agpfsay
klauzulu	klauzula	Ncfsa
u	u	Sa
EUR	EUR	Ncmsan
po	po	Sl
tečaju	tečaj	Ncmsl
primjenjivom	primjenjiv	Agpmsly
na	na	Sa
datum	datum	Ncmsan
uplate	uplata	Ncfsg
,	,	Z
a	a	Cc
koji	koji	Pi-msn
tečaj	tečaj	Ncmsn
je	biti	Var3s
jednak	jednak	Agpmsnn
tečaju	tečaj	Ncmsd
one	onaj	Pd-fsg
vrste	vrsta	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
vjerovnik	vjerovnik	Ncmsn
na	na	Sa
taj	taj	Pd-msan
datum	datum	Ncmsan
primjenjivao	primjenjivati	Vmp-sm
na	na	Sa
kredite	kredit	Ncmpa
iste	isti	Agpfsgy
vrste	vrsta	Ncfsg
i	i	Cc
trajanja	trajanje	Ncnsg
denominirane	denominirati	Appfpny
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
denominirane	denominirati	Appfpny
u	u	Sl
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
EUR	EUR	Ncmsan
s	sa	Si
time	taj	Pd-nsi
da	da	Cs
takvi	takav	Pd-mpn
iznosi	iznositi	Vmr3s
pretvoreni	pretvoriti	Appmpny
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
valutnu	valutni	Agpfsay
klauzulu	klauzula	Ncfsa
u	u	Sa
EUR	EUR	Ncmsan
predstavljaju	predstavljati	Vmr3p
osnovu	osnova	Ncfsa
za	za	Sa
namirenje	namirenje	Ncnsa
obroka	obrok	Ncmpg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Ncmsan
utvrđenih	utvrditi	Appmpgy
po	po	Sl
novom	nov	Agpmsly
otplatnom	otplatni	Agpmsly
planu	plan	Ncmsl
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
se	sebe	Px--sa
poštuje	poštovati	Vmr3s
redoslijed	redoslijed	Ncmsn
namirenja	namirenje	Ncnsg
dospjelih	dospjeli	Agpfpgy
obveza	obveza	Ncfpg
sukladno	sukladno	Rgp
općim	opći	Agpmpiy
uvjetima	uvjet	Ncmpi
vjerovnika	vjerovnik	Ncmpg
,	,	Z
ali	ali	Cc
ne	ne	Qz
obračunavaju	obračunavati	Vmr3p
zatezne	zatezni	Agpfpny
kamate	kamata	Ncfpn
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Z
ako	ako	Cs
ukupni	ukupan	Agpmsny
uplaćeni	uplatiti	Agpmsny
iznos	iznos	Ncmsn
utvrđen	utvrditi	Appmsnn
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
,	,	Z
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
4.	4.	Mdo
ovoga	ovaj	Ncmsg
Zakona	zakon	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
veći	velik	Agcmsny
od	od	Sg
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
obroka	obrok	Ncmsg
ili	ili	Cc
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
utvrđenih	utvrditi	Appmpgy
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
kao	kao	Cs
preplatu	preplata	Ncfsa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
iznos	iznos	Ncmsn
preplate	preplata	Ncfsg
koji	koji	Pi-msn
ne	ne	Qz
prelazi	prelaziti	Vmr3s
ukupni	ukupan	Agpmsayn
zbroj	zbroj	Ncmsan
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
preostalih	preostao	Agpfpgy
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
prema	prema	Sl
otplatnom	otplatni	Agpmsly
planu	plan	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ne	ne	Qz
koristi	koristiti	Vmr3s
za	za	Sa
namirenje	namirenje	Ncnsa
budućih	budući	Agpmpgy
obroka	obrok	Ncmpg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
koji	koji	Pi-msan
će	htjeti	Var3p
dospjeti	dospjeti	Vmn
na	na	Sa
način	način	Ncmsan
da	da	Cs
se	sebe	Px--sa
kod	kod	Sg
plaćanja	plaćanje	Ncnsg
budućeg	budući	Agpmsgy
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmpg
koji	koji	Pi-mpn
će	htjeti	Var3p
dospjeti	dospjeti	Vmn
iznos	iznos	Ncmsan
do	do	Sg
najviše	mnogo	Rgs
50	50	Mdc
%	%	Z
dospjelog	dospjeli	Agpmsgy
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
može	moći	Vmr3s
zatvoriti	zatvoriti	Vmn
preplatom	preplata	Ncfsi
,	,	Z
sve	sve	Qo
dok	dok	Cs

se	sebe	Px--sa
preplata	preplata	Ncfsn
u	u	Sl
potpunosti	potpunost	Ncfsl
ne	ne	Qz
iskoristi	iskoristiti	Vmr3s
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfsl
5.	5.	Mdo
podtočki	podtočka	Ncfsl
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
iznos	iznos	Ncmsn
preplate	preplata	Ncfsg
koji	koji	Pi-msn
prelazi	prelaziti	Vmr3s
ukupni	ukupan	Agpmsayn
zbroj	zbroj	Ncmsan
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
preostalih	preostao	Agpfpgy
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
prema	prema	Sl
otplatnom	otplatni	Agpmsly
planu	plan	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ne	ne	Qz
vrati	vratiti	Vmr3s
potrošaču	potrošač	Ncmsd
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
60	60	Mdc
dana	dan	Ncmpg
od	od	Sg
datuma	datum	Ncmsg
prihvata	prihvat	Ncmsg
konverzije	konverzija	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfsl
5.	5.	Mdo
podtočki	podtočka	Ncfsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Z
ako	ako	Cs
ukupni	ukupan	Agpmsny
uplaćeni	uplatiti	Agpmsny
iznos	iznos	Ncmsn
utvrđen	utvrditi	Appmsnn
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Ncmsan
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Ncmsg
točke	točka	Ncfpa
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
manji	mali	Agcmsny
od	od	Sg
ukupnog	ukupan	Agpmsgy
iznosa	iznos	Ncmsg
obroka	obrok	Ncmsg
odnosno	odnosno	Rgp
anuiteta	anuitet	Ncmsg
u	u	Sa
EUR	EUR	Npmsan
i	i	Cc
valutnoj	valutni	Agpfsly
klauzuli	klauzula	Ncfsl
u	u	Sa
EUR	EUR	Npmsan
utvrđenih	utvrditi	Appmpgy
na	na	Sa
način	način	Ncmsan
iz	iz	Sg
članka	članak	Ncmsg
19.	19.	Mdo
c	C	Xf
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
ne	ne	Qz
sklopi	sklopiti	Vmr3s
sporazum	sporazum	Ncmsan
s	sa	Si
potrošačem	potrošač	Ncmsi
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
6.	6.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
iznos	iznos	Ncmsan
preostale	preostao	Agpfsgy
neotplaćene	neotplaćen	Agpfsgy
glavnice	glavnica	Ncfsg
u	u	Sa
EUR	EUR	Ncmsan
i	i	Cc
kunama	kuna	Ncfpl
s	sa	Si
valutnom	valutni	Agpfsiy
klauzulom	klauzula	Ncfsi
u	u	Sa
EUR	EUR	Npmsan
na	na	Sa
dan	dan	Ncmsan
30.	30.	Mdo
rujna	rujan	Ncmsg
2015.	2015.	Mdo
,	,	Z
kao	kao	Cs
razliku	razlika	Ncfsa
novog	nov	Agpmsgy
otplatnog	otplatni	Agpmsgy
plana	plan	Ncmsg
utvrđenog	utvrditi	Appmsgy
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
i	i	Cc
uplaćenih	uplatiti	Appmpgy
iznosa	iznos	Ncmpg
utvrđenih	utvrditi	Appmpgy
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
4.	4.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
članku	članak	Ncmsd
19.	19.	Mdo
c	C	X
stavku	stavka	Ncfsa
1.	1.	Mdo
točki	točka	Ncfpg
7.	7.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Pq3n-n
ako	ako	Cs
ne	ne	Qz
utvrdi	utvrditi	Vmr3s
učinak	učinak	Ncmsan
konverzije	konverzija	Ncfsg
na	na	Sa
način	način	Ncmsan
propisan	propisati	Appmsnn
u	u	Sl
članku	članak	Ncmsl
19.	19.	Mdo
c	C	Agpmsly
stavku	stavak	Ncmsl
1.	1.	Mdo
točki	točka	Ncfpg
8.	8.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

–	–	Z
ako	ako	Cs
u	u	Sl
propisanom	propisati	Agpmsly
roku	rok	Ncmsl
ne	ne	Qz
izradi	izraditi	Vmr3s
kalkulator	kalkulator	Ncmsan
i	i	Cc
ne	ne	Qz
učini	učiniti	Vmr3s
ga	on	Pp3msa
dostupnim	dostupan	Agpmsiy
svakom	svaki	Pi-msl
pojedinom	pojedini	Agpmsly
potrošaču	potrošač	Ncmsl
putem	put	Sg
svoje	svoj	Px-fsg
mrežne	mrežni	Agpfsgy
stranice	stranica	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
19.	19.	Mdo
d	d	X
stavku	stavka	Ncfsa

