razine	razina	Ncfpa
s	sa	Si
člancima	članak	Ncmpi
312.	312.	Mdo
i	i	Cc
340.	340.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

4.	4.	Mdo
davanje	davanje	Ncnsn
suglasnosti	suglasnost	Ncfsg
društvu	društvo	Ncnsd
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosno	Rgp
društvu	društvo	Agpnsny
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
da	da	Cs
se	sebe	Px--sa
na	na	Sa
isto	isto	Rgp
primjenjuju	primjenjivati	Vmr3p
članci	članak	Ncmpn
322.	322.	Mdo
i	i	Cc
323.	323.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
320.	320.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

5.	5.	Mdo
provjeru	provjera	Ncfsa
istovjetnosti	istovjetnost	Ncfsg
iz	iz	Sg
članaka	članak	Ncmpg
342.	342.	Mdo
i	i	Cc
343.	343.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

6.	6.	Mdo
primjenu	primjena	Ncfsa
prijelaznih	prijelazan	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
454.	454.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Agencija	agencija	Ncfsn
će	htjeti	Var3s
u	u	Sl
rješenjima	rješenje	Ncnpl
iz	iz	Sg
stavaka	stavak	Ncmpg
2.	2.	Mdo
–	–	Z
4.	4.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kojima	koji	Pi-fpi
daje	davati	Vmr3s
odobrenje	odobrenje	Ncnsa
ili	ili	Cc
suglasnost	suglasnost	Ncfsn
utvrditi	utvrditi	Vmn
da	da	Cs
je	biti	Var3s
društvo	društvo	Ncnsn
za	za	Sa
osiguranje	osiguranje	Ncnsa
odnosno	odnosni	Agpnsay
društvo	društvo	Ncnsa
za	za	Sa
reosiguranje	reosiguranje	Ncnsa
ovlašteno	ovlastiti	Appnsny
postupati	postupati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
danim	dan	Agpnsiy
odobrenjem	odobrenje	Ncnsi
ili	ili	Cc
suglasnosti	suglasnost	Ncfsg
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo

Stupanje	stupanje	Ncnsn
na	na	Sa
snagu	snaga	Ncfsa

Članak	članak	Ncmsn
464.	464.	Mdo

Ovaj	ovaj	Pd-msn
Zakon	zakon	Ncmsn
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
stupa	stupati	Vmr3s
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2016.	2016.	Mdo
,	,	Z
osim	osim	Sg
članaka	članak	Ncmpg
111.	111.	Mdo
,	,	Z
112.	112.	Mdo
,	,	Z
113.	113.	Mdo
i	i	Cc
124.	124.	Mdo
,	,	Z
članka	članak	Ncmsg
125.	125.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
,	,	Z
članka	članak	Ncmsg
135.	135.	Mdo
stavka	stavak	Ncmsg
7.	7.	Mdo
,	,	Z
članaka	članak	Ncmpg
143.	143.	Mdo
,	,	Z
144.	144.	Mdo
,	,	Z
298.	298.	Mdo
–	–	Z
302.	302.	Mdo
,	,	Z
članka	članak	Ncmsg
311.	311.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
članaka	članak	Ncmpg
315.	315.	Mdo
i	i	Cc
316.	316.	Mdo
,	,	Z
članka	članak	Ncmsg
318.	318.	Mdo
stavka	stavak	Ncmsg
5.	5.	Mdo
,	,	Z
članaka	članak	Ncmpg
329.	329.	Mdo
,	,	Z
330.	330.	Mdo
,	,	Z
455.	455.	Mdo
,	,	Z
456.	456.	Mdo
i	i	Cc
463	463	Mdc
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmpg
koji	koji	Pi-mpn
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
travnja	travanj	Ncmsg
2015.	2015.	Mdo
i	i	Cc
članaka	članak	Ncmpg
305.	305.	Mdo
i	i	Cc
312.	312.	Mdo
,	,	Z
članka	članak	Ncmsg
313.	313.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
,	,	Z
članaka	članak	Ncmpg
320.	320.	Mdo
,	,	Z
322.	322.	Mdo
,	,	Z
323.	323.	Mdo
,	,	Z
340.	340.	Mdo
,	,	Z
342.	342.	Mdo
,	,	Z
343.	343.	Mdo
i	i	Cc
454.	454.	Mdo
ovoga	ovaj	Pd-nsg
Zakona	zakon	Ncmsg
koji	koji	Pi-mpn
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
1.	1.	Mdo
srpnja	srpanj	Ncmsg
2015.	2015.	Mdo

Klasa	klasa	Ncfsn
:	:	Z
022	022	Mdc
-	-	Z
03/15	03/15	Mdc
-	-	Z
01/24	01/24	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
6.	6.	Mdo
ožujka	ožujak	Ncmsg
2015.	2015.	Mdo

HRVATSKI	hrvatski	Agpmsny
SABOR	sabor	Ncmsn

Predsjednik	predsjednik	Ncmsn
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
Josip	Josip	Npmsn
Leko	Leko	Npmsn
,	,	Z
v.	v.	Y
r.	r.	Y

