ovlasti	ovlast	Ncfpa
/	/	Z
11	11	Mdc
za	za	Sa
optuženika	optuženik	Ncmsay
blaži	blag	Agcmsny
od	od	Sg
KZ	KZ	Npfsg
/	/	Z
97	97	Mdc
,	,	Z
time	taj	Pd-nsi
da	da	Cs
je	biti	Var3s
sud	sud	Ncmsn
u	u	Sl
tom	taj	Pd-msl
slučaju	slučaj	Ncmsl
vezan	vezan	Agpmsnn
onim	onaj	Pd-msi
maksimumom	maksimum	Ncmsi
propisane	propisati	Agpfsgy
kazne	kazna	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
za	za	Sa
optuženika	optuženik	Ncmsay
povoljniji	povoljan	Agcmsny
(	(	Z
članak	članak	Ncmsn
337.	337.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
KZ	KZ	Npmsan
/	/	Z
97	97	Mdc
)	)	Z
.	.	Z
«	«	Z

55.1.	55.1.	Mdo

Kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
odnosu	odnos	Ncmsl
članka	članak	Ncmsg
222.	222.	Mdo
(	(	Z
215.	215.	Mdo
)	)	Z
stavka	stavak	Ncmsg
4.	4.	Mdo
KZRH-a	kzrh-a	Ncfsg
/	/	Z
77	77	Mdc
-	-	Z
91	91	Mdc
,	,	Z
u	u	Sl
tekstu	tekst	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
bio	biti	Vap-sm
na	na	Sl
snazi	snaga	Ncfsl
od	od	Sg
20.	20.	Mdo
travnja	travanj	Ncmsg
1996.	1996.	Mdo
do	do	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
1998.	1998.	Mdo
(	(	Z
to	taj	Pd-nsn
jest	biti	Var3s
nakon	nakon	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ZID-a	ZID	Npmsg
KZRH	KZRH	Npmsan
/	/	Z
77	77	Mdc
-	-	Z
96	96	Mdc
–	–	Z
članak	članak	Ncmsn
24.	24.	Mdo
)	)	Z
i	i	Cc
članka	članak	Ncmsg
291.	291.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
KZ-a	KZ	Npmsg
/	/	Z
11	11	Mdc
,	,	Z
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
je	biti	Var3s
u	u	Sl
presudi	presuda	Ncfsl
broj	broj	Ncmsn
:	:	Z
I	i	Cc
Kž	Kž	Y
296/12	296/12	Mdc
-	-	Z
6	6	Mdc
od	od	Sg
20.	20.	Mdo
studenoga	studeni	Ncmsg
2013.	2013.	Mdo
zauzeo	zauzeti	Vmp-sm
stajalište	stajalište	Ncnsa
istovjetno	istovjetan	Agpnsay
prethodnom	prethodan	Agpnsay
,	,	Z
uz	uz	Sa
neznatno	neznatno	Rgp
izmijenjenu	izmijeniti	Appfsay
argumentaciju	argumentacija	Ncfsa
.	.	Z

Mjerodavni	mjerodavan	Agpmsny
dio	dio	Ncmsn
te	taj	Pd-fsg
presude	presuda	Ncfsg
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
Republike	republika	Ncfsg
Hrvatske	hrvatski	Agpfsgy
je	biti	Var3s
,	,	Z
sukladno	sukladan	Agpnsny
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
3.	3.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
,	,	Z
utvrdio	utvrditi	Vmp-sm
postojanje	postojanje	Ncnsa
pravnog	pravni	Agpmsgy
kontinuiteta	kontinuitet	Ncmsg
između	između	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
protiv	protiv	Sg
službene	služben	Agpfsgy
dužnosti	dužnost	Ncfsg
i	i	Cc
javnih	javan	Agpnpgy
ovlaštenja	ovlaštenje	Ncnpg
–	–	Z
zloupotreba	zloupotreba	Ncfsn
položaja	položaj	Ncmsg
i	i	Cc
ovlaštenja	ovlaštenje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
215.	215.	Mdo
stavak	stavak	Ncmsn
4.	4.	Mdo
KZRH	KZRH	Npfsg
i	i	Cc
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
protiv	protiv	Sg
službene	služben	Agpfsgy
dužnosti	dužnost	Ncfsg
–	–	Z
zlouporaba	zlouporaba	Ncfsn
položaja	položaj	Ncmsg
i	i	Cc
ovlasti	ovlast	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Y
/	/	Z
11.	11.	Mdo

Prema	prema	Sl
mišljenju	mišljenje	Ncnsl
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
KZ	KZ	Npfsg
/	/	Z
11	11	Mdc
je	biti	Var3s
blaži	blag	Agcmsny
za	za	Sa
optuženika	optuženik	Ncmsay
pa	pa	Cc
ga	on	Pp3msa
je	biti	Var3s
,	,	Z
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
,	,	Z
valjalo	valjati	Vmp-sn
primijeniti	primijeniti	Vmn
sukladno	sukladno	Rgp
odredbi	odredba	Ncfsl
članka	članak	Ncmsg
3.	3.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
težoj	težak	Ncfsl
zapriječenoj	zapriječiti	Appfsly
kazni	kazna	Ncfsl
zatvora	zatvor	Ncmsg
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
jedne	jedan	Mlcfsg
do	do	Sg
dvanaest	dvanaest	Mlc
godina	godina	Ncfpg
.	.	Z

To	taj	Pd-nsn
stoga	stoga	Cs
što	što	Cs
su	biti	Var3p
pravnim	pravni	Agpnsiy
shvaćanjem	shvaćanje	Ncnsi
Kaznenog	kazneni	Agpmsgy
odjela	odjel	Ncmsg
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
broj	broj	Ncmsn
Su-IV	su-ia	Ncfsg
K-4	K-4	X
/	/	Z
2012	2012	Mdc
-	-	Z
7	7	Mdc
izmijenjene	izmijeniti	Agpfsgy
visine	visina	Ncfsg
neodređenih	neodređen	Agpfpgy
vrijednosti	vrijednost	Ncfpg
zakonskih	zakonski	Agpnpgy
obilježja	obilježje	Ncnpg
kaznenih	kazneni	Agpnpgy
djela	djelo	Ncnpg
pa	pa	Cc
,	,	Z
tako	tako	Rgp
,	,	Z
zakonsko	zakonski	Agpnsny
obilježje	obilježje	Ncnsn
‘	‘	Z
znatna	znatan	Agpfsny
imovinska	imovinski	Agpfsny
korist	korist	Ncfsn
’	’	Z
,	,	Z
odnosno	odnosno	Rgp
‘	‘	Z
znatna	znatan	Agpfsny
šteta	šteta	Ncfsn
’	’	Z
kod	kod	Sg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
291.	291.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
KZ	KZ	Npfsn
/	/	Z
11	11	Mdc
postoji	postojati	Vmr3s
kad	kad	Cs
vrijednost	vrijednost	Ncfsn
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
,	,	Z
odnosno	odnosno	Rgp
štete	šteta	Ncfsg
prelazi	prelaziti	Vmr3s
60.000,00	60.000,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
za	za	Sa
optuženika	optuženik	Ncmsay
povoljnije	povoljno	Rgc
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
vrijednost	vrijednost	Ncfsa
zakonskog	zakonski	Agpnsgy
obilježja	obilježje	Ncnsg
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
od	od	Sg
preko	preko	Sg
27.500,00	27.500,00	Mdc
kuna	kuna	Ncfpg
,	,	Z
važećeg	važeći	Agpnsgy
u	u	Sa
vrijeme	vrijeme	Ncnsa
počinjenja	počinjenje	Ncnsg
djela	djelati	Vmr3s
,	,	Z
jer	jer	Cs
se	sebe	Px--sa
primjenom	primjena	Ncfsi
novih	nov	Agpmpgy
iznosa	iznos	Ncmpg
neodređenih	neodređen	Agpfpgy
vrijednosti	vrijednost	Ncfpg
zakonskih	zakonski	Agpnpgy
obilježja	obilježje	Ncnpg
u	u	Sl
konkretnom	konkretan	Agpmsly
slučaju	slučaj	Ncmsl
bitno	bitno	Rgp
smanjuje	smanjivati	Vmr3s
kriminalna	kriminalan	Agpfsny
količina	količina	Ncfsn
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
,	,	Z
time	taj	Pd-nsi
da	da	Cs
je	biti	Var3s
sud	sud	Ncmsn
vezan	vezan	Agpmsnn
najvišom	visok	Ncfsi
zapriječenom	zapriječiti	Agpfsiy
kaznom	kazna	Ncfsi
od	od	Sg
deset	deset	Mlc
godina	godina	Ncfpg
,	,	Z
propisanom	propisati	Agpmsiy
zakonom	zakon	Ncmsi
koji	koji	Pi-msn
je	biti	Var3s
bio	biti	Vap-sm
na	na	Sl
snazi	snaga	Ncfsl
u	u	Sa
vrijeme	vrijeme	Ncnsa
počinjenja	počinjenje	Ncnsg
djela	djelo	Ncnsg
.	.	Z
«	«	Z

55.2.	55.2.	Mdo

Sličan	sličan	Agpmsann
pristup	pristup	Ncmsan
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
članku	članak	Ncmsd
222.	222.	Mdo
(	(	Z
215.	215.	Mdo
)	)	Z
stavku	stavak	Ncmsl
4.	4.	Mdo
KZRH-a	kzrh-	Ncmsg
/	/	Z
77	77	Mdc
-	-	Z
91	91	Mdc
i	i	Cc
članku	članak	Ncmsl
291.	291.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
KZ-a	kz-	Ncmsg
/	/	Z
11	11	Mdc
vidljiv	vidljiv	Agpmsnn
je	biti	Var3s
i	i	Qo
u	u	Sl
presudi	presuda	Ncfsl
broj	broj	Ncmsan
:	:	Z
I	i	Cc
Kž	Kž	Y
278/13	278/13	Mdc
-	-	Z
4	4	Mdc
od	od	Sg
16.	16.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo
(	(	Z
v.	v.	Mro
i	i	Cc
odluku	odluka	Ncfsa
Ustavnog	ustavan	Agpmsgy
suda	sud	Ncmsg
broj	broj	Ncmsn
:	:	Z
U-III-6005	U-III-6005	X
/	/	Z
2013	2013	Mdc
od	od	Sg
20.	20.	Mdo
veljače	veljača	Ncfsg
2014.	2014.	Mdo
)	)	Z
.	.	Z

Pri	pri	Sl
tome	taj	Pd-nsl
,	,	Z
čini	činiti	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
u	u	Sl
ovom	ovaj	Pd-msl
predmetu	predmet	Ncmsl
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
počinjeno	počiniti	Appnsny
1993.	1993.	Mdo
(	(	Z
ili	ili	Cc
1994.	1994.	Mdo
)	)	Z
godine	godina	Ncfsg
,	,	Z
ali	ali	Cc
je	biti	Var3s
na	na	Sa
taj	taj	Pd-msan
predmet	predmet	Ncmsan
–	–	Z
sudeći	suditi	Rr
prema	prema	Sl
iznosu	iznos	Ncmsl
imovinske	imovinski	Agpfsgy
koristi	korist	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
u	u	Sl
njoj	on	Pp3fsl
spominje	spominjati	Vmr3s
–	–	Z
primijenjen	primijeniti	Appmsnn
članak	članak	Ncmsn
222.	222.	Mdo
(	(	Z
215.	215.	Mdo
)	)	Z
stavak	stavak	Ncmsan
4.	4.	Mdo
KZRH-a	kzrh-	Ncmsg
/	/	Z
77	77	Mdc
-	-	Z
91	91	Mdc
u	u	Sl
tekstu	tekst	Ncmsl
koji	koji	Pi-msn
je	biti	Var3s
bio	biti	Vap-sm
na	na	Sl
snazi	snaga	Ncfsl
od	od	Sg
20.	20.	Mdo
travnja	travanj	Ncmsg
1996.	1996.	Mdo
do	do	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
1998.	1998.	Mdo

Ustavni	ustavan	Agpmsny
sud	sud	Ncmsn
ograničava	ograničavati	Vmr3s
se	sebe	Px--sa
na	na	Sa
navođenje	navođenje	Ncnsa
dijela	dio	Ncmsg
presude	presuda	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
obrazloženje	obrazloženje	Ncnsa
primjene	primjena	Ncfsg
blažeg	blag	Agcmsgy
zakona	zakon	Ncmsg
:	:	Z

»	»	Z
Optuženik	optuženik	Ncmsn
ne	ne	Qz
obrazlaže	obrazlagati	Vmr3s
niti	niti	Qo
žalbenu	žalbeni	Agpfsay
osnovu	osnova	Ncfsa
povredu	povreda	Ncfsa
kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
pa	pa	Cc
je	biti	Var3s
i	i	Qo
u	u	Sl
tom	taj	Pd-msl
pravcu	pravac	Ncmsl
presuda	presuda	Ncfsn
ispitana	ispitati	Appfsny
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
na	na	Sl
temelju	temelj	Ncmsl
čl.	čla	Ncfsg

