dvojnom	dvojni	Agpfsiy
za	za	Sa
obuku	obuka	Ncfsa
tijekom	tijekom	Sg
korištenja	korištenje	Ncnsg
lovačkog	lovački	Agpnsgy
ili	ili	Cc
sportskog	sportski	Agpnsgy
oružja	oružje	Ncnsg
.	.	Z

ML15	ML15	Mdm
.	.	Z

Oprema	oprema	Ncfsn
za	za	Sa
prikaz	prikaz	Ncmsan
slike	slika	Ncfsg
ili	ili	Cc
za	za	Sa
protumjere	protumjera	Ncfpa
,	,	Z
kako	kako	Cs
slijedi	slijediti	Vmr3s
,	,	Z
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
i	i	Cc
za	za	Sa
nju	on	Pp3fsa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
te	te	Cc
pribor	pribor	Ncmsn
:	:	Z

a.	a.	Y
oprema	opremati	Vmr3s
za	za	Sa
snimanje	snimanje	Ncnsa
i	i	Cc
obradu	obrada	Ncfsa
slike	slika	Ncfsg
;	;	Z

b.	b.	Mdo
kamere	kamera	Ncfsg
,	,	Z
oprema	oprema	Ncfsn
za	za	Sa
fotografiranje	fotografiranje	Ncnsa
i	i	Cc
obradu	obrada	Ncfsa
filma	film	Ncmsg
;	;	Z

c.	c	Agpfpgy
oprema	oprema	Ncfpg
s	sa	Si
pojačalom	pojačalo	Ncnsi
slike	slika	Ncfsg
;	;	Z

d.	d.	Y
oprema	opremati	Vmr3s
za	za	Sa
prikaz	prikaz	Ncmsan
infracrvene	infracrven	Agpfsgy
ili	ili	Cc
termičke	termički	Agpfsgy
slike	slika	Ncfsg
;	;	Z

e.	e.	Y
radarsko-senzorska	radarsko-senzorski	Agpfsny
oprema	oprema	Ncfsn
za	za	Sa
prikaz	prikaz	Ncmsan
slike	slika	Ncfsg
;	;	Z

f.	f.	Y
oprema	opremati	Vmr3s
za	za	Sa
protumjere	protumjera	Ncfpa
ili	ili	Cc
protu-protumjere	protu-protumjera	Ncfsg
,	,	Z
namijenjena	namijeniti	Appfsny
opremi	oprema	Ncfsl
navedenoj	naveden	Agpfsdy
u	u	Sl
ML15	ml1a	Ncfsl
.	.	Z
a.	a.	Y
do	do	Sg
ML15	ML15	Mdm
.	.	Z
e.	e.	Y

Napomena	napomena	Ncfsn
:	:	Z
ML15	ML15	Qr
.	.	Z
f.	f.	Pi-msn
uključuje	uključivati	Vmr3s
opremu	oprema	Ncfsa
namijenjenu	namijenjen	Agpfsay
ometanju	ometanje	Ncnsl
rada	rad	Ncmsg
ili	ili	Cc
učinkovitosti	učinkovitost	Ncfsg
vojnih	vojni	Agpmpgy
sustava	sustav	Ncmpg
za	za	Sa
prikaz	prikaz	Ncmsan
slike	slika	Ncfsg
ili	ili	Cc
minimiziranju	minimiziranje	Ncnsl
takvih	takav	Pd-mpg
učinaka	učinak	Ncmpg
.	.	Z

Napomena	napomena	Ncfsn
1.	1.	Mdo
:	:	Z
u	u	Sl
ML15	ML1	Npmsl
.	.	Z
izraz	izraz	Ncmsn
posebno	posebno	Rgp
namijenjene	namijenjen	Agpfpay
komponente	komponenta	Ncfpa
uključuje	uključivati	Vmr3s
niže	nisko	Rgc
navedeno	navesti	Appnsny
ako	ako	Cs
je	biti	Var3s
ono	onaj	Pd-nsn
posebno	posebno	Rgp
konstruirano	konstruirati	Agpnsny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
:	:	Z

a.	ai	Agpfpay
cijevi	cijev	Ncfpa
za	za	Sa
pretvorbu	pretvorba	Ncfsa
infracrvene	infracrven	Agpfsgy
slike	slika	Ncfsg
;	;	Z

b.	b.	Y
cijevi	cijev	Ncfsg
za	za	Sa
pojačavanje	pojačavanje	Ncnsa
slike	slika	Ncfsg
(	(	Z
osim	osim	Sg
prve	prvi	Mlofsg
generacije	generacija	Ncfsg
)	)	Z
;	;	Z

c.	c.	Y
mikrokanalne	mikrokanalan	Agpfsgy
ploče	ploča	Ncfsg
;	;	Z

d.	di	Agpfsgy
cijevi	cijev	Ncfsg
televizijske	televizijski	Agpfsgy
kamere	kamera	Ncfsg
niske	nizak	Agpfsgy
razine	razina	Ncfsg
svjetla	svjetlo	Ncnsg
;	;	Z

e.	e.	Y
detektorske	detektorski	Agpfsgy
postave	postava	Ncfsg
(	(	Z
uključujući	uključivati	Rr
elektronsku	elektronski	Agpfsay
međupovezanost	međupovezanost	Ncfsa
ili	ili	Cc
sustave	sustav	Ncmpa
očitavanja	očitavanje	Ncnsg
)	)	Z
;	;	Z

f.	f.	Mdo
piroelektrične	piroelektričan	Agpfsgy
cijevi	cijev	Ncfsg
televizijskih	televizijski	Agpfpgy
kamera	kamera	Ncfpg
;	;	Z

g.	gi	Agpmpay
rashladne	rashladni	Agpmpay
sustave	sustav	Ncmpa
za	za	Sa
sustave	sustav	Ncmpa
za	za	Sa
prikaz	prikaz	Ncmsan
slike	slika	Ncfsg
;	;	Z

h.	h.	Mls
električno	električno	Rgp
pokretane	pokretati	Vmr3s
okidače	okidač	Ncmpa
fotokromnog	fotokroman	Agpmsgy
ili	ili	Cc
elektro-optičkog	elektro-optički	Agpmsgy
tipa	tip	Ncmsg
koji	koji	Pi-mpn
imaju	imati	Vmr3p
dužinu	dužina	Ncfsa
ekspozicije	ekspozicija	Ncfsg
manju	mali	Agcfsay
od	od	Sg
100	100	Mdc
μs	μ	Ncmpg
,	,	Z
osim	osim	Cs
u	u	Sl
slučajevima	slučaj	Ncmpl
okidača	okidač	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
nužni	nužan	Agpmsny
dio	dio	Ncmsn
kamera	kamera	Ncfpg
visoke	visok	Agpfsgy
brzine	brzina	Ncfsg
;	;	Z

i.	ii	Agpfpay
obrtače	obrtači	Agpfpay
slike	slika	Ncfpa
s	sa	Si
optičkim	optički	Agpnpiy
vlaknima	vlakno	Ncnpi
;	;	Z

j.	ji	Agpmpay
spojeve	spoj	Ncmpa
poluvodiča	poluvodič	Ncmpg
fotokatoda	fotokatoda	Ncfpg
.	.	Z

Napomena	napomena	Ncfsn
2.	2.	Mdo
:	:	Z
ML15	ML15	I
.	.	Z
ne	ne	Qz
odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
»	i	Agpmpay
cijevne	cijevni	Agpmpay
pojačivače	pojačivač	Ncmpa
svjetlosti	svjetlost	Ncfsg
prve	prvi	Mlofsg
generacije	generacija	Ncfsg
«	«	Z
ili	ili	Cc
opremu	oprema	Ncfsa
koja	koji	Pi-fsn
je	biti	Var3s
posebno	posebno	Rgp
namijenjena	namijeniti	Appfsny
ugrađivanju	ugrađivanje	Ncnsd
u	u	Sl
»	»	Z
cijevne	cijevni	Agpmpay
pojačivače	pojačivač	Ncmpa
svjetlosti	svjetlost	Ncfsg
prve	prvi	Mlofsg
generacije	generacija	Ncfsg
«	«	Z
.	.	Z

POZOR	pozor	Ncmsn
:	:	Z
Za	za	Sa
klasifikaciju	klasifikacija	Ncfsa
ciljnika	ciljnik	Ncmpg
za	za	Sa
oružje	oružje	Ncnsa
čiji	čiji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
»	»	Z
cijevni	cijevni	Agpmsny
pojačivač	pojačivač	Ncmsn
svjetlosti	svjetlost	Ncfsg
prve	prvi	Mlofsg
generacije	generacija	Ncfsg
«	«	Z
vidi	vidjeti	Vmr3s
ML1	mla	Ncfpa
.	.	Z
,	,	Z
ML2	ML2	Qr
.	.	Z
i	i	Cc
ML5	mli	Agpnsny
.	.	Z
a.	a.	Y

POZOR	pozor	Ncmsn
:	:	Z
Vidi	vidjeti	Vmm2s
također	također	Rgp
stavke	stavka	Ncfpa
6	6	Mdc
A002	A002	Qr
.	.	Z
a.	a.	Y
2.	2.	Mdo
i	i	Cc
6	6	Mdc
A002	A002	X
.	.	Z
b.	b.	Y
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

ML16	ML16	Mdm
.	.	Z

Otkivci	otkivak	Ncmpn
,	,	Z
odljevci	odljevak	Ncmpn
i	i	Cc
ostali	ostali	Agpmpny
nedovršeni	nedovršen	Agpmpny
proizvodi	proizvod	Ncmpn
posebno	posebno	Rgp
konstruirani	konstruirati	Appmpny
za	za	Sa
stavke	stavka	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
ML1	mla	Ncfsl
.	.	Z
do	do	Sg
ML4	ml	Ncmsg
.	.	Z
,	,	Z
ML6	ML6	Qr
.	.	Z
,	,	Z
ML9	ML9	Qr
.	.	Z
,	,	Z
ML10	ML10	Qr
.	.	Z
,	,	Z
ML12	ML12	Mds
.	.	Z
ili	ili	Cc
ML19	ML19	Mds
.	.	Z

Napomena	napomena	Ncfsn
:	:	Z
ML16	ML16	Qr
.	.	Z
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
nedovršene	nedovršen	Agpmpay
proizvode	proizvod	Ncmpa
kada	kada	Rgp
ih	oni	Pp3-pg
je	biti	Var3s
moguće	moguć	Agpnsny
identificirati	identificirati	Vmn
po	po	Sl
sastavu	sastav	Ncmsl
materijala	materijal	Ncmpg
,	,	Z
geometriji	geometrija	Ncfsl
ili	ili	Cc
funkciji	funkcija	Ncfsl
.	.	Z

ML17	ML17	Mdm
.	.	Z

Raznovrsna	raznovrstan	Agpfsny
oprema	oprema	Ncfsn
,	,	Z
materijali	materijal	Ncmpn
i	i	Cc
»	»	Z
knjižnice	knjižnica	Ncfsg
«	«	Z
,	,	Z
kako	kako	Cs
slijedi	slijediti	Vmr3s
,	,	Z
te	te	Cc
za	za	Sa
njih	oni	Pp3-pa
posebno	posebno	Rgp
konstruirane	konstruirati	Agpfpay
komponente	komponenta	Ncfpa
:	:	Z

a.	a.	Agpmsny
cjeloviti	cjelovit	Agpmsny
pribor	pribor	Ncmsn
za	za	Sa
ronjenje	ronjenje	Ncnsa
i	i	Cc
podvodno	podvodan	Agpnsay
plivanje	plivanje	Ncnsa
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

1.	1.	Mdo
pribor	pribor	Ncmsan
zatvorenog	zatvoren	Agpmsgy
ili	ili	Cc
poluzatvorenog	poluzatvoren	Agpmsgy
kruga	krug	Ncmsg
(	(	Z
ponovno	ponovan	Agpnsny
disanje	disanje	Ncnsn
)	)	Z
posebno	posebno	Rgp
konstruiran	konstruirati	Appmsnn
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
(	(	Z
tj.	tj.	Y
posebno	posebno	Rgp
konstruiran	konstruirati	Appmsnn
da	da	Cs
ne	ne	Qz
bude	biti	Var3s
magnetski	magnetski	Agpmsny
)	)	Z
;	;	Z

2.	2.	Mdo
posebno	posebno	Rgp
izrađene	izraditi	Appfpay
komponente	komponenta	Ncfpa
za	za	Sa
uporabu	uporaba	Ncfsa
pri	pri	Sl
preradi	prerada	Ncfsl
pribora	pribor	Ncmsg
otvorenog	otvoren	Agpmsgy
kruga	krug	Ncmsg
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

3.	3.	Mdo
artikli	artik	Ncmpn
namijenjeni	namijeniti	Appmpny
isključivo	isključivo	Rgp
vojnoj	vojni	Agpfsly
uporabi	uporaba	Ncfsl
s	sa	Si
cjelovitim	cjelovit	Agpmsiy
priborom	pribor	Ncmsi
za	za	Sa
ronjenje	ronjenje	Ncnsa
i	i	Cc
podvodno	podvodan	Agpnsay
plivanje	plivanje	Ncnsa
;	;	Z

POZOR	pozor	Ncmsn
:	:	Z
Vidi	vidjeti	Vmm2s
također	također	Rgp
8	8	Mdc
A002	A002	X
.	.	Z
q.	qa	Ncfpn
na	na	Sl
Popisu	popis	Ncmsl
robe	roba	Ncfsg
EU-a	EU	Npmsg
s	sa	Si
dvojnom	dvojni	Agpfsiy
namjenom	namjena	Ncfsi
.	.	Z

b.	b.	Y
građevinska	građevinski	Agpfsny
oprema	oprema	Ncfsn
posebno	posebno	Rgp
konstruirana	konstruirati	Appfsny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

c.	c.	Agpmpny
nastavci	nastavak	Ncmpn
,	,	Z
premazi	premaz	Ncmpn
i	i	Cc
obrade	obrada	Ncfsg
za	za	Sa
smanjenje	smanjenje	Ncnsa
savijanja	savijanje	Ncnsg
,	,	Z
posebno	posebno	Rgp
konstruirani	konstruirati	Appmpny
za	za	Sa
vojnu	vojni	Agpfsay
uporabu	uporaba	Ncfsa
;	;	Z

d.	di	Agpfsny
terenska	terenski	Agpfsny
inženjerijska	inženjerijski	Agpfsny
oprema	oprema	Ncfsn
posebno	posebno	Rgp
namijenjena	namijeniti	Appfsny
korištenju	korištenje	Ncnsd
u	u	Sl
borbenom	borben	Agpmsly

