uvjete	uvjet	Ncmpa
o	o	Sl
položenom	položiti	Agpmsly
ispitu	ispit	Ncmsl
(	(	Z
u	u	Sl
daljnjem	daljnji	Agpmsly
tekstu	tekst	Ncmsl
:	:	Z
uvjerenje	uvjerenje	Ncnsn
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uvjerenje	uvjerenje	Ncnsn
važi	važiti	Vmr3s
5	5	Mdc
(	(	Z
pet	pet	Mlc
)	)	Z
godina	godina	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Uvjerenje	uvjerenje	Ncnsn
potpisuje	potpisivati	Vmr3s
predsjednik	predsjednik	Ncmsn
Povjerenstva	povjerenstvo	Ncnsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Primjerak	primjerak	Ncmsn
uvjerenja	uvjerenje	Ncnsg
dostavlja	dostavljati	Vmr3s
se	sebe	Px--sa
ovlaštenom	ovlašten	Agpnsly
tijelu	tijelo	Ncnsl
koje	koji	Pi-nsn
je	biti	Var3s
djelatnika	djelatnik	Ncmpg
uputilo	uputiti	Vmp-sn
na	na	Sa
polaganje	polaganje	Ncnsa
ispita	ispit	Ncmpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
O	o	Sl
izdanim	izdan	Agpnply
uvjerenjima	uvjerenje	Ncnpl
ovlaštenih	ovlašten	Agpmpgy
mjeritelja	mjeritelj	Ncmpg
Zavod	zavod	Ncmsn
vodi	voditi	Vmr3s
upisnik	upisnik	Ncmsan
koji	koji	Pi-msn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
evidencijski	evidencijski	Agpmsayn
broj	broj	Ncmsan
upisnika	upisnik	Ncmpg
,	,	Z
prezime	prezime	Ncnsa
i	i	Cc
ime	ime	Ncnsa
nositelja	nositelj	Ncmpg
uvjerenja	uvjerenje	Ncnsg
i	i	Cc
stečeno	steći	Agpnsay
obrazovanje	obrazovanje	Ncnsa
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
datum	datum	Ncmsn
rođenja	rođenje	Ncnsg
,	,	Z
broj	broj	Ncmsn
osobne	osoban	Agpfsgy
iskaznice	iskaznica	Ncfsg
i	i	Cc
mjesto	mjesto	Ncnsa
izdavanja	izdavanje	Ncnsg
,	,	Z
datum	datum	Ncmsn
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
i	i	Cc
područje	područje	Ncnsa
polaganja	polaganje	Ncnsg
ispita	ispit	Ncmpg
,	,	Z
datum	datum	Ncmsan
važenja	važenje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
,	,	Z
brojčanu	brojčani	Agpfsay
oznaku	oznaka	Ncfsa
,	,	Z
mjesto	mjesto	Ncnsa
i	i	Cc
datum	datum	Ncmsan
izdavanja	izdavanje	Ncnsg
uvjerenja	uvjerenje	Ncnsg
,	,	Z
ovlašteno	ovlašten	Agpnsny
tijelo	tijelo	Ncnsn
,	,	Z
potpis	potpis	Ncmsn
predsjednika	predsjednik	Ncmpg
Povjerenstva	povjerenstvo	Ncnsg
i	i	Cc
potpis	potpis	Ncmsan
ravnatelja	ravnatelj	Ncmsg
Zavoda	zavod	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Obrazac	obrazac	Ncmsn
uvjerenja	uvjerenje	Ncnsg
tiskan	tiskati	Appmsnn
je	biti	Var3s
uz	uz	Sa
ovaj	ovaj	Pd-msan
Pravilnik	pravilnik	Ncmsan
i	i	Cc
njegov	njegov	Ps3msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
(	(	Z
Prilog	prilog	Ncmsn
2	2	Mdc
)	)	Z
.	.	Z

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmsny
mjeritelj	mjeritelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
redovito	redovito	Rgp
dopunjavati	dopunjavati	Vmn
i	i	Cc
usavršavati	usavršavati	Vmn
znanje	znanje	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Program	program	Ncmsn
dopunjavanja	dopunjavanje	Ncnsg
i	i	Cc
usavršavanja	usavršavanje	Ncnsg
znanja	znanje	Ncnsg
ovlaštenog	ovlašten	Agpmsgy
mjeritelja	mjeritelj	Ncmsg
utvrđuje	utvrđivati	Vmr3s
ravnatelj	ravnatelj	Ncmsn
Zavoda	zavod	Ncmsg
,	,	Z
a	a	Cc
objavljuje	objavljivati	Vmr3s
se	sebe	Px--sa
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Zavoda	zavod	Ncmsg
.	.	Z

V.	V.	Y
PROGRAM	program	Ncmsn
ISPITA	ispit	Ncmsg
I	i	Cc
PROGRAM	program	Ncmsan
IZOBRAZBE	izobrazba	Ncfsg
ZA	za	Sa
POLAGANJE	polaganje	Ncnsa
ISPITA	ispit	Ncmpg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Program	program	Ncmsn
ispita	ispit	Ncmpg
sastoji	sastojati	Vmr3s
se	sebe	Px--sa
od	od	Sg
općeg	opći	Agpmsgy
i	i	Cc
posebnog	poseban	Agpmsgy
dijela	dio	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Opći	opći	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmpg
obuhvaća	obuhvaćati	Vmr3s
provjeru	provjera	Ncfsa
poznavanja	poznavanje	Ncnsg
zakonodavnog	zakonodavan	Agpmsgy
okvira	okvir	Ncmsg
upravnog	upravan	Agpnsgy
područja	područje	Ncnsg
mjeriteljstva	mjeriteljstvo	Ncnsg
i	i	Cc
jednak	jednak	Agpmsnn
je	biti	Var3s
za	za	Sa
sve	sav	Agpmpay
kandidate	kandidat	Ncmpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Posebni	poseban	Agpmsny
dio	dio	Ncmsn
ispita	ispit	Ncmpg
obuhvaća	obuhvaćati	Vmr3s
provjeru	provjera	Ncfsa
poznavanja	poznavanje	Ncnsg
propisa	propis	Ncmsg
iz	iz	Sg
područja	područje	Ncnsg
zakonskog	zakonski	Agpnsgy
mjeriteljstva	mjeriteljstvo	Ncnsg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
određena	određen	Agpnpay
zakonita	zakonit	Agpnpay
mjerila	mjerilo	Ncnpa
za	za	Sa
koja	koji	Ncfpa
je	biti	Var3s
ovlaštenom	ovlašten	Agpnsly
tijelu	tijelo	Ncnsl
u	u	Sl
kojem	koji	Pi-nsl
je	biti	Var3s
kandidat	kandidat	Ncmsn
zaposlen	zaposliti	Appmsnn
,	,	Z

