sadržaj	sadržaj	Ncmsn
će	htjeti	Var3s
propisati	propisati	Vmn
način	način	Ncmsan
obavljanja	obavljanje	Ncnsg
provjere	provjera	Ncfsg
kvalitete	kvaliteta	Ncfsg
aktivnosti	aktivnost	Ncfsg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
41.	41.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
točke	točka	Ncfsg
i	i	Cc
)	)	Z
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg

i	i	Cc
)	)	Z
pravilnik	pravilnik	Ncmsan
kojim	koji	Pi-msi
će	htjeti	Var3s
propisati	propisati	Vmn
kriterije	kriterij	Ncmpa
za	za	Sa
imenovanje	imenovanje	Ncnsa
osobe	osoba	Ncfsg
za	za	Sa
nepravilnosti	nepravilnost	Ncfpa
,	,	Z
obveze	obveza	Ncfpa
i	i	Cc
način	način	Ncmsan
postupanja	postupanje	Ncnsg
osobe	osoba	Ncfsg
za	za	Sa
nepravilnosti	nepravilnost	Ncfpa
,	,	Z
način	način	Ncmsan
i	i	Cc
rokove	rok	Ncmpa
izvještavanja	izvještavanje	Ncnsg
o	o	Sl
nepravilnostima	nepravilnost	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
43.	43.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Provedbeni	provedbeni	Agpmpny
propisi	propis	Ncmpn
doneseni	donijeti	Appmpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
141/06.	141/06.	Mds
)	)	Z
ostaju	ostajati	Vmr3p
na	na	Sl
snazi	snaga	Ncfsl
do	do	Sg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
provedbenih	provedbeni	Agpmpgy
propisa	propis	Ncmpg
donesenih	donesen	Agpmpgy
na	na	Sl
temelju	temelj	Ncmsl
ovlasti	ovlast	Ncfpg
iz	iz	Sg
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z
u	u	Sl
dijelu	dio	Ncmsl
u	u	Sl
kojem	koji	Pi-msl
nisu	biti	Var3p
u	u	Sl
suprotnosti	suprotnost	Ncfsl
s	sa	Si
odredbama	odredba	Ncfpi
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Obveza	obveza	Ncfsn
uspostave	uspostava	Ncfsg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg

Članak	članak	Ncmsn
46.	46.	Mdo

Institucije	institucija	Ncfpn
koje	koji	Pi-fpn
su	biti	Var3p
bile	biti	Vap-pf
u	u	Sl
obvezi	obveza	Ncfsl
uspostaviti	uspostaviti	Vmn
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
141/06.	141/06.	Mds
)	)	Z
i	i	Cc
Pravilnika	pravilnik	Ncmsg
o	o	Sl
unutarnjoj	unutarnji	Agpfsly
reviziji	revizija	Ncfsl
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
96/13.	96/13.	Mds
)	)	Z
,	,	Z
a	a	Cc
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
nisu	biti	Var3p
uspostavile	uspostaviti	Vmp-pf
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
,	,	Z
u	u	Sl
obvezi	obveza	Ncfsl
su	biti	Var3p
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
uspostaviti	uspostaviti	Vmn
u	u	Sl
rokovima	rok	Ncmpl
utvrđenim	utvrditi	Appmply
Pravilnikom	pravilnik	Ncmsi
o	o	Sl
unutarnjoj	unutarnji	Agpfsly
reviziji	revizija	Ncfsl
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
96/13.	96/13.	Mds
)	)	Z
.	.	Z

Članak	članak	Ncmsn
47.	47.	Mdo

Trgovačka	trgovački	Agpnpny
društva	društvo	Ncnpn
i	i	Cc
druge	drugi	Mlofpa
pravne	pravni	Agpfpay
osobe	osoba	Ncfpa
obvezni	obvezan	Agpmpny
su	biti	Var3p
uspostaviti	uspostaviti	Vmn
unutarnju	unutarnji	Agpfsay
reviziju	revizija	Ncfsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpi
članka	članak	Ncmsg
24.	24.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
pravilnika	pravilnik	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
25.	25.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Stjecanje	stjecanje	Ncnsn
stručnog	stručan	Agpnsgy
ovlaštenja	ovlaštenje	Ncnsg
ili	ili	Cc
certifikata	certifikat	Ncmsg

Članak	članak	Ncmsn
48.	48.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ovlašteni	ovlašten	Agpmpny
unutarnji	unutarnji	Agpmpny
revizori	revizor	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
stekli	steći	Vmp-pm
stručno	stručan	Agpnsay
ovlaštenje	ovlaštenje	Ncnsa
ministra	ministar	Ncmsg
financija	financije	Ncfpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
141/06.	141/06.	Mds
)	)	Z
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
danom	dan	Ncmsi
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
stekli	steći	Vmp-pm
zvanje	zvanje	Ncnsa
ovlaštenoga	ovlašten	Agpmsgy
unutarnjeg	unutarnji	Agpmsgy
revizora	revizor	Ncmsg
za	za	Sa
javni	javan	Agpmsayn
sektor	sektor	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
započela	započeti	Vmp-sf
pohađati	pohađati	Vmn
program	program	Ncmsan
izobrazbe	izobrazba	Ncfsg
prema	prema	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
stječe	stjecati	Vmr3s
stručno	stručan	Agpnsny
ovlaštenje	ovlaštenje	Ncnsn
ministra	ministar	Ncmsg
financija	financije	Ncfpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
,	,	Z
a	a	Cc
koji	koji	Pi-msn
je	biti	Var3s
ministar	ministar	Ncmsn
financija	financije	Ncfpg
donio	donijeti	Vmp-sm
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
odredbama	odredba	Ncfpl
Zakona	zakon	Ncmsg
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
(	(	Z
»	»	Z
Narodne	narodni	Agpfpny
novine	novina	Ncfpn
«	«	Z
,	,	Z
br.	br.	Y
141/06.	141/06.	Mds
)	)	Z
,	,	Z
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
18	18	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
završiti	završiti	Vmn
program	program	Ncmsan
izobrazbe	izobrazba	Ncfsg
ili	ili	Cc
gubi	gubiti	Vmr3s
pravo	pravo	Ncnsa
pohađanja	pohađanje	Ncnsg
programa	program	Ncmsg
izobrazbe	izobrazba	Ncfsg
.	.	Z

Članak	članak	Ncmsn
49.	49.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Osoba	osoba	Ncfsn
raspoređena	rasporediti	Appfsny
na	na	Sa
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
unutarnjeg	unutarnji	Agpmsgy
revizora	revizor	Ncmsg
dužna	dužan	Agpfsny
je	biti	Var3s
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
godine	godina	Ncfsg
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
rasporeda	raspored	Ncmsg
na	na	Sa
radno	radni	Agpnsay
mjesto	mjesto	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
stjecanja	stjecanje	Ncnsg
uvjeta	uvjet	Ncmpg
za	za	Sa
certificiranje	certificiranje	Ncnsa
prema	prema	Sl
uvjetima	uvjet	Ncmpl
strukovnih	strukovni	Agpfpgy
organizacija	organizacija	Ncfpg
steći	steći	Vmn
stručno	stručan	Agpnsay
ovlaštenje	ovlaštenje	Ncnsa
,	,	Z
odnosno	odnosno	Rgp
certifikat	certifikat	Ncmsn
iz	iz	Sg
članka	članak	Ncmsg
26.	26.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
za	za	Sa
osobu	osoba	Ncfsa
zatečenu	zateći	Appfsay
na	na	Sl
poslovima	posao	Ncmpl
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
u	u	Sl
trgovačkom	trgovački	Agpnsly
društvu	društvo	Ncnsl
i	i	Cc
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
koja	koji	Pi-fsn
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa

