vodiču	vodič	Ncmsd
skladu	sklad	Ncmsl
s	sa	Si
dobrom	dobar	Agpfsiy
praksom	praksa	Ncfsi
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
izrađuje	izrađivati	Vmr3s
se	sebe	Px--sa
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
područje	područje	Ncnsa
zaštite	zaštita	Ncfsg
na	na	Sl
radu	rad	Ncmsl
i	i	Cc
propisa	propis	Ncmsg
o	o	Sl
izradi	izrada	Ncfsl
procjene	procjena	Ncfsg
rizika	rizik	Ncmsg
.	.	Z

Podaci	podatak	Ncmpn
o	o	Sl
izloženosti	izloženost	Ncfsl
dobiveni	dobiti	Appmpny
procjenom	procjena	Ncfsi
,	,	Z
mjerenjem	mjerenje	Ncnsi
ili	ili	Cc
izračunom	izračun	Ncmsi
čuvaju	čuvati	Vmr3p
se	sebe	Px--sa
u	u	Sl
odgovarajućem	odgovarajući	Agpmsly
obliku	oblik	Ncmsl
koji	koji	Pi-msn
se	sebe	Px--sa
može	moći	Vmr3s
slijediti	slijediti	Vmn
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
omogućilo	omogućiti	Vmp-sn
njihovo	njihov	Ps3nsn
naknadno	naknadan	Agpnsny
korištenje	korištenje	Ncnsn
sukladno	sukladan	Agpnsny
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
i	i	Cc
praksi	praksa	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sukladno	sukladno	Rgp
posebnim	poseban	Agpmply
propisima	propis	Ncmpl
o	o	Sl
uvođenju	uvođenje	Ncnsl
mjera	mjera	Ncfpg
za	za	Sa
poticanje	poticanje	Ncnsa
poboljšanja	poboljšanje	Ncnsg
sigurnosti	sigurnost	Ncfsg
i	i	Cc
zdravlja	zdravlje	Ncnsg
radnika	radnik	Ncmpg
na	na	Sl
radu	rad	Ncmsl
,	,	Z
u	u	Sl
procjeni	procjena	Ncfsl
rizika	rizik	Ncmsg
posebna	poseban	Agpfsny
pozornost	pozornost	Ncfsn
mora	morati	Vmr3s
se	sebe	Px--sa
usmjeriti	usmjeriti	Vmn
na	na	Sa
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
granične	graničan	Agpfsgy
vrijednosti	vrijednost	Ncfsg
izloženosti	izloženost	Ncfsg
za	za	Sa
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
vrijednosti	vrijednost	Ncfsl
upozorenja	upozorenje	Ncnsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
Priloga	Prili	Npmsg
II	ii	Mro
.	.	Z
i	i	Cc
III	III	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

(	(	Z
b	b	X
)	)	Z
frekvenciju	frekvencija	Ncfsa
,	,	Z
vrijednosti	vrijednost	Ncfsl
,	,	Z
trajanje	trajanje	Ncnsn
i	i	Cc
vrstu	vrsta	Ncfsa
izloženosti	izloženost	Ncfsg
,	,	Z
uključujući	uključivati	Rr
distribuciju	distribucija	Ncfsa
po	po	Sl
tijelu	tijelo	Ncnsl
radnika	radnik	Ncmpg
i	i	Cc
prostoru	prostor	Ncmsl
mjesta	mjesto	Ncnsg
rada	rad	Ncmsg
;	;	Z

(	(	Z
c	C	X
)	)	Z
sve	sav	Agpmpay
izravne	izravan	Agpmpay
bio	biti	Agpmpay
fizikalne	fizikalan	Agpmpay
učinke	učinak	Ncmpa
;	;	Z

(	(	Z
d	d	Qr
)	)	Z
sve	sav	Agpmpay
učinke	učinak	Ncmpa
na	na	Sa
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
radnika	radnik	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
izloženi	izložiti	Appmpny
posebnom	poseban	Agpmsly
riziku	rizik	Ncmsl
,	,	Z
poput	poput	Sg
trudnica	trudnica	Ncfpg
,	,	Z
posebno	posebno	Rgp
radnika	radnik	Ncmpg
koji	koji	Pi-mpn
nose	nositi	Vmr3p
ugrađene	ugraditi	Appfpny
aktivne	aktivan	Agpfpny
ili	ili	Cc
pasivne	pasivan	Agpmpay
medicinske	medicinski	Agpmpay
proizvode	proizvod	Ncmpa
kao	kao	Cs
što	što	Cs
su	biti	Var3p
elektronički	elektronički	Agpmpny
srčani	srčan	Agpmpny
stimulatori	stimulator	Ncmpn
(	(	Z
pacemakeri	pacemaker	Ncmpn
)	)	Z
,	,	Z
radnika	radnik	Ncmpg
s	sa	Si
medicinskim	medicinski	Agpmpiy
proizvodima	proizvod	Ncmpi
koji	koji	Pi-mpn
se	sebe	Px--sa
nose	nositi	Vmr3p
na	na	Sl
tijelu	tijelo	Ncnsl
,	,	Z
kao	kao	Cs
što	što	Cs
su	biti	Var3p
inzulinske	inzulinski	Agpfpny
pumpe	pumpa	Ncfpn
;	;	Z

(	(	Z
e	e	I
)	)	Z
sve	sav	Agpmpay
izravne	izravan	Agpmpay
učinke	učinak	Ncmpa
;	;	Z

(	(	Z
f	f	X
)	)	Z
postojanje	postojanje	Ncnsn
zamjenske	zamjenski	Agpfsgy
opreme	oprema	Ncfsg
namijenjene	namijenjen	Agpfpay
smanjenju	smanjenje	Ncnsd
razina	razina	Ncfpg
izloženosti	izloženost	Ncfsg
elektromagnetskim	elektromagnetski	Agpnply
poljima	polje	Ncnpl
;	;	Z

(	(	Z
g	g	Qr
)	)	Z
odgovarajuće	odgovarajući	Agpfpay
informacije	informacija	Ncfpa
zdravstvenog	zdravstven	Agpmsgy
nadzora	nadzor	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

(	(	Z
h	h	Ncfpn
)	)	Z
informacije	informacija	Ncfpa
koje	koji	Pi-fpa
osigurava	osiguravati	Vmr3s
proizvođač	proizvođač	Ncmsn
opreme	oprema	Ncfsg
;	;	Z

(	(	Z
i	i	Cc
)	)	Z
ostale	ostali	Agpfpay
zdravstvene	zdravstven	Agpfpay
i	i	Cc
sigurnosne	sigurnosni	Agpfpay
informacije	informacija	Ncfpa
;	;	Z

(	(	Z
j	j	Ncfpn
)	)	Z
istovremenu	istovremen	Agpfsay
izloženost	izloženost	Ncfsa
zračenjima	zračenje	Agpmpdy
raznim	razni	Agpmpdy
izvorima	izvor	Ncmpd
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
;	;	Z

(	(	Z
k	k	Ncfpn
)	)	Z
istovremenu	istovremen	Agpfsay
izloženost	izloženost	Ncfsa
poljima	polje	Ncnsg
različite	različit	Agpfsgy
frekvencije	frekvencija	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Na	na	Sl
mjestima	mjesto	Ncnpl
rada	rad	Ncmsg
dostupnima	dostupan	Agpmpdy
javnosti	javnost	Ncfsg
nije	biti	Var3s
potrebno	potreban	Agpnsny
provesti	provesti	Vmn
procjenu	procjena	Ncfsa
izloženosti	izloženost	Ncfsg
zračenja	zračenje	Ncnsg
elektromagnetskih	elektromagnetski	Agpnpgy
polja	polje	Ncnpg
,	,	Z
ako	ako	Cs
je	biti	Var3s
već	već	Rgp
poduzeto	poduzet	Agpnsny
ocjenjivanje	ocjenjivanje	Ncnsn
sukladno	sukladan	Agpnsny
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
koji	koji	Pi-mpn
uređuju	uređivati	Vmr3p
ograničenja	ograničenje	Ncnpa
izloženosti	izloženost	Ncfsg
opće	opći	Agpfsgy
javnosti	javnost	Ncfsg
elektromagnetskim	elektromagnetski	Agpnply
poljima	polje	Ncnpl
,	,	Z
ako	ako	Cs
se	sebe	Px--sa
ograničenja	ograničenje	Ncnpg
iz	iz	Sg
tih	taj	Pd-mpg
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
poštuju	poštovati	Vmr3p
te	te	Cc
ako	ako	Cs
su	biti	Var3p
zdravstveni	zdravstven	Agpmpny
i	i	Cc
sigurnosni	sigurnosni	Agpmpny
rizici	rizik	Ncmpn
isključeni	isključiti	Appmpny
.	.	Z

Smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
su	biti	Var3p
ovi	ovaj	Pd-mpn
uvjeti	uvjet	Ncmpn
ispunjeni	ispunjen	Agpmpny
kada	kada	Cs
se	sebe	Px--sa
oprema	opremati	Vmr3s
namijenjena	namijeniti	Appfsny
javnoj	javan	Agpfsly
uporabi	uporaba	Ncfsl
koristi	koristiti	Vmr3s
sukladno	sukladno	Rgp
svojoj	svoj	Px-fsl
namijeni	namijeniti	Vmr3s
te	te	Cc
je	biti	Var3s
sukladna	sukladan	Agpfsny
odredbama	odredba	Ncfpi
posebnih	poseban	Agpmpgy
propisa	propis	Ncmpg
o	o	Sl
proizvodima	proizvod	Ncmpl
koje	koji	Pi-fpn
utvrđuju	utvrđivati	Vmr3p
strože	strog	Agcfpny
razine	razina	Ncfpn
sigurnosti	sigurnost	Ncfsg
od	od	Sg
razina	razina	Ncfpg
iz	iz	Sg
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmpg
te	te	Cc
kada	kada	Cs
se	sebe	Px--sa
ne	ne	Qz
koristi	koristiti	Vmr3s
druga	drugi	Mlofsn
oprema	oprema	Ncfsn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Poslodavac	poslodavac	Ncmsn
mora	morati	Vmr3s
posjedovati	posjedovati	Vmn
procjenu	procjena	Ncfsa
rizika	rizik	Ncmsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
o	o	Sl
uvođenju	uvođenje	Ncnsl
mjera	mjera	Ncfpg
za	za	Sa
poticanje	poticanje	Ncnsa
poboljšanja	poboljšanje	Ncnsg
sigurnosti	sigurnost	Ncfsg
i	i	Cc
zdravlja	zdravlje	Ncnsg
radnika	radnik	Ncmpg
na	na	Sl
radu	rad	Ncmsl
te	te	Cc
utvrditi	utvrditi	Vmn
mjere	mjera	Ncfpa
koje	koji	Pi-fpa
je	biti	Var3s
potrebno	potreban	Agpnsny
primijeniti	primijeniti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člancima	članak	Ncmpi
6.	6.	Mdo
i	i	Cc
7.	7.	Mdo
ovoga	ovaj	Pd-nsg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
može	moći	Vmr3s
sadržavati	sadržavati	Vmn
obrazloženje	obrazloženje	Ncnsa
poslodavca	poslodavac	Ncmsg
prema	prema	Sl
kojem	koji	Pi-msl
,	,	Z
zbog	zbog	Sg
prirode	priroda	Ncfsg
i	i	Cc
raspona	raspon	Ncmpg
rizika	rizik	Ncmpg
koji	koji	Pi-mpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
elektromagnetska	elektromagnetski	Agpnpay
polja	polje	Ncnpa
,	,	Z
nije	biti	Var3s
potrebna	potreban	Agpfsny
daljnja	daljnji	Agpfsny
detaljnija	detaljan	Agcfsny
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
.	.	Z

Procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
se	sebe	Px--sa
redovito	redovito	Rgp
ažurira	ažurirati	Vmr3s
,	,	Z
posebno	posebno	Rgp
ako	ako	Cs
je	biti	Var3s
došlo	doći	Vmp-sn
do	do	Sg
značajnih	značajan	Agpfpgy
promjena	promjena	Ncfpg
zbog	zbog	Sg
kojih	koji	Pi-fpg
postojeća	postojeći	Agpfsny
procjena	procjena	Ncfsn
rizika	rizik	Ncmsg
može	moći	Vmr3s
zastarjeti	zastarjeti	Vmn
ili	ili	Cc
ako	ako	Cs
rezultati	rezultat	Ncmpn
zdravstvenog	zdravstven	Agpmsgy
nadzora	nadzor	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
9.	9.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
pokažu	pokazati	Vmr3p
da	da	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
.	.	Z

Izbjegavanje	izbjegavanje	Ncnsn
ili	ili	Cc
smanjenje	smanjenje	Ncnsa
rizika	rizik	Ncmsg

Članak	članak	Ncmsn
6.	6.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan

