Norditropin	norditropin	Agpmsny
Harvoni	harvon	Agpmsny
tbl	tbl	Ncmsn
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
90	90	Mdc
mg	mg	Y
+	+	Z
400	400	Mdc
mg	mg	Ncfpg
)	)	Z
J05AX67	J05AX67	Mdc
161	161	Mdc
ombitasvir	ombitasvir	Y
+	+	Z
paritaprevir	paritaprevir	Ncmsn
+	+	Z
ritonavir	ritonavir	Ncmsan
Viekirax	Viekirax	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
56	56	Mdc
x	X	X
(	(	Z
12,5	12,5	Mdc
mg	mg	Xf
+75	+75	Xf
mg	mg	Xf
+50	+50	Xf
mg	mg	Xf
)	)	Z
L01BA04	L01BA04	Mdc
001	001	Mdc
pemetreksed	pemetreksed	Sg
Pemetreksed	Pemetrekse	Npmsg
Pliva	plivati	Vmr3s
praš	praš	Ncmsan
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
L01BA04	L01BA04	X
021	021	Mdc
pemetreksed	pemetreksed	Sg
Pemetrexed	Pemetrexe	Npmsg
Sandoz	Sando	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
L01BA04	L01BA04	X
022	022	Mdc
pemetreksed	pemetreksed	Sg
Pemetrexed	Pemetrexe	Npmsg
Sandoz	Sando	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x1000	x1000	Xf
mg	mg	Xf
L01BA04	L01BA04	X
041	041	Mdc
pemetreksed	pemetreksed	Sg
Pemetreksed	Pemetrekse	Npmsg
PharmaS	PharmaS	Pp2-pa
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
L01BA04	L01BA04	X
042	042	Mdc
pemetreksed	pemetreksed	Sg
Pemetreksed	Pemetreksed	Npfsg
Alvogen	Alvogen	Npfsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
L01BA04	L01BA04	X
043	043	Mdc
pemetreksed	pemetreksed	Sg
Pemetreksed	Pemetrekse	Npmsg
Alpha-Medical	Alpha-Medica	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
L01BA04	L01BA04	X
061	061	Mdc
pemetreksed	pemetreksed	Sg
Alimta	Alimt	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Agpmsgy
L01BB06	L01BB0	Npmsg
061	061	Mdc
klofarabin	klofarabi	Ncmpg
Evoltra	Evoltr	Npmsg
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x20	x20	Xf
mg	mg	Xf
/	/	Z
20	20	Mdc
ml	ml	Y
L01BC07	L01BC07	X
061	061	Mdc
azacitidin	azacitidi	Ncmpg
Vidaza	Vidaz	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
susp	susp	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x100	x100	Xf
mg	mg	Xf
L01CD01	L01CD01	Mdc
095	095	Mdc
paklitaksel	paklitakse	Ncmpg
(	(	Z
nab	nab	Ncmsn
)	)	Z
Abraxane	Abraxan	Npmsv
praš	prati	Vmr2s
.	.	Z
za	za	Sa
susp	susp	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x100	x100	Mdc
mg	mg	Y
(	(	Z
5	5	Mdc
mg	mg	Y
/	/	Z
ml	ml	Y
)	)	Z
L01CD04	L01CD04	Mdc
061	061	Mdc
kabazitaksel	kabazitakse	Ncmpg
Jevtana	Jevtan	Npmsg
konc	konc	Ncmsan
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x60	x60	Xf
mg	mg	Xf
L01CX01	L01CX01	X
061	061	Mdc
trabektedin	trabektedin	Y
Yondelis	Yondelis	Npmsn
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x0	xi	Agpnsny
,	,	Z
25	25	Mdc
mg	mg	Agpmsgy
L01CX01	L01CX0	Npmsg
062	062	Mdc
trabektedin	trabektedin	Y
Yondelis	Yondelis	Npmsn
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x1	x1	Xf
mg	mg	Xf
L01XC02	L01XC02	X
061	061	Mdc
rituksimab	rituksima	Ncmpg
Mabthera	Mabther	Npmsg
boč	boč	Ncmsan
.	.	Z
2	2	Mdc
x100	x100	Mdc
mg	mg	Y
/	/	Z
10	10	Mdc
ml	ml	Y
L01XC02	L01XC02	X
062	062	Mdc
rituksimab	rituksima	Ncmpg
Mabthera	Mabther	Npmsg
boč	boč	Ncmsan
.	.	Z
1	1	Mdc
x500	x500	Mdc
mg	mg	Y
/	/	Z
50	50	Mdc
ml	ml	Y
L01XC02	L01XC02	X
063	063	Mdc
rituksimab	rituksima	Ncmpg
Mabthera	Mabther	Npmsg
otop	otop	Mro
.	.	Z
za	za	Sa
supkut	supkut	Ncmsan
.	.	Z
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x1400	x1400	Xf
mg	mg	Xf
L01XC03	L01XC03	X
061	061	Mdc
trastuzumab	trastuzuma	Ncmpg
Herceptin	herceptin	Aspmsnn
boč	boč	Ncmsn
.	.	Z
1	1	Mdc
x150	x150	Mdc
mg	mg	Agpmsgy
L01XC03	L01XC0	Npmsg
062	062	Mdc
trastuzumab	trastuzuma	Ncmpg
Herceptin	Herceptin	Aspmsayn
otop	otop	Ncmsan
.	.	Z
za	za	Sa
supkut	supkut	Ncmsan
.	.	Z
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x600	x600	Mdc
mg	mg	Y
/	/	Z
5	5	Mdc
ml	ml	Cc
L01XC06	L01XC06	Mdc
061	061	Mdc
cetuksimab	cetuksimab	Y
Erbitux	Erbitu	Npmsg
(	(	Z
samo	samo	Rgp
za	za	Sa
Ca	C	Npmsay
pločastih	pločast	Agpfpgy
stanica	stanica	Ncfpg
glave	glava	Ncfsg
i	i	Cc
vrata	vrat	Ncmsg
)	)	Z
otop	otiti	Appmpgy
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x20	x20	Xf
ml	ml	Xf
(	(	Z
5	5	Mdc
mg	mg	Y
/	/	Z
ml	ml	Y
)	)	Z
L01XC12	L01XC12	Mdc
061	061	Mdc
brentuksimab	brentuksima	Ncmpg
vedotin	vedotin	Ncmsn
Adcetris	Adcetris	Npmsn
praš	prati	Vmr2s
.	.	Z
za	za	Sa
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x50	x50	Xf
mg	mg	Xf
L01XC13	L01XC13	X
061	061	Mdc
pertuzumab	pertuzuma	Ncmpg
Perjeta	Perjet	Npmsg
konc	konc	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x420	x420	Mdc
mg	mg	Agpmsgy
L01XE02	L01XE0	Npmsg
161	161	Mdc
gefitinib	gefitini	Ncmpg
Iressa	Iress	Npmsg
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
30	30	Mdc
x250	x250	Mdc
mg	mg	Y
L01XE03	L01XE03	Mdc
161	161	Mdc
erlotinib	erlotini	Ncmpg
Tarceva	Tarcev	Npmsg
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
30	30	Mdc
x150	x150	Mdc
mg	mg	Y
L01XE04	L01XE04	Mdc
161	161	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
30	30	Mdc
x12	x12	Y
,	,	Z
5	5	Mdc
mg	mg	Y
L01XE04	L01XE04	Mdc
162	162	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
30	30	Mdc
x25	xi	Agpmsgy
mg	mg	Agpmsgy
L01XE04	L01XE04	Mdc
163	163	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
30	30	Mdc
x50	xi	Agpmsgy
mg	mg	Agpmsgy
L01XE04	L01XE04	Mdc
164	164	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x12	x12	Y
,	,	Z
5	5	Mdc
mg	mg	Y
L01XE04	L01XE04	Mdc
165	165	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x25	xi	Agpmsgy
mg	mg	Agpmsgy
L01XE04	L01XE04	Mdc
166	166	Mdc
sunitinib	sunitini	Ncmpg
Sutent	Sutent	Npmsan
caps	caps	Ncmsan
.	.	Z
tvrda	tvrd	Agpfsny
28	28	Mdc
x50	xi	Agpmsgy
mg	mg	Agpmsgy
L01XE05	L01XE05	Mdc
171	171	Mdc
sorafenib	sorafeni	Ncmpg
Nexavar	Nexavar	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obe	Ncnsg
.	.	Z
112	112	Mdc
x200	x200	Mdc
mg	mg	Agpmsgy
L01XE06	L01XE0	Npmsg
161	161	Mdc
dasatinib	dasatini	Ncmpg
Sprycel	Sprycel	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
60	60	Mdc
x20	x20	Xf
mg	mg	Xf
L01XE06	L01XE06	Mdc
163	163	Mdc
dasatinib	dasatini	Ncmpg
Sprycel	Sprycel	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
30	30	Mdc
x100	x100	Mdc
mg	mg	Y
L01XE07	L01XE07	Mdc
161	161	Mdc
lapatinib	lapatini	Ncmpg
Tyverb	Tyverb	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
70	70	Mdc
x250	x250	Mdc
mg	mg	Y
L01XE08	L01XE08	Mdc
171	171	Mdc
nilotinib	nilotini	Ncmpg
Tasigna	Tasign	Npmsg
caps	caps	Pi-mpi
.	.	Z
tvrda	tvrd	Agpfsny
112	112	Mdc
x200	x200	Mdc
mg	mg	Agpmsgy
L01XE09	L01XE0	Npmsg
071	071	Mdc
temsirolimus	temsirolimus	Xf
Torisel	Torisel	Npmsan
konc	konc	Ncmsan
.	.	Z
i	i	Cc
otap	otap	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x30	x30	X
mg	mg	Xf
/	/	Z
1,2	1,2	Mdc
ml	ml	Y
+	+	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Rgp
.	.	Z
1	1	Mdc
x2	xi	Agpnsny
,	,	Z
2	2	Mdc
ml	ml	Cc
L01XE10	L01XE10	Mdc
161	161	Mdc
everolimus	everolimus	Xf
Afinitor	Afinitor	Xf
tbl	tbl	Ncmsan
.	.	Z
30	30	Mdc
x5	x5	Xf
mg	mg	Xf
L01XE10	L01XE10	Mdc
162	162	Mdc
everolimus	everolimus	Xf
Afinitor	Afinitor	Xf
tbl	tbl	Ncmsan
.	.	Z
30	30	Mdc
x10	x10	Xf
mg	mg	Xf
L01XE11	L01XE11	Mdc
161	161	Mdc
pazopanib	pazopani	Ncmpg
Votrient	Votrient	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
30	30	Mdc
x200	x200	Mdc
mg	mg	Y
L01XE11	L01XE11	Mdc
162	162	Mdc
pazopanib	pazopani	Ncmpg
Votrient	Votrient	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
30	30	Mdc
x400	x400	Mdc
mg	mg	Y
L01XE13	L01XE13	Mdc
161	161	Mdc
afatinib	afatini	Ncmpg
Giotrif	Giotrif	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
28	28	Mdc
x20	x20	Xf
mg	mg	Xf
L01XE13	L01XE13	Mdc
162	162	Mdc
afatinib	afatini	Ncmpg
Giotrif	Giotrif	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
28	28	Mdc
x30	x30	Xf
mg	mg	Xf
L01XE13	L01XE13	Mdc
163	163	Mdc
afatinib	afatini	Ncmpg
Giotrif	Giotrif	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
28	28	Mdc
x40	x40	Xf
mg	mg	Xf
L01XE13	L01XE13	Mdc
164	164	Mdc
afatinib	afatini	Ncmpg
Giotrif	Giotrif	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
28	28	Mdc
x50	x50	Xf
mg	mg	Xf
L01XE15	L01XE15	Mdc
061	061	Mdc
vemurafenib	vemurafeni	Ncmpg
Zelboraf	Zelboraf	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
56	56	Mdc
x240	x240	Mdc
mg	mg	Y
L01XE16	L01XE16	Mdc
161	161	Mdc
krizotinib	krizotini	Ncmpg
Xalkori	xalkor	Agpmsny
caps	caps	Ncmsn
.	.	Z
tvrda	tvrd	Agpfsny
60	60	Mdc
x200	x200	Mdc
mg	mg	Y
L01XE16	L01XE16	Mdc
162	162	Mdc
krizotinib	krizotini	Ncmpg
Xalkori	xalkor	Agpmsny
caps	caps	Ncmsn
.	.	Z
tvrda	tvrd	Agpfsny
60	60	Mdc
x250	x250	Mdc
mg	mg	Y
L01XE17	L01XE17	Mdc
161	161	Mdc
aksitinib	aksitini	Ncmpg
Inlyta	Inlyt	Npmsg
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
56	56	Mdc
x1	x1	Xf
mg	mg	Xf
L01XE17	L01XE17	Mdc
162	162	Mdc
aksitinib	aksitini	Ncmpg
Inlyta	Inlyt	Npmsg
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
56	56	Mdc
x5	x5	Xf
mg	mg	Xf
L01XX32	L01XX32	Mdc
001	001	Mdc
bortezomib	bortezomib	Y
Bortezomib	Bortezomib	Npmsn
Pliva	plivati	Vmr3s
praš	praš	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x1	x1	Xf
mg	mg	Xf
L01XX32	L01XX32	X
002	002	Mdc
bortezomib	bortezomib	Y
Bortezomib	Bortezomib	Npmsn
Pliva	plivati	Vmr3s
praš	praš	Ncmsan
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x3	xi	Agpnsny
,	,	Z
5	5	Mdc
mg	mg	Y
L01XX32	L01XX32	Mdc
041	041	Mdc
bortezomib	bortezomi	Ncmpg
Bortezomib	Bortezomib	Npfsg
PharmaS	PharmaS	Npfsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
1	1	Mdc
x3	xi	Agpnsny
,	,	Z
5	5	Mdc
mg	mg	Y
/	/	Z
10	10	Mdc
ml	ml	Y
L01XX32	L01XX32	X
061	061	Mdc

