građenje	građenje	Ncnsn
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
i	i	Cc
sumnja	sumnjati	Vmr3s
na	na	Sa
prijevaru	prijevara	Ncfsa

–	–	Pq3n-n
ako	ako	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
dostavi	dostaviti	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
u	u	Sl
za	za	Sa
to	taj	Pd-nsa
predviđenom	predvidjeti	Agpmsly
roku	rok	Ncmsl
.	.	Z

IV	IV	Mrc
.	.	Z

ZAHTJEV	zahtjev	Ncmsn
ZA	za	Sa
ISPLATU	isplata	Ncfsa
,	,	Z
POSTUPAK	postupak	Ncmsan
OBRADE	obrada	Ncfsg
I	i	Cc
DONOŠENJE	donošenje	Ncnsa
ODLUKE	odluka	Ncfsg

Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa

Članak	članak	Ncmsn
24.	24.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
korisniku	korisnik	Ncmsd
isplaćuje	isplaćivati	Vmr3s
temeljem	temelj	Ncmsi
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
/	/	Z
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
jednokratno	jednokratno	Rgp
ili	ili	Cc
u	u	Sa
najviše	mnogo	Rgs
dvije	dva	Mlcf-n
rate	rata	Ncfsg
kako	kako	Cs
slijedi	slijediti	Vmr3s
:	:	Z

–	–	Agpmsny
Zahtjev	zahtjev	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
prve	prvi	Mlofsg
rate	rata	Ncfsg
u	u	Sl
iznosu	iznos	Ncmsl
do	do	Sg
50	50	Mdc
%	%	Z
ukupno	ukupno	Rgp
odobrene	odobren	Agpfsgy
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
dostaviti	dostaviti	Vmn
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
nakon	nakon	Sg
odluke	odluka	Ncfsg
o	o	Sl
dodjeli	dodjela	Ncfsl
sredstava	sredstvo	Ncnpg
i	i	Cc
plaćenih	platiti	Appmpgy
računa	račun	Ncmpg
za	za	Sa
troškove	trošak	Ncmpa
za	za	Sa
ulaganja	ulaganje	Ncnpa
prikazanih	prikazan	Agpmpgy
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
do	do	Sg
podnošenja	podnošenje	Ncnsg
prvog	prvi	Mlomsg
zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
i	i	Cc

–	–	Z
Zahtjev	zahtjev	Ncmsan
za	za	Sa
isplatu	isplata	Ncfsa
druge	drugi	Mlofsg
/	/	Z
konačne	konačan	Agpfsgy
rate	rata	Ncfsg
korisnik	korisnik	Ncmsn
mora	morati	Vmr3s
poslati	poslati	Vmn
nakon	nakon	Sg
plaćenih	platiti	Appmpgy
računa	račun	Ncmpg
za	za	Sa
sva	sav	Agpnpay
ulaganja	ulaganje	Ncnpa
prikazanih	prikazan	Agpfpgy
u	u	Sl
poslovnom	poslovan	Agpmsly
planu	plan	Ncmsl
a	a	Cc
sukladno	sukladno	Rgp
članku	članak	Ncmsd
10.	10.	Mdo
stavku	stavak	Ncmsl
14.	14.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
putem	put	Sg
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
tražiti	tražiti	Vmn
predujam	predujam	Ncmsan
za	za	Sa
ulaganje	ulaganje	Ncnsa
i	i	Cc
to	to	Qo
do	do	Sg
50	50	Mdc
%	%	Z
odobrenih	odobren	Agpnpgy
sredstava	sredstvo	Ncnpg
javne	javan	Agpfsgy
potpore	potpora	Ncfsg
.	.	Z

Uvjet	uvjet	Ncmsn
za	za	Sa
isplatu	isplata	Ncfsa
predujma	predujam	Ncmsg
jest	biti	Var3s
dostava	dostava	Ncfsn
bankarske	bankarski	Agpfsgy
garancije	garancija	Ncfsg
plative	plativ	Agpfsgy
»	»	Z
na	na	Sa
prvi	prvi	Mlomsan
poziv	poziv	Ncmsan
«	«	Z
i	i	Cc
»	»	Z
bez	bez	Sg
prigovora	prigovor	Ncmsg
«	«	Z
u	u	Sl
stopostotnoj	stopostotni	Agpfsly

