zamjenjuje	zamjenjivati	Vmr3s
Europske	europski	Agpfsgy
unije	unija	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
67.	67.	Mdo

U	u	Sl
članku	članak	Ncmsl
243.	243.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Pl	PL	Xf
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
općinski	općinski	Agpmsny
i	i	Cc
«	«	Z

Članak	članak	Ncmsn
68.	68.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
243.	243.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
243.	243.	Mdo
a	a	Cc
s	sa	Si
naslovom	naslov	Ncmsi
iznad	iznad	Sg
njega	on	Pp3msg
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
42.	42.	Mdo
a	a	Cc
Upisnik	upisnik	Ncmsn
za	za	Sa
predmete	predmet	Ncmpa
europskog	europski	Agpmsgy
platnog	platni	Agpmsgy
naloga	nalog	Ncmsg
i	i	Cc
europskog	europski	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
sporove	spor	Ncmpa
male	mali	Agpfsgy
vrijednosti	vrijednost	Ncfsg
(	(	Z
P-eu	P-e	Npmsl
)	)	Z

Članak	članak	Ncmsn
243.	243.	Mdo
a	a	Cc

U	u	Sa
upisnik	upisnik	Ncmsan
P-eu	P-e	Npmsl
trgovački	trgovački	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
predmete	predmet	Ncmpa
vezano	vezan	Agpnsny
za	za	Sa
postupanje	postupanje	Ncnsa
po	po	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
1896/2006	1896/2006	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
12.	12.	Mdo
prosinca	prosinac	Ncmsg
2006.	2006.	Mdo
godine	godina	Ncfsg
o	o	Sl
uvođenju	uvođenje	Ncnsl
europskog	europski	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
izdavanje	izdavanje	Ncnsa
platnog	platni	Agpmsgy
naloga	nalog	Ncmsg
te	te	Cc
predmete	predmet	Ncmpa
vezano	vezan	Agpnsny
za	za	Sa
postupanje	postupanje	Ncnsa
po	po	Sl
Uredbi	uredba	Ncfsl
(	(	Z
EZ	EZ	Npmsn
)	)	Z
br.	br.	Y
861/2007	861/2007	Mdc
Europskog	europski	Agpmsgy
parlamenta	parlament	Ncmsg
i	i	Cc
Vijeća	vijeće	Ncnsg
od	od	Sg
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2007.	2007.	Mdo
godine	godina	Ncfsg
o	o	Sl
uvođenju	uvođenje	Ncnsl
europskog	europski	Agpmsgy
postupka	postupak	Ncmsg
za	za	Sa
sporove	spor	Ncmpa
male	mali	Agpfsgy
vrijednosti	vrijednost	Ncfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
69.	69.	Mdo

Članak	članak	Ncmsn
259.	259.	Mdo
s	sa	Si
naslovom	naslov	Ncmsi
iznad	iznad	Sg
njega	on	Pp3msg
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
70.	70.	Mdo

U	u	Sl
članku	članak	Ncmsl
263.	263.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
točki	točka	Ncfsl
31.	31.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
sudu	sud	Ncmsl
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
i	i	Cc
prijem	prijem	Ncmsan
ustupljenih	ustupiti	Appmpgy
spisa	spis	Ncmpg
«	«	Z
.	.	Z

Članak	članak	Ncmsn
71.	71.	Mdo

Članak	članak	Ncmsn
267.	267.	Mdo
s	sa	Si
naslovom	naslov	Ncmsi
iznad	iznad	Sg
njega	on	Pp3msg
mijenjaju	mijenjati	Vmr3p
se	sebe	Px--sa
i	i	Cc
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
5.	5.	Mdo
Upisnici	upisnik	Ncmpn
za	za	Sa
prvostupanjske	prvostupanjski	Agpmpay
predmete	predmet	Ncmpa
izvršenja	izvršenje	Ncnsg
kaznenih	kazneni	Agpfpgy
sankcija	sankcija	Ncfpg
(	(	Z
Su-Ik	su-ik	Ncmsn
)	)	Z

Članak	članak	Ncmsn
267.	267.	Mdo

U	u	Sa
upisnik	upisnik	Ncmsan
Su-Ik	su-ik	Agpmpny
općinski	općinski	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
vremenskim	vremenski	Agpmsiy
slijedom	slijed	Ncmsi
primljene	primljen	Agpmpay
naloge	nalog	Ncmpa
za	za	Sa
izvršenje	izvršenje	Ncnsa
kaznenopravnih	kaznenopravni	Agpfpgy
sankcija	sankcija	Ncfpg
(	(	Z
osim	osim	Sg
izvršenja	izvršenje	Ncnsg
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
)	)	Z
na	na	Sl
temelju	temelj	Ncmsl
pravomoćnih	pravomoćan	Agpmpgy
i	i	Cc
izvršnih	izvršan	Agpfpgy
odluka	odluka	Ncfpg
sudova	sud	Ncmpg
protiv	protiv	Sg
osuđenih	osuđen	Agpfpgy
osoba	osoba	Ncfpg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
72.	72.	Mdo

Iza	iza	Sg
članka	članak	Ncmsg
268.	268.	Mdo
dodaje	dodavati	Vmr3s
se	sebe	Px--sa
članak	članak	Ncmsn
268.	268.	Mdo
a	a	Cc
s	sa	Si
naslovom	naslov	Ncmsi
iznad	iznad	Sg
njega	on	Pp3msg
koji	koji	Pi-mpn
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
1.	1.	Mdo
a	a	Cc
Knjiga	knjiga	Ncfsn
snimki	snimka	Ncfpg
ispitivanja	ispitivanje	Ncnsg
okrivljenika	okrivljenik	Ncmpg
i	i	Cc
izdvojenih	izdvojiti	Agpmpgy
nezakonitih	nezakonit	Agpmpgy
dokaza	dokaz	Ncmpg
Kir	Kir	Npmsn
1	1	Mdc

Članak	članak	Ncmsn
268.	268.	Mdo
a	a	Cc

U	u	Sa
knjigu	knjiga	Ncfsa
snimki	snimka	Ncfsl
ispitivanja	ispitivanje	Ncnsg
okrivljenika	okrivljenik	Ncmpg
županijski	županijski	Agpmpny
sudovi	sud	Ncmpn
upisuju	upisivati	Vmr3p
snimke	snimka	Ncfpa
ispitivanja	ispitivanje	Ncnsg
okrivljenika	okrivljenik	Ncmpg
koje	koji	Pi-mpa
su	biti	Var3p
predane	predati	Appfpny
sucu	sudac	Ncmsd
istrage	istraga	Ncfpn
na	na	Sa
čuvanje	čuvanje	Ncnsa
te	te	Cc
izdvojene	izdvojiti	Agpmpay
nezakonite	nezakonit	Agpmpay
dokaze	dokaz	Ncmpa
iz	iz	Sg
spisa	spis	Ncmsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
73.	73.	Mdo

U	u	Sl
članku	članak	Ncmsl
286.	286.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Dosadašnji	dosadašnji	Agpmsny
stavak	stavak	Ncmsn
3.	3.	Mdo
postaje	postajati	Vmr3s
stavak	stavak	Ncmsan
2.	2.	Mdo

Članak	članak	Ncmsn
74.	74.	Mdo

U	u	Sl
članku	članak	Ncmsl
287.	287.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
uvjetna	uvjetan	Agpfsny
osuda	osuda	Ncfsn
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
ili	ili	Cc
djelomična	djelomičan	Agpfsny
uvjetna	uvjetan	Agpfsny
osoba	osoba	Ncfsn
kod	kod	Sg
koje	koji	Pi-fsg
je	biti	Var3s
okrivljenik	okrivljenik	Ncmsn
uslijed	uslijed	Sg
uračunavanja	uračunavanje	Ncnsg
pritvora	pritvor	Ncmsg
odnosno	odnosno	Rgp
istražnog	istražni	Agpmsgy
zatvora	zatvor	Ncmsg
već	već	Rgp
izdržao	izdržati	Vmp-sm
neuvjetovani	neuvjetovan	Agpmsayn
dio	dio	Ncmsan
kazne	kazna	Ncfsg
zatvora	zatvor	Ncmsg
,	,	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
75.	75.	Mdo

U	u	Sl
članku	članak	Ncmsl
291.	291.	Mdo
stavak	stavak	Ncmsn
3.	3.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
76.	76.	Mdo

U	u	Sl
članku	članak	Ncmsl
292.	292.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
goni	goniti	Vmr3s
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
kazneni	kazneni	Agpmsny
postupak	postupak	Ncmsn
pokreće	pokretati	Vmr3s
«	«	Z
.	.	Z

Stavak	stavak	Ncmsn
3.	3.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
77.	77.	Mdo

Članak	članak	Ncmsn
293.	293.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
78.	78.	Mdo

U	u	Sl
članku	članak	Ncmsl
294.	294.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Predmeti	predmet	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
prema	prema	Sl
kaznenom	kazneni	Agpmsly
ili	ili	Cc
prekršajnom	prekršajni	Agpmsly
zakonu	zakon	Ncmsl
imaju	imati	Vmr3p
oduzeti	oduzeti	Vmn
ili	ili	Cc
koji	koji	Pi-mpn
mogu	moći	Vmr3p
poslužiti	poslužiti	Vmn
kao	kao	Cs
dokaz	dokaz	Ncmsn
u	u	Sl
kaznenom	kazneni	Agpmsly
ili	ili	Cc
prekršajnom	prekršajni	Agpmsly
postupku	postupak	Ncmsl
ili	ili	Cc
su	biti	Var3p
pronađeni	pronaći	Appmpny
kod	kod	Sg
okrivljenika	okrivljenik	Ncmpg
,	,	Z
a	a	Cc
ne	ne	Qz
zna	znati	Vmr3s
se	sebe	Px--sa
čiji	čiji	Pi-mpn
su	biti	Var3p
(	(	Z
sumnjive	sumnjiv	Agpfpny
stvari	stvar	Ncfpn
)	)	Z
,	,	Z
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
u	u	Sa
knjigu	knjiga	Ncfsa
oduzetih	oduzeti	Appmpgy
predmeta	predmet	Ncmpg
(	(	Z
Kop	Kop	Npmsn
)	)	Z
koju	koji	Pi-fsa
vodi	voditi	Vmr3s
sudska	sudski	Agpfsny
pisarnica	pisarnica	Ncfsn
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
79.	79.	Mdo

U	u	Sl
članku	članak	Ncmsl
300.	300.	Mdo
stavci	stavak	Ncmpn
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
mijenjaju	mijenjati	Vmr3p
se	sebe	Px--sa
i	i	Cc
glase	glasiti	Vmr3p
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
upisnik	upisnik	Ncmsan
Ovrv	Ovrv	Npmsn
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
samo	samo	Rgp
predmeti	predmet	Ncmpn
proslijeđeni	proslijediti	Appmpny
od	od	Sg
javnih	javan	Agpmpgy
bilježnika	bilježnik	Ncmpg
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
281.	281.	Mdo
stavak	stavak	Ncmsn
2.	2.	Mdo
Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
upisnik	upisnik	Ncmsan
Ovr	Ovr	Npmsn
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
svi	sav	Agpmpny
predmeti	predmet	Ncmpn
po	po	Sl
prijedlozima	prijedlog	Ncmpl
i	i	Cc
zahtjevima	zahtjev	Ncmpl
na	na	Sl
temelju	temelj	Ncmsl
ovršnih	ovršni	Agpfpgy
isprava	isprava	Ncfpg
,	,	Z
osim	osim	Sg
predmeta	predmet	Ncmpg
koji	koji	Pi-mpn
su	biti	Var3p
proslijeđeni	proslijediti	Appmpny
od	od	Sg
javnog	javan	Agpmsgy
bilježnika	bilježnik	Ncmsg
na	na	Sl
temelju	temelj	Ncmsl
članka	članak	Ncmsg
282.	282.	Mdo

Ovršnog	ovršni	Agpmsgy
zakona	zakon	Ncmsg
radi	radi	Sg
provedbe	provedba	Ncfsg
postupka	postupak	Ncmsg
po	po	Sl
prigovoru	prigovor	Ncmsl
protiv	protiv	Sg
rješenja	rješenje	Ncnsg
o	o	Sl
ovrsi	ovrha	Ncfsl
na	na	Sl
temelju	temelj	Ncmsl
vjerodostojne	vjerodostojan	Agpfsgy
isprave	isprava	Ncfsg
koje	koji	Pi-nsn
nije	biti	Var3s
postalo	postati	Vmp-sn
pravomoćno	pravomoćan	Agpnsny
,	,	Z
a	a	Cc
koji	koji	Pi-mpn
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
u	u	Sa
upisnik	upisnik	Ncmsan
Povrv	Povrv	Npfsg
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
80.	80.	Mdo

Članak	članak	Ncmsn
302.	302.	Mdo
briše	brisati	Vmr3s
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
81.	81.	Mdo

U	u	Sl
članku	članak	Ncmsl
304.	304.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječ	riječ	Ncfsn
:	:	Z
»	»	Z
im	oni	Pp3-pd
«	«	Z
zamjenjuje	zamjenjivati	Vmr3s
se	sebe	Px--sa
riječju	riječ	Ncfsi
:	:	Z
»	»	Z
mu	on	Pp3msd
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
ili	ili	Cc
Ovrv	Ovrv	Npfsn
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
82.	82.	Mdo

Članak	članak	Ncmsn
305.	305.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
nazančenje	nazančenja	Ncfpa
naplaćenog	naplatiti	Agpmsgy
iznosa	iznos	Ncmsg
«	«	Z
zamjenjuju	zamjenjivati	Vmr3p
se	sebe	Px--sa
riječima	riječ	Ncfpi
:	:	Z
»	»	Z
naznaku	naznaka	Ncfsa
iznosa	iznos	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
naplaćen	naplatiti	Appmsnn
«	«	Z
.	.	Z

Članak	članak	Ncmsn
83.	83.	Mdo

U	u	Sl
članku	članak	Ncmsl
307.	307.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
ako	ako	Cs
je	biti	Var3s
sastavljen	sastaviti	Appmsnn
,	,	Z
«	«	Z
brišu	brisati	Vmr3p
se	sebe	Px--sa
.	.	Z

Članak	članak	Ncmsn
84.	84.	Mdo

U	u	Sl
članku	članak	Ncmsl
312.	312.	Mdo
stavak	stavak	Ncmsn
1.	1.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	»	Z
(	(	Z
1	1	Mdc
)	)	Z
Nakon	nakon	Sg
primitka	primitak	Ncmsg
smrtovnice	smrtovnica	Ncfsg
,	,	Z
izvatka	izvadak	Ncmsg
iz	iz	Sg
državne	državni	Agpfsgy
matice	matica	Ncfsg
ili	ili	Cc
prijedloga	prijedlog	Ncmsg
stranke	stranka	Ncfsg
za	za	Sa
pokretanje	pokretanje	Ncnsa
ostavinskog	ostavinski	Agpmsgy
postupaka	postupak	Ncmsg
te	te	Cc

