pažnjom	pažnja	Ncfsi
Prilogu	Prilogu	Npmsn
III	III	Mrc
.	.	Z
,	,	Z
točki	točka	Ncfsl
4.	4.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

U	u	Sl
objektima	objekt	Ncmpl
do	do	Sg
50	50	Mdc
kreveta	krevet	Ncmpg
,	,	Z
propisani	propisati	Appmpny
elementi	element	Ncmpn
(	(	Z
zahodska	zahodski	Agpfsny
školjka	školjka	Ncfsn
,	,	Z
umivaonik	umivaonik	Ncmsn
,	,	Z
pisoar	pisoar	Ncmsn
i	i	Cc
tuš	tuš	Ncmsn
)	)	Z
mogu	moći	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
u	u	Sl
jednoj	jedan	Agpfsly
prostoriji	prostorija	Ncfsl
,	,	Z

2.	2.	Mdo
garderobu	garderoba	Ncfsa
s	sa	Si
dvodijelnim	dvodijelan	Agpmpiy
garderobnim	garderobni	Agpmpiy
ormarićima	ormarić	Ncmpi
s	sa	Si
ključem	ključ	Ncmsi
,	,	Z
a	a	Cc
radna	radni	Agpfsny
odjeća	odjeća	Ncfsn
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
odlagati	odlagati	Vmn
u	u	Sa
ormarić	ormarić	Ncmsan
u	u	Sa
koji	koji	Pi-msn
se	sebe	Px--sa
odlaže	odlagati	Vmr3s
osobna	osoban	Agpfsny
odjeća	odjeća	Ncfsn
.	.	Z

2.5.8.	2.5.8.	Mdo

Isticanje	isticanje	Ncnsn
naziva	naziv	Ncmsg
vrste	vrsta	Ncfsg
i	i	Cc
naziva	nazivati	Vmr3s
objekta	objekt	Ncmsg

Članak	članak	Ncmsn
28.	28.	Mdo

Na	na	Sl
glavnom	glavni	Agpmsly
ulazu	ulaz	Ncmsl
u	u	Sa
objekt	objekt	Ncmsan
ugostitelj	ugostitelj	Ncmsn
mora	morati	Vmr3s
na	na	Sa
primjeren	primjeren	Agpmsann
način	način	Ncmsan
istaknuti	istaknuti	Agpmsny
naziv	naziv	Ncmsn
vrste	vrsta	Ncfsg
i	i	Cc
naziv	naziv	Ncmsn
objekta	objekt	Ncmsg
,	,	Z
te	te	Cc
tvrtku	tvrtka	Ncfsa
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
ili	ili	Cc
obrta	obrt	Ncmsg
.	.	Z

2.6.	2.6.	Mdo

MINIMALNI	minimalan	Agpmpny
UVJETI	uvjet	Ncmpn
ZA	za	Sa
OBJEKT	objekt	Ncmsan
ZA	za	Sa
ROBINZONSKI	robinzonski	Agpmsayn
SMJEŠTAJ	smještaj	Ncmsan

Članak	članak	Ncmsn
29.	29.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
vrstu	vrsta	Ncfsa
Objekt	objekt	Ncmsan
za	za	Sa
robinzonski	robinzonski	Agpmsayn
smještaj	smještaj	Ncmsan
,	,	Z
propisani	propisati	Appmpny
su	biti	Var3p
u	u	Sl
Prilogu	prilog	Ncmsl
IV	IV	Mrc
.	.	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Kapacitet	kapacitet	Ncmsn
objekta	objekt	Ncmsg
određuje	određivati	Vmr3s
se	sebe	Px--sa
prema	prema	Sl
broju	broj	Ncmsl
gostiju	gost	Ncmpg
koji	koji	Pi-mpn
mogu	moći	Vmr3p
sigurno	sigurno	Rgp
boraviti	boraviti	Vmn
u	u	Sl
njemu	on	Pp3msl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Inspektor	inspektor	Ncmsn
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
može	moći	Vmr3s
zahtijevati	zahtijevati	Vmn
provedbu	provedba	Ncfsa
dodatnih	dodatan	Agpfpgy
mjera	mjera	Ncfpg
zaštite	zaštita	Ncfsg
od	od	Sg
požara	požar	Ncmsg
.	.	Z

3.	3.	Mdo
VRSTE	vrsta	Ncfsg
OBJEKATA	objekt	Ncmpg
I	i	Cc
UVJETI	uvjet	Ncmpn
ZA	za	Sa
VRSTE	vrsta	Ncfpa

Članak	članak	Ncmsn
30.	30.	Mdo

Objekti	objekt	Ncmpn
iz	iz	Sg
skupine	skupina	Ncfsg
Ostali	ostali	Agpmpny
ugostiteljski	ugostiteljski	Agpmpny
objekti	objekt	Ncmpn
za	za	Sa
smještaj	smještaj	Ncmsan
razvrstavaju	razvrstavati	Vmr3p
se	sebe	Px--sa
sukladno	sukladno	Rgp
obveznim	obvezan	Agpfpiy
ugostiteljskim	ugostiteljski	Agpfpiy
uslugama	usluga	Ncfpi
u	u	Sa
vrste	vrsta	Ncfpa
:	:	Z

1.	1.	Mdo
Soba	soba	Ncfsn
,	,	Z

2.	2.	Mdo
Apartman	apartman	Ncmsan
,	,	Z

3.	3.	Mdo
Studio	studio	Ncmsn
apartman	apartman	Ncmsan
,	,	Z

4.	4.	Mdo
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
,	,	Z

5.	5.	Mdo
Prenoćište	prenoćište	Ncnsn
,	,	Z

6.	6.	Mdo
Odmaralište	odmaralište	Ncnsn
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z

7.	7.	Mdo
Hostel	hostel	Ncmsn
,	,	Z

8.	8.	Mdo
Planinarski	planinarski	Agpmsny
dom	dom	Ncmsn
,	,	Z

9.	9.	Mdo
Lovački	lovački	Agpmsny
dom	dom	Ncmsn
,	,	Z

10.	10.	Mdo

Učenički	učenički	Agpmsny
dom	dom	Ncmsn
ili	ili	Cc
Studentski	studentski	Agpmsny
dom	dom	Ncmsn
ili	ili	Cc
Akademis	Akademis	Npmsn
,	,	Z

11.	11.	Mdo

Objekt	objekt	Ncmsn
za	za	Sa
robinzonski	robinzonski	Agpmsayn
smještaj	smještaj	Ncmsan
.	.	Z

Članak	članak	Ncmsn
31.	31.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
u	u	Sa
vrste	vrsta	Ncfpa
Soba	soba	Ncfsn
,	,	Z
Apartman	apartman	Ncmsn
,	,	Z
Studio	studio	Ncmsn
apartman	apartman	Ncmsan
i	i	Cc
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
za	za	Sa
najnižu	nizak	Agsfsay
kategoriju	kategorija	Ncfsa
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	I.	Npmsn
i	i	Cc
II	ii	Mrc
.	.	Z
,	,	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
u	u	Sa
vrste	vrsta	Ncfpa
Prenoćište	prenoćište	Ncnsa
,	,	Z
Odmaralište	odmaralište	Ncnsn
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z
Hostel	Hostel	Npmsn
,	,	Z
Planinarski	planinarski	Agpmsny
dom	dom	Ncmsn
,	,	Z
Lovački	lovački	Agpmsny
dom	dom	Ncmsn
i	i	Cc
Učenički	učenički	Agpmsny
dom	dom	Ncmsn
ili	ili	Cc
Studentski	studentski	Agpmsny
dom	dom	Ncmsn
ili	ili	Cc
Akademis	Akademis	Npmsn
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
i	i	Cc
uvjeti	uvjet	Ncmpn
propisani	propisati	Appmpny
u	u	Sl
Prilogu	prilog	Ncmsl
III	III	Mrc
.	.	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Za	za	Sa
razvrstavanje	razvrstavanje	Ncnsa
u	u	Sa
vrstu	vrsta	Ncfsa
Objekt	objekt	Ncmsn
za	za	Sa
robinzonski	robinzonski	Agpmsayn
smještaj	smještaj	Ncmsan
moraju	morati	Vmr3p
biti	biti	Van
ispunjeni	ispuniti	Appmpny
minimalni	minimalan	Agpmpny
uvjeti	uvjet	Ncmpn
za	za	Sa
Objekt	objekt	Ncmsan
za	za	Sa
robinzonski	robinzonski	Agpmsayn
smještaj	smještaj	Ncmsan
i	i	Cc
uvjeti	uvjet	Ncmpn
propisani	propisati	Appmpny
u	u	Sl
prilogu	prilog	Ncmsl
IV	IV	Mrc
.	.	Z
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Sve	sav	Agpfpny
vrste	vrsta	Ncfpn
objekata	objekt	Ncmpg
mogu	moći	Vmr3p
biti	biti	Van
klupskog	klupski	Agpmsgy
tipa	tip	Ncmsg
(	(	Z
samo	samo	Rgp
za	za	Sa
članove	član	Ncmpa
kluba	klub	Ncmsg
)	)	Z
.	.	Z

3.1.	3.1.	Mdo

VRSTA	vrsta	Ncfsn
SOBA	sob	Ncmsg

Članak	članak	Ncmsn
32.	32.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Soba	soba	Ncfsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Sobi	soba	Ncfsl
ugostitelj	ugostitelj	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.2.	3.2.	Mdo

VRSTA	vrsta	Ncfsn
APARTMAN	apartman	Ncmsn

Članak	članak	Ncmsn
33.	33.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Apartman	apartman	Ncmsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
sam	sam	Agpmsnn
može	moći	Vmr3s
pripremati	pripremati	Vmn
i	i	Qo
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Apartmanu	apartman	Ncmsl
ugostitelj	ugostitelj	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.3.	3.3.	Mdo

VRSTA	vrsta	Ncfsn
STUDIO	studio	Ncmsn
APARTMAN	apartman	Ncmsn

Članak	članak	Ncmsn
34.	34.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Studio	studio	Ncmsn
apartman	apartman	Ncmsn
je	biti	Var3s
objekt	objekt	Ncmsn
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
u	u	Sl
jednoj	jedan	Agpfsly
prostoriji	prostorija	Ncfsl
može	moći	Vmr3s
spavati	spavati	Vmn
,	,	Z
boraviti	boraviti	Vmn
,	,	Z
pripremati	pripremati	Vmn
i	i	Cc
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Studio	Studi	Npmsl
apartmanu	apartman	Ncmsl
ugostitelj	ugostitelj	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.4.	3.4.	Mdo

VRSTA	vrsta	Ncfsn
KUĆA	kuća	Ncfpg
ZA	za	Sa
ODMOR	odmor	Ncmsan

Članak	članak	Ncmsn
35.	35.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kuća	kuća	Ncfsn
za	za	Sa
odmor	odmor	Ncmsan
je	biti	Var3s
objekt	objekt	Ncmsan
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
i	i	Cc
korištenja	korištenje	Ncnsg
okućnice	okućnica	Ncfsg
,	,	Z
opremljen	opremiti	Appmsnn
da	da	Cs
gost	gost	Ncmsn
sam	sam	Agpmsnn
može	moći	Vmr3s
pripremati	pripremati	Vmn
i	i	Qo
konzumirati	konzumirati	Vmn
hranu	hrana	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
Kući	kuća	Ncfsl
za	za	Sa
odmor	odmor	Ncmsan
ugostitelj	ugostitelj	Ncmsn
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

3.5.	3.5.	Mdo

VRSTA	vrsta	Ncfsn
PRENOĆIŠTE	prenoćište	Ncnsn

Članak	članak	Ncmsn
36.	36.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prenoćište	prenoćište	Ncnsn
je	biti	Var3s
funkcionalna	funkcionalan	Agpfsny
cjelina	cjelina	Ncfsn
sa	sa	Si
zasebnim	zaseban	Agpmsiy
ulazom	ulaz	Ncmsi
,	,	Z
horizontalnim	horizontalan	Agpmsiy
i	i	Cc
vertikalnim	vertikalan	Agpfply
komunikacijama	komunikacija	Ncfpl
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
smještaja	smještaj	Ncmsg
,	,	Z
a	a	Cc
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smještajne	smještajan	Agpfpny
jedinice	jedinica	Ncfpn
u	u	Sl
Prenoćištu	prenoćište	Ncnsl
su	biti	Var3p
sobe	soba	Ncfpn
.	.	Z

3.6.	3.6.	Mdo

VRSTA	vrsta	Ncfsn
ODMARALIŠTE	odmaralište	Ncnsn
ZA	za	Sa
DJECU	dijete	Ncnpa

Članak	članak	Ncmsn
37.	37.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odmaralište	odmaralište	Ncnsn
za	za	Sa
djecu	dijete	Ncnpa
je	biti	Var3s
funkcionalna	funkcionalan	Agpfsny
cjelina	cjelina	Ncfsn
sa	sa	Si
zasebnim	zaseban	Agpmsiy
ulazom	ulaz	Ncmsi
,	,	Z
horizontalnim	horizontalan	Agpmsiy
i	i	Cc
vertikalnim	vertikalan	Agpfply
komunikacijama	komunikacija	Ncfpl
,	,	Z
u	u	Sl
kojem	koji	Pi-msl
ugostitelj	ugostitelj	Ncmsn
pruža	pružati	Vmr3s
uslugu	usluga	Ncfsa
organiziranog	organiziran	Agpmsgy
smještaja	smještaj	Ncmsg
djece	dijete	Ncnpg
,	,	Z
a	a	Cc
može	moći	Vmr3s
pružati	pružati	Vmn
usluge	usluga	Ncfpa
prehrane	prehrana	Ncfsg
,	,	Z
pića	piće	Ncnsg
i	i	Cc
napitaka	napitak	Ncmpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Smještajne	smještajan	Agpfpny
jedinice	jedinica	Ncfpn
u	u	Sl
Odmaralištu	odmaralište	Ncnsl
za	za	Sa
djecu	dijete	Ncnpa
su	biti	Var3p
sobe	soba	Ncfpa
i	i	Cc
/	/	Z
ili	ili	Cc
spavaonice	spavaonica	Ncfpa
.	.	Z

3.7.	3.7.	Mdo

VRSTA	vrsta	Ncfsn
HOSTEL	hostel	Ncmsn

Članak	članak	Ncmsn
38.	38.	Mdo

(	(	Z
1	1	Mdc
)	)	Z

