prvog	prvi	Mlomsg
i	i	Cc
povrća	povrće	Ncnsg
zahtijeva	zahtijevati	Vmr3s
provedbu	provedba	Ncfsa
pratećih	prateći	Agpfpgy
mjera	mjera	Ncfpg
među	među	Si
učenicima	učenik	Ncmpi
osnovne	osnovan	Agpfsgy
i	i	Cc
srednje	srednji	Agpfsgy
škole	škola	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
provodit	provoditi	Vmn
će	htjeti	Var3p
se	sebe	Px--sa
jedna	jedan	Mlcfsn
ili	ili	Cc
više	mnogo	Rgc
sljedećih	sljedeći	Agpfpgy
pratećih	prateći	Agpfpgy
mjera	mjera	Ncfpg
:	:	Z

–	i	Agpnsny
organiziranje	organiziranje	Ncnsn
satova	sat	Ncmpg
kušanja	kušanje	Ncnsg
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg

–	i	Agpnsny
održavanje	održavanje	Ncnsn
nastave	nastava	Ncfsg
u	u	Sl
vrtu	vrt	Ncmsl

–	–	Z
posjet	posjet	Ncmsn
poljoprivrednim	poljoprivredni	Agpnply
gospodarstvima	gospodarstvo	Ncnpl
koja	koji	Pi-npn
se	sebe	Px--sa
bave	baviti	Vmr3p
proizvodnjom	proizvodnja	Ncfsi
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
i	i	Cc
slične	sličan	Agpfsgy
aktivnosti	aktivnost	Ncfsg
usmjerene	usmjeriti	Vmr3s
na	na	Sa
povezivanje	povezivanje	Ncnsa
djece	dijete	Ncnpg
s	sa	Si
poljoprivredom	poljoprivreda	Ncfsi
i	i	Cc

–		Agpfpgy
edukacija	edukacija	Ncfpg
djece	dijete	Ncnpg
o	o	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
zdravim	zdrav	Agpfpiy
prehrambenim	prehramben	Agpfpiy
navikama	navika	Ncfpi
i	i	Cc
zaštiti	zaštita	Ncfsl
okoliša	okoliš	Ncmsg
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
proizvodnjom	proizvodnja	Ncfsi
,	,	Z
distribucijom	distribucija	Ncfsi
i	i	Cc
potrošnjom	potrošnja	Ncfsi
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
poljoprivredu	poljoprivreda	Ncfsa
,	,	Z
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
i	i	Cc
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsny
za	za	Sa
zdravlje	zdravlje	Ncnsa
provodit	provoditi	Vmn
će	htjeti	Var3s
mjere	mjera	Ncfpa
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
svojih	svoj	Px-fpg
nadležnosti	nadležnost	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Škole	škola	Ncfpn
i	i	Cc
dobavljači	dobavljač	Ncmpn
sukladno	sukladno	Rgp
ugovoru	ugovor	Ncmsl
zajedno	zajedno	Rgp
sa	sa	Si
tijelom	tijelo	Ncnsi
odobrenim	odobren	Agpmsiy
za	za	Sa
prateće	prateći	Agpfpay
mjere	mjera	Ncfpa
,	,	Z
organizirat	organizirati	Vmn
će	htjeti	Var3s
provedbu	provedba	Ncfsa
pratećih	prateći	Agpfpgy
mjera	mjera	Ncfpg
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
odobreno	odobren	Agpnsny
za	za	Sa
prateće	prateći	Agpfpay
mjere	mjera	Ncfpa
napravit	napraviti	Vmn
će	htjeti	Var3s
godišnje	godišnji	Agpnsay
izvješće	izvješće	Ncnsa
o	o	Sl
provedbi	provedba	Ncfsl
pratećih	prateći	Agpfpgy
mjera	mjera	Ncfpg
u	u	Sl
okviru	okvir	Ncmsl
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
:	:	Z

–	i	Agpfpny
vrsti	vrst	Ncfpn
prateće	prateći	Agpfsgy
mjere	mjera	Ncfsg

–	–	Sl
mjestu	mjesto	Ncnsl
provedbe	provedba	Ncfsg

–	–	Sl
datumu	datum	Ncmsl
održavanja	održavanje	Ncnsg

–	–	Z
broju	broj	Ncmsl
sudionika	sudionik	Ncmpg
i	i	Cc

–	–	Z
samoj	sam	Agpfsly
aktivnosti	aktivnost	Ncfsl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Izvješće	izvješće	Ncnsn
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
tijelo	tijelo	Ncnsa
odobreno	odobriti	Appnsny
za	za	Sa
prateće	prateći	Agpfpay
mjere	mjera	Ncfpa
dostavit	dostaviti	Vmn
će	htjeti	Var3s
ministarstvu	ministarstvo	Ncnsd
nadležnom	nadležan	Agpfsiy
za	za	Sa
poljoprivredu	poljoprivreda	Ncfsa
do	do	Sg
31.	31.	Mdo
srpnja	srpanj	Ncmsg
za	za	Sa
prethodnu	prethodan	Agpfsay
školsku	školski	Agpfsay
godinu	godina	Ncfsa
.	.	Z

Praćenje	praćenje	Ncnsn
i	i	Cc
ocjenjivanje	ocjenjivanje	Ncnsa

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
obavlja	obavljati	Vmr3s
praćenje	praćenje	Ncnsa
utjecaja	utjecaj	Ncmsg
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
na	na	Sl
godišnjoj	godišnji	Agpfsly
razini	razina	Ncfsl
te	te	Cc
ocjenjuje	ocjenjivati	Vmr3s
njenu	njen	Agpfsay
učinkovitost	učinkovitost	Ncfsa
na	na	Sa
prehrambene	prehramben	Agpfpay
navike	navika	Ncfpa
i	i	Cc
zdravlje	zdravlje	Ncnsa
školske	školski	Agpfsgy
djece	dijete	Ncnpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
8.	8.	Mdo
Delegirane	delegiran	Agpfpny
Uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2016/247.	2016/247.	Mdo

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
poljoprivredu	poljoprivreda	Ncfsa
obavlja	obavljati	Vmr3s
praćenje	praćenje	Ncnsa
provedbe	provedba	Ncfsg
Sheme	shema	Ncfsg
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
i	i	Cc
dostavlja	dostavljati	Vmr3s
Europskoj	europski	Agpfsly
komisiji	komisija	Ncfsl
izvješće	izvješće	Ncnsn
o	o	Sl
ocjenjivanju	ocjenjivanje	Ncnsl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
6.	6.	Mdo
Provedbene	provedbeni	Agpfsgy
Uredbe	uredba	Ncfsg
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2016/248.	2016/248.	Mdo

Suspenzija	suspenzija	Ncfsn
i	i	Cc
povlačenje	povlačenje	Ncnsa
odobrenja	odobrenje	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

Ako	ako	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
ne	ne	Qz
poštuje	poštovati	Vmr3s
obveze	obveza	Ncfpa
propisane	propisati	Appfpny
Delegiranom	delegiran	Agpfsiy
Uredbom	uredba	Ncfsi
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2016/247	2016/247	Mdc
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
7.	7.	Mdo
Delegirane	delegiran	Agpfpny
Uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
2016/247	2016/247	Mdc
nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
iz	iz	Sg
članka	članak	Ncmsg
10.	10.	Mdo
suspendira	suspendirati	Vmr3s
,	,	Z
povlači	povlačiti	Vmr3s
odobrenje	odobrenje	Ncnsa
ili	ili	Cc
ponovno	ponovno	Rgp
odobrava	odobravati	Vmr3s
podnositelja	podnositelj	Ncmsay
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

Uvjeti	uvjet	Ncmpn
za	za	Sa
odobravanje	odobravanje	Ncnsa
potpore	potpora	Ncfsg

Članak	članak	Ncmsn
16.	16.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Podnositelji	podnositelj	Ncmpn
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
potporu	potpora	Ncfsa
Shemi	shema	Ncfsl
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
podnosi	podnositi	Vmr3s
Zahtjev	zahtjev	Ncmsan
za	za	Sa
potporu	potpora	Ncfsa
Agenciji	agencija	Ncfsl
za	za	Sa
plaćanja	plaćanje	Ncnpa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
isporuku	isporuka	Ncfsa
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
obrascem	obrazac	Ncmsi
iz	iz	Sg
Priloga	prilog	Ncmsg
IV	IV	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
vodi	voditi	Vmr3s
tabličnu	tablični	Agpfsay
evidenciju	evidencija	Ncfsa
u	u	Sl
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
s	sa	Si
podacima	podatak	Ncmpi
o	o	Sl
:	:	Z

–	i	Agpmsdy
nazivu	naziv	Ncmsd
i	i	Cc
adresi	adresa	Ncfsl
škole	škola	Ncfsg
kojoj	koji	Pi-fsl
je	biti	Var3s
isporučio	isporučiti	Vmp-sm
voće	voće	Ncnsa
i	i	Cc
povrće	povrće	Ncnsa

–	i	Agpmsdy
broju	broj	Ncmsd
učenika	učenik	Ncmpg
u	u	Sl
školi	škola	Ncfsl
koji	koji	Pi-mpn
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
Shemi	shema	Ncfsl
školskog	školski	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg

–	–	Sl
datumu	datum	Ncmsl
,	,	Z
vrsti	vrsta	Ncfsl
i	i	Cc
količini	količina	Ncfsl
isporučenog	isporučiti	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
i	i	Cc

–	–	Sl
cijeni	cijena	Ncfsl
isporučenog	isporučiti	Agpnsgy
voća	voće	Ncnsg
i	i	Cc
povrća	povrće	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
praćenje	praćenje	Ncnsa
i	i	Cc
ocjenjivanje	ocjenjivanje	Ncnsa
,	,	Z
podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
promociju	promocija	Ncfsa
i	i	Cc
podnositelj	podnositelj	Ncmsn
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
potporu	potpora	Ncfsa
za	za	Sa
prateće	prateći	Agpfpay
mjere	mjera	Ncfpa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
obrascem	obrazac	Ncmsi
iz	iz	Sg
Priloga	prilog	Ncmsg
V	V	X
ovoga	ovaj	Pd-nsg

