prsa	prsa	Ncnpn
puls	puls	Ncmsan
,	,	Z
tlak	tlak	Ncmsn
i	i	Cc
temperatura	temperatura	Ncfsn
,	,	Z
stanje	stanje	Ncnsn
kože	koža	Ncfsg
,	,	Z
mokrenje	mokrenje	Ncnsa
,	,	Z
stolica	stolica	Ncfsn
,	,	Z
bol	bol	Ncmsn
i	i	Cc
druge	drugi	Mlofpa
vitalne	vitalan	Agpfpay
funkcije	funkcija	Ncfpa
,	,	Z
u	u	Sl
pravilu	pravilo	Ncnsl
svakih	svaki	Agpfpgy
15	15	Mdc
minuta	minuta	Ncfpg
prva	prvi	Mlofsn
2	2	Mdc
sata	sat	Ncmsg
,	,	Z
a	a	Cc
nadalje	nadalje	Rgp
ovisno	ovisno	Rgp
o	o	Sl
okolnostima	okolnost	Ncfpl
i	i	Cc
uputi	uputa	Ncfsl
doktora	doktor	Ncmsg
medicine	medicina	Ncfsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Prilikom	prilikom	Sg
hranjenja	hranjenje	Ncnsg
potrebno	potreban	Agpnsny
je	biti	Var3s
osloboditi	osloboditi	Vmn
pacijentu	pacijent	Ncmsd
jednu	jedan	Mlcfsa
ruku	ruka	Ncfsa
ili	ili	Cc
olabaviti	olabaviti	Vmn
fizičko	fizički	Agpnsay
pomagalo	pomagalo	Ncnsa
ako	ako	Cs
za	za	Sa
to	taj	Pd-nsa
postoji	postojati	Vmr3s
mogućnost	mogućnost	Ncfsn
,	,	Z
a	a	Cc
ako	ako	Cs
to	taj	Pd-nsn
nije	biti	Var3s
moguće	moguć	Agpnsny
,	,	Z
pacijenta	pacijent	Ncmsg
je	biti	Var3s
potrebno	potreban	Agpnsny
hraniti	hraniti	Vmn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
stanje	stanje	Ncnsn
pacijenta	pacijent	Ncmsg
takvo	takav	Pd-nsa
da	da	Cs
se	sebe	Px--sa
ne	ne	Qz
mogu	moći	Vmr3p
svakih	svaki	Agpfpgy
15	15	Mdc
minuta	minuta	Ncfpg
u	u	Sl
prva	prvi	Mlofsn
2	2	Mdc
sata	sat	Ncmsg
izmjeriti	izmjeriti	Vmn
vitalne	vitalan	Agpfpay
funkcije	funkcija	Ncfpa
,	,	Z
obavezno	obavezno	Rgp
ih	oni	Pp3-pa
treba	trebati	Vmr3s
izmjeriti	izmjeriti	Vmn
nakon	nakon	Sg
30	30	Mdc
do	do	Sg
najviše	mnogo	Rgs
60	60	Mdc
minuta	minuta	Ncfpg
od	od	Sg
početka	početak	Ncmsg
sputavanja	sputavanje	Ncnsg
.	.	Z

2.2.	2.2.	Mdo

Standardni	standardan	Agpmsny
postupak	postupak	Ncmsn
kod	kod	Sg
odvajanja	odvajanje	Ncnsg

Članak	članak	Ncmsn
12.	12.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odvajanje	odvajanje	Ncnsn
ili	ili	Cc
izolacija	izolacija	Ncfsn
je	biti	Var3s
privremena	privremen	Agpfsny
terapijska	terapijski	Agpfsny
mjera	mjera	Ncfsn
prisile	prisila	Ncfsg
koja	koji	Pi-fsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
u	u	Sl
stanjima	stanje	Ncnpl
ekstremne	ekstreman	Agpfsgy
eskalacije	eskalacija	Ncfsg
pacijentove	pacijentov	Agpfsgy
agresivnosti	agresivnost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odvajanje	odvajanje	Ncnsn
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
samo	samo	Rgp
ako	ako	Cs
su	biti	Var3p
manje	malo	Rgc
restriktivne	restriktivan	Agpfpny
mjere	mjera	Ncfpn
neefikasne	neefikasan	Agpfpny
u	u	Sl
očuvanju	očuvanje	Ncnsl
ili	ili	Cc
preusmjeravanju	preusmjeravanje	Ncnsl
pacijentova	pacijentov	Ncmpg
ponašanja	ponašanje	Ncnsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Soba	soba	Ncfsn
za	za	Sa
odvajanje	odvajanje	Ncnsa
je	biti	Var3s
posebna	poseban	Agpfsny
prostorija	prostorija	Ncfsn
na	na	Sl
odjelu	odjel	Ncmsl
namijenjena	namijeniti	Appfsny
samo	samo	Rgp
za	za	Sa
mjeru	mjera	Ncfsa
odvajanja	odvajanje	Ncnsg
pacijenta	pacijent	Ncmsg
i	i	Cc
ima	imati	Vmr3s
videonadzor	videonadzor	Ncmsan
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Na	na	Sa
pacijenta	pacijent	Ncmsay
smještenog	smješten	Agpmsgy
u	u	Sl
sobu	soba	Ncfsa
za	za	Sa
odvajanje	odvajanje	Ncnsa
ne	ne	Qz
smije	smjeti	Vmr3s
se	sebe	Px--sa
istovremeno	istovremeno	Rgp
primjenjivati	primjenjivati	Vmn
mjera	mjera	Ncfsn
sputavanja	sputavanje	Ncnsg
.	.	Z

Članak	članak	Ncmsn
13.	13.	Mdo

Pacijenti	pacijent	Ncmpn
koji	koji	Pi-mpn
su	biti	Var3p
suicidalni	suicidalan	Agpmpny
,	,	Z
intoksicirani	intoksiciran	Agpmpny
,	,	Z
sa	sa	Si
srčanim	srčan	Agpfpiy
ili	ili	Cc
respiratornim	respiratoran	Agpfpiy
smetnjama	smetnja	Ncfpi
,	,	Z
koji	koji	Pi-msan
imaju	imati	Vmr3p
konvulzije	konvulzija	Ncfpa
ili	ili	Cc
drugu	drugi	Mlofsa
organsku	organski	Agpfsay
bolest	bolest	Ncfsa
,	,	Z
ne	ne	Qz
smiju	smjeti	Vmr3p
se	sebe	Px--sa
odvajati	odvajati	Vmn
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Prije	prije	Sg
odvajanja	odvajanje	Ncnsg
pacijenta	pacijent	Ncmsg
treba	trebati	Vmr3s
pregledati	pregledati	Vmn
i	i	Cc
obavezno	obavezno	Rgp
evidentirati	evidentirati	Vmn
sve	sav	Agpfpay
njegove	njegov	Ps3fpa
povrede	povreda	Ncfpa
,	,	Z
ako	ako	Cs
postoje	postojati	Vmr3p
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prije	prije	Sg
odvajanja	odvajanje	Ncnsg
pacijenta	pacijent	Ncmsg
se	sebe	Px--sa
presvlači	presvlačiti	Vmr3s
u	u	Sa
pidžamu	pidžama	Ncfsa
i	i	Cc
čarape	čarapa	Ncfpa
,	,	Z
a	a	Cc
sve	sav	Agpfpny
njegove	njegov	Ncfpn
osobne	osoban	Agpfpny
stvari	stvar	Ncfpn
čuvaju	čuvati	Vmr3p
se	sebe	Px--sa
na	na	Sl
određenom	određen	Agpnsly
mjestu	mjesto	Ncnsl
.	.	Z

Potrebno	potreban	Agpnsny
je	biti	Var3s
odmah	odmah	Rgp
popisati	popisati	Vmn
sve	sav	Agpfpay
vrijednosti	vrijednost	Ncfpa
i	i	Cc
dragocjenosti	dragocjenost	Ncfpg
uzete	uzeti	Appfpny
od	od	Sg
pacijenta	pacijent	Ncmsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Nakon	nakon	Sg
smještaja	smještaj	Ncmsg
u	u	Sl
sobu	sob	Ncmsl
za	za	Sa
odvajanje	odvajanje	Ncnsa
,	,	Z
vrata	vrat	Ncmsg
sobe	soba	Ncfsg
moraju	morati	Vmr3p
biti	biti	Van
zaključana	zaključati	Appfsny
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Medicinska	medicinski	Agpfsny
setra	setra	Ncfsn
/	/	Z
medicinski	medicinski	Agpmsny
tehničar	tehničar	Ncmsn
obvezno	obvezno	Rgp
promatra	promatrati	Vmr3s
pacijenta	pacijent	Ncmsay
svakih	svaki	Agpfpgy
15	15	Mdc
minuta	minuta	Ncfpg
kroz	kroz	Sa
prozor	prozor	Ncmsan
zaključanih	zaključati	Appnpgy
vrata	vrata	Ncnpg
ili	ili	Cc
pomoću	pomoć	Sg
videonadzora	videonadzor	Ncmsg
,	,	Z
a	a	Cc
položaj	položaj	Ncmsn
monitora	monitor	Ncmsg
mora	morati	Vmr3s
biti	biti	Van
takav	takav	Pd-msn
da	da	Cs
samo	samo	Rgp
zdravstveni	zdravstven	Agpmsny
radnik	radnik	Ncmsn
vidi	vidjeti	Vmr3s
pacijenta	pacijent	Ncmsay
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Ako	ako	Cs
je	biti	Var3s
pacijent	pacijent	Ncmsn
vidno	vidno	Rgp
uznemiren	uznemiriti	Appmsnn
ili	ili	Cc
agresivan	agresivan	Agpmsnn
potreban	potreban	Agpmsnn
je	biti	Var3s
stalni	stalan	Agpmsny
nadzor	nadzor	Ncmsn
jedne	jedan	Mlcfsg
medicinske	medicinski	Agpfsgy
sestre	sestra	Ncfsg
/	/	Z
medicinskog	medicinski	Agpmsgy
tehničara	tehničar	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Pacijentu	pacijent	Ncmsd
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
sobi	soba	Ncfsl
za	za	Sa
odvajanje	odvajanje	Ncnsa
daje	davati	Vmr3s
se	sebe	Px--sa
pauza	pauza	Ncfsn
u	u	Sl
trajanju	trajanje	Ncnsl
od	od	Sg
15	15	Mdc
minuta	minuta	Ncfpg
svakih	svaki	Agpfpgy
1	1	Mdc
do	do	Sg
2	2	Mdc
sata	sat	Ncmsg
da	da	Cs
se	sebe	Px--sa
razgiba	razgibati	Vmr3s
pod	pod	Si
nadzorom	nadzor	Ncmsi
zdravstvenih	zdravstven	Agpmpgy
radnika	radnik	Ncmpg
,	,	Z
a	a	Cc
prije	prije	Rgp
i	i	Qo
poslije	poslije	Sg
pauze	pauza	Ncfsg
radi	raditi	Vmr3s
se	sebe	Px--sa
procjena	procjena	Ncfsn
stanja	stanje	Ncnsg
pacijenta	pacijent	Ncmsg
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
moglo	moći	Vmp-sn
utvrditi	utvrditi	Vmn
da	da	Cs
li	li	Qq
postupak	postupak	Ncmsn
odvajanja	odvajanje	Ncnsg
treba	trebati	Vmr3s
nastaviti	nastaviti	Vmn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
U	u	Sl
sobi	soba	Ncfsl
za	za	Sa
odvajanje	odvajanje	Ncnsa
obroci	obrok	Ncmpn
se	sebe	Px--sa
serviraju	servirati	Vmr3p
u	u	Sl
plastičnom	plastičan	Agpnsly
posuđu	posuđe	Ncnsl
,	,	Z
a	a	Cc
pacijentu	pacijent	Ncmsd
se	sebe	Px--sa
mora	morati	Vmr3s
osigurati	osigurati	Vmn
dovoljna	dovoljan	Agpfsny
količina	količina	Ncfsn
tekućine	tekućina	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ako	ako	Cs
to	taj	Pd-nsa
zdravstveno	zdravstven	Agpnsny
stanje	stanje	Ncnsn
pacijenta	pacijent	Ncmsg
dopušta	dopuštati	Vmr3s
,	,	Z
doktor	doktor	Ncmsn
medicine	medicina	Ncfsg
može	moći	Vmr3s
dogovoriti	dogovoriti	Vmn
s	sa	Si
pacijentom	pacijent	Ncmsi
i	i	Cc
medicinskim	medicinski	Agpfpiy
sestrama	sestra	Ncfpi
/	/	Z
medicinskim	medicinski	Agpfply

