međusobna	međusoban	Agpnpay
Ugovor	ugovor	Ncmsan
,	,	Z
preporučenom	preporučiti	Appfsiy
pošiljkom	pošiljka	Ncfsi
s	sa	Si
povratnicom	povratnica	Ncfsi
ili	ili	Cc
osobno	osobno	Rgp
u	u	Sl
roku	rok	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
smatrat	smatrati	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
odustao	odustati	Vmp-sm
od	od	Sg
sklapanja	sklapanje	Ncnsg
Ugovora	ugovor	Ncmsg
te	te	Cc
će	htjeti	Var3s
se	sebe	Px--sa
Odluka	odluka	Ncfsn
o	o	Sl
dodjeli	dodjela	Ncfsl
potpore	potpora	Ncfsg
poništiti	poništiti	Vmn
.	.	Z

Odobrenje	odobrenje	Ncnsn
promjena	promjena	Ncfpg

Članak	članak	Ncmsn
13.	13.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
postoje	postojati	Vmr3p
opravdani	opravdati	Agpmpny
razlozi	razlog	Ncmpn
,	,	Z
tijekom	tijekom	Sg
provedbe	provedba	Ncfsg
Ugovora	ugovor	Ncmsg
moguće	moguć	Agpnsny
je	biti	Var3s
napraviti	napraviti	Vmn
izmjene	izmjena	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
odnositi	odnositi	Vmn
na	na	Sa
promjenu	promjena	Ncfsa
predmeta	predmet	Ncmsg
potpore	potpora	Ncfsg
te	te	Cc
rok	rok	Ncmsn
izvršenja	izvršenje	Ncnsg
projekta	projekt	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Razlozi	razlog	Ncmpn
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
su	biti	Var3p
isključivo	isključivo	Rgp
sljedeći	sljedeći	Agpmpny
:	:	Z

a.	a.	Ncfsn
viša	visok	Agcfsny
sila	sila	Ncfsn
,	,	Z

b.	bi	Agpfpay
promjene	promjena	Ncfpa
nastale	nastao	Agpfpay
kao	kao	Cs
posljedica	posljedica	Ncfsn
potrebe	potreba	Ncfsg
za	za	Sa
usklađivanjem	usklađivanje	Ncnsi
sa	sa	Si
zakonodavstvom	zakonodavstvo	Ncnsi
,	,	Z

c.	c.	Pi-fsn
situacija	situacija	Ncfsn
koja	koji	Pi-fsn
se	sebe	Px--sa
nije	biti	Var3s
mogla	moći	Vmp-sf
predvidjeti	predvidjeti	Vmn
u	u	Sl
trenutku	trenutak	Ncmsl
ugovaranja	ugovaranje	Ncnsg
(	(	Z
nemogućnost	nemogućnost	Ncfsn
dobavljača	dobavljač	Ncmpg
da	da	Cs
pruži	pružiti	Vmr3s
usluge	usluga	Ncfpa
,	,	Z
nabavi	nabaviti	Vmr3s
robu	roba	Ncfsa
ili	ili	Cc
izvede	izvesti	Vmr3s
radove	rad	Ncmpa
što	što	Pi3n-a
iziskuje	iziskivati	Vmr3s
ili	ili	Cc
promjenu	promjena	Ncfsa
dobavljača	dobavljač	Ncmpg
ili	ili	Cc
prolongaciju	prolongacija	Ncfsa
roka	rok	Ncmsg
izvršenja	izvršenje	Ncnsg
Ugovora	ugovor	Ncmsg
,	,	Z
uvođenje	uvođenje	Ncnsn
nove	nov	Agpfsgy
tehnologije	tehnologija	Ncfsg
koja	koji	Pi-fsn
može	moći	Vmr3s
znatno	znatno	Rgp
povećati	povećati	Vmn
učinkovitost	učinkovitost	Ncfsa
projekta	projekt	Ncmsg
i	i	Cc
sl.	sl.	Y
)	)	Z
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
potrebe	potreba	Ncfsg
za	za	Si
izmjenom	izmjena	Ncfsi
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovog	ovaj	Pd-msg
članka	članak	Ncmsg
korisnik	korisnik	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
zatražiti	zatražiti	Vmn
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
u	u	Sl
obliku	oblik	Ncmsl
Zahtjeva	zahtjev	Ncmpg
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
uz	uz	Sa
odgovarajuću	odgovarajući	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
to	taj	Pd-nsa
potvrđuje	potvrđivati	Vmr3s
,	,	Z
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
najviše	mnogo	Rgs
30	30	Mdc
dana	dan	Ncmpg
od	od	Sg
dana	dan	Ncmsg
pojave	pojava	Ncfsg
događaja	događaj	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
izazvao	izazvati	Vmp-sm
promjene	promjena	Ncfpa
.	.	Z

Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
može	moći	Vmr3s
zatražiti	zatražiti	Vmn
dodatnu	dodatan	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Odobrenjem	odobrenje	Ncnsi
promjena	promjena	Ncfpg
ne	ne	Qz
može	moći	Vmr3s
se	sebe	Px--sa
mijenjati	mijenjati	Vmn
ukupno	ukupno	Rgp
odobren	odobren	Agpmsnn
iznos	iznos	Ncmsn
potpore	potpora	Ncfsg
korisniku	korisnik	Ncmsd
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
će	htjeti	Var3s
odobriti	odobriti	Vmn
izvođenje	izvođenje	Ncnsa
promjena	promjena	Ncfpg
koje	koji	Pi-fpn
su	biti	Var3p
opravdane	opravdati	Appfpny
te	te	Cc
će	htjeti	Var3s
izvijestiti	izvijestiti	Vmn
korisnika	korisnik	Ncmpg
.	.	Z

Korisnik	korisnik	Ncmsn
može	moći	Vmr3s
započeti	započeti	Vmn
s	sa	Si
izvršenjem	izvršenje	Ncnsi
projekta	projekt	Ncmsg
s	sa	Si
promjenama	promjena	Ncfpi
po	po	Sl
zaprimanju	zaprimanje	Ncnsl
odobrenja	odobrenje	Ncnsg
promjena	promjena	Ncfpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
promjene	promjena	Ncfpn
sadržane	sadržati	Appfpny
u	u	Sl
Zahtjevu	zahtjev	Ncmsl
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
nisu	biti	Var3p
opravdane	opravdati	Appfpny
,	,	Z
Uprava	uprava	Ncfsn
ribarstva	ribarstvo	Ncnsg
će	htjeti	Var3s
odbiti	odbiti	Vmn
Zahtjev	zahtjev	Ncmsan
za	za	Sa
odobrenje	odobrenje	Ncnsa
promjena	promjena	Ncfpg
o	o	Sl
čemu	što	Pi3n-l
će	htjeti	Var3s
izvijestiti	izvijestiti	Vmn
korisnika	korisnik	Ncmpg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
se	sebe	Px--sa
administrativnom	administrativan	Agpfsiy
kontrolom	kontrola	Ncfsi
ili	ili	Cc
kontrolom	kontrola	Ncfsi
na	na	Sl
terenu	teren	Ncmsl
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
promjene	promjena	Ncfsg
izvršio	izvršiti	Vmp-sm
bez	bez	Sg
odobrenja	odobrenje	Ncnsg
promjena	promjena	Ncfpg
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
iste	isti	Agpfsgy
će	htjeti	Var3s
se	sebe	Px--sa
smatrati	smatrati	Vmn
neprihvatljivim	neprihvatljiv	Agpmsiy
troškom	trošak	Ncmsi
i	i	Cc
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
zatražiti	zatražiti	Vmn
povrat	povrat	Ncmsan
novčanih	novčan	Agpnpgy
sredstava	sredstvo	Ncnpg
koja	koji	Pi-npn
nisu	biti	Var3p
utrošena	utrošiti	Appnpny
sukladno	sukladan	Agpnsay
Ugovoru	ugovor	Ncmsd
.	.	Z

Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
ne	ne	Qz
izvrši	izvršiti	Vmr3s
povrat	povrat	Ncmsan
,	,	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
Ugovor	ugovor	Ncmsn
sklopljen	sklopiti	Appmsnn
s	sa	Si
korisnikom	korisnik	Ncmsi
raskinuti	raskinuti	Vmn
.	.	Z

Isplata	isplata	Ncfsn
i	i	Cc
povrat	povrat	Ncmsn
potpore	potpora	Ncfsg

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Potpora	potpora	Ncfsn
se	sebe	Px--sa
isplaćuje	isplaćivati	Vmr3s
na	na	Sa
račun	račun	Ncmsan
korisnika	korisnik	Ncmpg
,	,	Z
a	a	Cc
sukladno	sukladno	Rgp
odredbama	odredba	Ncfpi
Ugovora	ugovor	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
će	htjeti	Var3s
Odlukom	odluka	Ncfsi
o	o	Sl
povratu	povrat	Ncmsl
potpore	potpora	Ncfsg
od	od	Sg
korisnika	korisnik	Ncmpg
zahtijevati	zahtijevati	Vmn
povrat	povrat	Ncmsan
u	u	Sl
slučaju	slučaj	Ncmsl
:	:	Z

a	a	Cc
)	)	Z
administrativne	administrativan	Agpfsgy
pogreške	pogreška	Ncfsg
;	;	Z

b	b	Npmsn
)	)	Z
ukoliko	ukoliko	Cs
se	sebe	Px--sa
utvrdi	utvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
korisnik	korisnik	Ncmsn
nezakonito	nezakonito	Rgp
ostvario	ostvariti	Vmp-sm
potporu	potpora	Ncfsa
;	;	Z

c	C	Npmsn
)	)	Z
korištenja	korištenje	Ncnsg
predmeta	predmet	Ncmsg
sufinanciranja	sufinanciranje	Ncnsg
na	na	Sa
način	način	Ncmsan
koji	koji	Pi-msn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
namjenom	namjena	Ncfsi
;	;	Z

d		Agpnpgy
)	)	Z
raskidanja	raskidanje	Ncnsg
Ugovora	ugovor	Ncmsg
;	;	Z

e	e	I
)	)	Z
da	da	Cs
ribarska	ribarski	Agpfsny
zadruga	zadruga	Ncfsn
nije	biti	Var3s
u	u	Sl
potpunosti	potpunost	Ncfsl
opravdala	opravdati	Vmp-sf
dodijeljeni	dodijeljen	Agpmsayn
iznos	iznos	Ncmsan
potpore	potpora	Ncfsg
za	za	Sa
Mjeru	mjera	Ncfsa
3.	3.	Mdo

(	(	Z
3	3	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
isplaćenu	isplatiti	Agpfsay
potporu	potpora	Ncfsa
vratiti	vratiti	Vmn
u	u	Sl
iznosu	iznos	Ncmsl
,	,	Z
na	na	Sa
način	način	Ncmsan
i	i	Cc
u	u	Sl
roku	rok	Ncmsl
određenim	određen	Agpmply
u	u	Sl
Odluci	odluka	Ncfsl
o	o	Sl
povratu	povrat	Ncmsl
potpore	potpora	Ncfsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
korisnik	korisnik	Ncmsn
nije	biti	Var3s
postupio	postupiti	Vmp-sm
sukladno	sukladno	Rgp
Odluci	odluka	Ncfsl
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
na	na	Sa
iznos	iznos	Ncmsan
koji	koji	Pi-msn
podliježe	podlijegati	Vmr3s
povratu	povrat	Ncmsd
se	sebe	Px--sa
nakon	nakon	Sg
isteka	istek	Ncmsg
roka	rok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
obračunava	obračunavati	Vmr3s
zakonska	zakonski	Agpfsny
zatezna	zatezni	Agpfsny
kamata	kamata	Ncfsn
.	.	Z

Povjerenstvo	povjerenstvo	Ncnsn
za	za	Sa
odlučivanje	odlučivanje	Ncnsa
o	o	Sl
prigovorima	prigovor	Ncmpl

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odluke	odluka	Ncfpn
izdane	izdati	Appfpny
sukladno	sukladno	Rgp
ovome	ovaj	Pd-msd
Pravilniku	pravilnik	Ncmsd
nisu	biti	Var3p
upravni	upravan	Agpmpny
akti	akt	Ncmpn
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
donesene	donesen	Agpfpay
Odluke	odluka	Ncfpa
sukladno	sukladno	Rgp
ovome	ovaj	Pd-msl
Pravilniku	pravilnik	Ncmsl
podnositelj	podnositelj	Ncmsn
Prijave	prijava	Ncfsg
ili	ili	Cc
korisnik	korisnik	Ncmsn
može	moći	Vmr3s
uložiti	uložiti	Vmn

