nacionalnog	nacionalan	Agpnsgy
dokaže	dokazati	Vmr3s
svoju	svoj	Px-fsa
sukladnost	sukladnost	Ncfsa
s	sa	Si
uvjetima	uvjet	Ncmpi
utvrđenima	utvrditi	Ncmpi
u	u	Sl
relevantnim	relevantan	Agpfply
usklađenim	uskladiti	Agpfply
normama	norma	Ncfpl
ili	ili	Cc
njihovim	njihov	Agpmpdy
dijelovima	dio	Ncmpd
,	,	Z
na	na	Sa
koje	koji	Pi-mpa
su	biti	Var3p
upućivanja	upućivanje	Ncnsg
objavljena	objaviti	Appfsny
u	u	Sl
Službenom	služben	Agpmsly
listu	list	Ncmsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
smatra	smatrati	Vmr3s
se	sebe	Px--sa
da	da	Cs
je	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
sa	sa	Si
zahtjevima	zahtjev	Ncmpi
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ako	ako	Cs
važeće	važeći	Agpfsgy
usklađene	uskladiti	Appfsgy
norme	norma	Ncfsg
obuhvaćaju	obuhvaćati	Vmr3p
te	taj	Pd-mpa
zahtjeve	zahtjev	Ncmpa
.	.	Z

Članak	članak	Ncmsn
22.	22.	Mdo

Poduzeća	poduzeće	Ncnpn
kćeri	kći	Ncfpg
prijavljenih	prijaviti	Agpnpgy
tijela	tijelo	Ncnpg
i	i	Cc
sklapanje	sklapanje	Ncnsa
ugovora	ugovor	Ncmpg
prijavljenih	prijaviti	Appmpgy
tijela	tijelo	Ncnsg
s	sa	Si
podizvođačem	podizvođač	Ncmsi

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
prijavljeno	prijaviti	Agpnsny
tijelo	tijelo	Ncnsn
za	za	Sa
određene	određen	Agpfpay
zadaće	zadaća	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ocjenjivanjem	ocjenjivanje	Ncnsi
sukladnosti	sukladnost	Ncfsg
sklapa	sklapati	Vmr3s
ugovor	ugovor	Ncmsan
s	sa	Si
podizvođačem	podizvođač	Ncmsi
ili	ili	Cc
ih	oni	Pp3-pa
prenosi	prenositi	Vmr3s
na	na	Sa
poduzeće	poduzeće	Ncnsa
kćer	kći	Ncfpg
,	,	Z
mora	morati	Vmr3s
osigurati	osigurati	Vmn
da	da	Cs
podizvođač	podizvođač	Ncmsn
ili	ili	Cc
tvrtka	tvrtka	Ncfsn
kćer	kći	Ncfsa
ispunjava	ispunjavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
20.	20.	Mdo
o	o	Sl
čemu	što	Ncmsl
obavješćuje	obavješćivati	Vmr3s
ministarstvo	ministarstvo	Ncnsa
nadležno	nadležan	Agpnsay
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prijavljena	prijaviti	Appnpny
tijela	tijelo	Ncnsg
preuzimaju	preuzimati	Vmr3p
punu	pun	Agpfsay
odgovornost	odgovornost	Ncfsa
za	za	Sa
zadaće	zadaća	Ncfpa
koje	koji	Pi-fpn
obavljaju	obavljati	Vmr3p
podizvođači	podizvođač	Ncmpn
ili	ili	Cc
tvrtke	tvrtka	Ncfpn
kćeri	kći	Ncfsg
bez	bez	Sg
obzira	obzir	Ncmsg
na	na	Sa
njihov	njihov	Ps3msan
poslovni	poslovan	Agpmsayn
nastan	nastan	Ncmsan
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Aktivnosti	aktivnost	Ncfpn
se	sebe	Px--sa
mogu	moći	Vmr3p
ugovoriti	ugovoriti	Vmn
s	sa	Si
podizvođačem	podizvođač	Ncmsi
ili	ili	Cc
ih	oni	Pp3-pa
može	moći	Vmr3s
izvršiti	izvršiti	Vmn
tvrtka	tvrtka	Ncfsn
kćer	kći	Ncfsa
isključivo	isključivo	Rgp
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
klijenta	klijent	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Prijavljena	prijaviti	Appnpny
tijela	tijelo	Ncnpn
čuvaju	čuvati	Vmr3p
na	na	Sl
raspolaganju	raspolaganje	Ncnsl
ministarstvu	ministarstvo	Ncnsl
nadležnom	nadležan	Ncnsg
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
sve	sav	Agpmpay
relevantne	relevantan	Agpmpay
dokumente	dokument	Ncmpa
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
ocjenom	ocjena	Ncfsi
osposobljenosti	osposobljenost	Ncfsg
podugovaratelja	podugovaratelj	Ncmpg
ili	ili	Cc
tvrtke	tvrtka	Ncfsg
kćeri	kći	Ncfsg
,	,	Z
kao	kao	Cs
i	i	Cc
posla	posao	Ncmsg
koje	koji	Pi-nsa
isti	isti	Agpmsayn
obavljaju	obavljati	Vmr3p
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
točkom	točka	Ncfsi
3.2.	3.2.	Mds

Dodatka	dodatak	Ncmsg
I.	I.	Y
i	i	Cc
Dodatkom	dodatak	Ncmsi
II	ii	Mrc
.	.	Z
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Članak	članak	Ncmsn
23.	23.	Mdo

Zahtjev	zahtjev	Ncmsn
za	za	Sa
prijavljivanje	prijavljivanje	Ncnsa

(	(	Z
1	1	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijavljivanje	prijavljivanje	Ncnsa
ministarstvu	ministarstvo	Ncnsl
nadležnom	nadležan	Agpfsiy
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
prijavljivanje	prijavljivanje	Ncnsa
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Uz	uz	Sa
zahtjev	zahtjev	Ncmsan
za	za	Sa
prijavljivanje	prijavljivanje	Ncnsa
mora	morati	Vmr3s
se	sebe	Px--sa
priložiti	priložiti	Vmn
opis	opis	Ncmsan
poslova	posao	Ncmpg
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
,	,	Z
modul	modul	Ncmsn
ili	ili	Cc
moduli	modul	Ncmpn
za	za	Sa
ocjenjivanje	ocjenjivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
i	i	Cc
posude	posuda	Ncfsg
ili	ili	Cc
posuda	posuda	Ncfpg
za	za	Sa
koje	koji	Agpnsay
navedeno	naveden	Agpnsay
tijelo	tijelo	Ncnsa
tvrdi	tvrditi	Vmr3s
da	da	Cs
je	biti	Var3s
osposobljeno	osposobiti	Appnsny
,	,	Z
te	te	Cc
potvrda	potvrda	Ncfsn
o	o	Sl
akreditaciji	akreditacija	Ncfsl
.	.	Z

Članak	članak	Ncmsn
24.	24.	Mdo

Postupak	postupak	Ncmsn
prijavljivanja	prijavljivanje	Ncnsg

(	(	Z
1	1	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
prijavit	prijaviti	Vmn
će	htjeti	Var3s
samo	samo	Rgp
ona	onaj	Pd-npa
tijela	tijelo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
ispunila	ispuniti	Vmp-sf
zahtjeve	zahtjev	Ncmpa
navedene	naveden	Agpmpay
u	u	Sl
članku	članak	Ncmsl
20.	20.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
obavještava	obavještavati	Vmr3s
Komisiju	komisija	Ncfsa
i	i	Cc
države	država	Ncfsg
članice	članica	Ncfsg
uporabom	uporaba	Ncfsi
sredstva	sredstvo	Ncnsg
za	za	Sa
elektroničko	elektronički	Agpnsay
prijavljivanje	prijavljivanje	Ncnsa
koje	koji	Pi-nsn
je	biti	Var3s
razvila	razviti	Vmp-sf
i	i	Qo
kojim	koji	Pi-msi
upravlja	upravljati	Vmr3s
Komisija	komisija	Ncfsn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prijava	prijava	Ncfsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
sve	sav	Agpfpay
informacije	informacija	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
zahtijevaju	zahtijevati	Vmr3p
u	u	Sl
članku	članak	Ncmsl
23.	23.	Mdo
stavku	stavak	Ncmsl
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
za	za	Sa
koje	koji	Pi-nsa
je	biti	Var3s
podnesen	podnijeti	Appmsnn
zahtjev	zahtjev	Ncmsn
može	moći	Vmr3s
obavljati	obavljati	Vmn
aktivnosti	aktivnost	Ncfpa
prijavljenog	prijaviti	Agpnsgy
tijela	tijelo	Ncnsg
ukoliko	ukoliko	Cs
Komisija	komisija	Ncfsn
ili	ili	Cc
ostale	ostali	Agpfpny
države	država	Ncfpn
članice	članica	Ncfpn
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
dva	dva	Mlc
tjedna	tjedan	Ncmsg
od	od	Sg
prijavljivanja	prijavljivanje	Ncnsg
nisu	biti	Var3p
uložile	uložiti	Vmp-pf
nikakav	nikakav	Pi-msan
prigovor	prigovor	Ncmsan
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Tijelo	tijelo	Ncnsn
kojemu	koji	Pi-msd
je	biti	Var3s
Komisija	komisija	Ncfsn
dodijelila	dodijeliti	Vmp-sf
jedinstveni	jedinstven	Agpmsayn
identifikacijski	identifikacijski	Agpmsayn
broj	broj	Ncmsan
smatra	smatrati	Vmr3s
se	sebe	Px--sa
prijavljenim	prijaviti	Agpnsiy
tijelom	tijelo	Ncnsi
u	u	Sl
smislu	smisao	Ncmsl
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
će	htjeti	Var3s
obavijestiti	obavijestiti	Vmn
Komisiju	komisija	Ncfsa
i	i	Cc
ostale	ostali	Agpfpny
države	država	Ncfpn
članice	članica	Ncfpn
o	o	Sl
svim	sav	Agpfply
naknadnim	naknadan	Agpfply
relevantnim	relevantan	Agpfply
izmjenama	izmjena	Ncfpl
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
prijavljivanjem	prijavljivanje	Ncnsi
.	.	Z

Članak	članak	Ncmsn
25.	25.	Mdo

Izmjene	izmjena	Ncfpn
u	u	Sl
prijavama	prijava	Ncfpl

(	(	Z
1	1	Mdc
)	)	Z
Ukoliko	ukoliko	Cs
ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
utvrdi	utvrda	Ncfpg
,	,	Z
ili	ili	Cc
je	biti	Var3s
obaviješteno	obavijestiti	Appnsny
,	,	Z
da	da	Cs
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
više	mnogo	Rgc
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
navedene	naveden	Agpmpay
u	u	Sl
članku	članak	Ncmsl
20.	20.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
ne	ne	Qz
ispunjava	ispunjavati	Vmr3s
svoje	svoj	Px-fpa
obveze	obveza	Ncfpa
,	,	Z
ograničit	ograničiti	Vmn
će	htjeti	Var3s
,	,	Z
obustaviti	obustaviti	Vmn
ili	ili	Cc
povući	povući	Vmn
prijavu	prijava	Ncfsa
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
ozbiljnosti	ozbiljnost	Ncfsl
neispunjenja	neispunjenje	Ncnsg
tih	taj	Pd-mpg
zahtjeva	zahtjev	Ncmpg
ili	ili	Cc
neizvršavanja	neizvršavanje	Ncnsg
tih	taj	Pd-fpg
obveza	obveza	Ncfpg
te	te	Cc
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
odmah	odmah	Rgp
obavijestiti	obavijestiti	Vmn
Komisiju	komisija	Ncfsa
i	i	Cc
ostale	ostali	Agpfpny
države	država	Ncfpn
članice	članica	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
povlačenja	povlačenje	Ncnsg
,	,	Z
ograničenja	ograničenje	Ncnsg
ili	ili	Cc
obustavljanja	obustavljanje	Ncnsg
prijave	prijava	Ncfsg
ili	ili	Cc
ukoliko	ukoliko	Cs
je	biti	Var3s
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
prestalo	prestati	Vmp-sn
obavljati	obavljati	Vmn
svoju	svoj	Px-fsa
djelatnost	djelatnost	Ncfsa
,	,	Z
ministarstvo	ministarstvo	Ncnsn
nadležno	nadležan	Agpnsny
za	za	Sa
gospodarstvo	gospodarstvo	Ncnsa
poduzima	poduzimati	Vmr3s
potrebne	potreban	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3s
osiguralo	osigurati	Vmp-sn
da	da	Cs

