Menarini	menarin	Agpmsny
Iznos	iznos	Ncmsn
koji	koji	Pi-msn
Zavod	zavod	Ncmsn
plaća	plaća	Ncfpg
za	za	Sa
orig.	origi	Agpnsay
pakiranje	pakiranje	Ncnsa
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
Doplata	doplata	Ncfsn
za	za	Sa
jed	jed	Ncmsan
.	.	Z
oblik	oblik	Ncmsan
Doplata	doplata	Ncfsn
za	za	Sa
jed	jed	Ncmsan
.	.	Z
oblik	oblik	Ncmsan
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
Doplata	doplata	Ncfsn
za	za	Sa
orig.	orig.	Y
pakiranje	pakiranje	Ncnsa
Doplata	doplata	Ncfpg
za	za	Sa
orig.	origi	Agpnsay
pakiranje	pakiranje	Ncnsa
(	(	Z
s	sa	Si
PDV-om	PDV	Npmsi
)	)	Z
1.	1.	Mdo
2.	2.	Mdo
3.	3.	Mdo
4.	4.	Mdo
5.	5.	Mdo
6.	6.	Mdo
7.	7.	Mdo
8.	8.	Mdo
9.	9.	Mdo
10.	10.	Mdo
11.	11.	Mdo
12.	12.	Mdo
13.	13.	Mdo
14.	14.	Mdo
15.	15.	Mdo
16.	16.	Mdo
17.	17.	Mdo
18.	18.	Mdo
19.	19.	Mdo
20.	20.	Mdo
21.	21.	Mdo
22.	22.	Mdo
23.	23.	Mdo
24.	24.	Mdo

A07EA06	A07EA06	X
571	571	Mdc
budesonid	budesonid	Sg
R		Npmsg
Würth	Würt	Npmsg
d.o.o.	d.o.o.	Y

Dr.	Dr.	Y
Falk	Falk	Npfsn
Pharma	Pharma	Npfsn
Budosan	Budosan	Npfsn
pjena	pjena	Ncfpg
za	za	Sa
rektum	rektum	Ncmsan
,	,	Z
limenka	limenka	Ncfsn
1	1	Mdc
x14	x14	Mdc
doza	doza	Ncfpg
(	(	Z
14	14	Mdc
aplik	aplik	Y
.	.	Z
+	+	Z
14	14	Mdc
vreć	vre	Ncmpg
.	.	Z
za	za	Sa
hig	hig	Ncmsan
.	.	Z
odlag	odlag	Ncmsan
.	.	Z
)	)	Z
34,94	34,94	Mdc
36,69	36,69	Mdc
489,21	489,21	Mdc
513,67	513,67	Mdc
RSpa24	RSpa24	Mdc
33,05	33,05	Mdc
34,70	34,70	Mdc
462,70	462,70	Mdc
485,84	485,84	Mdc
1,89	1,89	Mdc
1,99	1,99	Mdc
26,51	26,51	Mdc
27,84	27,84	Mdc
A10BA02	A10BA02	Mdc
170	170	Mdc
metformin	metformin	Ncmsn
2	2	Mdc
g	g	Y
3,08	3,08	Mdc
3,23	3,23	Mdc
O	o	Sl
MERCK	MERC	Npmsl
d.o.o.	d.o.oa	Ncfsl

Merck	Merck	Npmsn
Glucophage	Glucophage	Npmsn
XR	XR	Npmsn
tbl	tbl	Ncfsa
.	.	Z
s	sa	Si
prod	pra	Ncfsi
.	.	Z
oslob	os	Ncmpi
.	.	Z
30	30	Mdc
x500	x500	Xf
mg	mg	Xf
0,77	0,77	Mdc
0,81	0,81	Mdc
23,10	23,10	Mdc
24,26	24,26	Mdc
R	R	Y
0,16	0,16	Mdc
0,17	0,17	Mdc
4,86	4,86	Mdc
5,10	5,10	Mdc
0,61	0,61	Mdc
0,64	0,64	Mdc
18,24	18,24	Mdc
19,15	19,15	Mdc
A10BD20	A10BD20	Mdc
161	161	Mdc
empagliflozin	empagliflozin	Y
+	+	Z
metformin	metformin	Ncmsan
O	o	Sl
Boehringer	Boehringe	Npmsl
Ingelheim	Ingelhei	Npmsl
International	International	Xf
GmbH	GmbH	Xf
Boehringer	Boehringer	Xf
Ingelheim	Ingelheim	Npmsn
Synjardy	Synjardy	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
60	60	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+850	+850	Xf
mg	mg	Xf
)	)	Z
4,62	4,62	Mdc
4,85	4,85	Mdc
277,00	277,00	Mdc
290,85	290,85	Mdc
Rpa16	Rpa16	Mdc
2,61	2,61	Mdc
2,74	2,74	Mdc
156,48	156,48	Mdc
164,30	164,30	Mdc
2,01	2,01	Mdc
2,11	2,11	Mdc
120,52	120,52	Mdc
126,55	126,55	Mdc
A10BD20	A10BD20	Mdc
162	162	Mdc
empagliflozin	empagliflozin	Y
+	+	Z
metformin	metformin	Ncmsan
O	o	Sl
Boehringer	Boehringe	Npmsl
Ingelheim	Ingelhei	Npmsl
International	International	Xf
GmbH	GmbH	Xf
Boehringer	Boehringer	Xf
Ingelheim	Ingelheim	Npmsn
Synjardy	Synjardy	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
60	60	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+1000	+1000	Xf
mg	mg	Xf
)	)	Z
4,62	4,62	Mdc
4,85	4,85	Mdc
277,00	277,00	Mdc
290,85	290,85	Mdc
Rpa16	Rpa16	Mdc
2,61	2,61	Mdc
2,74	2,74	Mdc
156,48	156,48	Mdc
164,30	164,30	Mdc
2,01	2,01	Mdc
2,11	2,11	Mdc
120,52	120,52	Mdc
126,55	126,55	Mdc
A10BD20	A10BD20	Mdc
163	163	Mdc
empagliflozin	empagliflozin	Y
+	+	Z
metformin	metformin	Ncmsan
O	o	Sl
Boehringer	Boehringe	Npmsl
Ingelheim	Ingelhei	Npmsl
International	International	Xf
GmbH	GmbH	Xf
Boehringer	Boehringer	Xf
Ingelheim	Ingelheim	Npmsn
Synjardy	Synjardy	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
60	60	Mdc
x	X	X
(	(	Z
12,5	12,5	Mdc
mg	mg	Xf
+850	+850	Xf
mg	mg	Xf
)	)	Z
4,62	4,62	Mdc
4,85	4,85	Mdc
277,00	277,00	Mdc
290,85	290,85	Mdc
Rpa16	Rpa16	Mdc
2,61	2,61	Mdc
2,74	2,74	Mdc
156,48	156,48	Mdc
164,30	164,30	Mdc
2,01	2,01	Mdc
2,11	2,11	Mdc
120,52	120,52	Mdc
126,55	126,55	Mdc
A10BD20	A10BD20	Mdc
164	164	Mdc
empagliflozin	empagliflozin	Y
+	+	Z
metformin	metformin	Ncmsan
O	o	Sl
Boehringer	Boehringe	Npmsl
Ingelheim	Ingelhei	Npmsl
International	International	Xf
GmbH	GmbH	Xf
Boehringer	Boehringer	Xf
Ingelheim	Ingelheim	Npmsn
Synjardy	Synjardy	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
60	60	Mdc
x	X	X
(	(	Z
12,5	12,5	Mdc
mg	mg	Xf
+1000	+1000	Xf
mg	mg	Xf
)	)	Z
4,62	4,62	Mdc
4,85	4,85	Mdc
277,00	277,00	Mdc
290,85	290,85	Mdc
Rpa16	Rpa16	Mdc
2,61	2,61	Mdc
2,74	2,74	Mdc
156,48	156,48	Mdc
164,30	164,30	Mdc
2,01	2,01	Mdc
2,11	2,11	Mdc
120,52	120,52	Mdc
126,55	126,55	Mdc
C09DB01	C09DB01	Mdc
101	101	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
PLIVA	plivati	Vmr3s
HRVATSKA	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Pliva	plivati	Vmr3s
Hrvatska	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Amlodipin	Amlodipin	Npmsn
/	/	Z
valsartan	valsartan	Pi-msn
Pliva	plivati	Vmr3s
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+80	+80	Xf
mg	mg	Xf
)	)	Z
2,61	2,61	Mdc
2,74	2,74	Mdc
73,01	73,01	Mdc
76,66	76,66	Mdc
Rpc04	Rpc04	Mdc
0,76	0,76	Mdc
0,79	0,79	Mdc
21,17	21,17	Mdc
22,23	22,23	Mdc
1,85	1,85	Mdc
1,94	1,94	Mdc
51,84	51,84	Mdc
54,43	54,43	Mdc
C09DB01	C09DB01	Mdc
102	102	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
PLIVA	plivati	Vmr3s
HRVATSKA	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Pliva	plivati	Vmr3s
Hrvatska	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Amlodipin	Amlodipin	Npmsn
/	/	Z
valsartan	valsartan	Pi-msn
Pliva	plivati	Vmr3s
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+160	+160	Xf
mg	mg	Xf
)	)	Z
2,96	2,96	Mdc
3,11	3,11	Mdc
82,97	82,97	Mdc
87,12	87,12	Mdc
Rpc04	Rpc04	Mdc
1,47	1,47	Mdc
1,54	1,54	Mdc
41,03	41,03	Mdc
43,08	43,08	Mdc
1,50	1,50	Mdc
1,57	1,57	Mdc
41,94	41,94	Mdc
44,04	44,04	Mdc
C09DB01	C09DB01	Mdc
103	103	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
PLIVA	plivati	Vmr3s
HRVATSKA	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Pliva	plivati	Vmr3s
Hrvatska	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Amlodipin	Amlodipin	Npmsn
/	/	Z
valsartan	valsartan	Pi-msn
Pliva	plivati	Vmr3s
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
10	10	Mdc
mg	mg	Y
+160	+160	Mdc
mg	mg	Y
)	)	Z
2,75	2,75	Mdc
2,89	2,89	Mdc
77,11	77,11	Mdc
80,97	80,97	Mdc
Rpc04	Rpc04	Mdc
1,47	1,47	Mdc
1,54	1,54	Mdc
41,03	41,03	Mdc
43,08	43,08	Mdc
1,29	1,29	Mdc
1,35	1,35	Mdc
36,08	36,08	Mdc
37,88	37,88	Mdc
C09DB01	C09DB01	Mdc
121	121	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
Sandoz	Sando	Npmsl
d.o.o.	d.o.oa	Ncfsl

Novartis	Novartis	Npfsn
Pharma	Pharma	Npfsn
GmbH	GmbH	Npfsn
Amlodipin	Amlodipin	Npfsn
/	/	Z
valsartan	valsartan	Agpmsann
Sandoz	Sandoz	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+80	+80	Xf
mg	mg	Xf
)	)	Z
2,35	2,35	Mdc
2,46	2,46	Mdc
65,71	65,71	Mdc
69,00	69,00	Mdc
Rpc04	Rpc04	Mdc
0,68	0,68	Mdc
0,71	0,71	Mdc
19,05	19,05	Mdc
20,00	20,00	Mdc
1,67	1,67	Mdc
1,75	1,75	Mdc
46,66	46,66	Mdc
48,99	48,99	Mdc
C09DB01	C09DB01	Mdc
122	122	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
Sandoz	Sando	Npmsl
d.o.o.	d.o.oa	Ncfsl

Novartis	Novartis	Npfsn
Pharma	Pharma	Npfsn
GmbH	GmbH	Npfsn
Amlodipin	Amlodipin	Npfsn
/	/	Z
valsartan	valsartan	Agpmsann
Sandoz	Sandoz	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
5	5	Mdc
mg	mg	Xf
+160	+160	Xf
mg	mg	Xf
)	)	Z
2,67	2,67	Mdc
2,80	2,80	Mdc
74,67	74,67	Mdc
78,40	78,40	Mdc
Rpc04	Rpc04	Mdc
1,32	1,32	Mdc
1,38	1,38	Mdc
36,93	36,93	Mdc
38,78	38,78	Mdc
1,35	1,35	Mdc
1,42	1,42	Mdc
37,74	37,74	Mdc
39,63	39,63	Mdc
C09DB01	C09DB01	Mdc
123	123	Mdc
amlodipin	amlodipin	Y
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
Sandoz	Sando	Npmsl
d.o.o.	d.o.oa	Ncfsl

Novartis	Novartis	Npfsn
Pharma	Pharma	Npfsn
GmbH	GmbH	Npfsn
Amlodipin	Amlodipin	Npfsn
/	/	Z
valsartan	valsartan	Agpmsann
Sandoz	Sandoz	Npmsan
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
10	10	Mdc
mg	mg	Y
+160	+160	Mdc
mg	mg	Y
)	)	Z
2,48	2,48	Mdc
2,60	2,60	Mdc
69,40	69,40	Mdc
72,87	72,87	Mdc
Rpc04	Rpc04	Mdc
1,32	1,32	Mdc
1,38	1,38	Mdc
36,93	36,93	Mdc
38,78	38,78	Mdc
1,16	1,16	Mdc
1,22	1,22	Mdc
32,47	32,47	Mdc
34,09	34,09	Mdc
C09DX04	C09DX04	Mdc
161	161	Mdc
sakubitril	sakubitri	Ncmpg
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
Novartis	Novarti	Npmsl
Europharm	Europhai	Npmsl
Limited	limited	Ncmsn
Novartis	Novartis	Npfsn
Pharma	Pharma	Npfsn
GmbH	GmbH	Npfsn
Entresto	Entresto	Npfsn
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
28	28	Mdc
x	X	X
(	(	Z
24	24	Mdc
mg	mg	Y
+	+	Z
26	26	Mdc
mg	mg	Ncmpg
)	)	Z
18,82	18,82	Mdc
19,76	19,76	Mdc
527,00	527,00	Mdc
553,35	553,35	Mdc
RSpc11	RSpc11	Mdc
16,94	16,94	Mdc
17,79	17,79	Mdc
474,30	474,30	Mdc
498,02	498,02	Mdc
1,88	1,88	Mdc
1,98	1,98	Mdc
52,70	52,70	Mdc
55,34	55,34	Mdc
C09DX04	C09DX04	Mdc
162	162	Mdc
sakubitril	sakubitri	Ncmpg
+	+	Z
valsartan	valsartan	Ncmsan
O	o	Sl
Novartis	Novarti	Npmsl
Europharm	Europhai	Npmsl
Limited	limited	Ncmsn
Novartis	Novartis	Npfsn
Pharma	Pharma	Npfsn
GmbH	GmbH	Npfsn
Entresto	Entresto	Npfsn
tbl	tbl	Ncmsan
.	.	Z
film	film	Ncmsn
obl	obl	Ncfpg
.	.	Z
56	56	Mdc
x	X	X
(	(	Z
49	49	Mdc
mg	mg	Y
+	+	Z

