pred	pred	Si
terenu	teren	Ncmsl
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
donijeti	donijeti	Vmn
:	:	Z

a	a	Cc
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
isplati	isplata	Ncfsl
,	,	Z
ili	ili	Cc

b	b	Npmsn
)	)	Z
Odluku	odluka	Ncfsa
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Odluka	odluka	Ncfsn
o	o	Sl
odbijanju	odbijanje	Ncnsl
Zahtjeva	zahtjev	Ncmsg
za	za	Sa
isplatu	isplata	Ncfsa
izdaje	izdavati	Vmr3s
se	sebe	Px--sa
zbog	zbog	Sg
:	:	Z

a	a	Cc
)	)	Z
neispunjavanja	neispunjavanje	Ncnsg
uvjeta	uvjet	Ncmpg
propisanih	propisati	Appmpgy
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
i	i	Cc
Natječajem	natječaj	Ncmsi
;	;	Z

b	b	Npmsn
)	)	Z
onemogućavanja	onemogućavanje	Ncnsg
obavljanja	obavljanje	Ncnsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
;	;	Z

c	C	Npmsn
)	)	Z
negativnog	negativan	Agpmsgy
nalaza	nalaz	Ncmsg
kontrole	kontrola	Ncfsg
na	na	Sl
terenu	teren	Ncmsl
;	;	Z

d	d	Npmsn
)	)	Z
nedostavljanja	nedostavljanje	Ncnsg
dopune	dopuna	Ncfsg
/	/	Z
obrazloženja	obrazloženje	Ncnsg
/	/	Z
ispravka	ispravka	Ncfsn
kako	kako	Cs
je	biti	Var3s
propisano	propisati	Appnsny
člankom	članak	Ncmsi
17.	17.	Mdo
stavcima	stavak	Ncmpi
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
;	;	Z

e	e	I
)	)	Z
utvrđene	utvrditi	Appfsgy
nepravilnosti	nepravilnost	Ncfsg
ukoliko	ukoliko	Cs
je	biti	Var3s
odlukom	odluka	Ncfsi
o	o	Sl
utvrđenoj	utvrditi	Agpfsly
nepravilnosti	nepravilnost	Ncfsl
određeno	određen	Agpnsny
odbijanje	odbijanje	Ncnsn
zahtjeva	zahtjev	Ncmpg
za	za	Sa
isplatu	isplata	Ncfsa
uzimajući	uzimati	Rr
u	u	Sa
obzir	obzir	Ncmsan
težinu	težina	Ncfsa
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
ili	ili	Cc
u	u	Sl
slučaju	slučaj	Ncmsl
ne	ne	Qz
poduzimanja	poduzimanje	Ncnsg
korektivnih	korektivan	Agpfpgy
mjera	mjera	Ncfpg
određenih	odrediti	Appfpgy
radi	radi	Sg
ispravljanja	ispravljanje	Ncnsg
utvrđene	utvrditi	Agpfsgy
nepravilnosti	nepravilnost	Ncfsg
u	u	Sl
zadanom	zadati	Agpmsly
roku	rok	Ncmsl
.	.	Z

Ukoliko	ukoliko	Cs
je	biti	Var3s
utvrđena	utvrditi	Appfsny
nepravilnost	nepravilnost	Ncfsn
ujedno	ujedno	Rgp
i	i	Cc
sumnja	sumnjati	Vmr3s
na	na	Sa
prijevaru	prijevara	Ncfsa
,	,	Z
Upravljačko	upravljački	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
o	o	Sl
tome	taj	Pd-nsl
izvijestiti	izvijestiti	Vmn
Državno	državni	Agpnsny
odvjetništvo	odvjetništvo	Ncnsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
pokrenuo	pokrenuti	Vmp-sm
postupak	postupak	Ncmsn
pred	pred	Si
nadležnim	nadležan	Agpmsiy
sudom	sud	Ncmsi
;	;	Z

(	(	Z
3	3	Mdc
)	)	Z
Isplate	isplata	Ncfpn
sukladno	sukladno	Rgp
Odlukama	odluka	Ncfpl
o	o	Sl
isplati	isplata	Ncfsl
vrši	vršiti	Vmr3s
Agencija	agencija	Ncfsn
za	za	Sa
plaćanja	plaćanje	Ncnpa
u	u	Sl
poljoprivredi	poljoprivreda	Ncfsl
,	,	Z
ribarstvu	ribarstvo	Ncnsl
i	i	Cc
ruralnom	ruralan	Agpmsly
razvoju	razvoj	Ncmsl
.	.	Z

VI	VI	Mrc
.	.	Z

KONTROLA	kontrola	Ncfsn
NA	na	Sl
TERENU	teren	Ncmsl
I	i	Cc
ČUVANJE	čuvanje	Ncnsn
DOKUMENTACIJE	dokumentacija	Ncfsg

Članak	članak	Ncmsn
19.	19.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
provode	provoditi	Vmr3p
djelatnici	djelatnik	Ncmpn
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Osim	osim	Sg
djelatnika	djelatnik	Ncmpg
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
mogu	moći	Vmr3p
obavljati	obavljati	Vmn
i	i	Qo
djelatnici	djelatnik	Ncmpn
Tijela	tijelo	Ncnsg
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
,	,	Z
Tijela	tijelo	Ncnsg
za	za	Sa
reviziju	revizija	Ncfsa
,	,	Z
predstavnici	predstavnik	Ncmpn
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
predstavnici	predstavnik	Ncmpn
Europskog	europski	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
borbu	borba	Ncfsa
protiv	protiv	Sg
prijevara	prijevara	Ncfpg
(	(	Z
OLAF	OLAF	Npmsn
)	)	Z
,	,	Z
Europski	europski	Agpmsny
revizorski	revizorski	Agpmsny
sud	sud	Ncmsn
i	i	Cc
druga	drugi	Mlofsn
nadležna	nadležan	Agpfsny
revizorska	revizorski	Agpfsny
/	/	Z
nadzorna	nadzorni	Agpnpay
tijela	tijelo	Ncnpa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kontrola	kontrola	Ncfsn
na	na	Sl
terenu	teren	Ncmsl
obuhvaća	obuhvaćati	Vmr3s
kontrolu	kontrola	Ncfsa
putem	put	Sg
VMS	vm	Ncmsg
uređaja	uređaj	Ncmpg
te	te	Cc
kontrolu	kontrola	Ncfsa
na	na	Sl
terenu	teren	Ncmsl
,	,	Z
a	a	Cc
može	moći	Vmr3s
se	sebe	Px--sa
provoditi	provoditi	Vmn
tijekom	tijekom	Sg
čitavog	čitav	Agpnsgy
razdoblja	razdoblje	Ncnsg
navedenog	naveden	Agpnsgy
u	u	Sl
članku	članak	Ncmsl
3.	3.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
ribarsko	ribarski	Agpnsny
plovilo	plovilo	Ncnsn
ne	ne	Qz
posjeduje	posjedovati	Vmr3s
VMS	VMS	Npmsn
uređaj	uređaj	Ncmsn
ili	ili	Cc
isti	isti	Agpmsny
nije	biti	Var3s
u	u	Sl
funkciji	funkcija	Ncfsl
,	,	Z
kontrola	kontrola	Ncfsn
se	sebe	Px--sa
vrši	vršiti	Vmr3s
isključivo	isključivo	Rgp
kontrolom	kontrola	Ncfsi
na	na	Sl
terenu	teren	Ncmsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Korisnik	korisnik	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
čuvati	čuvati	Vmn
i	i	Cc
omogućiti	omogućiti	Vmn
uvid	uvid	Ncmsan
u	u	Sa
svu	sav	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
se	sebe	Px--sa
odnosi	odnositi	Vmr3s
na	na	Sa
privremenu	privremen	Agpfsay
obustavu	obustava	Ncfsa
ovlaštenim	ovlašten	Agpfpdy
osobama	osoba	Ncfpd
Upravljačkog	upravljački	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
Tijela	tijelo	Ncnsg
za	za	Sa
ovjeravanje	ovjeravanje	Ncnsa
,	,	Z
Posredničkog	posrednički	Agpnsgy
tijela	tijelo	Ncnsg
,	,	Z
Tijela	tijelo	Ncnsg
za	za	Sa
reviziju	revizija	Ncfsa
i	i	Cc
tijela	tijelo	Ncnpa
uključenih	uključiti	Appmpgy
u	u	Sa
revizije	revizija	Ncfpa
Operativnog	operativan	Agpmsgy
programa	program	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
127.	127.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1303/2013.	1303/2013.	Mdo
kao	kao	Cs
i	i	Cc
ovlaštenim	ovlašten	Agpmpiy
predstavnicima	predstavnik	Ncmpi
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
,	,	Z
Europskog	europski	Agpmsgy
revizorskog	revizorski	Agpmsgy
suda	sud	Ncmsg
,	,	Z
Europskog	europski	Agpmsgy
ureda	ured	Ncmsg
za	za	Sa
borbu	borba	Ncfsa
protiv	protiv	Sg
prijevara	prijevara	Ncfpg
(	(	Z
OLAF	OLAF	Npmsn
)	)	Z
i	i	Cc
drugih	drugi	Mlompg
nadležnih	nadležan	Agpmpgy

