najduže	dugo	Rgs
,	,	Z
ako	ako	Cs
za	za	Sa
to	taj	Pd-nsa
postoje	postojati	Vmr3p
opravdani	opravdati	Agpmpny
razlozi	razlog	Ncmpn
,	,	Z
mjere	mjera	Ncfpn
iz	iz	Sg
stavaka	stavak	Ncmpg
1.	1.	Mdo
i	i	Cc
2.	2.	Mdo
ovoga	ovaj	Pd-nsg
članka	članak	Ncmsg
odrediti	odrediti	Vmn
i	i	Qo
prije	prije	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
o	o	Sl
pokretanju	pokretanje	Ncnsl
prethodnoga	prethodan	Agpmsgy
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
ne	ne	Qz
postupi	postupiti	Vmr3s
po	po	Sl
mjeri	mjera	Ncfsl
osiguranja	osiguranje	Ncnsg
može	moći	Vmr3s
se	sebe	Px--sa
kazniti	kazniti	Vmn
novčanom	novčan	Agpfsiy
kaznom	kazna	Ncfsi
do	do	Sg
50.000,00	50.000,00	Mdc
kuna	kuna	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
,	,	Z
na	na	Sa
prijedlog	prijedlog	Ncmsan
vjerovnika	vjerovnik	Ncmpg
,	,	Z
privremenoga	privremen	Agpmsgy
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
ili	ili	Cc
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
,	,	Z
odrediti	odrediti	Vmn
privremene	privremen	Agpfpay
mjere	mjera	Ncfpa
osiguranja	osiguranje	Ncnsg
prema	prema	Sl
općim	opći	Agpnply
pravilima	pravilo	Ncnpl
postupka	postupak	Ncmsg
osiguranja	osiguranje	Ncnsg
i	i	Cc
protiv	protiv	Sg
dužnika	dužnik	Ncmpg
pojedinca	pojedinac	Ncmsg
,	,	Z
protiv	protiv	Sg
osoba	osoba	Ncfpg
koje	koji	Pi-fpn
i	i	Qo
inače	inače	Rgp
odgovaraju	odgovarati	Vmr3p
za	za	Sa
obveze	obveza	Ncfpa
dužnika	dužnik	Ncmpg
te	te	Cc
protiv	protiv	Sg
dužnikovih	dužnikov	Aspmpgy
dužnika	dužnik	Ncmpg
,	,	Z
ako	ako	Cs
ocijeni	ocijeniti	Vmr3s
da	da	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
radi	radi	Sg
zaštite	zaštita	Ncfsg
imovine	imovina	Ncfsg
stečajnoga	stečajni	Agpmsgy
dužnika	dužnik	Ncmsg
.	.	Z

Privremeni	privremen	Agpmsny
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn

Članak	članak	Ncmsn
119.	119.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Ako	ako	Cs
sud	sud	Ncmsn
imenuje	imenovati	Vmr3s
privremenoga	privremen	Agpmsgy
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
i	i	Cc
odredi	odrediti	Vmr3s
zabranu	zabrana	Ncfsa
raspolaganja	raspolaganje	Ncnsg
,	,	Z
ovlaštenje	ovlaštenje	Ncnsn
za	za	Sa
raspolaganje	raspolaganje	Ncnsa
imovinom	imovina	Ncfsi
dužnika	dužnik	Ncmpg
prelazi	prelaziti	Vmr3s
na	na	Sa
privremenoga	privremen	Agpmsayn
stečajnog	stečajni	Agpmsgy
upravitelja	upravitelj	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
privremeni	privremen	Agpmsny
stečajni	stečajni	Agpmsny
upravitelj	upravitelj	Ncmsn
dužan	dužan	Agpmsnn
je	biti	Var3s
:	:	Z

1.	1.	Mdo
zaštititi	zaštititi	Vmn
i	i	Cc
održavati	održavati	Vmn
imovinu	imovina	Ncfsa
dužnika	dužnik	Ncmpg

2.	2.	Mdo
nastaviti	nastaviti	Vmn
s	sa	Si
vođenjem	vođenje	Ncnsi
dužnikova	dužnikov	Ncmpg
poslovanja	poslovanje	Ncnsg
sve	sav	Agpfsgy
do	do	Sg
odluke	odluka	Ncfsg
o	o	Sl
otvaranju	otvaranje	Ncnsl
stečajnoga	stečajni	Agpmsgy

