potrošačima	potrošač	Ncmpd
ovlaštene	ovlašten	Agpfpay
mreže	mreža	Ncfpa
servisa	servis	Ncmsg
neće	htjeti	Var3s
sadržavati	sadržavati	Vmn
odredbe	odredba	Ncfpa
koje	koji	Pi-fpn
bi	biti	Vaa3p
mogle	moći	Vmp-pf
predstavljati	predstavljati	Vmn
kršenje	kršenje	Ncnsa
propisa	propis	Ncmpg
o	o	Sl
tržišnom	tržišni	Agpnsly
natjecanju	natjecanje	Ncnsl
.	.	Z

Člankom	članak	Ncmsi
49.	49.	Mdo
stavkom	stavka	Ncfsi
5.	5.	Mdo
ZZTN-a	zztn-	Ncmsg
propisano	propisati	Appnsny
je	biti	Var3s
da	da	Cs
će	htjeti	Var3s
Agencija	agencija	Ncfsn
namjeru	namjera	Ncfsa
prihvaćanja	prihvaćanje	Ncnsg
preuzimanja	preuzimanje	Ncnsg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
objaviti	objaviti	Vmn
na	na	Sl
svojoj	svoj	Px-fsl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
u	u	Sl
obliku	oblik	Ncmsl
skraćenog	skratiti	Agpmsgy
opisa	opis	Ncmsg
predmeta	predmet	Ncmsg
i	i	Cc
sadržaja	sadržaj	Ncmpg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
,	,	Z
uz	uz	Sa
poziv	poziv	Ncmsan
svim	sav	Agpmsiy
zainteresiranim	zainteresirati	Appfpiy
stranama	strana	Ncfpl
za	za	Sa
dostavljanje	dostavljanje	Ncnsa
pisanih	pisan	Agpfpgy
primjedbi	primjedba	Ncfpg
,	,	Z
stavova	stav	Ncmpg
i	i	Cc
mišljenja	mišljenje	Ncnsg
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
20	20	Mdc
(	(	Z
dvadeset	dvadeset	Mlc
)	)	Z
dana	dan	Ncmsg
od	od	Sg
dana	dan	Ncmsg
objave	objava	Ncfsg
poziva	pozivati	Vmr3s
.	.	Z

Stoga	stoga	Rgp
je	biti	Var3s
Agencija	agencija	Ncfsn
3.	3.	Mdo
kolovoza	kolovoz	Ncmsg
2016.	2016.	Mdo
,	,	Z
sukladno	sukladno	Rgp
članku	članak	Ncmsl
49.	49.	Mdo
točki	točka	Ncfsl
5.	5.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
na	na	Sl
mrežnim	mrežni	Agpfply
stranicama	stranica	Ncfpl
Agencije	agencija	Ncfsg
:	:	Z
www.aztn.hr	www.aztn.hr	X
,	,	Z
objavila	objaviti	Vmp-sf
namjeru	namjera	Ncfsa
prihvaćanja	prihvaćanje	Ncnsg
preuzimanja	preuzimanje	Ncnsg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
,	,	Z
uz	uz	Sa
javni	javan	Agpmsayn
poziv	poziv	Ncmsan
svim	sav	Agpmsiy
zainteresiranim	zainteresirati	Appfpiy
stranama	strana	Ncfpl
za	za	Sa
dostavljanje	dostavljanje	Ncnsa
pisanih	pisan	Agpfpgy
primjedbi	primjedba	Ncfpg
,	,	Z
stavova	stav	Ncmpg
i	i	Cc
mišljenja	mišljenje	Ncnsg
na	na	Sa
prijedlog	prijedlog	Ncmsan
Navele	Navela	Npfsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
to	taj	Pd-nsn
učiniti	učiniti	Vmn
.	.	Z

Rok	rok	Ncmsn
za	za	Sa
stavljanje	stavljanje	Ncnsa
primjedbi	primjedba	Ncfpg
istekao	isteći	Vmp-sm
je	biti	Var3s
23.	23.	Mdo
kolovoza	kolovoz	Ncmsg
2016.	2016.	Mdo
,	,	Z
pri	pri	Sl
čemu	što	Ncmsl
Agencija	agencija	Ncfsn
nije	biti	Var3s
zaprimila	zaprimiti	Vmp-sf
primjedbe	primjedba	Ncfpa
na	na	Sa
objavljeni	objavljen	Agpmsayn
javni	javan	Agpmsayn
poziv	poziv	Ncmsan
.	.	Z

3.	3.	Mdo
Analiza	analiza	Ncfsn
prijedloga	prijedlog	Ncmsg
Navele	Navela	Npfsg
o	o	Sl
namjeri	namjera	Ncfsl
preuzimanja	preuzimanje	Ncnsg
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
to	taj	Pd-nsn
učiniti	učiniti	Vmn

Vezano	vezano	Rgp
uz	uz	Sa
prethodno	prethodno	Rgp
navedeno	navesti	Appnsny
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
utvrdila	utvrditi	Vmp-sf
kako	kako	Cs
prijedlog	prijedlog	Ncmsan
preuzimanja	preuzimanje	Ncnsg
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
to	taj	Pd-nsa
Navela	navesti	Vmp-sf
učiniti	učiniti	Vmn
udovoljava	udovoljavati	Vmr3s
formalnim	formalan	Agpmply
uvjetima	uvjet	Ncmpl
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
odnosno	odnosno	Rgp
da	da	Cs
je	biti	Var3s
podnesen	podnijeti	Appmsnn
nakon	nakon	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
sukladno	sukladno	Rgp
članku	članak	Ncmsl
39.	39.	Mdo

ZZTN-a	ZZTN	Npmsg
,	,	Z
a	a	Cc
prije	prije	Sg
dostave	dostava	Ncfsg
Obavijesti	obavijest	Ncfsg
o	o	Sl
preliminarno	preliminarno	Rgp
utvrđenim	utvrditi	Agpfply
činjenicama	činjenica	Ncfpl
u	u	Sl
postupku	postupak	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
48.	48.	Mdo

ZZTN-a	ZZTN	Npmsg
.	.	Z

Agencija	agencija	Ncfsn
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
4.	4.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
može	moći	Vmr3s
prihvatiti	prihvatiti	Vmn
preuzimanje	preuzimanje	Ncnsa
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
u	u	Sl
slučaju	slučaj	Ncmsl
kratkog	kratak	Agpnsgy
trajanja	trajanje	Ncnsg
povrede	povreda	Ncfsg
,	,	Z
suradnje	suradnja	Ncfsg
poduzetnika	poduzetnik	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
i	i	Cc
predlaganja	predlaganje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
u	u	Sa
prvih	prvi	Mlompg
šest	šest	Mlc
mjeseci	mjesec	Ncmpg
vođenja	vođenje	Ncnsg
postupka	postupak	Ncmsg
,	,	Z
kada	kada	Cs
ocijeni	ocijeniti	Vmr3s
da	da	Cs
je	biti	Var3s
prihvaćanje	prihvaćanje	Ncnsn
preuzimanja	preuzimanje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ZZTN-a	ZZTN	Npmsg
svrsishodno	svrsishodno	Rgp
radi	radi	Sg
bržeg	brz	Agpnsgy
uspostavljanja	uspostavljanje	Ncnsg
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
na	na	Sl
određenom	određen	Agpnsly
tržištu	tržište	Ncnsl
,	,	Z
a	a	Cc
bez	bez	Sg
dugotrajnog	dugotrajan	Agpnsgy
vođenja	vođenje	Ncnsg
postupka	postupak	Ncmsg
.	.	Z

U	u	Sl
predmetnom	predmetni	Agpmsly
postupku	postupak	Ncmsl
Navela	navesti	Vmp-sf
je	biti	Var3s
surađivala	surađivati	Vmp-sf
s	sa	Si
Agencijom	agencija	Ncfsi
te	te	Cc
je	biti	Var3s
prijedlog	prijedlog	Ncmsn
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
podnijela	podnijeti	Vmp-sf
nakon	nakon	Sg
pokretanja	pokretanje	Ncnsg
postupka	postupak	Ncmsg
,	,	Z
a	a	Cc
prije	prije	Sg
dostave	dostava	Ncfsg
Obavijesti	obavijest	Ncfsg
o	o	Sl
preliminarno	preliminarno	Rgp
utvrđenim	utvrditi	Agpfply
činjenicama	činjenica	Ncfpl
u	u	Sl
postupku	postupak	Ncmsl
.	.	Z

Prijedlog	prijedlog	Ncmsn
Navele	Navela	Npfsg
predstavlja	predstavljati	Vmr3s
dobrovoljnu	dobrovoljan	Agpfsay
mjeru	mjera	Ncfsa
i	i	Cc
otklanja	otklanjati	Vmr3s
moguće	moguć	Agpmpay
negativne	negativan	Agpmpay
učinke	učinak	Ncmpa
koje	koji	Pi-mpa
bi	biti	Vaa3p
predmetni	predmetni	Agpmpny
ugovori	ugovor	Ncmpn
u	u	Sl
neizmijenjenom	neizmijenjen	Agpmsly
sadržaju	sadržaj	Ncmsl
imali	imati	Vmp-pm
na	na	Sa
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
.	.	Z

Također	također	Rgp
,	,	Z
prijedlog	prijedlog	Ncmsn
Navele	Navela	Npfsg
dovodi	dovoditi	Vmr3s
do	do	Sg
bržeg	brz	Agpnsgy
uspostavljanja	uspostavljanje	Ncnsg
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
na	na	Sl
mjerodavnom	mjerodavan	Agpnsly
tržištu	tržište	Ncnsl
bez	bez	Sg
dugotrajnog	dugotrajan	Agpnsgy
vođenja	vođenje	Ncnsg
postupka	postupak	Ncmsg
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
kako	kako	Cs
je	biti	Var3s
već	već	Rgp
ranije	rano	Rgc
navedeno	navesti	Appnsny
,	,	Z
na	na	Sa
objavljenu	objavljen	Agpfsay
namjeru	namjera	Ncfsa
Agencije	agencija	Ncfsg
o	o	Sl
prihvaćanju	prihvaćanje	Ncnsl
preuzimanja	preuzimanje	Ncnsg
izvršenja	izvršenje	Ncnsg
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
uz	uz	Sa
javni	javan	Agpmsayn
poziv	poziv	Ncmsan
svim	sav	Agpmsiy
zainteresiranim	zainteresirati	Appfpiy
stranama	strana	Ncfpl
za	za	Sa
dostavljanje	dostavljanje	Ncnsa
pisanih	pisan	Agpfpgy
primjedaba	primjedba	Ncfpg
,	,	Z
stavova	stav	Ncmpg
i	i	Cc
mišljenja	mišljenje	Ncnsg
na	na	Sa
prijedlog	prijedlog	Ncmsan
Navele	Navela	Npfsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
obveze	obveza	Ncfsg
izvršenja	izvršenje	Ncnsg
određenih	određen	Agpfpgy
mjera	mjera	Ncfpg
i	i	Cc
uvjeta	uvjet	Ncmpg
te	te	Cc
rokova	rok	Ncmpg
u	u	Sl
kojima	koji	Pi-fpl
će	htjeti	Var3s
to	taj	Pd-nsn
učiniti	učiniti	Vmn
,	,	Z
nitko	nitko	Pi3m-n
nije	biti	Var3s
dostavio	dostaviti	Vmp-sm
primjedbe	primjedba	Ncfpa
.	.	Z

Slijedom	slijed	Sg
svega	sav	Agpnsgy
navedenog	naveden	Agpnsgy
,	,	Z
Agencija	agencija	Ncfsn
je	biti	Var3s
prihvatila	prihvatiti	Vmp-sf
predložene	predložen	Agpfpay
mjere	mjera	Ncfpa
i	i	Cc
uvjete	uvjet	Ncmpa
poduzetnika	poduzetnik	Ncmpg
Navela	navesti	Vmp-sf
na	na	Sa
način	način	Ncmsan
na	na	Sa
koji	koji	Pi-msan
su	biti	Var3p
one	onaj	Pd-fpn
konkretizirane	konkretizirati	Appfpny
u	u	Sl
podnesku	podnesak	Ncmsl
Navele	navesti	Vmp-pf
zaprimljenom	zaprimiti	Appmsly
u	u	Sl
Agenciji	agencija	Ncfsl
29.	29.	Mdo
srpnja	srpanj	Ncmsg
2016.	2016.	Mdo

4.	4.	Mdo
Odluka	odluka	Ncfsn
Vijeća	vijeće	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg

Na	na	Sl
temelju	temelj	Ncmsl
dostavljenih	dostaviti	Agpnpgy
očitovanja	očitovanje	Ncnpg
i	i	Cc
dokumentacije	dokumentacija	Ncfsg
,	,	Z
Vijeće	vijeće	Ncnsn
za	za	Sa
zaštitu	zaštita	Ncfsa
tržišnog	tržišni	Agpnsgy
natjecanja	natjecanje	Ncnsg
(	(	Z
dalje	daleko	Rgc
:	:	Z
Vijeće	vijeće	Ncnsn
)	)	Z
,	,	Z
sukladno	sukladno	Rgp
ovlastima	ovlast	Ncfpi
iz	iz	Sg
članaka	članak	Ncmpg
27.	27.	Mdo
i	i	Cc
30.	30.	Mdo
točke	točka	Ncfsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
te	te	Cc
članka	članak	Ncmsg
31.	31.	Mdo

ZZTN-a	ZZTN	Npmsg
,	,	Z
na	na	Sl
sjednici	sjednica	Ncfsl
26/2016	26/2016	Mdc
,	,	Z
održanoj	održati	Appfsly
15.	15.	Mdo
rujna	rujan	Ncmsg
2016.	2016.	Mdo
,	,	Z
razmatralo	razmatrati	Vmp-sn
je	biti	Var3s
navedeni	naveden	Agpmsny
predmet	predmet	Ncmsn
te	te	Cc
je	biti	Var3s
donijelo	donijeti	Vmp-sn
odluku	odluka	Ncfsa
da	da	Cs
se	sebe	Px--sa
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
članka	članak	Ncmsg
49.	49.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ZZTN-a	ZZTN	Npmsg
,	,	Z
predložene	predložen	Agpfpay
mjere	mjera	Ncfpa
,	,	Z
uvjeti	uvjet	Ncmpn
i	i	Cc
rokovi	rok	Ncmpn
Navele	Navela	Npfsg
prihvaćaju	prihvaćati	Vmr3p
kao	kao	Cs
dostatni	dostatan	Agpmpny
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
negativnih	negativan	Agpmpgy
učinaka	učinak	Ncmpg
i	i	Cc

