uvjetima	uvjet	Ncmpl
koji	koji	Pi-mpn
nisu	biti	Var3p
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odnosno	odnosno	Rgp
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
/	/	Z
hrane	hrana	Ncfsg
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
upućene	upućen	Agpfsgy
iz	iz	Sg
objekta	objekt	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
za	za	Sa
objekte	objekt	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
najkasnije	kasno	Rgs
24	24	Mdc
sata	sat	Ncmsg
po	po	Sl
dopremi	doprema	Ncfsl
u	u	Sa
objekt	objekt	Ncmsan
,	,	Z
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
/	/	Z
gotove	gotov	Agpfsgy
hrane	hrana	Ncfsg
za	za	Sa
životinje	životinja	Ncfpa
iz	iz	Sg
objekata	objekt	Ncmpg
koji	koji	Pi-mpn
nisu	biti	Var3p
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odnosno	odnosno	Rgp
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
/	/	Z
gotove	gotov	Agpfpay
hrane	hrana	Ncfpa
životinjskog	životinjski	Agpnsgy
podrijetla	podrijetlo	Ncnsg
upućene	upućen	Agpfsgy
iz	iz	Sg
objekta	objekt	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z

d	an	Mlcnsn
)	)	Z
za	za	Sa
objekte	objekt	Ncmpa
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
najkasnije	kasno	Rgs
24	24	Mdc
sata	sat	Ncmsg
po	po	Sl
dopremi	doprema	Ncfsl
u	u	Sa
objekt	objekt	Ncmsan
,	,	Z
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
iz	iz	Sg
objekata	objekt	Ncmpg
koji	koji	Pi-mpn
nisu	biti	Var3p
na	na	Sl
području	područje	Ncnsl
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
,	,	Z
odnosno	odnosno	Rgp
upisati	upisati	Vmn
podatke	podatak	Ncmpa
o	o	Sl
primitku	primitak	Ncmsl
ulazne	ulazan	Agpfsgy
količine	količina	Ncfsg
sirovine	sirovina	Ncfsg
za	za	Sa
proizvodnju	proizvodnja	Ncfsa
upućene	upućen	Agpfsgy
iz	iz	Sg
objekta	objekt	Ncmsg
iz	iz	Sg
članka	članak	Ncmsg
4.	4.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

2	2	Mdc
)	)	Z
Za	za	Sa
točnost	točnost	Ncfsa
i	i	Cc
ažurnost	ažurnost	Ncfsa
upisanih	upisati	Appmpgy
odnosno	odnosno	Rgp
potvrđenih	potvrditi	Appmpgy
podataka	podatak	Ncmpg
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
subjekt	subjekt	Ncmsn
.	.	Z

3	3	Mdc
)	)	Z
Iznimno	iznimno	Rgp
od	od	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
u	u	Sl
slučaju	slučaj	Ncmsl
nemogućnosti	nemogućnost	Ncfsg
pristupa	pristup	Ncmsg
računalnoj	računalni	Agpfsly
aplikaciji	aplikacija	Ncfsl
,	,	Z
subjekti	subjekt	Ncmpn
moraju	morati	Vmr3p
podatke	podatak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
dostaviti	dostaviti	Vmn
Nadležnom	nadležan	Agpnsly
tijelu	tijelo	Ncnsl
na	na	Sl
odgovarajućem	odgovarajući	Agpmsly
obrascu	obrazac	Ncmsl
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	I.	Sg
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
po	po	Sl
zaprimanju	zaprimanje	Ncnsl
podataka	podatak	Ncmpg
Nadležno	nadležan	Agpnsny
tijelo	tijelo	Ncnsn
će	htjeti	Var3s
iste	isti	Agpfsgy
upisati	upisati	Vmn
u	u	Sa
računalnu	računalni	Agpfsay
aplikaciju	aplikacija	Ncfsa
najkasnije	kasno	Rgs
do	do	Sg

