0,43	0,43	Mdc
teškoćama	teškoća	Ncfpi
3,14	3,14	Mdc
58.875,00	58.875,00	Mdc
P66B	p66i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
2000	2000	Mdc
-	-	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
velikim	velik	Agpfpiy
teškoćama	teškoća	Ncfpi
1,48	1,48	Mdc
27.750,00	27.750,00	Mdc
P66C	p66i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
2000	2000	Mdc
-	-	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
ostalim	ostali	Agpfpiy
teškoćama	teškoća	Ncfpi
1,06	1,06	Mdc
19.875,00	19.875,00	Mdc
P66D	p66i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
2000	2000	Mdc
-	-	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
bez	bez	Sg
teškoća	teškoća	Ncfpg
0,65	0,65	Mdc
12.187,50	12.187,50	Mdc
P67A	p67i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
>	>	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
višestrukim	višestruk	Agpfpiy
velikim	velik	Agpfpiy
teškoćama	teškoća	Ncfpi
1,65	1,65	Mdc
30.937,50	30.937,50	Mdc
P67B	p67i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
>	>	Z
2499	2499	Mdc
g	g	Y
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
velikim	velik	Agpfpiy
teškoćama	teškoća	Ncfpi
1,11	1,11	Mdc
20.812,50	20.812,50	Mdc
P67C	p67i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
>	>	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
s	sa	Si
ostalim	ostali	Agpfpiy
teškoćama	teškoća	Ncfpi
0,64	0,64	Mdc
12.000,00	12.000,00	Mdc
P67D	p67i	Agpnsny
Novorođenče	novorođenče	Ncnsn
,	,	Z
masa	masa	Ncfsn
pri	pri	Sl
prijamu	prijam	Ncmsl
>	>	Z
2499	2499	Mdc
g	g	Y
,	,	Z
bez	bez	Sg
značajnog	značajan	Agpmsgy
operativnog	operativan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
bez	bez	Sg
teškoća	teškoća	Ncfpg
0,44	0,44	Mdc
8.250,00	8.250,00	Mdc
Q01Z	Q01Z	Sg
Splenektomija	Splenektomi	Npmsg
2,16	2,16	Mdc
40.500,00	40.500,00	Mdc
Q02A	Q02	Npmsg
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
bolesti	bolest	Ncfsg
krvi	krv	Ncfsg
ili	ili	Cc
krvotvornih	krvotvoran	Agpmpgy
organa	organ	Ncmpg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
4,3	4,3	Mdc
80.625,00	80.625,00	Mdc
Q02B	Q02B	Pd-mpn
Ostali	ostali	Agpmpny
operativni	operativan	Agpmpny
postupci	postupak	Ncmpn
zbog	zbog	Sg
bolesti	bolest	Ncfsg
krvi	krv	Ncfsg
ili	ili	Cc
krvotvornih	krvotvoran	Agpmpgy
organa	organ	Ncmpg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,89	0,89	Mdc
16.687,50	16.687,50	Mdc
Q60A	Q60A	Pd-mpn
Poremećaji	poremećaj	Ncmpn
imuniteta	imunitet	Ncmsg
i	i	Cc
retikuloendotelnog	retikuloendotelan	Agpmsgy
sustava	sustav	Ncmsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,4	1,4	Mdc
26.250,00	26.250,00	Mdc
Q60B	q60b	Agpmpny
Poremećaji	poremećaj	Ncmpn
imuniteta	imunitet	Ncmsg
i	i	Cc
retikuloendotelnog	retikuloendotelan	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
s	sa	Si
malignom	maligan	Agpfsiy
bolesti	bolest	Ncfsi
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,32	1,32	Mdc
24.750,00	24.750,00	Mdc
Q60C	q60c	Agpmpny
Poremećaji	poremećaj	Ncmpn
imuniteta	imunitet	Ncmsg
i	i	Cc
retikuloendotelnog	retikuloendotelan	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
bez	bez	Sg
maligne	maligan	Agpfsgy
bolesti	bolest	Ncfsg
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,69	0,69	Mdc
12.937,50	12.937,50	Mdc
Q61A	q61a	Agpmpny
Poremećaji	poremećaj	Ncmpn
eritrocita	eritrocit	Ncmsg
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
0,9	0,9	Mdc
16.875,00	16.875,00	Mdc
Q61B	q61b	Agpmpny
Poremećaji	poremećaj	Ncmpn
eritrocita	eritrocit	Ncmsg
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
0,63	0,63	Mdc
11.812,50	11.812,50	Mdc
Q61C	q61c	Agpmpny
Poremećaji	poremećaj	Ncmpn
eritrocita	eritrocit	Ncmsg
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,32	0,32	Mdc
6.000,00	6.000,00	Mdc
Q62Z	Q62Z	Pd-mpn
Poremećaji	poremećaj	Ncmpn
zgrušavanja	zgrušavanje	Ncnsg
krvi	krv	Ncfsg
1,66	1,66	Mdc
31.125,00	31.125,00	Agpmsayn
R01A	r01a	Agpmsayn
Limfom	limfom	Ncmsan
i	i	Cc
leukemija	leukemija	Ncfsn
s	sa	Si
velikim	velik	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
i	i	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
7,07	7,07	Mdc
132.562,50	132.562,50	Mdc
R01B	r01b	Agpmsayn
Limfom	limfom	Ncmsan
i	i	Cc
leukemija	leukemija	Ncfsn
s	sa	Si
velikim	velik	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,79	1,79	Mdc
33.562,50	33.562,50	Mdc
R02A	R02	Npmsg
Ostali	ostali	Agpmpny
novotvorevinski	novotvorevinski	Agpmpny
poremećaji	poremećaj	Ncmpn
s	sa	Si
velikim	velik	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
i	i	Cc
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,88	1,88	Mdc
35.250,00	35.250,00	Mdc
R02B	R02B	Pd-mpn
Ostali	ostali	Agpmpny
novotvorevinski	novotvorevinski	Agpmpny
poremećaji	poremećaj	Ncmpn
s	sa	Si
velikim	velik	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,24	1,24	Mdc
23.250,00	23.250,00	Mdc
R03A	r03a	Agpmsayn
Limfom	limfom	Ncmsan
i	i	Cc
leukemija	leukemija	Ncfsn
s	sa	Si
ostalim	ostali	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpfpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
6,17	6,17	Mdc
115.687,50	115.687,50	Mdc
R03B	r03b	Agpmsayn
Limfom	limfom	Ncmsan
i	i	Cc
leukemija	leukemija	Ncfsn
s	sa	Si
ostalim	ostali	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
1,65	1,65	Mdc
30.937,50	30.937,50	Mdc
R04A	R04	Npmsg
Ostali	ostali	Agpmpny
novotvorevinski	novotvorevinski	Agpmpny
poremećaji	poremećaj	Ncmpn
s	sa	Si
ostalim	ostali	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
,	,	Z
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmpiy
ili	ili	Cc
teškim	težak	Agpmpiy
KK	KK	Npmsan
1,57	1,57	Mdc
29.437,50	29.437,50	Mdc
R04B	R04B	Pd-mpn
Ostali	ostali	Agpmpny
novotvorevinski	novotvorevinski	Agpmpny
poremećaji	poremećaj	Ncmpn
s	sa	Si
ostalim	ostali	Agpmpiy
operativnim	operativan	Agpmpiy
postupcima	postupak	Ncmpi
,	,	Z
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,74	0,74	Mdc
13.875,00	13.875,00	Mdc
R60A	R60A	Sa
Akutna	akutan	Agpfsny
leukemija	leukemija	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
6,31	6,31	Mdc
118.312,50	118.312,50	Mdc
R60B	R60B	Var3s
Akutna	akutan	Agpfsny
leukemija	leukemija	Ncfsn
s	sa	Si
teškim	težak	Agpmpiy
KK	k	Ncmpi
1,38	1,38	Mdc
25.875,00	25.875,00	Mdc
R60C	R60C	Vaa3s
Akutna	akutan	Agpfsny
leukemija	leukemija	Ncfsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpfpgy
ili	ili	Cc
teških	težak	Agpmpgy
KK	k	Ncmpg
0,89	0,89	Mdc
16.687,50	16.687,50	Mdc
R61A	r61a	Ncfpg
Limfom	limfom	Ncmsn
i	i	Cc
neakutna	neakutan	Agpfsny
leukemija	leukemija	Ncfsn
s	sa	Si
vrlo	vrlo	Rgp
teškim	težak	Agpmsiy
KK		Ncmsi
3,52	3,52	Mdc
66.000,00	66.000,00	Mdc
R61B	r6i	Agpfsiy
Limfom	limfa	Ncfsi
i	i	Cc
neakutna	neakutan	Agpfsny
leukemija	leukemija	Ncfsn
bez	bez	Sg
vrlo	vrlo	Rgp
teških	težak	Agpmpgy
KK	k	Ncmpg
1,21	1,21	Mdc
22.687,50	22.687,50	Mdc
R61C	r6i	Agpfsiy
Limfom	limfa	Ncfsi
i	i	Cc
neakutna	neakutan	Agpfsny
leukemija	leukemija	Ncfsn
,	,	Z
isti	isti	Agpmsayn
dan	dan	Ncmsan

