baštine	baština	Ncfpa
održivog	održiv	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
rasta	rast	Ncmsg
.	.	Z

3.	3.	Mdo
POLITIKA	politika	Ncfsn
DRŽAVNIH	državni	Agpfpgy
POTPORA	potpora	Ncfpg
EUROPSKE	europski	Agpfsgy
UNIJE	unija	Ncfsg

Iako	iako	Cs
su	biti	Var3p
državne	državni	Agpfpny
potpore	potpora	Ncfpn
,	,	Z
u	u	Sl
načelu	načelo	Ncnsl
,	,	Z
proglašene	proglasiti	Appfpny
nespojivima	nespojiv	Agpmpiy
s	sa	Si
unutarnjim	unutarnji	Agpnsiy
tržištem	tržište	Ncnsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
i	i	Cc
samim	sam	Agpmsiy
Ugovorom	ugovor	Ncmsi
o	o	Sl
funkcioniranju	funkcioniranje	Ncnsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
(	(	Z
SL	SL	Npmsn
C	C	Npmsn
326	326	Mdc
,	,	Z
26.	26.	Mdo
10.	10.	Mdo
2012.	2012.	Mdo
,	,	Z
pročišćeni	pročišćen	Agpmsayn
tekst	tekst	Ncmsan
)	)	Z
,	,	Z
za	za	Sa
određene	određen	Agpmpay
ciljeve	cilj	Ncmpa
njihova	njihov	Ps3fsn
dodjela	dodjela	Ncfsn
je	biti	Var3s
dopuštena	dopustiti	Appfsny
i	i	Cc
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
prihvatljivima	prihvatljiv	Agpfpiy
.	.	Z

Osnovno	osnovan	Agpnsny
načelo	načelo	Ncnsn
za	za	Sa
dodjelu	dodjela	Ncfsa
takvih	takav	Pd-mpg
»	»	Z
dopuštenih	dopustiti	Appmpgy
«	«	Z
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
jest	biti	Var3s
,	,	Z
slobodno	slobodno	Rgp
prevedeno	prevesti	Appnsny
,	,	Z
»	»	Z
manje	malo	Rgc
,	,	Z
ali	ali	Cc
pametnije	pametno	Rgc
«	«	Z
(	(	Z
»	»	Z
less	less	Agpmsann
but	but	Ncmsan
better	better	Xf
targeted	targeted	Xf
«	«	Z
)	)	Z
.	.	Z

3.1.	3.1.	Mdo

Modernizacija	modernizacija	Ncfsn
sustava	sustav	Ncmsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg

Proces	proces	Ncmsn
modernizacije	modernizacija	Ncfsg
sustava	sustav	Ncmsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
predstavlja	predstavljati	Vmr3s
reformu	reforma	Ncfsa
cjelokupne	cjelokupan	Agpfsgy
politike	politika	Ncfsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
.	.	Z

Ključni	ključan	Agpmpny
ciljevi	cilj	Ncmpn
procesa	proces	Ncmsg
modernizacije	modernizacija	Ncfsg
sustava	sustav	Ncmsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
kojeg	koji	Pi-msay
provodi	provoditi	Vmr3s
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
,	,	Z
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Priopćenjem	priopćenje	Ncnsi
Europske	europski	Agpfsgy
komisije	komisija	Ncfsg
Europskom	europski	Agpmsdy
parlamentu	parlament	Ncmsd
,	,	Z
Vijeću	vijeće	Ncnsl
,	,	Z
Europskom	europski	Agpmsly
gospodarskom	gospodarski	Agpmsly
i	i	Cc
socijalnom	socijalan	Agpmsly
odboru	odbor	Ncmsl
i	i	Cc
Odboru	odbor	Ncmsl
regija	regija	Ncfpg
(	(	Z
COM	C	Npmsi
/	/	Z
2012/0209	2012/0209	Mdc
final	fina	Ncmpg
)	)	Z
,	,	Z
su	biti	Var3p
:	:	Z

–	i	Agpnsny
davanje	davanje	Ncnsn
prioriteta	prioritet	Ncmsg
slučajevima	slučaj	Ncmpi
koji	koji	Pi-mpn
imaju	imati	Vmr3p
znatan	znatan	Agpmsann
učinak	učinak	Ncmsan
na	na	Sa
jedinstveno	jedinstven	Agpnsay
tržište	tržište	Ncnsa
kroz	kroz	Sa
pojačanu	pojačati	Agpfsay
kontrolu	kontrola	Ncfsa
mjera	mjera	Ncfpg
prije	prije	Sg
provedbe	provedba	Ncfsg
te	te	Cc
nadzor	nadzor	Ncmsan
nakon	nakon	Sg
provedbe	provedba	Ncfsg
,	,	Z
te	te	Cc

–	i	Agpnsny
osiguranje	osiguranje	Ncnsn
da	da	Cs
su	biti	Var3p
deficitarni	deficitaran	Agpmpny
državni	državni	Agpmpny
proračuni	proračun	Ncmpn
usmjereni	usmjeriti	Appmpny
na	na	Sa
slučajeve	slučaj	Ncmpa
koji	koji	Pi-mpn
predstavljaju	predstavljati	Vmr3p
stvarne	stvaran	Agpmpay
tržišne	tržišni	Agpmpay
neuspjehe	neuspjeh	Ncmpa
,	,	Z
odnosno	odnosni	Agpnsay
izbjegavanje	izbjegavanje	Ncnsa
slučajeva	slučaj	Ncmpg
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
podržavaju	podržavati	Vmr3p
oni	onaj	Pd-mpn
projekti	projekt	Ncmpn
koji	koji	Pi-mpn
mogu	moći	Vmr3p
biti	biti	Van
samostalno	samostalno	Rgp
provedeni	provesti	Appmpny
bez	bez	Sg
državnih	državni	Agpfpgy
intervencija	intervencija	Ncfpg
,	,	Z
te	te	Cc
posebno	posebno	Rgp

–	ti	Rr
noveliranje	noveliranje	Ncnsa
pravila	praviti	Vmp-sf
o	o	Sl
državnim	državni	Agpfply
potporama	potpora	Ncfpl
koje	koji	Pi-fpn
Europska	europski	Agpfsny
komisija	komisija	Ncfsn
ne	ne	Qz
mora	morati	Vmr3s
odobriti	odobriti	Vmn
prije	prije	Sg
njihove	njihov	Ps3fsg
dodjele	dodjela	Ncfsg
,	,	Z
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
smanjila	smanjiti	Vmp-sf
administrativna	administrativan	Agpnpny
opterećenja	opterećenje	Ncnpn
te	te	Cc
državama	država	Ncfpl
članicama	članica	Ncfpl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
omogućilo	omogućiti	Vmp-sn
lakše	lak	Agcnsay
dodjeljivanje	dodjeljivanje	Ncnsa
dobro	dobro	Rgp
usmjerenih	usmjeriti	Appfpgy
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
.	.	Z

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
takvim	takav	Pd-mpi
ključnim	ključan	Agpmpiy
ciljevima	cilj	Ncmpi
,	,	Z
a	a	Cc
na	na	Sl
temelju	temelj	Ncmsl
moderniziranog	modernizirati	Agpmsgy
sustava	sustav	Ncmsg
,	,	Z
postupanje	postupanje	Ncnsa
s	sa	Si
državnim	državni	Agpfpiy
potporama	potpora	Ncfpi
trebalo	trebati	Vmp-sn
bi	biti	Vaa3s
biti	biti	Van
olakšano	olakšati	Appnsny
,	,	Z
a	a	Cc
same	sam	Agpfpny
mjere	mjera	Ncfpn
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
bile	biti	Vap-pf
bi	biti	Vaa3s
dobro	dobro	Rgp
osmišljene	osmišljen	Agpmpay
i	i	Cc
odmjerene	odmjeriti	Agpmpay
te	te	Cc
usmjerene	usmjeriti	Appmpay
na	na	Sa
jasno	jasan	Agpnsay
prepoznate	prepoznat	Agpmpay
slučajeve	slučaj	Ncmpa
tržišnog	tržišni	Agpmsgy
neuspjeha	neuspjeh	Ncmsg
i	i	Cc
ciljeve	cilj	Ncmpa
od	od	Sg
općeg	opći	Agpmsgy
i	i	Cc
zajedničkog	zajednički	Agpmsgy
interesa	interes	Ncmsg
,	,	Z
a	a	Cc
tržišno	tržišni	Agpnsay
natjecanje	natjecanje	Ncnsa
narušavale	narušavati	Vmp-pf
bi	biti	Vaa3p
u	u	Sl
najmanjoj	mali	Ncfsl
mogućoj	moguć	Agpfsly
mjeri	mjera	Ncfsl
.	.	Z

Državne	državni	Agpfpny
potpore	potpora	Ncfpn
,	,	Z
u	u	Sl
svakom	svaki	Pi-msl
slučaju	slučaj	Ncmsl
,	,	Z
moraju	morati	Vmr3p
biti	biti	Van
osmišljene	osmisliti	Appfpny
i	i	Cc
provedene	provesti	Appfpny
na	na	Sa
način	način	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
državi	država	Ncfsl
članici	članica	Ncfsd
Europske	europski	Agpfsgy
unije	unija	Ncfsg
pomaže	pomagati	Vmr3s
ponovno	ponovno	Rgp
pokrenuti	pokrenuti	Vmn
rast	rast	Ncmsan
,	,	Z
osiguravajući	osiguravajući	Agpmsny
,	,	Z
istovremeno	istovremeno	Rgp
,	,	Z
fiskalnu	fiskalan	Agpfsay
održivost	održivost	Ncfsa
.	.	Z

Dodjelu	dodjela	Ncfsa
»	»	Z
loših	loš	Agpfpgy
«	«	Z
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
treba	trebati	Vmr3s
,	,	Z
u	u	Sl
svakom	svaki	Pi-msl
slučaju	slučaj	Ncmsl
,	,	Z
izbjegavati	izbjegavati	Vmn
.	.	Z

Lošom	loš	Agpfsiy
državnom	državni	Agpfsiy
potporom	potpora	Ncfsi
smatra	smatrati	Vmr3s
se	sebe	Px--sa
svaka	svaki	Pi-fsn
ona	onaj	Agpfsny
potpora	potpora	Ncfsn
koja	koji	Pi-fsn
poduzetniku	poduzetnikuti	Vmr3s
ne	ne	Qz
daje	davati	Vmr3s
pravi	prav	Agpmsayn
poticaj	poticaj	Ncmsan
,	,	Z
već	već	Rgp
samo	samo	Rgp
istiskuje	istiskivati	Vmr3s
privatne	privatan	Agpfpay
investicije	investicija	Ncfpa
i	i	Cc
održava	održavati	Vmr3s
na	na	Sl
životu	život	Ncmsl
neučinkovite	neučinkovit	Agpfsgy
i	i	Cc
neodržive	neodrživ	Agpfsgy
poduzetnike	poduzetnika	Ncfsg
.	.	Z

Nadzor	nadzor	Ncmsn
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
jedan	jedan	Mlcmsn
je	biti	Var3s
od	od	Sg
osnovnih	osnovan	Agpmpgy
stupova	stup	Ncmpg
funkcioniranja	funkcioniranje	Ncnsg
jedinstvenog	jedinstven	Agpnsgy
tržišta	tržište	Ncnsg
,	,	Z
jer	jer	Cs
se	sebe	Px--sa
njime	on	Pp3msi
osigurava	osiguravati	Vmr3s
da	da	Cs
su	biti	Var3p
poduzetnici	poduzetnica	Ncmpn
sposobni	sposoban	Agpmpny
natjecati	natjecati	Vmn
se	sebe	Px--sa
pod	pod	Si
jednakim	jednak	Agpmpiy
uvjetima	uvjet	Ncmpi
;	;	Z
bez	bez	Sg
obzira	obzir	Ncmsg
gdje	gdje	Cs
djeluju	djelovati	Vmr3p
,	,	Z
pruža	pružati	Vmr3s
se	sebe	Px--sa
zaštita	zaštita	Ncfsn
od	od	Sg
upuštanja	upuštanje	Ncnsg
država	država	Ncfpg
članica	članica	Ncfpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
u	u	Sa
međusobno	međusoban	Agpnsay
natjecanje	natjecanje	Ncnsa
u	u	Sl
subvencioniranju	subvencioniranje	Ncnsl
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
i	i	Qo
na	na	Sa
njihovu	njihov	Ps3fsa
i	i	Cc
na	na	Sa
štetu	šteta	Ncfsa
općih	opći	Agpmpgy
europskih	europski	Agpmpgy
interesa	interes	Ncmpg
.	.	Z

3.2.	3.2.	Mdo

Dopuštene	dopustiti	Appfpny
državne	državni	Agpfsgy
potpore	potpora	Ncfsg

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Ugovorom	ugovor	Ncmsi
o	o	Sl
funkcioniranju	funkcioniranje	Ncnsl
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
sljedeće	sljedeći	Agpfsgy
kategorije	kategorija	Ncfsg
državnih	državni	Agpfpgy
potpora	potpora	Ncfpg
se	sebe	Px--sa
mogu	moći	Vmr3p
smatrati	smatrati	Vmn
spojivima	spojiv	Agpmpiy
s	sa	Si
unutarnjim	unutarnji	Agpnsiy
tržištem	tržište	Ncnsi
,	,	Z
nakon	nakon	Sg
odgovarajućeg	odgovarajući	Agpmsgy
postupka	postupak	Ncmsg
provjere	provjera	Ncfsg
koji	koji	Pi-msn
se	sebe	Px--sa
provodi	provoditi	Vmr3s
i	i	Cc
nakon	nakon	Sg
njihove	njihov	Ps3fsg
pozitivne	pozitivan	Agpfpay
ocjene	ocjena	Ncfpa
:	:	Z

–	–	Z
potpore	potpora	Ncfsg
za	za	Sa
promicanje	promicanje	Ncnsa
gospodarskog	gospodarski	Agpmsgy
razvoja	razvoj	Ncmsg
područja	područje	Ncnpg
na	na	Sl
kojima	koji	Pi-npl
je	biti	Var3s
životni	životan	Agpmsny
standard	standard	Ncmsn
neuobičajeno	neuobičajeno	Rgp
nizak	nizak	Agpmsnn
ili	ili	Cc
na	na	Sl
kojima	koji	Pi-fpl
postoji	postojati	Vmr3s
velika	velik	Agpfsny
podzaposlenost	podzaposlenost	Ncfsn

–	–	Z
potpore	potpora	Ncfsg
za	za	Sa
promicanje	promicanje	Ncnsa
provedbe	provedba	Ncfsg
važnog	važan	Agpmsgy
projekta	projekt	Ncmsg
od	od	Sg
zajedničkog	zajednički	Agpmsgy
europskog	europski	Agpmsgy
interesa	interes	Ncmsg
ili	ili	Cc
za	za	Sa
otklanjanje	otklanjanje	Ncnsa
ozbiljnih	ozbiljan	Agpmpgy
poremećaja	poremećaj	Ncmpg
u	u	Sl
gospodarstvu	gospodarstvo	Ncnsl
neke	neki	Agpfsgy
države	država	Ncfsg

