čemu	što	Pi3n-l
Roditelj	roditelj	Ncmsn
se	sebe	Px--sa
neće	htjeti	Var3s
saslušati	saslušati	Vmn
ako	ako	Cs
to	taj	Pd-nsa
zahtijevaju	zahtijevati	Vmr3p
posebne	poseban	Agpfpay
okolnosti	okolnost	Ncfpa
slučaja	slučaj	Ncmsg
.	.	Z

Saslušanje	saslušanje	Ncnsn
i	i	Cc
poziv	poziv	Ncmsan
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg

Članak	članak	Ncmsn
363.	363.	Mdo

U	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
osobnim	osoban	Agpnply
pravima	pravo	Ncnpl
djeteta	dijete	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
određuju	određivati	Vmr3p
mjere	mjera	Ncfpn
za	za	Sa
zaštitu	zaštita	Ncfsa
osobnih	osoban	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
sud	sud	Ncmsn
može	moći	Vmr3s
pozvati	pozvati	Vmn
udomitelja	udomitelj	Ncmsay
koji	koji	Pi-msn
se	sebe	Px--sa
dulje	duljiti	Vmr3p
vrijeme	vrijeme	Ncnsa
skrbi	skrb	Ncfsg
o	o	Sl
djetetu	dijete	Ncnsl
,	,	Z
kao	kao	Cs
i	i	Qo
druge	drugi	Mlofpn
osobe	osoba	Ncfpn
koje	koji	Pi-fpn
dulje	duljiti	Vmr3p
vrijeme	vrijeme	Ncnsa
žive	živjeti	Vmr3p
s	sa	Si
djetetom	dijete	Ncnsi
i	i	Cc
skrbe	skrbiti	Vmr3p
se	sebe	Px--sa
o	o	Sl
njemu	on	Pp3msl
da	da	Cs
sudjeluju	sudjelovati	Vmr3p
u	u	Sl
postupku	postupak	Ncmsl
te	te	Cc
ih	oni	Pp3-pa
saslušati	saslušati	Vmn
.	.	Z

5.	5.	Mdo
SUDJELOVANJE	sudjelovanje	Ncnsn
OSOBA	osoba	Ncfpg
LIŠENIH	lišiti	Appfpgy
POSLOVNE	poslovan	Agpfsgy
SPOSOBNOSTI	sposobnost	Ncfsg
U	u	Sl
POSTUPKU	postupak	Ncmsl

Postupovna	postupovni	Agpfsny
sposobnost	sposobnost	Ncfsn

Članak	članak	Ncmsn
364.	364.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
statusnim	statusni	Agpfply
stvarima	stvar	Ncfpl
,	,	Z
stvarima	stvar	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
osobnim	osoban	Agpmply
odnosima	odnos	Ncmpl
i	i	Cc
mjerama	mjera	Ncfpi
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnsg
i	i	Cc
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
sud	sud	Ncmsn
će	htjeti	Var3s
rješenjem	rješenje	Ncnsi
dopustiti	dopustiti	Vmn
da	da	Cs
radi	radi	Sg
ostvarenja	ostvarenje	Ncnsg
svojih	svoj	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
interesa	interes	Ncmsg
,	,	Z
pojedine	pojedini	Agpmpay
ili	ili	Cc
sve	sav	Agpfpay
radnje	radnja	Ncfpa
u	u	Sl
postupku	postupak	Ncmsl
poduzima	poduzimati	Vmr3s
i	i	Qo
stranka	stranka	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
lišena	lišiti	Appfsny
poslovne	poslovan	Agpfsgy
sposobnosti	sposobnost	Ncfsg
u	u	Sl
tom	taj	Pd-msl
dijelu	dio	Ncmsl
pod	pod	Si
uvjetom	uvjet	Ncmsi
da	da	Cs
je	biti	Var3s
u	u	Sl
stanju	stanje	Ncnsl
shvatiti	shvatiti	Vmn
značenje	značenje	Ncnsa
i	i	Cc
pravne	pravni	Agpfsgy
posljedice	posljedica	Ncfsg
tih	taj	Pd-fpg
radnji	radnja	Ncfpg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Prije	prije	Sg
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
sud	sud	Ncmsn
je	biti	Var3s
dužan	dužan	Agpmsnn
zatražiti	zatražiti	Vmn
mišljenje	mišljenje	Ncnsa
centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Protiv	protiv	Sg
rješenja	rješenje	Ncnsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
priznaje	priznavati	Vmr3s
sposobnost	sposobnost	Ncfsn
poduzimanja	poduzimanje	Ncnsg
pojedinih	pojedini	Agpnpgy
ili	ili	Cc
svih	sav	Agpfpgy
radnji	radnja	Ncfpg
u	u	Sl
postupku	postupak	Ncmsl
nije	biti	Var3s
dopuštena	dopustiti	Appfsny
posebna	poseban	Agpfsny
žalba	žalba	Ncfsn
.	.	Z

6.	6.	Mdo
DOSTAVA	dostava	Ncfsn

Članak	članak	Ncmsn
365.	365.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
zaštiti	zaštita	Ncfsl
osobnih	osoban	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
dostava	dostava	Ncfpg
među	među	Si
sudovima	sud	Ncmpi
i	i	Cc
drugim	drugi	Mlompl
javnim	javan	Agpnply
tijelima	tijelo	Ncnpl
obavlja	obavljati	Vmr3s
se	sebe	Px--sa
neposredno	neposredno	Rgp
ili	ili	Cc
elektroničkim	elektronički	Agpmsiy
putem	put	Ncmsi
,	,	Z
odnosno	odnosno	Rgp
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
koji	koji	Pi-msn
omogućuje	omogućivati	Vmr3s
nesumnjiv	nesumnjiv	Agpmsann
dokaz	dokaz	Ncmsan
o	o	Sl
obavljenoj	obaviti	Agpfsly
dostavi	dostava	Ncfsl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Pravomoćnu	pravomoćan	Agpfsay
odluku	odluka	Ncfsa
donesenu	donijeti	Appfsay
u	u	Sl
statusnim	statusni	Agpfply
stvarima	stvar	Ncfpl
i	i	Cc
o	o	Sl
lišenju	lišenje	Ncnsl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
sud	sud	Ncmsn
dostavlja	dostavljati	Vmr3s
matičaru	matičar	Ncmsd
radi	radi	Sg
upisa	upis	Ncmsg
u	u	Sa
državne	državni	Agpfpay
matice	matica	Ncfpa
.	.	Z

7.	7.	Mdo
TROŠKOVI	trošak	Ncmpn
POSTUPKA	postupak	Ncmsg

Članak	članak	Ncmsn
366.	366.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
statusnim	statusni	Agpfply
stvarima	stvar	Ncfpl
,	,	Z
stvarima	stvar	Ncfpl
u	u	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
osobnim	osoban	Agpmply
odnosima	odnos	Ncmpl
i	i	Cc
mjerama	mjera	Ncfpi
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnsg
i	i	Cc
dobrobiti	dobrobit	Ncfsl
djeteta	dijete	Ncnsg
te	te	Cc
u	u	Sl
stvarima	stvar	Ncfpl
uzdržavanja	uzdržavanje	Ncnsg
djeteta	dijete	Ncnsg
sud	sud	Ncmsn
će	htjeti	Var3s
o	o	Sl
troškovima	trošak	Ncmpl
postupka	postupak	Ncmsg
odlučiti	odlučiti	Vmn
slobodno	slobodno	Rgp
,	,	Z
vodeći	vodeći	Agpmsny
računa	računati	Vmr3s
o	o	Sl
okolnostima	okolnost	Ncfpl
slučaja	slučaj	Ncmsg
i	i	Cc
o	o	Sl
ishodu	ishod	Ncmsl
postupka	postupak	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Sud	sud	Ncmsn
može	moći	Vmr3s
odrediti	odrediti	Vmn
da	da	Cs
troškove	trošak	Ncmpa
posebnog	poseban	Agpmsgy
skrbnika	skrbnik	Ncmsg
djeteta	dijete	Ncnsg
snose	snositi	Vmr3p
roditelji	roditelj	Ncmpn
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Prilikom	prilikom	Sg
utvrđivanja	utvrđivanje	Ncnsg
visine	visina	Ncfsg
troškova	trošak	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
se	sebe	Px--sa
način	način	Ncmsan
primjenjuju	primjenjivati	Vmr3p
propisi	propis	Ncmpn
o	o	Sl
nagradama	nagrada	Ncfpl
i	i	Cc
naknadama	naknada	Ncfpl
za	za	Sa
rad	rad	Ncmsan
odvjetnika	odvjetnik	Ncmpg
,	,	Z
a	a	Cc
sredstva	sredstvo	Ncnsg
naplaćena	naplatiti	Appfsny
na	na	Sa
ime	ime	Ncnsa
tih	taj	Pd-mpg
troškova	trošak	Ncmpg
prihod	prihod	Ncmsan
su	biti	Var3p
državnog	državni	Agpmsgy
proračuna	proračun	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Troškove	trošak	Ncmpa
izvođenja	izvođenje	Ncnsg
dokaza	dokaz	Ncmpg
koje	koji	Pi-nsn
predlaže	predlagati	Vmr3s
dijete	dijete	Ncnsa
predujmljuju	predujmljivati	Vmr3p
roditelji	roditelj	Ncmpn
u	u	Sl
iznosima	iznos	Ncmpl
koje	koji	Pi-mpa
odredi	odrediti	Vmr3s
sud	sud	Ncmsn
po	po	Sl
slobodnoj	slobodan	Agpfsly
ocjeni	ocjena	Ncfsl
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kad	kad	Cs
centar	centar	Ncmsn
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
postupku	postupak	Ncmsl
kao	kao	Cs
stranka	stranka	Ncfsn
,	,	Z
na	na	Sa
naknadu	naknada	Ncfsa
troškova	trošak	Ncmpg
postupka	postupak	Ncmsg
i	i	Cc
njegove	njegov	Ps3fsg
dužnosti	dužnost	Ncfsg
snošenja	snošenje	Ncnsg
troškova	trošak	Ncmpg
u	u	Sl
postupku	postupak	Ncmsl
pred	pred	Si
sudom	sud	Ncmsi
primjenjuju	primjenjivati	Vmr3p
se	sebe	Px--sa
odredbe	odredba	Ncfpn
zakona	zakon	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
parnični	parnični	Agpmsny
postupak	postupak	Ncmsn
koje	koji	Pi-fpn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
državnog	državni	Agpmsgy
odvjetnika	odvjetnik	Ncmsg
.	.	Z

8.	8.	Mdo
OBJAVA	objava	Ncfsn
SUDSKIH	sudski	Agpfpgy
ODLUKA	odluka	Ncfpg
I	i	Cc
VOĐENJE	vođenje	Ncnsn
OČEVIDNIKA	očevidnik	Ncmpg
TE	taj	Pd-fsg
DOKUMENTACIJE	dokumentacija	Ncfsg

Članak	članak	Ncmsn
367.	367.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
postupcima	postupak	Ncmpl
u	u	Sl
kojima	koji	Pi-mpl
se	sebe	Px--sa
odlučuje	odlučivati	Vmr3s
o	o	Sl
statusnim	statusni	Agpfply
stvarima	stvar	Ncfpl
,	,	Z
roditeljskoj	roditeljski	Agpfsly
skrbi	skrb	Ncfsl
,	,	Z
osobnim	osoban	Agpmply
odnosima	odnos	Ncmpl
,	,	Z
mjerama	mjera	Ncfpi
za	za	Sa
zaštitu	zaštita	Ncfsa
prava	pravo	Ncnsg
i	i	Cc
dobrobiti	dobrobit	Ncfsl
djeteta	dijete	Ncnsg
te	te	Cc

