Vozna	vozan	Agpnpny
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
i	i	Cc
provesti	provesti	Vmn
odgovarajući	odgovarajući	Agpmsayn
postupak	postupak	Ncmsan
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
osigurati	osigurati	Vmn
njegovo	njegov	Ps3nsa
provođenje	provođenje	Ncnsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kad	kad	Cs
je	biti	Var3s
postupkom	postupak	Ncmsi
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
16.	16.	Mdo
ovoga	ovaj	Ncmsg
Pravilnika	pravilnik	Ncmsg
dokazana	dokazati	Ncmsg
sukladnost	sukladnost	Ncfsa
dizala	dizati	Vmp-sf
s	sa	Si
propisanim	propisati	Agpmpiy
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
,	,	Z
ugraditelj	ugraditelj	Pi3n-a
mora	morati	Vmr3s
sastaviti	sastaviti	Vmn
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
osigurati	osigurati	Vmn
da	da	Cs
ona	on	Pp3fsn
bude	biti	Var3s
priložena	priložiti	Appfsny
uz	uz	Sa
dizalo	dizalo	Ncnsa
i	i	Cc
stavlja	stavljati	Vmr3s
oznaku	oznaka	Ncfsa
CE	CE	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Ugraditelj	Ugraditelj	Npmsn
mora	morati	Vmr3s
čuvati	čuvati	Vmn
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
EU	E	Npmsg
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
odluku	odluka	Ncfsa
(	(	Z
odluke	odluka	Ncfpn
)	)	Z
o	o	Sl
odobrenju	odobrenje	Ncnsl
,	,	Z
10	10	Mdc
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
dizalo	dizati	Vap-sn
stavljeno	staviti	Appnsny
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Kad	kad	Cs
to	taj	Pd-nsa
smatraju	smatrati	Vmr3p
prikladnim	prikladan	Agpmsiy
s	sa	Si
obzirom	obzir	Ncmsi
na	na	Sa
rizik	rizik	Ncmsan
koji	koji	Pi-msn
predstavlja	predstavljati	Vmr3s
dizalo	dizalo	Ncnsa
,	,	Z
a	a	Cc
kako	kako	Cs
bi	biti	Vaa3p
zaštitili	zaštititi	Vmp-pm
zdravlje	zdravlje	Ncnsa
i	i	Cc
sigurnost	sigurnost	Ncfsa
korisnika	korisnik	Ncmpg
,	,	Z
ugraditelji	ugraditelj	Ncmpn
moraju	morati	Vmr3p
istražiti	istražiti	Vmn
i	i	Qo
,	,	Z
ako	ako	Cs
je	biti	Var3s
to	taj	Pd-nsn
potrebno	potreban	Agpnsny
,	,	Z
voditi	voditi	Vmn
knjigu	knjiga	Ncfsa
pritužbi	pritužba	Ncfpg
i	i	Cc
registar	registar	Ncmsan
nesukladnih	nesukladan	Agpnpgy
dizala	dizalo	Ncnpg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Ugraditelji	ugraditelj	Ncmpn
osiguravaju	osiguravati	Vmr3p
da	da	Cs
je	biti	Var3s
na	na	Sl
dizalima	dizalo	Ncnpl
označena	označiti	Appfsny
vrsta	vrsta	Ncfsn
,	,	Z
serija	serija	Ncfsn
ili	ili	Cc
serijski	serijski	Agpmsny
broj	broj	Ncmsn
ili	ili	Cc
bilo	bilo	Qo
koji	koji	Pi-msan
drugi	drugi	Mlomsan
identifikacijski	identifikacijski	Agpmsayn
element	element	Ncmsan
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ugraditelji	ugraditelj	Ncmpn
navode	navoditi	Vmr3p
na	na	Sl
dizalu	dizalo	Ncnsl
svoje	svoj	Px-nsa
ime	ime	Ncnsa
,	,	Z
registrirano	registriran	Agpnsny
trgovačko	trgovački	Agpnsny
ime	ime	Ncnsn
ili	ili	Cc
registriranu	registriran	Agpfsay
trgovačku	trgovački	Agpfsay
oznaku	oznaka	Ncfsa
i	i	Cc
poštansku	poštanski	Agpfsay
adresu	adresa	Ncfsa
na	na	Sl
kojoj	koji	Pi-fsl
ih	oni	Pp3-pa
se	sebe	Px--sa
može	moći	Vmr3s
kontaktirati	kontaktirati	Vmn
.	.	Z

Adresa	adresa	Ncfsn
mora	morati	Vmr3s
sadržavati	sadržavati	Vmn
jedinstveno	jedinstven	Agpnsay
mjesto	mjesto	Ncnsa
na	na	Sl
kojem	koji	Pi-nsl
se	sebe	Px--sa
ugraditelja	ugraditelja	Ncfsn
može	moći	Vmr3s
kontaktirati	kontaktirati	Vmn
.	.	Z

Kontaktni	kontaktan	Agpmpny
podaci	podatak	Ncmpn
moraju	morati	Vmr3p
biti	biti	Van
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Ugraditelji	ugraditelj	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
uz	uz	Sa
dizalo	dizalo	Ncnsa
dolaze	dolaziti	Vmr3p
upute	uputa	Ncfpa
iz	iz	Sg
Priloga	prilog	Ncmsg
I.	ii	Agpfsgy
točke	točka	Ncfsg
6.2	6.2	Mdc
,	,	Z
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
koje	koji	Pi-fpn
moraju	morati	Vmr3p
biti	biti	Van
jasne	jasan	Agpfpny
,	,	Z
razumljive	razumljiv	Agpfpay
i	i	Cc
shvatljive	shvatljiv	Agpfpny
,	,	Z
kao	kao	Cs
i	i	Cc
i	i	Qo
svako	svaki	Pi-nsn
drugo	drugi	Mlonsa
označivanje	označivanje	Ncnsa
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Ugraditelji	ugraditelj	Ncmpn
koji	koji	Pi-mpn
smatraju	smatrati	Vmr3p
ili	ili	Cc
imaju	imati	Vmr3p
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
dizalo	dizalo	Ncnsn
koje	koji	Pi-nsa
su	biti	Var3p
stavili	staviti	Vmp-pm
na	na	Sa
tržište	tržište	Ncnsa
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
,	,	Z
bez	bez	Sg
odgode	odgoda	Ncfsg
moraju	morati	Vmr3p
poduzeti	poduzeti	Vmn
korektivne	korektivan	Agpfpay
mjere	mjera	Ncfpa
kako	kako	Cs
bi	biti	Vaa3p
uskladili	uskladiti	Vmp-pm
spomenuto	spomenuti	Agpnsay
dizalo	dizalo	Ncnsa
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
kad	kad	Cs
dizalo	dizalo	Ncnsn
predstavlja	predstavljati	Vmr3s
opasnost	opasnost	Ncfsa
,	,	Z
ugraditelji	ugraditelj	Ncmpn
o	o	Sl
tome	taj	Pd-nsl
bez	bez	Sg
odgode	odgoda	Ncfsg
moraju	morati	Vmr3p
obavijestiti	obavijestiti	Vmn
nadležno	nadležan	Agpnsay
inspekcijsko	inspekcijski	Agpnsay
tijelo	tijelo	Ncnsa
,	,	Z
navodeći	navoditi	Rr
detalje	detalj	Ncmpa
,	,	Z
posebno	posebno	Rgp
o	o	Sl
nesukladnosti	nesukladnost	Ncfsl
i	i	Cc
o	o	Sl
svim	sav	Agpnply
poduzetim	poduzet	Agpfply
korektivnim	korektivan	Agpfply
mjerama	mjera	Ncfpl
.	.	Z

(	(	Z
10	10	Mdc
)	)	Z
Na	na	Sa
obrazložen	obrazložiti	Agpmsayn
zahtjev	zahtjev	Ncmsan
nadležnog	nadležan	Agpnsgy
inspekcijskog	inspekcijski	Agpnsgy
tijela	tijelo	Ncnsg
ugraditelji	ugraditelja	Ncfpg
moraju	morati	Vmr3p
dostaviti	dostaviti	Vmn
tom	taj	Pd-nsl
tijelu	tijelo	Ncnsl
sve	sav	Agpmpay
podatke	podatak	Ncmpa
i	i	Cc
dokumentaciju	dokumentacija	Ncfsa
u	u	Sl
papirnatom	papirnat	Agpnsly
ili	ili	Cc
elektroničkom	elektronički	Agpmsly
obliku	oblik	Ncmsl
koji	koji	Pi-mpn
su	biti	Var3p
potrebni	potreban	Agpmpny
za	za	Sa
dokazivanje	dokazivanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
dizala	dizalo	Ncnsg
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
na	na	Sl
hrvatskom	hrvatski	Agpmsly
jeziku	jezik	Ncmsl
.	.	Z

(	(	Z
11	11	Mdc
)	)	Z
Na	na	Sa
zahtjev	zahtjev	Ncmsan
nadležnog	nadležan	Agpnsgy
inspekcijskog	inspekcijski	Agpnsgy
tijela	tijelo	Ncnsg
ugraditelji	ugraditelj	Ncmpn
moraju	morati	Vmr3p
surađivati	surađivati	Vmn
s	sa	Si
njim	on	Pp3msi
u	u	Sl
svakoj	svaki	Pi-fsl
poduzetoj	poduzet	Agpfsly
radnji	radnja	Ncfsl
kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
uklonio	ukloniti	Vmp-sm
rizik	rizik	Ncmsn
koji	koji	Pi-msan
predstavljaju	predstavljati	Vmr3p
dizala	dizalo	Ncnpa
koja	koji	Pi-npn
su	biti	Var3p
stavili	staviti	Vmp-pm
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

Članak	članak	Ncmsn
8.	8.	Mdo

Obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmsg

(	(	Z
1	1	Mdc
)	)	Z
Kad	kad	Cs
stavljaju	stavljati	Vmr3p
svoje	svoj	Px-fpa
sigurnosne	sigurnosni	Agpfpay
komponente	komponenta	Ncfpa
za	za	Sa
dizala	dizalo	Ncnpa
na	na	Sa
tržište	tržište	Ncnsa
,	,	Z
proizvođači	proizvođač	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
su	biti	Var3p
projektirane	projektirati	Appfpny
i	i	Cc
proizvedene	proizvesti	Appfpny
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
člankom	članak	Ncmsi
5.	5.	Mdo
stavkom	stavak	Ncmsi
2.	2.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Proizvođači	proizvođač	Ncmpn
moraju	morati	Vmr3p
pripremiti	pripremiti	Vmn
traženu	tražen	Agpfsay
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
i	i	Cc
provesti	provesti	Vmn
odgovarajući	odgovarajući	Agpmsayn
postupak	postupak	Ncmsan
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ili	ili	Cc
osigurati	osigurati	Vmn
njegovu	njegov	Ps3fsa
provedbu	provedba	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Kad	kad	Cs
je	biti	Var3s
postupkom	postupak	Ncmsi
ocjenjivanja	ocjenjivanje	Ncnsg
sukladnosti	sukladnost	Ncfsg
iz	iz	Sg
članka	članak	Ncmsg
15.	15.	Mdo
ovog	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
dokazana	dokazati	Appfsny
sukladnost	sukladnost	Ncfsn
sigurnosne	sigurnosni	Agpfsgy
komponente	komponenta	Ncfsg
za	za	Sa
dizala	dizalo	Ncnpa
s	sa	Si
primjenjivim	primjenjiv	Agpmpiy
bitnim	bitan	Agpmpiy
zdravstvenim	zdravstven	Agpmpiy
i	i	Cc
sigurnosnim	sigurnosni	Agpmpiy
zahtjevima	zahtjev	Ncmpi
,	,	Z
proizvođači	proizvođač	Ncmpn
moraju	morati	Vmr3p
sastaviti	sastaviti	Vmn
EU	E	Npmsd
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
,	,	Z
osigurati	osigurati	Vmn
da	da	Cs
ona	oni	Pp3npn
bude	biti	Var3s
priložena	priložen	Agpfsny
uz	uz	Sa
sigurnosnu	sigurnosni	Agpfsay
komponentu	komponenta	Ncfsa
za	za	Sa
dizala	dizalo	Ncnpa
i	i	Cc
stavljaju	stavljati	Vmr3p
oznaku	oznaka	Ncfsa
CE	CE	Npmsn
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Proizvođači	proizvođač	Ncmpn
moraju	morati	Vmr3p
čuvati	čuvati	Vmn
tehničku	tehnički	Agpfsay
dokumentaciju	dokumentacija	Ncfsa
,	,	Z
EU	E	Npmsg
izjavu	izjava	Ncfsa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
i	i	Cc
,	,	Z
prema	prema	Sl
potrebi	potreba	Ncfsl
,	,	Z
odluku	odluka	Ncfsa
(	(	Z
odluke	odluka	Ncfpn
)	)	Z
o	o	Sl
odobrenju	odobrenje	Ncnsl
,	,	Z
10	10	Mdc
godina	godina	Ncfpg
nakon	nakon	Cs
što	što	Cs
je	biti	Var3s
sigurnosna	sigurnosni	Agpfsny
komponenta	komponenta	Ncfsn
za	za	Sa
dizala	dizalo	Ncnpa
stavljena	staviti	Appfsny
na	na	Sa
tržište	tržište	Ncnsa
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Proizvođači	proizvođač	Ncmpn
moraju	morati	Vmr3p
osigurati	osigurati	Vmn
da	da	Cs
se	sebe	Px--sa
provode	provoditi	Vmr3p
postupci	postupak	Ncmpn
za	za	Sa
očuvanje	očuvanje	Ncnsa
sukladnosti	sukladnost	Ncfsg
serijske	serijski	Agpfsgy
proizvodnje	proizvodnja	Ncfsg
s	sa	Si
ovim	ovaj	Pd-msi
Pravilnikom	pravilnik	Ncmsi
.	.	Z

Na	na	Sa
odgovarajući	odgovarajući	Agpmsayn
način	način	Ncmsan
uzimaju	uzimati	Vmr3p
se	sebe	Px--sa
u	u	Sa
obzir	obzir	Ncmsan
promjene	promjena	Ncfsg
u	u	Sl
oblikovanju	oblikovanje	Ncnsl
ili	ili	Cc
značajkama	značajka	Ncfpl
proizvoda	proizvod	Ncmpg
te	taj	Pd-fsg
promjene	promjena	Ncfsg
u	u	Sl
usklađenim	uskladiti	Agpfply
normama	norma	Ncfpl
ili	ili	Cc
drugim	drugi	Mlofpl
tehničkim	tehnički	Agpfply
specifikacijama	specifikacija	Ncfpl
s	sa	Si

