izvanparničnom	izvanparnični	Agpmsly
svrhu	svrha	Ncfsa
zaštite	zaštita	Ncfsg
i	i	Cc
promicanja	promicanje	Ncnsg
djetetovih	djetetov	Ncfpg
osobnih	osoban	Agpfpgy
i	i	Cc
imovinskih	imovinski	Agpnpgy
prava	pravo	Ncnpg
te	taj	Pd-fsg
dobrobiti	dobrobit	Ncfsg
.	.	Z

Roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
ostvarivati	ostvarivati	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
djetetovim	djetetov	Aspfply
razvojnim	razvojan	Agpfpiy
potrebama	potreba	Ncfpi
i	i	Cc
mogućnostima	mogućnost	Ncfpl
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Roditelj	roditelj	Ncmsn
se	sebe	Px--sa
ne	ne	Qz
može	moći	Vmr3s
odreći	odreći	Vmn
prava	pravo	Ncnpa
na	na	Sa
roditeljsku	roditeljski	Agpfsay
skrb	skrb	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
o	o	Sl
pojedinačnim	pojedinačan	Agpmply
sadržajima	sadržaj	Ncmpl
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
razgovarati	razgovarati	Vmn
i	i	Cc
sporazumijevati	sporazumijevati	Vmn
se	sebe	Px--sa
s	sa	Si
djetetom	dijete	Ncnsi
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
dobi	dob	Ncfsg
i	i	Cc
zrelošću	zrelost	Ncfsi
.	.	Z

Temeljni	temeljan	Agpmsny
sadržaj	sadržaj	Ncmsn
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg

Članak	članak	Ncmsn
92.	92.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sa
sadržaj	sadržaj	Ncmsan
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
ulazi	ulaziti	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
zaštite	zaštita	Ncfsg
osobnih	osoban	Agpnpgy
prava	pravo	Ncnpg
djeteta	dijete	Ncnsg
na	na	Sa
:	:	Z

1.	1.	Mdo
zdravlje	zdravlje	Ncnsa
,	,	Z
razvoj	razvoj	Ncmsan
,	,	Z
njegu	njega	Ncfsa
i	i	Cc
zaštitu	zaštita	Ncfsa

2.	2.	Mdo
odgoj	odgoj	Ncmsan
i	i	Cc
obrazovanje	obrazovanje	Ncnsa

3.	3.	Mdo
ostvarivanje	ostvarivanje	Ncnsa
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
i	i	Cc

4.	4.	Mdo
određivanje	određivanje	Ncnsa
mjesta	mjesto	Ncnsg
stanovanja	stanovanje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sa
sadržaj	sadržaj	Ncmsan
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
ulazi	ulaziti	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
upravljanja	upravljanje	Ncnsg
djetetovom	djetetov	Agpfsiy
imovinom	imovina	Ncfsi
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sa
sadržaj	sadržaj	Ncmsan
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
ulazi	ulaziti	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
zastupanja	zastupanje	Ncnsg
djetetovih	djetetov	Aspnpgy
osobnih	osoban	Agpmpgy
i	i	Cc
imovinskih	imovinski	Agpnpgy
prava	pravo	Ncnpg
i	i	Cc
interesa	interes	Ncmsg
.	.	Z

Zdravlje	zdravlje	Ncnsn
,	,	Z
razvoj	razvoj	Ncmsan
,	,	Z
njega	on	Pp3msa
i	i	Cc
zaštita	zaštita	Ncfsn
djeteta	dijete	Ncnsg

Članak	članak	Ncmsn
93.	93.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
i	i	Cc
odgovorni	odgovoran	Agpmpny
skrbiti	skrbiti	Vmn
se	sebe	Px--sa
o	o	Sl
zdravlju	zdravlje	Ncnsl
djeteta	dijete	Ncnsg
te	te	Cc
mu	on	Pp3msd
omogućiti	omogućiti	Vmn
korištenje	korištenje	Ncnsa
mjera	mjera	Ncfpg
za	za	Sa
očuvanje	očuvanje	Ncnsa
te	te	Cc
unaprjeđenje	unaprjeđenje	Ncnsa
zdravlja	zdravlje	Ncnsg
i	i	Cc
ozdravljenje	ozdravljenje	Ncnsa
u	u	Sl
slučaju	slučaj	Ncmsl
bolesti	bolest	Ncfsg
,	,	Z
sukladno	sukladno	Rgp
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
zdravstvo	zdravstvo	Ncnsa
i	i	Cc
zahtjevima	zahtjev	Ncmpi
medicinske	medicinski	Agpfsgy
znanosti	znanost	Ncfsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
i	i	Cc
odgovorni	odgovoran	Agpmpny
čuvati	čuvati	Vmn
i	i	Cc
njegovati	njegovati	Vmn
dijete	dijete	Ncnsa
te	te	Cc
se	sebe	Px--sa
skrbiti	skrbiti	Vmn
o	o	Sl
njegovim	njegov	Agpfply
potrebama	potreba	Ncfpl
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
štititi	štititi	Vmn
dijete	dijete	Ncnsa
od	od	Sg
ponižavajućih	ponižavajući	Agpmpgy
postupaka	postupak	Ncmpg
i	i	Cc
tjelesnoga	tjelesni	Agpnsgy
kažnjavanja	kažnjavanje	Ncnsg
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
ne	ne	Qz
smiju	smjeti	Vmr3p
dijete	dijete	Ncnsa
predškolske	predškolski	Agpfsgy
dobi	dob	Ncfsg
ostaviti	ostaviti	Vmn
bez	bez	Sg
nadzora	nadzor	Ncmsg
osobe	osoba	Ncfsg
starije	staro	Rgc
od	od	Sg
šesnaest	šesnaest	Mlc
godina	godina	Ncfpg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
i	i	Cc
odgovorni	odgovoran	Agpmpny
djetetu	dijete	Ncnsd
mlađem	mlad	Agcmsly
od	od	Sg
šesnaest	šesnaest	Mlc
godina	godina	Ncfpg
zabraniti	zabraniti	Vmn
noćne	noćni	Agpmpay
izlaske	izlazak	Ncmpa
bez	bez	Sg
svoje	svoj	Px-fsg
pratnje	pratnja	Ncfsg
ili	ili	Cc
pratnje	pratnja	Ncfsg
druge	drugi	Mlofpn
odrasle	odrastao	Agpfpny
osobe	osoba	Ncfpn
u	u	Sa
koju	koji	Pi-fsa
imaju	imati	Vmr3p
povjerenje	povjerenje	Ncnsa
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Noćnim	noćni	Agpmsiy
izlaskom	izlazak	Ncmsi
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
smatra	smatrati	Vmr3s
se	sebe	Px--sa
vrijeme	vrijeme	Ncnsn
od	od	Sg
dvadeset	dvadeset	Mlc
tri	tri	Mlc
do	do	Sg
pet	pet	Mlc
sati	sat	Ncmpg
.	.	Z

Odgoj	odgoj	Ncmsn
i	i	Cc
obrazovanje	obrazovanje	Ncnsa
djeteta	dijete	Ncnsg

Članak	članak	Ncmsn
94.	94.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Odgoj	odgoj	Ncmsn
djeteta	dijete	Ncnsg
mora	morati	Vmr3s
biti	biti	Van
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovom	njegov	Ps3fsi
dobi	dob	Ncfsg
i	i	Cc
zrelošću	zrelost	Ncfsi
te	te	Cc
s	sa	Si
pravom	pravo	Ncnsi
djeteta	dijete	Ncnsg
na	na	Sa
slobodu	sloboda	Ncfsa
savjesti	savjest	Ncfsg
,	,	Z
vjerskog	vjerski	Agpnsgy
i	i	Cc
drugog	drugi	Agpnsgy
uvjerenja	uvjerenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
ne	ne	Qz
smiju	smjeti	Vmr3p
tjelesno	tjelesno	Rgp
kažnjavati	kažnjavati	Vmn
dijete	dijete	Ncnsa
,	,	Z
postupati	postupati	Vmn
ponižavajuće	ponižavajući	Agpnsny
prema	prema	Sl
njemu	on	Pp3msl
niti	niti	Qo
primjenjivati	primjenjivati	Vmn
psihičku	psihički	Agpfsay
prisilu	prisila	Ncfsa
te	te	Cc
su	biti	Var3p
ga	on	Pp3msa
dužni	dužan	Agpmpny
štititi	štititi	Vmn
od	od	Sg
takvog	takav	Pd-nsg
postupanja	postupanje	Ncnsg
drugih	drugi	Mlofpg
osoba	osoba	Ncfpg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
imaju	imati	Vmr3p
dužnost	dužnost	Ncfsa
brinuti	brinuti	Vmn
se	sebe	Px--sa
o	o	Sl
svestranom	svestran	Agpmsly
,	,	Z
redovitom	redovit	Agpnsly
,	,	Z
a	a	Cc
prema	prema	Sl
svojim	svoj	Px-fpl
mogućnostima	mogućnost	Ncfpl
i	i	Cc
daljnjem	daljnji	Agpnsly
obrazovanju	obrazovanje	Ncnsl
svojeg	svoj	Px-msg
djeteta	dijete	Ncnsg
i	i	Cc
poticati	poticati	Vmn
njegove	njegov	Ps3fpa
umjetničke	umjetnički	Agpfpay
,	,	Z
tehničke	tehnički	Agpfpay
,	,	Z
sportske	sportski	Agpfsgy
i	i	Cc
druge	drugi	Agpmpay
interese	interes	Ncmpa
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
su	biti	Var3p
dužni	dužan	Agpmpny
i	i	Cc
odgovorni	odgovoran	Agpmpny
odzivati	odzivati	Vmr3p
se	sebe	Px--sa
sastancima	sastanak	Ncmpd
ili	ili	Cc
pozivu	poziv	Ncmsl
odgojno-obrazovne	odgojno-obrazovan	Agpfsgy
ustanove	ustanova	Ncfsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
odgojem	odgoj	Ncmsi
i	i	Cc
obrazovanjem	obrazovanje	Ncnsi
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Roditelji	roditelj	Ncmpn
ne	ne	Qz
smiju	smjeti	Vmr3p
prisiljavati	prisiljavati	Vmn
dijete	dijete	Ncnsa
na	na	Sa
obrazovanje	obrazovanje	Ncnsa
koje	koji	Pi-nsn
nije	biti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
njegovim	njegov	Agpfpiy
sposobnostima	sposobnost	Ncfpi
i	i	Cc
sklonostima	sklonost	Ncfpl
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
spora	spor	Ncmsg
između	između	Sg
djeteta	dijete	Ncnsg
i	i	Cc
roditelja	roditelj	Ncmsg
vezanog	vezan	Agpmsgy
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
djeteta	dijete	Ncnsg
,	,	Z
sud	sud	Ncmsn
će	htjeti	Var3s
u	u	Sl
izvanparničnom	izvanparnični	Agpmsly
postupku	postupak	Ncmsl
na	na	Sa
prijedlog	prijedlog	Ncmsan
djeteta	dijete	Ncnsg
ili	ili	Cc
roditelja	roditelj	Ncmpg
donijeti	donijeti	Vmn
rješenje	rješenje	Ncnsa
radi	radi	Sg
zaštite	zaštita	Ncfsg
dobrobiti	dobrobit	Ncfsg
djeteta	dijete	Ncnsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Ministar	ministar	Ncmsn
nadležan	nadležan	Agpmsnn
za	za	Sa
poslove	posao	Ncmpa
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
,	,	Z
uz	uz	Sa
suglasnost	suglasnost	Ncfsa
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
kulturu	kultura	Ncfsa
,	,	Z
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpmsgy
za	za	Sa
zdravlje	zdravlje	Ncnsa
te	te	Cc
ministra	ministar	Ncmsg
nadležnog	nadležan	Agpnsgy
za	za	Sa
obrazovanje	obrazovanje	Ncnsa
pravilnikom	pravilnik	Ncmsi
će	htjeti	Var3s
propisati	propisati	Vmn
način	način	Ncmsan
sudjelovanja	sudjelovanje	Ncnsg
djece	dijete	Ncnpg
u	u	Sl
umjetničkim	umjetnički	Agpfply
,	,	Z
audiovizualnim	audiovizualan	Agpfply
,	,	Z
promidžbenim	promidžbeni	Agpfply
,	,	Z
sportskim	sportski	Agpfply
i	i	Cc
sličnim	sličan	Agpfply
aktivnostima	aktivnost	Ncfpl
.	.	Z

Ostvarivanje	ostvarivanje	Ncnsn
osobnih	osoban	Agpmpgy
odnosa	odnos	Ncmpg
s	sa	Si
djetetom	dijete	Ncnsi

Članak	članak	Ncmsn
95.	95.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Roditelj	roditelj	Ncmsn
koji	koji	Pi-msn
ne	ne	Qz
stanuje	stanovati	Vmr3s
s	sa	Si
djetetom	dijete	Ncnsi
ima	imati	Vmr3s
pravo	pravo	Ncnsa
i	i	Cc
dužnost	dužnost	Ncfsn
ostvarivati	ostvarivati	Vmn
osobne	osoban	Agpmpay
odnose	odnos	Ncmpa
s	sa	Si
djetetom	dijete	Ncnsi
,	,	Z
osim	osim	Cs
ako	ako	Cs
mu	on	Pp3msd
je	biti	Var3s
to	taj	Pd-nsn

