priloženim	priložen	Agpfpiy
zahtjeva	zahtjev	Ncmsg
podnesenog	podnesen	Agpmsgy
zaključno	zaključno	Rgp
s	sa	Sg
31.	31.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
godine	godina	Ncfsg
,	,	Z
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
ponovno	ponovan	Agpnsay
davanje	davanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
,	,	Z
dužne	dužan	Agpfpny
su	biti	Var3p
priložiti	priložiti	Vmn
najmanje	malo	Rgs
dva	dva	Mlc
Uvjerenja	uvjerenje	Ncnsg
o	o	Sl
pohađanju	pohađanje	Ncnsl
Programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Osobe	osoba	Ncfpn
ovlaštene	ovlastiti	Appfpny
na	na	Sl
temelju	temelj	Ncmsl
zahtjeva	zahtjev	Ncmpg
podnesenog	podnesen	Agpmsgy
od	od	Sg
1.	1.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
ponovno	ponovan	Agpnsay
davanje	davanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
,	,	Z
dužne	dužan	Agpfpny
su	biti	Var3p
priložiti	priložiti	Vmn
najmanje	malo	Rgs
tri	tri	Mlc
Uvjerenja	uvjerenje	Ncnsg
o	o	Sl
pohađanju	pohađanje	Ncnsl
Programa	program	Ncmsg
usavršavanja	usavršavanje	Ncnsg
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Osobama	osoba	Ncfpi
kojima	koji	Pi-fpd
je	biti	Var3s
ukinuto	ukinuti	Agpnsny
ovlaštenje	ovlaštenje	Ncnsn
mogu	moći	Vmr3p
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
ponovno	ponovan	Agpnsay
davanje	davanje	Ncnsa
ovlaštenja	ovlaštenje	Ncnsg
nakon	nakon	Sg
proteka	protek	Ncmsg
6	6	Mdc
mjeseci	mjesec	Ncmpg
od	od	Sg
izvršnosti	izvršnost	Ncfsg
rješenja	rješenje	Ncnsg
kojim	koji	Pi-msi
im	oni	Pp3-pd
se	sebe	Px--sa
ovlaštenje	ovlaštenje	Ncnsn
ukida	ukidati	Vmr3s
.	.	Z

Ove	ovaj	Pd-fpn
osobe	osoba	Ncfpn
dužne	dužan	Agpfpny
su	biti	Var3p
dostaviti	dostaviti	Vmn
i	i	Cc
Uvjerenje	uvjerenje	Ncnsa
o	o	Sl
položenom	položiti	Agpmsly
ispitu	ispit	Ncmsl
za	za	Sa
Modul	modul	Ncmsan
1	1	Mdc
,	,	Z
odnosno	odnosno	Rgp
Modul	Modul	Npmsn
2	2	Mdc
,	,	Z
ovisno	ovisno	Rgp
o	o	Sl
traženom	tražen	Agpnsly
ovlaštenju	ovlaštenje	Ncnsl
,	,	Z
koje	koji	Pi-nsn
nije	biti	Var3s
starije	staro	Rgc
od	od	Sg
6	6	Mdc
mjeseci	mjesec	Ncmpg
.	.	Z

Članak	članak	Ncmsn
14.	14.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
promijeni	promijeniti	Vmr3s
svoje	svoj	Px-fpa
sposobnosti	sposobnost	Ncfpa
na	na	Sl
temelju	temelj	Ncmsl
kojih	koji	Pi-mpg
je	biti	Var3s
stekla	steći	Vmp-sf
ovlaštenje	ovlaštenje	Ncnsa
(	(	Z
npr.	npr.	Y
položi	položiti	Vmr3s
Modul	modul	Ncmsan
2	2	Mdc
,	,	Z
ovlaštena	ovlašten	Agpfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
zaposli	zaposliti	Vmr3s
fizičku	fizički	Agpfsay
osobu	osoba	Ncfsa
koja	koji	Pi-fsn
će	htjeti	Var3s
provoditi	provoditi	Vmn
energetsko	energetski	Agpnsay
certificiranje	certificiranje	Ncnsa
,	,	Z
energetski	energetski	Agpmsayn
pregled	pregled	Ncmsan
zgrade	zgrada	Ncfsg
ili	ili	Cc
redovite	redovit	Agpmpay
preglede	pregled	Ncmpa
sustava	sustav	Ncmsg
grijanja	grijanje	Ncnsg
i	i	Cc
sustava	sustav	Ncmsg
hlađenja	hlađenje	Ncnsg
ili	ili	Cc
klimatizacije	klimatizacija	Ncfsg
u	u	Sl
zgradi	zgrada	Ncfsl
)	)	Z
ili	ili	Cc
imenovanu	imenovati	Agpfsay
osobu	osoba	Ncfsa
,	,	Z
može	moći	Vmr3s
podnijeti	podnijeti	Vmn
zahtjev	zahtjev	Ncmsan
za	za	Sa
davanje	davanje	Ncnsa
novog	nov	Agpnsgy
ovlaštenja	ovlaštenje	Ncnsg
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Na	na	Sa
postupak	postupak	Ncmsan
i	i	Cc
uvjete	uvjet	Ncmpa
davanja	davanje	Ncnsg
novog	nov	Agpnsgy
ovlaštenja	ovlaštenje	Ncnsg
odgovarajuće	odgovarajući	Agpnsny
se	sebe	Px--sa
primjenjuju	primjenjivati	Vmr3p
odredbe	odredba	Ncfpn
Zakona	zakon	Ncmsg
i	i	Cc
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

Izmjene	izmjena	Ncfpn
tijekom	tijekom	Sg
ovlaštenja	ovlaštenje	Ncnsg

Članak	članak	Ncmsn
15.	15.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
imena	ime	Ncnsg
,	,	Z
prezimena	prezime	Ncnsg
ili	ili	Cc
adrese	adresa	Ncfsg
ovlaštene	ovlašten	Agpfsgy
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
te	taj	Pd-fsg
promjene	promjena	Ncfsg
imena	ime	Ncnsg
,	,	Z
adrese	adresa	Ncfsg
ili	ili	Cc
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
u	u	Sl
ovlaštenoj	ovlašten	Agpfsly
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
,	,	Z
ovlaštena	ovlastiti	Appfsny
osoba	osoba	Ncfsn
dužna	dužan	Agpfsny
je	biti	Var3s
obavijestiti	obavijestiti	Vmn
Ministarstvo	ministarstvo	Ncnsa
u	u	Sl
roku	rok	Ncmsl
od	od	Sg
8	8	Mdc
dana	dan	Ncmpg
od	od	Sg
nastale	nastao	Agpfsgy
promjene	promjena	Ncfsg
i	i	Cc
dostaviti	dostaviti	Vmn
:	:	Z

–	–	Sa
presliku	preslika	Ncfsa
rješenja	rješenje	Ncnsg
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
promjeni	promjena	Ncfsl
imena	ime	Ncnsg
ili	ili	Cc
prezimena	prezime	Ncnsg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
promjeni	promjena	Ncfsl
adrese	adresa	Ncfsg
fizičke	fizički	Agpfsgy
osobe	osoba	Ncfsg
(	(	Z
preslika	preslika	Ncfsn
uvjerenja	uvjerenje	Ncnsg
o	o	Sl
prebivalištu	prebivalište	Ncnsl
)	)	Z
,	,	Z

–	–	Agpmsny
dokaz	dokaz	Ncmsn
o	o	Sl
promjeni	promjena	Ncfsl
imena	ime	Ncnsg
,	,	Z
adrese	adresa	Ncfsg
ili	ili	Cc
odgovorne	odgovoran	Agpfsgy
osobe	osoba	Ncfsg
(	(	Z
preslika	preslika	Ncfsn
rješenja	rješenje	Ncnsg
o	o	Sl
upisu	upis	Ncmsl
u	u	Sa
sudski	sudski	Agpmsayn
registar	registar	Ncmsan
)	)	Z
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
promjene	promjena	Ncfsg
imenovane	imenovati	Agpfsgy
osobe	osoba	Ncfsg
u	u	Sl
ovlaštenoj	ovlašten	Agpfsly
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
,	,	Z
a	a	Cc
nova	nov	Agpfsny
imenovana	imenovati	Appfsny
osoba	osoba	Ncfsn
je	biti	Var3s
već	već	Rgp
navedena	navesti	Appfsny
u	u	Sl
ranijem	raniji	Agpnsly
rješenju	rješenje	Ncnsl
kao	kao	Cs
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
u	u	Sl
toj	taj	Pd-fsl
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
provodi	provoditi	Vmr3s
radnje	radnja	Ncfpa
i	i	Cc
postupke	postupak	Ncmpa
energetskog	energetski	Agpnsgy
certificiranja	certificiranje	Ncnsg
i	i	Cc
energetskog	energetski	Agpmsgy
pregleda	pregled	Ncmsg
zgrade	zgrada	Ncfsg
,	,	Z
ovlaštena	ovlastiti	Appfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
podnosi	podnositi	Vmr3s
zahtjev	zahtjev	Ncmsan
za	za	Sa
promjenu	promjena	Ncfsa
imenovane	imenovati	Agpfsgy
osobe	osoba	Ncfsg
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
U	u	Sl
slučaju	slučaj	Ncmsl
da	da	Cs
fizička	fizički	Agpfsny
osoba	osoba	Ncfsn
koja	koji	Pi-fsn
provodi	provoditi	Vmr3s
radnje	radnja	Ncfpa
i	i	Cc
postupke	postupak	Ncmpa
energetskog	energetski	Agpnsgy
certificiranja	certificiranje	Ncnsg
i	i	Cc
energetskog	energetski	Agpmsgy
pregleda	pregled	Ncmsg
zgrade	zgrada	Ncfsg
(	(	Z
zaposlena	zaposlen	Agpfsny
osoba	osoba	Ncfsn
)	)	Z
više	mnogo	Rgc
nije	biti	Var3s
zaposlena	zaposlen	Agpfsny
u	u	Sl
ovlaštenoj	ovlašten	Agpfsly
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
,	,	Z
ovlaštena	ovlastiti	Appfsny
pravna	pravni	Agpfsny
osoba	osoba	Ncfsn
podnosi	podnositi	Vmr3s

