nužnim	nužan	Agpmsiy
uže	uže	Ncnsa
i	i	Cc
najuže	uzak	Agpfpay
obitelji	obitelj	Ncfpa
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
obavit	obaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
utvrđivanje	utvrđivanje	Ncnsn
jesu	biti	Var3p
li	li	Qq
nastale	nastao	Agpfpny
prijetnje	prijetnja	Ncfpn
neovisnosti	neovisnost	Ncfsg
uslijed	uslijed	Sg
interesa	interes	Ncmsg
i	i	Cc
odnosa	odnos	Ncmsg
između	između	Sg
klijenta	klijent	Ncmsg
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
i	i	Cc
ostalih	ostali	Agpmpgy
članova	član	Ncmpg
tima	tim	Ncmsg
za	za	Sa
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
,	,	Z
odnosno	odnosno	Rgp
:	:	Z

(	(	Z
a	a	Cc
)	)	Z
onih	onaj	Pd-mpg
koji	koji	Pi-mpn
daju	dati	Vmr3p
konzultacije	konzultacija	Ncfpa
u	u	Sl
vezi	veza	Ncfsl
sa	sa	Si
stručnim	stručan	Agpnpiy
pitanjima	pitanje	Ncnpi
ili	ili	Cc
pitanjima	pitanje	Ncnpl
,	,	Z
transakcijama	transakcija	Ncfpl
ili	ili	Cc
događajima	događaj	Ncmpi
specifičnim	specifičan	Agpmpiy
za	za	Sa
djelatnost	djelatnost	Ncfsa
;	;	Z
i	i	Cc

(	(	Z
b	b	X
)	)	Z
onih	onaj	Pd-mpg
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
kontrolu	kontrola	Ncfsa
kvalitete	kvaliteta	Ncfsg
za	za	Sa
angažman	angažman	Ncmsan
,	,	Z
uključujući	uključivati	Rr
i	i	Qo
one	onaj	Pd-mpa
koji	koji	Pi-mpn
obavljaju	obavljati	Vmr3p
pregled	pregled	Ncmsan
kontrole	kontrola	Ncfsg
kvalitete	kvaliteta	Ncfsg
angažmana	angažman	Ncmpg
.	.	Z

Pozivom	poziv	Ncmsi
na	na	Sa
odredbe	odredba	Ncfpa
navedene	navesti	Appfpny
u	u	Sl
točkama	točka	Ncfpl
291.104	291.104	Mdc
–	–	Z
291.132	291.132	Mdc
također	također	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
obaviti	obaviti	Vmn
ocjenjivanje	ocjenjivanje	Ncnsa
svake	svaki	Pi-fsg
prijetnje	prijetnja	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
angažirani	angažirati	Appmsayn
tim	tim	Ncmsan
ima	imati	Vmr3s
razloga	razlog	Ncmpg
vjerovati	vjerovati	Vmn
da	da	Cs
nastaje	nastajati	Vmr3s
uslijed	uslijed	Sg
interesa	interes	Ncmsg
i	i	Cc
odnosa	odnos	Ncmsg
između	između	Sg
klijenta	klijent	Ncmsg
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
i	i	Cc
ostalih	ostali	Agpfpgy
osoba	osoba	Ncfpg
unutar	unutar	Sg
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
koje	koji	Pi-fpn
mogu	moći	Vmr3p
izravno	izravno	Rgp
utjecati	utjecati	Vmn
na	na	Sa
ishod	ishod	Ncmsan
angažmana	angažman	Ncmpg
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
,	,	Z
uključujući	uključivati	Rr
i	i	Cc
onih	onaj	Pd-mpg
koji	koji	Pi-mpn
preporučuju	preporučivati	Vmr3p
nagradu	nagrada	Ncfsa
ili	ili	Cc
obavljaju	obavljati	Vmr3p
izravni	izravan	Agpmsayn
nadzor	nadzor	Ncmsan
,	,	Z
upravljaju	upravljati	Vmr3p
ili	ili	Cc
pregledavaju	pregledavati	Vmr3p
rad	rad	Ncmsan
partnera	partner	Ncmpg
u	u	Sl
angažmanu	angažman	Ncmsl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
provođenjem	provođenje	Ncnsi
angažmana	angažman	Ncmsg
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
.	.	Z

291.26	291.26	Mds
Čak	čak	Qo
i	i	Qo
ako	ako	Cs
su	biti	Var3p
ispunjeni	ispunjen	Agpmpny
uvjeti	uvjet	Ncmpn
navedeni	navesti	Appmpny
u	u	Sl
točkama	točka	Ncfpl
291.21	291.21	Mdc
–	–	Z
291.22	291.22	Mdc
,	,	Z
ako	ako	Cs
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
ima	imati	Vmr3s
značajan	značajan	Agpmsann
financijski	financijski	Agpmsayn
interes	interes	Ncmsan
,	,	Z
neovisno	neovisan	Agpnsny
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
on	on	Pp3msn
izravan	izravan	Agpmsnn
ili	ili	Cc
neizravan	neizravan	Agpmsnn
,	,	Z
u	u	Sl
klijentu	klijent	Ncmsl
za	za	Sa
kojeg	koji	Pi-msay
se	sebe	Px--sa
izražava	izražavati	Vmr3s
uvjerenje	uvjerenje	Ncnsa
,	,	Z
nastala	nastao	Agpfsny
prijetnja	prijetnja	Ncfsn
temeljem	temelj	Sg
osobnog	osoban	Agpmsgy
interesa	interes	Ncmsg
bila	biti	Vap-sf
bi	biti	Vaa3s
toliko	toliko	Rgp
značajna	značajan	Agpfsny
da	da	Cs
nema	nemati	Vmr3s
zaštita	zaštita	Ncfpg
koje	koji	Pi-fpn
bi	biti	Vaa3p
je	biti	Var3s
umanjile	umanjiti	Vmp-pf
na	na	Sa
prihvatljivu	prihvatljiv	Agpfsay
razinu	razina	Ncfsa
.	.	Z

U	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tim	taj	Pd-nsi
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
neće	htjeti	Var3s
imati	imati	Vmn
takav	takav	Pd-msan
financijski	financijski	Agpmsayn
interes	interes	Ncmsan
.	.	Z

Osim	osim	Sg
toga	taj	Pd-nsg
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
postupit	postupiti	Vmn
će	htjeti	Var3s
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
ostalim	ostali	Agpfpiy
primjenjivim	primjenjiv	Agpfpiy
odredbama	odredba	Ncfpi
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
opisanim	opisati	Appfpiy
u	u	Sl
točkama	točka	Ncfpl
291.112	291.112	Mdc
–	–	Z
291.157.	291.157.	Mdo

291.27	291.27	Mdm
Također	također	Rgp
će	htjeti	Var3s
se	sebe	Px--sa
obaviti	obaviti	Vmn
ocjenjivanje	ocjenjivanje	Ncnsa
svake	svaki	Pi-fsg
prijetnje	prijetnja	Ncfsg
za	za	Sa
koju	koji	Pi-fsa
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
ima	imati	Vmr3s
razloga	razlog	Ncmsg
vjerovati	vjerovati	Vmn
da	da	Cs
je	biti	Var3s
nastala	nastati	Vmp-sf
uslijed	uslijed	Sg
interesa	interes	Ncmsg
i	i	Cc
odnosa	odnos	Ncmsg
umreženog	umrežiti	Appnsgy
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
.	.	Z

Brojne	brojan	Agpfpny
odgovorne	odgovoran	Agpfsgy
stranke	stranka	Ncfsg

291.28	291.28	Mdc
U	u	Sl
nekim	neki	Pi-mpl
angažmanima	angažman	Ncmpl
s	sa	Si
izražavanjem	izražavanje	Ncnsi
uvjerenja	uvjerenje	Ncnsg
,	,	Z
neovisno	neovisno	Rgp
o	o	Sl
tome	taj	Pd-nsl
jesu	biti	Var3p
li	li	Qq
temeljeni	temeljiti	Appmpny
na	na	Sl
tvrdnji	tvrdnja	Ncfsl
ili	ili	Cc
su	biti	Var3p
s	sa	Si
izravnim	izravan	Agpnsiy
izvješćivanjem	izvješćivanje	Ncnsi
,	,	Z
mogu	moći	Vmr3p
postojati	postojati	Vmn
brojne	brojan	Agpfpay
odgovorne	odgovoran	Agpfpay
stranke	stranka	Ncfpa
.	.	Z

Pri	pri	Sl
određivanju	određivanje	Ncnsl
je	biti	Var3s
li	li	Qq
nužno	nužan	Agpnsny
primijeniti	primijeniti	Vmn
odredbe	odredba	Ncfpa
iz	iz	Sg
ovog	ovaj	Pd-msg
odjeljka	odjeljak	Ncmsg
na	na	Sa
svaku	svaki	Pi-fsa
odgovornu	odgovoran	Agpfsay
stranku	stranka	Ncfsa
u	u	Sl
takvim	takav	Pd-mpl
angažmanima	angažman	Ncmpl
,	,	Z
revizorsko	revizorski	Agpnsny
društvo	društvo	Ncnsn
može	moći	Vmr3s
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
bi	biti	Vaa3s
li	li	Cs
neki	neki	Pi-msn
interes	interes	Ncmsn
ili	ili	Cc
odnos	odnos	Ncmsan
između	između	Sg
revizorskog	revizorski	Agpnsgy
društva	društvo	Ncnsg
ili	ili	Cc
člana	član	Ncmsg
tima	tim	Ncmsg
za	za	Sa
izražavanje	izražavanje	Ncnsa
uvjerenja	uvjerenje	Ncnsg
i	i	Cc
određene	određen	Agpfsgy
stranke	stranka	Ncfsg
stvorili	stvoriti	Vmp-pm
prijetnju	prijetnja	Ncfsa
neovisnosti	neovisnost	Ncfsg
koja	koji	Pi-fsn
nije	biti	Var3s
beznačajna	beznačajan	Agpfsny
ili	ili	Cc
nevažna	nevažan	Agpfsny

