posl	posl	Qr
nepromijenjena	nepromijenjen	Agpnpay
do	do	Sg
isteka	istek	Ncmsg
roditeljskog	roditeljski	Agpmsgy
dopusta	dopust	Ncmsg
.	.	Z

Ova	ovaj	Pd-fsn
prava	pravo	Ncnpa
važe	važiti	Vmr3p
nakon	nakon	Sg
isteka	istek	Ncmsg
roditeljskog	roditeljski	Agpmsgy
dopusta	dopust	Ncmsg
,	,	Z
uključujući	uključivati	Rr
sve	sav	Agpfpay
promjene	promjena	Ncfpa
koje	koji	Pi-fpn
proistječu	proistjecati	Vmr3p
iz	iz	Sg
nacionalnih	nacionalan	Agpmpgy
zakona	zakon	Ncmpg
,	,	Z
kolektivnih	kolektivan	Agpmpgy
ugovora	ugovor	Ncmpg
i	i	Cc
prakse	praksa	Ncfsg
.	.	Z

Dakle	dakle	Cc
,	,	Z
protivno	protivan	Agpnsny
je	biti	Var3s
odredbama	odredba	Ncfpi
citirane	citirati	Appfpny
Direktive	direktiva	Ncfpn
da	da	Cs
bi	biti	Vaa3s
podnositeljica	podnositeljica	Ncfsn
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
izgubila	izgubiti	Vmp-sf
pravo	pravo	Ncnsa
na	na	Sa
naknadu	naknada	Ncfsa
prije	prije	Sg
isteka	istek	Ncmsg
roditeljskog	roditeljski	Agpmsgy
dopusta	dopust	Ncmsg
,	,	Z
što	što	Pi3n-n
je	biti	Var3s
i	i	Cc
učinjeno	učiniti	Appnsny
ovakvim	ovakav	Pd-nsi
postupanjem	postupanje	Ncnsi
prvostupanjskog	prvostupanjski	Agpmsgy
i	i	Cc
drugostupanjskog	drugostupanjski	Agpnsgy
tijela	tijelo	Ncnsg
.	.	Z

Naime	naime	Qo
,	,	Z
time	taj	Pd-nsi
što	što	Pi3n-n
je	biti	Var3s
podnositeljica	podnositeljica	Ncfsn
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
odjavljena	odjaviti	Appfsny
retroaktivno	retroaktivno	Rgp
dvije	dva	Mlcf-a
godine	godina	Ncfsg
unazad	unazad	Rgp
sa	sa	Sg
Hrvatskog	hrvatski	Agpmsgy
zavoda	zavod	Ncmsg
za	za	Sa
zdravstveno	zdravstven	Agpnsay
osiguranje	osiguranje	Ncnsa
,	,	Z
ista	isti	Agpfsny
gubi	gubiti	Vmr3s
pravo	pravo	Ncnsa
na	na	Sl
bilo	bilo	Qo
kakvu	kakav	Pi-fsa
naknadu	naknada	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
eventualno	eventualno	Rgp
mogla	moći	Vmp-sf
tražiti	tražiti	Vmn
kao	kao	Cs

