ostvaruju	ostvarivati	Vmr3p
STANJA	stanje	Ncnsg

1.	1.	Mdo
Dijete	dijete	Ncnsn
u	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
uzdržavanje	uzdržavanje	Ncnsa
2.	2.	Mdo
Žrtva	žrtva	Ncfsn
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
nasilja	nasilje	Ncnsg
u	u	Sl
postupku	postupak	Ncmsl
radi	radi	Sg
ostvarivanja	ostvarivanje	Ncnsg
prava	pravo	Ncnsg
na	na	Sa
naknadu	naknada	Ncfsa
štete	šteta	Ncfsg
koja	koji	Pi-fsn
je	biti	Var3s
počinjenjem	počinjenje	Ncnsi
kaznenog	kazneni	Agpnsgy
djela	djelo	Ncnsg
prouzročena	prouzročiti	Appfsny
3.	3.	Mdo
Korisnik	korisnik	Ncmsn
pomoći	pomoći	Vmn
za	za	Sa
uzdržavanje	uzdržavanje	Ncnsa
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
posebnim	poseban	Agpmpiy
propisima	propis	Ncmpi
kojima	koji	Pi-mpi
je	biti	Var3s
uređeno	uređen	Agpnsny
ostvarivanje	ostvarivanje	Ncnsn
prava	pravo	Ncnpg
iz	iz	Sg
sustava	sustav	Ncmsg
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
4.	4.	Mdo
Osoba	osoba	Ncfsn
koja	koji	Pi-fsn
je	biti	Var3s
korisnik	korisnik	Ncmsn
prava	pravo	Ncnsg
na	na	Sa
opskrbninu	opskrbnina	Ncfsa
prema	prema	Sl
Zakonu	zakon	Ncmsl
o	o	Sl
pravima	pravo	Ncmpl
hrvatskih	hrvatski	Agpmpgy
branitelja	branitelj	Ncmpg
iz	iz	Sg
Domovinskog	domovinski	Agpmsgy
rata	rat	Ncmsg
i	i	Cc
članova	član	Ncmpg
njihovih	njihov	Ps3fpg
obitelji	obitelj	Ncfpg
i	i	Cc
Zakonu	zakon	Ncmsl
o	o	Sl
zaštiti	zaštita	Ncfsl
vojnih	vojni	Agpmpgy
i	i	Cc
civilnih	civilan	Agpmpgy
invalida	invalid	Ncmpg
rata	rat	Ncmsg
5.	5.	Mdo
Tražitelj	tražitelj	Ncmsn
azila	azil	Ncmsg
6.	6.	Mdo
Azilant	azilant	Ncmsn
7.	7.	Mdo
Stranac	stranac	Ncmsn
pod	pod	Si
supsidijarnom	supsidijaran	Agpfsiy
zaštitom	zaštita	Ncfsi
8.	8.	Mdo
Stranac	stranac	Ncmsn
pod	pod	Si
privremenom	privremen	Agpfsiy
zaštitom	zaštita	Ncfsi
9.	9.	Mdo
Dijete	dijete	Ncnsn
stranac	stranac	Ncmsn
zatečeno	zateći	Appnsny
u	u	Sl
RH	RH	Npfsl
bez	bez	Sg
pratnje	pratnja	Ncfsg
roditelja	roditelj	Ncmpg
ili	ili	Cc
zakonskog	zakonski	Agpmsgy
zastupnika	zastupnik	Ncmsg
10.	10.	Mdo

Stranac	stranac	Ncmsn
koji	koji	Pi-msn
nezakonito	nezakonito	Rgp
boravi	boraviti	Vmr3s
i	i	Cc
stranac	stranac	Ncmsn
na	na	Sl
kratkotrajnom	kratkotrajan	Agpmsly
boravku	boravak	Ncmsl
koji	koji	Pi-msan
su	biti	Var3p
u	u	Sl
postupku	postupak	Ncmsl
donošenja	donošenje	Ncnsg
rješenja	rješenje	Ncnsg
o	o	Sl
protjerivanju	protjerivanje	Ncnsl
ili	ili	Cc
rješenja	rješenje	Ncnsg
o	o	Sl
povratu	povrat	Ncmsl

F.	F.	Y
PODACI	podatak	Ncmpn
O	o	Sl
ČLANOVIMA	član	Ncmpl
KUĆANSTVA	kućanstvo	Ncnsg
PODNOSITELJA	podnositelj	Ncmpg
ZAHTJEVA	zahtjev	Ncmpg

Broj	broj	Ncmsn
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
(	(	Z
uključujući	uključivati	Rr
i	i	Cc
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
)	)	Z
______	______	Z

Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
datum	datum	Ncmsan
rođenja	rođenje	Ncnsg
OIB	OIB	Npmsn
Odnos	odnos	Ncmsn
prema	prema	Sl
podnositelju	podnositelj	Ncmsl
zahtjeva	zahtjev	Ncmpg

G.	G.	Y
IMOVNO	imovni	Agpnsny
STANJE	stanje	Ncnsn
PODNOSITELJA	podnositelj	Ncmpg
ZAHTJEVA	zahtjev	Ncmpg
I	i	Cc
ČLANOVA	član	Ncmpg
KUĆANSTVA	kućanstvo	Ncnsg

Napomena	napomena	Ncfsn
uz	uz	Sa
tablicu	tablica	Ncfsa
G.	G.	Y
1	1	Mdc
–	–	Z
upisuje	upisivati	Vmr3s
se	sebe	Px--sa
posebno	poseban	Agpnsny
za	za	Sa
podnositelja	podnositelj	Ncmsay
zahtjeva	zahtjev	Ncmpg
i	i	Cc
svakog	svaki	Pi-msg
člana	član	Ncmsg
kućanstva	kućanstvo	Ncnsg
podatak	podatak	Ncmsn
o	o	Sl
prihodima	prihod	Ncmpl
ostvarenim	ostvariti	Appmply
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
12	12	Mdc
mjeseci	mjesec	Ncmpg
prije	prije	Sg
početka	početak	Ncmsg
mjeseca	mjesec	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
se	sebe	Px--sa
zahtjev	zahtjev	Ncmsn
podnosi	podnositi	Vmr3s
.	.	Z

Ako	ako	Cs
ima	imati	Vmr3s
više	mnogo	Rgc
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
od	od	Sg
predviđenih	predvidjeti	Agpnpgy
mjesta	mjesto	Ncnpg
u	u	Sl
tablici	tablica	Ncfsl
ostali	ostati	Vmp-pm
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
na	na	Sl
poleđini	poleđina	Ncfsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

Tablica	tablica	Ncfsn
G.	ti	Appfsny
1	1	Mdc
PODACI	podatak	Ncmpn
O	o	Sl
DOHOTKU	dohodak	Ncmsl
I	i	Cc
PRIMICIMA	primitak	Ncmpl

Ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
Prihodi	prihod	Ncmpn
od	od	Sg
nesamostalnog	nesamostalan	Agpmsgy
/	/	Z
samostalnog	samostalan	Agpmsgy
rada	rad	Ncmsg
Naziv	naziv	Ncmsn
poslodavca	poslodavac	Ncmsg
Sjedište	sjedište	Ncnsn
/	/	Z
adresa	adresa	Ncfsn
1.	1.	Mdo
2.	2.	Mdo
3.	3.	Mdo
4.	4.	Mdo
5.	5.	Mdo
UKUPAN	ukupan	Agpmsnn
IZNOS	iznos	Ncmsn
:	:	Z

Napomena	napomena	Ncfsn
uz	uz	Sa
tablicu	tablica	Ncfsa
G.	G.	Y
2	2	Mdc
–	–	Z
u	u	Sl
tablici	tablica	Ncfsl
G.	G.	Y
2	2	Mdc
upisuju	upisivati	Vmr3p
se	sebe	Px--sa
podaci	podatak	Ncmpn
o	o	Sl
stanu	stan	Ncmsl
ili	ili	Cc
kući	kuća	Ncfsl
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
/	/	Z
suvlasništvu	suvlasništvo	Ncnsl
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
i	i	Cc
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
kojim	koji	Pi-msi
se	sebe	Px--sa
zadovoljavaju	zadovoljavati	Vmr3p
osnovne	osnovan	Agpfpny
stambene	stambeni	Agpfpny
potrebe	potreba	Ncfpn
,	,	Z
odnosno	odnosno	Rgp
dio	dio	Ncmsn
nekretnine	nekretnina	Ncfsg
nužan	nužan	Agpmsnn
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
osnovnih	osnovan	Agpfpgy
životnih	životan	Agpfpgy
potreba	potreba	Ncfpg
za	za	Sa
podnositelja	podnositelj	Ncmsay
zahtjeva	zahtjev	Ncmpg
i	i	Cc
članova	član	Ncmpg
njegovog	njegov	Ps3nsg
kućanstva	kućanstvo	Ncnsg
,	,	Z
a	a	Cc
posebno	posebno	Rgp
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
podaci	podatak	Ncmpn
o	o	Sl
ostalim	ostali	Agpfply
nekretninama	nekretnina	Ncfpl
u	u	Sl
vlasništvu	vlasništvo	Ncnsl
/	/	Z
suvlasništvu	suvlasništvo	Ncnsl
podnositelja	podnositelj	Ncmpg
zahtjeva	zahtjev	Ncmpg
ili	ili	Cc
članova	član	Ncmpg
kućanstva	kućanstvo	Ncnsg
,	,	Z
stan	stan	Ncmsn
,	,	Z
kuća	kuća	Ncfsn
,	,	Z
poslovni	poslovan	Agpmsayn
prostor	prostor	Ncmsan
,	,	Z
zemljište	zemljište	Ncnsa
ili	ili	Cc
ostale	ostali	Agpfsgy
nekretnine	nekretnina	Ncfsg
.	.	Z

Ako	ako	Cs
ima	imati	Vmr3s
više	mnogo	Rgc
nekretnina	nekretnina	Ncfpg
od	od	Sg
predviđenih	predvidjeti	Agpnpgy
mjesta	mjesto	Ncnpg
u	u	Sl
tablici	tablica	Ncfsl
ostale	ostali	Agpfsgy
se	sebe	Px--sa
upisuju	upisivati	Vmr3p
na	na	Sl
poleđini	poleđina	Ncfsl
zahtjeva	zahtjev	Ncmpg
.	.	Z

Tablica	tablica	Ncfsn
G.	ti	Appfsny
2	2	Mdc
PODACI	podatak	Ncmpn
O	o	Sl
SVIM	sav	Agpfply
NEKRETNINAMA	nekretnina	Ncfpl

Vrsta	vrsta	Ncfsn
nekretnine	nekretnina	Ncfsg
Vlasnik	vlasnik	Ncmsn
(	(	Z
ime	ime	Ncnsn
i	i	Cc
prezime	prezime	Ncnsa
)	)	Z
Adresa	adresa	Ncfsn
(	(	Z
ulica	ulica	Ncfsn
,	,	Z
kbr.	kbr.	Y
i	i	Cc
mjesto	mjesto	Ncnsa
)	)	Z
Korisna	koristan	Agpfsny
površina	površina	Ncfsn
u	u	Sl
m2	ma	Ncfsl
Tržišna	tržišni	Agpfsny
vrijednost	vrijednost	Ncfsn
u	u	Sl
kunama	kuna	Ncfpl
Napomena	Napomen	Npmsg
Nekretnina	Nekretnin	Npmsg
nužna	nužan	Agpfsny
za	za	Sa
ostvarenje	ostvarenje	Ncnsa
osnovnih	osnovan	Agpfpgy
životnih	životan	Agpfpgy
potreba	potreba	Ncfpg
(	(	Z
stan	stan	Ncmsn
ili	ili	Cc
kuća	kuća	Ncfsn
)	)	Z
Poslovni	poslovan	Agpmsny

