uključujući	uključivati	Rr
ta	taj	Pd-fsn
izjava	izjava	Ncfsn
sastavljena	sastaviti	Appfsny
.	.	Z

Na	na	Sa
zahtjev	zahtjev	Ncmsan
nadležnih	nadležan	Agpnpgy
tijela	tijelo	Ncnpg
proizvođač	proizvođač	Ncmsn
je	biti	Var3s
obvezan	obvezan	Agpmsnn
dostaviti	dostaviti	Vmn
presliku	preslika	Ncfsa
EU	E	Npmsg
izjave	izjava	Ncfpa
o	o	Sl
sukladnosti	sukladnost	Ncfsl
.	.	Z

4.	4.	Mdo
Ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn

Obveze	obveza	Ncfpn
proizvođača	proizvođač	Ncmpg
iz	iz	Sg
točke	točka	Ncfsg
3.	3.	Mdo
ovoga	ovaj	Pd-msg
Dodatka	dodatak	Ncmsg
u	u	Sa
njegovo	njegov	Agpnsay
ime	ime	Ncnsa
i	i	Cc
na	na	Sa
njegovu	njegov	Ps3fsa
odgovornost	odgovornost	Ncfsa
može	moći	Vmr3s
ispuniti	ispuniti	Vmn
njegov	njegov	Ps3msn
ovlašteni	ovlašten	Agpmsny
zastupnik	zastupnik	Ncmsn
,	,	Z
ako	ako	Cs
su	biti	Var3p
te	taj	Pd-fpn
obveze	obveza	Ncfpn
navedene	navesti	Appfpny
u	u	Sl
ovlaštenju	ovlaštenje	Ncnsl
.	.	Z

DODATAK	dodatak	Ncmsn
4.	4.	Mdo

EU	E	Npmsd
IZJAVA	izjava	Ncfsn
O	o	Sl
SUKLADNOSTI	sukladnost	Ncfsl

1.	1.	Mdo
Model	model	Ncmsn
uređaja	uređaj	Ncmsg
/	/	Z
proizvoda	proizvod	Ncmpg
(	(	Z
broj	broj	Ncmsn
proizvoda	proizvod	Ncmpg
,	,	Z
tipa	tip	Ncmsg
ili	ili	Cc
šarže	šarža	Ncfsg
ili	ili	Cc
serijski	serijski	Agpmsny
broj	broj	Ncmsn
)	)	Z
:	:	Z

2.	2.	Mdo
Naziv	naziv	Ncmsn
i	i	Cc
adresa	adresa	Ncfsn
proizvođača	proizvođač	Ncmsg
ili	ili	Cc
njegovog	njegov	Ps3msg
ovlaštenog	ovlašten	Agpmsgy
zastupnika	zastupnik	Ncmsg
:	:	Z

3.	3.	Mdo
Za	za	Sa
točnost	točnost	Ncfsa
podataka	podatak	Ncmpg
u	u	Sl
EU	E	Npmsl
izjavi	izjava	Ncfsl
o	o	Sl
sukladnosti	sukladnost	Ncfsl
odgovoran	odgovoran	Agpmsnn
je	biti	Var3s
isključivo	isključivo	Rgp
proizvođač	proizvođač	Ncmsn
.	.	Z

4.	4.	Mdo
Predmet	predmet	Ncmsn
izjave	izjava	Ncfsg
(	(	Z
identifikacijska	identifikacijski	Agpfsny
oznaka	oznaka	Ncfsn
uređaja	uređaj	Ncmsg
koja	koji	Pi-fsn
omogućuje	omogućivati	Vmr3s
sljedivost	sljedivost	Ncfsa
,	,	Z
a	a	Cc
može	moći	Vmr3s
sadržavati	sadržavati	Vmn
dostatnu	dostatan	Agpfsay
jasnu	jasan	Agpfsay
sliku	slika	Ncfsa
u	u	Sl
boji	boja	Ncfsl
,	,	Z
ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
za	za	Sa
identifikaciju	identifikacija	Ncfsa
uređaja	uređaj	Ncmpg
)	)	Z
:	:	Z

5.	5.	Mdo
Predmet	predmet	Ncmsn
izjave	izjava	Ncfsg
u	u	Sl
skladu	sklad	Ncmsl
je	biti	Var3s
s	sa	Si
mjerodavnim	mjerodavan	Agpnsiy
zakonodavstvom	zakonodavstvo	Ncnsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
o	o	Sl
usklađivanju	usklađivanje	Ncnsl
:	:	Z

6.	6.	Mdo
Upućivanja	upućivanje	Ncnsg
na	na	Sa
mjerodavne	mjerodavan	Agpfpay
primijenjene	primijeniti	Ncfpa
usklađene	uskladiti	Agpfpay
norme	norma	Ncfpa
,	,	Z
uključujući	uključivati	Rr
nadnevak	nadnevak	Ncmsan
norme	norma	Ncfsg
,	,	Z
ili	ili	Cc
upućivanja	upućivanje	Ncnsg
na	na	Sa
druge	drugi	Agpfpay
tehničke	tehnički	Agpfpay
specifikacije	specifikacija	Ncfpa
,	,	Z
uključujući	uključivati	Rr
nadnevak	nadnevak	Ncmsan
specifikacije	specifikacija	Ncfsg
,	,	Z
u	u	Sl
vezi	veza	Ncfsl
s	sa	Si
kojima	koji	Pi-mpi
se	sebe	Px--sa
izjavljuje	izjavljivati	Vmr3s
sukladnost	sukladnost	Ncfsn
:	:	Z

7.	7.	Mdo
Ako	ako	Cs
je	biti	Var3s
potrebno	potreban	Agpnsny
,	,	Z
prijavljeno	prijaviti	Appnsny
tijelo	tijelo	Ncnsn
...	...	Z
(	(	Z
naziv	naziv	Ncmsn
,	,	Z
broj	broj	Ncmsn
)	)	Z
provelo	provesti	Vmp-sn
je	biti	Var3s
…	…	Z
(	(	Z
opis	opis	Ncmsn
radnje	radnja	Ncfsg
)	)	Z
i	i	Cc
izdalo	izdati	Vmp-sn
potvrdu	potvrda	Ncfsa
:	:	Z

8.	8.	Mdo
Dodatni	dodatan	Agpmpny
podaci	podatak	Ncmpn
:	:	Z

Potpisano	potpisan	Agpnsny
za	za	Sa
i	i	Qo
u	u	Sa
ime	ime	Ncnsa
:	:	Z

(	(	Z
mjesto	mjesto	Ncnsn
i	i	Cc
nadnevak	nadnevak	Ncmsn
izdavanja	izdavanje	Ncnsg
)	)	Z
:	:	Z

(	(	Z
ime	ime	Ncnsn
,	,	Z
dužnost	dužnost	Ncfsn
)	)	Z
(	(	Z
potpis	potpis	Ncmsn
)	)	Z
:	:	Z

