direktora	direktor	Ncmsg
EU-a	EU	Npmsg
iz	iz	Sg
područja	područje	Ncnsg
ZVSP-a	zvsp-	Ncmsg
;	;	Z
koordinira	koordinirati	Vmr3s
pripremom	priprema	Ncfsi
Vijeća	vijeće	Ncnsg
za	za	Sa
vanjske	vanjski	Agpmpay
poslove	posao	Ncmpa
,	,	Z
uključujući	uključivati	Rr
koordinaciju	koordinacija	Ncfsa
i	i	Cc
nadzor	nadzor	Ncmsan
pripreme	priprema	Ncfsg
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
za	za	Sa
sastanke	sastanak	Ncmpa
Vijeća	vijeće	Ncnsg
za	za	Sa
vanjske	vanjski	Agpmpay
poslove	posao	Ncmpa
;	;	Z
koordinira	koordinirati	Vmr3s
pripremom	priprema	Ncfsi
neformalnih	neformalan	Agpmpgy
sastanaka	sastanak	Ncmpg
Vijeća	vijeće	Ncnsg
za	za	Sa
vanjske	vanjski	Agpmpay
poslove	posao	Ncmpa
(	(	Z
Gymnich	Gymnich	Npmsn
)	)	Z
,	,	Z
kao	kao	Cs
i	i	Cc
svih	sav	Agpmpgy
ostalih	ostali	Agpmpgy
formata	format	Ncmpg
sastanaka	sastanak	Ncmpg
i	i	Cc
dijaloga	dijalog	Ncmsg
EU-a	EU	Npmsg
s	sa	Si
partnerskim	partnerski	Agpfpiy
organizacijama	organizacija	Ncfpi
i	i	Cc
trećim	treći	Mlofpl
državama	država	Ncfpl
;	;	Z
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
za	za	Sa
sastanke	sastanak	Ncmpa
Političkog	politički	Agpmsgy
i	i	Cc
sigurnosnog	sigurnosni	Agpmsgy
odbora	odbor	Ncmsg
te	te	Cc
nadzire	nadzirati	Vmr3s
horizontalnu	horizontalan	Agpfsay
provedbu	provedba	Ncfsa
ZVSP-a	ZVSP	Npmsg
u	u	Sl
geografskim	geografski	Agpfply
i	i	Cc
političkim	politički	Agpfply
radnim	radni	Agpfply
skupinama	skupina	Ncfpl
Vijeća	vijeće	Ncnsg
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Političkog	politički	Agpmsgy
i	i	Cc
sigurnosnog	sigurnosni	Agpmsgy
odbora	odbor	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sl
područjima	područje	Ncnpl
globalnih	globalan	Agpfpgy
i	i	Cc
ostalih	ostali	Agpnpgy
horizontalnih	horizontalan	Agpnpgy
pitanja	pitanje	Ncnpg
;	;	Z
Služba	služba	Ncfsn
je	biti	Var3s
zadužena	zadužiti	Appfsny
za	za	Sa
praćenje	praćenje	Ncnsa
i	i	Cc
analizu	analiza	Ncfsa
politike	politika	Ncfsg
EU-a	EU	Npmsg
u	u	Sl
pogledu	pogled	Ncmsl
mjera	mjera	Ncfpg
ograničavanja	ograničavanje	Ncnsg
i	i	Cc
koordiniranje	koordiniranje	Ncnsa
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
u	u	Sl
tom	taj	Pd-nsl
području	područje	Ncnsl
,	,	Z
te	te	Cc
je	biti	Var3s
u	u	Sl
njezinoj	njezin	Agpfsly
nadležnosti	nadležnost	Ncfsl
Radna	radni	Agpfsny
skupina	skupina	Ncfsn
savjetnika	savjetnik	Ncmpg
za	za	Sa
vanjske	vanjski	Agpmpay
poslove	posao	Ncmpa
(	(	Z
RELEX	RELEX	Npmsn
)	)	Z
;	;	Z
surađuje	surađivati	Vmr3s
sa	sa	Si
Stalnim	stalan	Agpnsiy
predstavništvom	predstavništvo	Ncnsi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
pri	pri	Sl
EU	E	Npmsg
,	,	Z
posebno	posebno	Rgp
s	sa	Si
timom	tim	Ncmsi
Političkog	politički	Agpmsgy
i	i	Cc
sigurnosnog	sigurnosni	Agpmsgy
odbora	odbor	Ncmsg
,	,	Z
uključujući	uključivati	Rr
s	sa	Si
predstavnicima	predstavnik	Ncmpi
u	u	Sl
Skupini	skupina	Ncfsl
Nicolaidis	Nicolaidis	Npmsn
,	,	Z
Skupini	skupina	Ncfsl
RELEX	RELEX	Npmsn
,	,	Z
kao	kao	Cs
i	i	Cc
Skupini	skupina	Ncfsl
Antici	antika	Ncfsl
;	;	Z
Služba	služba	Ncfsn
surađuje	surađivati	Vmr3s
s	sa	Si
Registrom	registar	Ncmsi
za	za	Sa
NATO	NATO	Npmsan
i	i	Cc
EU	EU	Npmsan
oko	oko	Sg
distribucije	distribucija	Ncfsg
i	i	Cc
zaštite	zaštita	Ncfsg
EU	E	Npmsg
dokumenata	dokument	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
ZVSP-a	zvsp-	Ncmsg
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

Voditelj	voditelj	Ncmsn
Službe	služba	Ncfsg
obnaša	obnašati	Vmr3s
dužnost	dužnost	Ncfsa
europskog	europski	Agpmsgy
korespondenta	korespondent	Ncmsg
,	,	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

4.3.2.	4.3.2.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
sigurnosnu	sigurnosni	Agpfsay
i	i	Cc
obrambenu	obramben	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZSOP	ZSOP	Npmsn
)	)	Z

Članak	članak	Ncmsn
40.	40.	Mdo

Služba	služba	Ncfsn
za	za	Sa
Zajedničku	zajednički	Agpfsay
sigurnosnu	sigurnosni	Agpfsay
i	i	Cc
obrambenu	obramben	Agpfsay
politiku	politika	Ncfsa
(	(	Z
ZSOP	ZSOP	Npmsn
)	)	Z
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
utvrđivanju	utvrđivanje	Ncnsl
i	i	Cc
provedbi	provedba	Ncfsl
ZSOP-a	ZSOP	Npmsg
,	,	Z
uključujući	uključivati	Rr
sve	sav	Agpmpay
elemente	element	Ncmpa
primjene	primjena	Ncfsg
Sveobuhvatnog	sveobuhvatan	Agpmsgy
pristupa	pristup	Ncmsg
EU-a	EU	Npmsg
te	te	Cc
vodi	voditi	Vmr3s
brigu	briga	Ncfsa
o	o	Sl
hrvatskom	hrvatski	Agpmsly
doprinosu	doprinos	Ncmsl
u	u	Sl
EU	E	Npmsl
misijama	misija	Ncfpl
i	i	Cc
operacijama	operacija	Ncfpl
;	;	Z
prati	pratiti	Vmr3s
i	i	Cc
analizira	analizirati	Vmr3s
ZSOP	ZSOP	Npmsan
kao	kao	Cs
i	i	Qo
ostale	ostali	Agpmpay
sigurnosne	sigurnosni	Agpmpay
aspekte	aspekt	Ncmpa
vanjskog	vanjski	Agpnsgy
djelovanja	djelovanje	Ncnsg
EU-a	EU	Npmsg
,	,	Z
te	te	Cc
strateški	strateški	Agpmsayn
razvoj	razvoj	Ncmsan
obrambene	obramben	Agpfsgy
politike	politika	Ncfsg
EU-a	EU	Npmsg
slijedom	slijed	Sg
Zaključaka	Zaključak	Npmsg
Europskog	europski	Agpnsgy
vijeća	vijeće	Ncnsg
;	;	Z
prati	pratiti	Vmr3s
i	i	Cc
promiče	promicati	Vmr3s
sigurnosnu	sigurnosni	Agpfsay
suradnju	suradnja	Ncfsa
EU-a	EU	Npmsg
s	sa	Si
međunarodnim	međunarodni	Agpfpiy
organizacijama	organizacija	Ncfpi
i	i	Cc
trećim	treći	Mlofpl
državama	država	Ncfpl
;	;	Z
Služba	služba	Ncfsn
koordinira	koordinirati	Vmr3s
pripremom	priprema	Ncfsi
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
u	u	Sl
okviru	okvir	Ncmsl
ZSOP-a	ZSOP	Npmsg
i	i	Cc
usklađuje	usklađivati	Vmr3s
stajališta	stajalište	Ncnpa
i	i	Cc
politike	politika	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
sa	sa	Si
stajalištima	stajalište	Ncmpi
i	i	Cc
politikama	politika	Ncfpl
EU-a	EU	Npmsg
iz	iz	Sg
područja	područje	Ncnsg
ZSOP-a	ZSOP	Npmsg
;	;	Z
upravlja	upravljati	Vmr3s
i	i	Cc
koordinira	koordinirati	Vmr3s
pripremom	priprema	Ncfsi
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
za	za	Sa
Odbor	odbor	Ncmsan
za	za	Sa
civilne	civilan	Agpmpay
aspekte	aspekt	Ncmpa
upravljanja	upravljanje	Ncnsg
kriznim	krizan	Agpfpiy
situacijama	situacija	Ncfpi
Vijeća	vijeće	Ncnsg
EU-a	EU	Npmsg
(	(	Z
CIVCOM	CIVCOM	Npmsn
)	)	Z
i	i	Cc
Grupu	grupa	Ncfsa
za	za	Sa
političko-vojna	političko-vojan	Agpnpay
pitanja	pitanje	Ncnpa
(	(	Z
PMG	PMG	Npmsn
)	)	Z
kao	kao	Cs
i	i	Qo
druga	drugi	Agpnsgy
tijela	tijelo	Ncnsg
Vijeća	vijeće	Ncnsg
EU-a	EU	Npmsg
kada	kada	Cs
na	na	Sl
dnevnom	dnevni	Agpmsly
redu	red	Ncmsl
imaju	imati	Vmr3p
teme	tema	Ncfpn
iz	iz	Sg
područja	područje	Ncnsg
ZSOP-a	ZSOP	Npmsg
;	;	Z
Služba	služba	Ncfsn
surađuje	surađivati	Vmr3s
sa	sa	Si
Stalnim	stalan	Agpnsiy
predstavništvom	predstavništvo	Ncnsi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
pri	pri	Sl
EU	E	Npmsg
,	,	Z
posebno	posebno	Rgp
s	sa	Si
timom	tim	Ncmsi
Političkog	politički	Agpmsgy
i	i	Cc
sigurnosnog	sigurnosni	Agpmsgy
odbora	odbor	Ncmsg
te	te	Cc
s	sa	Si
predstavnicima	predstavnik	Ncmpi
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
CIVCOM-u	CIVCOM	Npmsl
i	i	Cc
PMG-u	PMG	Npmsl
,	,	Z
kao	kao	Cs
i	i	Cc
s	sa	Si
ostalim	ostali	Agpnpiy
tijelima	tijelo	Ncnpi
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
,	,	Z
uključujući	uključivati	Rr
kad	kad	Cs
je	biti	Var3s
riječ	riječ	Ncfsn
o	o	Sl
obrambenim	obramben	Agpmply
aspektima	aspekt	Ncmpl
vanjskog	vanjski	Agpnsgy
djelovanja	djelovanje	Ncnsg
EU-a	EU	Npmsg
;	;	Z
surađuje	surađivati	Vmr3s
s	sa	Si
Registrom	registar	Ncmsi
za	za	Sa
NATO	NATO	Npmsan
i	i	Cc
EU	EU	Npmsan
oko	oko	Sg
distribucije	distribucija	Ncfsg
i	i	Cc
zaštite	zaštita	Ncfsg
EU	E	Npmsg
dokumenata	dokument	Ncmpg
iz	iz	Sg
područja	područje	Ncnsg
ZSOP-a	ZSOP	Npmsg
,	,	Z
te	te	Cc
obavlja	obavljati	Vmr3s
i	i	Cc
druge	drugi	Mlompa
poslove	posao	Ncmpa
iz	iz	Sg
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
.	.	Z

4.4.	4.4.	Mdo

Sektor	sektor	Ncmsn
za	za	Sa
razvojnu	razvojan	Agpfsay
suradnju	suradnja	Ncfsa
i	i	Cc
humanitarnu	humanitaran	Agpfsay
pomoć	pomoć	Ncfsa

Članak	članak	Ncmsn
41.	41.	Mdo

Sektor	sektor	Ncmsn
za	za	Sa
razvojnu	razvojan	Agpfsay
suradnju	suradnja	Ncfsa
i	i	Cc
humanitarnu	humanitaran	Agpfsay
pomoć	pomoć	Ncfsa
promicanjem	promicanje	Ncnsi
hrvatskih	hrvatski	Agpmpgy
prioriteta	prioritet	Ncmpg
,	,	Z
prednosti	prednost	Ncfsg
i	i	Cc
strateških	strateški	Agpnpgy
usmjerenja	usmjerenje	Ncnpg
na	na	Sl
međunarodnim	međunarodni	Agpmply
forumima	forum	Ncmpl
aktivno	aktivno	Rgp
suoblikuje	suoblikivati	Vmr3s
međunarodnu	međunarodni	Agpfsay
razvojnu	razvojan	Agpfsay
i	i	Cc
humanitarnu	humanitaran	Agpfsay
politiku	politika	Ncfsa
te	te	Cc
osigurava	osiguravati	Vmr3s
usklađenost	usklađenost	Ncfsa
i	i	Cc
međuovisnost	međuovisnost	Ncfsa
s	sa	Si
vanjskom	vanjski	Agpfsiy
i	i	Cc
dotičnim	dotičan	Agpfpiy
nacionalnim	nacionalan	Agpfpiy
politikama	politika	Ncfpi
;	;	Z
izrađuje	izrađivati	Vmr3s
smjernice	smjernica	Ncfpa
za	za	Sa
oblikovanje	oblikovanje	Ncnsa
,	,	Z
koordinaciju	koordinacija	Ncfsa
i	i	Cc
provedbu	provedba	Ncfsa
nacionalne	nacionalan	Agpfsgy
politike	politika	Ncfsg
razvojne	razvojan	Agpfsgy
suradnje	suradnja	Ncfsg
i	i	Cc

