USTANOVE	ustanova	Ncfpn
73.533.356	73.533.356	Mdc
VUKOVARSKO-SRIJEMSKA	vukovarsko-srijemski	Agpfsny
37.438.844	37.438.844	Mdc
15.951.520	15.951.520	Mdc
4.739.600	4.739.600	Mdc
8.361.000	8.361.000	Mdc
23.203.332	23.203.332	Mdc
10.332.047	10.332.047	Mdc
100.026.343	100.026.343	Mdc
SPLITSKO-DALMATINSKA	splitsko-dalmatinski	Agpfsny
81.342.217	81.342.217	Mdc
44.609.312	44.609.312	Mdc
9.063.000	9.063.000	Mdc
17.911.000	17.911.000	Mdc
26.678.361	26.678.361	Mdc
16.866.456	16.866.456	Mdc
196.470.346	196.470.346	Mdc
ISTARSKA	istarski	Agpfsny
44.794.393	44.794.393	Mdc
20.497.674	20.497.674	Mdc
3.631.250	3.631.250	Mdc
16.452.000	16.452.000	Mdc
20.376.081	20.376.081	Mdc
29.278.803	29.278.803	Mdc
135.030.201	135.030.201	Mdc
DUBROVAČKO-NERETVANSKA	dubrovačko-neretvanski	Agpfsny
25.758.920	25.758.920	Mdc
14.340.243	14.340.243	Mdc
2.105.700	2.105.700	Mdc
9.844.000	9.844.000	Mdc
15.046.910	15.046.910	Mdc
18.024.051	18.024.051	Mdc
85.119.824	85.119.824	Mdc
MEĐIMURSKA	međimurski	Agpfsny
23.194.037	23.194.037	Mdc
9.130.407	9.130.407	Mdc
2.691.150	2.691.150	Mdc
4.838.000	4.838.000	Mdc
14.952.405	14.952.405	Mdc
4.799.413	4.799.413	Mdc
59.605.412	59.605.412	Mdc
GRAD	grad	Ncmsn
ZAGREB	Zagreb	Npmsn
114.008.358	114.008.358	Mdc
84.154.458	84.154.458	Mdc
8.975.600	8.975.600	Mdc
13.630.591	13.630.591	Mdc
40.337.575	40.337.575	Mdc
40.104.688	40.104.688	Mdc
301.211.270	301.211.270	Mdc
UKUPNO	ukupno	Rgp
KUNA	kuna	Ncfsn
850.923.797	850.923.797	Mdc
419.683.978	419.683.978	Mdc
95.164.900	95.164.900	Mdc
153.178.391	153.178.391	Mdc
373.000.346	373.000.346	Mdc
302.815.642	302.815.642	Mdc
2.194.767.054	2.194.767.054	Mdc

PREGLED	pregled	Ncmsn
SREDSTAVA	sredstvo	Ncnpg
ZA	za	Sa
DECENTRALIZIRANU	decentraliziran	Agpfsay
FUNKCIJU	funkcija	Ncfsa
OSNOVNOG	osnovan	Agpnsgy
ŠKOLSTVA	školstvo	Ncnsg
PO	po	Sl
ŽUPANIJAMA	županija	Ncfpl
U	u	Sl
2016.	2016.	Mdo

GODINI	godina	Ncfsl

Tablica	tablica	Ncfsn
2.	2.	Mdo
županije	županija	Ncfsg
Žup	Žup	Npmsn
.	.	Z
broj	broj	Ncmsn
Nositelj	nositelj	Ncmsn
financiranja	financiranje	Ncnsg
–	i	Agpfsgy
županije	županija	Ncfsg
Sveukupno	sveukupno	Rgp
kuna	kuna	Ncfpg
1	1	Mdc
2	2	Mdc
3	3	Mdc
1.	1.	Mdo
ZAGREBAČKA	zagrebački	Agpfsny
41.305.806	41.305.806	Mdc
2.	2.	Mdo
KRAPINSKO-ZAGORSKA	krapinsko-zagorski	Agpfsny
26.034.838	26.034.838	Mdc
3.	3.	Mdo
SISAČKO-MOSLAVAČKA	sisačko-moslavački	Agpfsny
28.418.963	28.418.963	Mdc
4.	4.	Mdo
KARLOVAČKA	karlovački	Agpfsny
19.694.756	19.694.756	Mdc
5.	5.	Mdo
VARAŽDINSKA	varaždinski	Agpfsny
35.655.346	35.655.346	Mdc
6.	6.	Mdo
KOPRIVNIČKO-KRIŽEVAČKA	koprivničko-križevački	Agpfsny
13.186.022	13.186.022	Mdc
7.	7.	Mdo
BJELOVARSKO-BILOGORSKA	bjelovarsko-bilogorski	Agpfsny
20.886.291	20.886.291	Mdc
8.	8.	Mdo
PRIMORSKO-GORANSKA	primorsko-goranski	Agpfsny
26.879.741	26.879.741	Mdc
9.	9.	Mdo
LIČKO-SENJSKA	ličko-senjski	Agpfsny
12.427.904	12.427.904	Mdc
10.	10.	Mdo

VIROVITIČKO-PODRAVSKA	virovitičko-podravski	Agpfsny
15.651.762	15.651.762	Mdc
11.	11.	Mdo

POŽEŠKO-SLAVONSKA	požeško-slavonski	Agpfsny
16.135.436	16.135.436	Mdc
12.	12.	Mdo

BRODSKO-POSAVSKA	brodsko-posavski	Agpfsny
23.829.810	23.829.810	Mdc
13.	13.	Mdo

ZADARSKA	zadarski	Agpfsny
25.487.830	25.487.830	Mdc
14.	14.	Mdo

OSJEČKO-BARANJSKA	osječko-baranjski	Agpfsny
46.260.764	46.260.764	Mdc
15.	15.	Mdo

ŠIBENSKO-KNINSKA	šibensko-kninski	Agpfsny
14.685.363	14.685.363	Mdc
16.	16.	Mdo

VUKOVARSKO-SRIJEMSKA	vukovarsko-srijemski	Agpfsny
31.154.176	31.154.176	Mdc
17.	17.	Mdo

SPLITSKO-DALMATINSKA	splitsko-dalmatinski	Agpfsny
58.976.047	58.976.047	Mdc
18.	18.	Mdo

ISTARSKA	istarski	Agpfsny
17.958.779	17.958.779	Mdc
19.	19.	Mdo

DUBROVAČKO-NERETVANSKA	dubrovačko-neretvanski	Agpfsny
18.883.672	18.883.672	Mdc
20.	20.	Mdo

MEĐIMURSKA	međimurski	Agpfsny
18.195.042	18.195.042	Mdc
21.	21.	Mdo

GRAD	grad	Ncmsn
ZAGREB	Zagreb	Npmsn
114.008.358	114.008.358	Mdc
UKUPNO	ukupno	Rgp
ŽUPANIJE	županija	Ncfsg
625.716.706	625.716.706	Mdc

PREGLED	pregled	Ncmsn
SREDSTAVA	sredstvo	Ncnpg
ZA	za	Sa
DECENTRALIZIRANU	decentraliziran	Agpfsay
FUNKCIJU	funkcija	Ncfsa
OSNOVNOG	osnovan	Agpnsgy
ŠKOLSTVA	školstvo	Ncnsg
PO	po	Sl
GRADOVIMA	grad	Ncmpl
U	u	Sl
2016.	2016.	Mdo

GODINI	godina	Ncfsl

Tablica	tablica	Ncfsn
2.	2.	Mdo
gradovi	grad	Ncmpn
Red	red	Ncmsan
.	.	Z
broj	broj	Ncmsn
Nositelj	nositelj	Ncmsn
financiranja	financiranje	Ncnsg
–	–	Z
gradovi	grad	Ncmpn
Sveukupno	sveukupan	Agpnsny
kuna	kuna	Ncfsn
1	1	Mdc
2	2	Mdc
3	3	Mdc
1.	1.	Mdo
VELIKA	velik	Agpfsny
GORICA	gorica	Ncfsn
12.518.967	12.518.967	Mdc
2.	2.	Mdo
SAMOBOR	SAMOBOR	Npmsn
8.076.636	8.076.636	Mdc
3.	3.	Mdo
VRBOVEC	VRBOVEC	Npmsn
4.016.736	4.016.736	Mdc
4.	4.	Mdo
ZAPREŠIĆ	ZAPREŠIĆ	Npfsn
3.085.940	3.085.940	Mdc
5.	5.	Mdo
KRAPINA	Krapina	Npfsn
2.050.483	2.050.483	Mdc
6.	6.	Mdo
SISAK	SISAK	Npmsan
8.276.784	8.276.784	Mdc
7.	7.	Mdo
KUTINA	KUTINA	Npfsn
4.993.879	4.993.879	Mdc
8.	8.	Mdo
KARLOVAC	KARLOVAC	Npmsn
10.089.505	10.089.505	Mdc
9.	9.	Mdo
VARAŽDIN	VARAŽDIN	Npmsn
7.512.677	7.512.677	Mdc
10.	10.	Mdo

KOPRIVNICA	KOPRIVNICA	Npfsn
6.443.740	6.443.740	Mdc
11.	11.	Mdo

KRIŽEVCI	KRIŽEVC	Npmpn
4.879.657	4.879.657	Mdc
12.	12.	Mdo

ĐURĐEVAC	ĐURĐEVAC	Npmsn
1.737.366	1.737.366	Mdc
13.	13.	Mdo

BJELOVAR	BJELOVAR	Npmsn
6.314.632	6.314.632	Mdc
14.	14.	Mdo

RIJEKA	Rijeka	Npfsn
16.960.436	16.960.436	Mdc
15.	15.	Mdo

CRIKVENICA	CRIKVENICA	Npfsn
1.570.156	1.570.156	Mdc
16.	16.	Mdo

OPATIJA	opatija	Ncfsn
1.158.802	1.158.802	Mdc
17.	17.	Mdo

GOSPIĆ	Gospić	Npmsn
3.612.077	3.612.077	Mdc
18.	18.	Mdo

VIROVITICA	Virovitica	Npfsn
4.719.170	4.719.170	Mdc
19.	19.	Mdo

POŽEGA	POŽEGA	Npfsn
4.811.432	4.811.432	Mdc
20.	20.	Mdo

SLAVONSKI	slavonski	Agpmsny
BROD	brod	Ncmsn
12.184.531	12.184.531	Mdc
21.	21.	Mdo

ZADAR	Zadar	Npmsn
9.884.317	9.884.317	Mdc
22.	22.	Mdo

OSIJEK	osijek	Ncmsn
15.359.001	15.359.001	Mdc
23.	23.	Mdo

ŠIBENIK	ŠIBENIK	Npmsn
7.589.472	7.589.472	Mdc
24.	24.	Mdo

VINKOVCI	VINKOVC	Npmpn
6.284.668	6.284.668	Mdc
25.	25.	Mdo

MAKARSKA	makarski	Agpfsny
2.259.139	2.259.139	Mdc
26.	26.	Mdo

SPLIT	Split	Npmsn
20.107.031	20.107.031	Mdc
27.	27.	Mdo

PULA	Pula	Npfsn
–	–	Z
POLA	polo	Rgp
9.573.179	9.573.179	Mdc
28.	28.	Mdo

LABIN	LABIN	Npmsn
2.585.954	2.585.954	Mdc
29.	29.	Mdo

PAZIN	PAZIN	Npmsn
5.905.480	5.905.480	Mdc
30.	30.	Mdo

POREČ	porei	Agpnsny
–	–	Z
PARENZO	PARENZO	Npmsn
3.470.472	3.470.472	Mdc
31.	31.	Mdo

ROVINJ	rovini	Agpnsny
–	–	Z
ROVIGNO	rovigni	Agpnsny
2.307.902	2.307.902	Mdc
32.	32.	Mdo

UMAG	UMAG	Npmsn
–	–	Z
UMAGO	UMAGO	Npmsn
2.992.627	2.992.627	Mdc
33.	33.	Mdo

DUBROVNIK	DUBROVNIK	Npmsn
6.875.248	6.875.248	Mdc
34.	34.	Mdo

ČAKOVEC	ČAKOVEC	Npmsn
4.998.995	4.998.995	Mdc
UKUPNO	ukupan	Agpnsny
GRADOVI	grad	Ncmpn
225.207.091	225.207.091	Mdc

PREGLED	pregled	Ncmsn
SREDSTAVA	sredstvo	Ncnpg
ZA	za	Sa
DECENTRALIZIRANU	decentraliziran	Agpfsay
FUNKCIJU	funkcija	Ncfsa

