periodu	period	Ncmsd
(...)	(.ti	Rr
Iako	iako	Cs
je	biti	Var3s
institut	institut	Ncmsn
povjeravanja	povjeravanje	Ncnsg
na	na	Sa
čuvanje	čuvanje	Ncnsa
i	i	Cc
odgoj	odgoj	Ncmsn
,	,	Z
predviđen	predvidjeti	Appmsnn
Obiteljskim	obiteljski	Agpmsiy
zakonom	zakon	Ncmsi
,	,	Z
isti	isti	Agpmsny
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
kada	kada	Cs
se	sebe	Px--sa
dijete	dijete	Ncnsn
povjerava	povjeravati	Vmr3s
trećoj	treći	Mlofsd
osobi	osoba	Ncfsd
,	,	Z
domu	dom	Ncmsl
za	za	Sa
djecu	dijete	Ncnpa
,	,	Z
skrbniku	skrbnik	Ncmsl
udomiteljskoj	udomiteljski	Agpfsly
obitelji	obitelj	Ncfsl
ili	ili	Cc
ustanovi	ustanova	Ncfsl
socijalne	socijalan	Agpfsgy
skrbi	skrb	Ncfsg
.	.	Z
(...)	(...)	Z

...	...	Z

Sudovi	sud	Ncmpn
također	također	Rgp
u	u	Sl
provedenom	provesti	Agpmsly
postupku	postupak	Ncmsl
nisu	biti	Var3p
uzeli	uzeti	Vmp-pm
u	u	Sa
obzir	obzir	Ncmsan
dokazne	dokazni	Agpmpay
prijedloge	prijedlog	Ncmpa
,	,	Z
dokaze	dokaz	Ncmpa
,	,	Z
niti	niti	Qo
bitne	bitan	Agpfpny
činjenice	činjenica	Ncfpn
koje	koji	Pi-fpn
iz	iz	Sg
tih	taj	Pd-mpg
dokaza	dokaz	Ncmpg
proizlaze	proizlaziti	Vmr3p
,	,	Z
rezultat	rezultat	Ncmsn
čega	što	Pi3n-g
je	biti	Var3s
nepoštena	nepošten	Agpfsny
,	,	Z
nerazložna	nerazložna	Ncfsn
i	i	Cc
nerazumna	nerazuman	Agpfsny
odluka	odluka	Ncfsn
:	:	Z

Naime	naime	Qo
,	,	Z
iako	iako	Cs
je	biti	Var3s
nesporno	nesporan	Agpnsny
da	da	Cs
II	ii	Mro
i	i	Cc
III	III	Agpmpny
predlagatelji	predlagatelj	Ncmpn
od	od	Sg
17.	17.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
pa	pa	Cc
sve	sve	Qo
do	do	Sg
danas	danas	Rgp
žive	živjeti	Vmr3p
s	sa	Si
ocem	oce	Ncnsi
,	,	Z
prvostupanjski	prvostupanjski	Agpmsny
i	i	Cc
drugostupanjski	drugostupanjski	Agpmsayn
sud	sud	Ncmsan
propuštaju	propuštati	Vmr3p
utvrditi	utvrditi	Vmn
ovu	ovaj	Pd-fsa
bitnu	bitan	Agpfsay
činjenicu	činjenica	Ncfsa
i	i	Cc
dobrobit	dobrobit	Ncfsa
djece	dijete	Ncnpg
prosuditi	prosuditi	Vmn
sukladno	sukladno	Rgp
navedenoj	naveden	Agpfsly
činjenici	činjenica	Ncfsl
.	.	Z

Daljnja	daljnji	Agpfsny
arbitrarnost	arbitrarnost	Ncfsn
u	u	Sl
postupanju	postupanje	Ncnsl
sudova	sud	Ncmpg
očituje	očitovati	Vmr3s
se	sebe	Px--sa
u	u	Sl
tome	taj	Pd-nsl
što	što	Pi3n-n
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
spriječen	spriječiti	Appmsnn
u	u	Sl
provođenju	provođenje	Ncnsl
dokaza	dokaz	Ncmpg
,	,	Z
čije	čiji	Pi-nsn
bi	biti	Vaa3s
izvođenje	izvođenje	Ncnsn
bilo	biti	Vap-sn
ključno	ključan	Agpnsny
za	za	Sa
donošenje	donošenje	Ncnsa
odluke	odluka	Ncfsg
koja	koji	Pi-fsn
bi	biti	Vaa3s
išla	ići	Vmp-sf
u	u	Sa
prilog	prilog	Ncmsan
usvajanju	usvajanje	Ncnsl
tužbenog	tužbeni	Agpmsgy
zahtjeva	zahtjev	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
postavio	postaviti	Vmp-sm
podnositelj	podnositelj	Ncmsn
.	.	Z

Naime	naime	Qo
,	,	Z
tijekom	tijekom	Sg
postupka	postupak	Ncmsg
već	već	Cc
je	biti	Var3s
bila	biti	Vap-sf
donesena	donijeti	Appfsny
odluka	odluka	Ncfsn
o	o	Sl
provođenju	provođenje	Ncnsl
vještačenja	vještačenje	Ncnsg
za	za	Sa
koje	koji	Pi-mpa
je	biti	Var3s
podnositelj	podnositelj	Ncmsn
platio	platiti	Vmp-sm
i	i	Cc
predujam	predujam	Ncmsan
...	...	Z
međutim	međutim	Rgp
nakon	nakon	Sg
promjene	promjena	Ncfsg
raspravnog	raspravni	Agpmsgy
suca	sudac	Ncmsg
u	u	Sl
postupku	postupak	Ncmsl
,	,	Z
na	na	Sl
ročištu	ročište	Ncnsl
održanom	održan	Agpmsly
20.	20.	Mdo
travnja	travanj	Ncmsg
2014.	2014.	Mdo
godine	godina	Ncfsg
,	,	Z
sutkinja	sutkinja	Ncfsn
I.	I.	Mro
P.	P.	Y
,	,	Z
ovaj	ovaj	Pd-msn
je	biti	Var3s
dokazni	dokazni	Agpmsayn
prijedlog	prijedlog	Ncmsan
odbila	odbiti	Vmp-sf
,	,	Z
smatrajući	smatrati	Rr
isti	isti	Agpmsayn
suvišnim	suvišan	Ncmsan
i	i	Cc
nepotrebnim	nepotreban	Agpnsiy
.	.	Z
(...)		Agsmsny
«	«	Z

Podnositelji	podnositelj	Ncmpn
navode	navoditi	Vmr3p
da	da	Cs
su	biti	Var3p
sudovi	sud	Ncmpn
prilikom	prilikom	Sg
odlučivanja	odlučivanje	Ncnsg
propustili	propustiti	Vmp-pm
uzeti	uzeti	Vmn
u	u	Sa
obzir	obzir	Ncmsan
pojedina	pojedini	Agpnsgy
Izvješća	izvješće	Ncnsg
stručnog	stručan	Agpmsgy
tima	tim	Ncmsg
CDZŽD	cdzž	Ncmpg
(	(	Z
od	od	Sg
2.	2.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
i	i	Cc
od	od	Sg
18.	18.	Mdo
prosinca	prosinac	Ncmsg
2013.	2013.	Mdo
te	te	Cc
očitovanja	očitovanje	Ncnsg
Centra	centar	Ncmsg
za	za	Sa
socijalnu	socijalan	Agpfsay
skrb	skrb	Ncfsa
od	od	Sg
30.	30.	Mdo
siječnja	siječanj	Ncmsg
2014.	2014.	Mdo
i	i	Cc
17.	17.	Mdo
veljače	veljača	Ncfsg
2014.	2014.	Mdo
,	,	Z
kao	kao	Cs
i	i	Qo
izmjenu	izmjena	Ncfsa
mišljenja	mišljenje	Ncnsg
od	od	Sg
17.	17.	Mdo
ožujka	ožujak	Ncmsg
2014.	2014.	Mdo
)	)	Z
.	.	Z

Također	također	Rgp
ističu	isticati	Vmr3p
da	da	Cs
je	biti	Var3s
prvopodnositelj	prvopodnositelj	Ncmsn
u	u	Sl
žalbi	žalba	Ncfsl
na	na	Sa
dopunsku	dopunski	Agpfsay
presudu	presuda	Ncfsa
dostavio	dostaviti	Vmp-sm
rješenje	rješenje	Ncnsa
o	o	Sl
provođenju	provođenje	Ncnsl
istrage	istraga	Ncfsg
ODO	ODO	Npmsn
Zadar	Zadar	Npmsn
(	(	Z
na	na	Sl
temelju	temelj	Ncmsl
njegove	njegov	Ps3fsg
kaznene	kazneni	Agpfsgy
prijave	prijava	Ncfsg
protiv	protiv	Sg
C.	C.	Y
B.	B.	Y
)	)	Z
,	,	Z
»	»	Z
a	a	Cc
koja	koji	Pi-fsn
nova	nov	Agpfsny
činjenica	činjenica	Ncfsn
nije	biti	Var3s
uvažena	uvažiti	Appfsny
od	od	Sg
strane	strana	Ncfsg
drugostupanjskog	drugostupanjski	Agpmsgy
suda	sud	Ncmsg
«	«	Z
.	.	Z

Nadalje	nadalje	Rgp
,	,	Z
navode	navoditi	Vmr3p
:	:	Z

»	»	Z
Osobito	osobito	Rgp
značajan	značajan	Agpmsann
propust	propust	Ncmsan
suda	sud	Ncmsg
u	u	Sl
provedenom	provesti	Agpmsly
postupku	postupak	Ncmsl
predstavlja	predstavljati	Vmr3s
činjenica	činjenica	Ncfsn
da	da	Cs
sud	sud	Ncmsn
prije	prije	Sg
donošenja	donošenje	Ncnsg
odluke	odluka	Ncfsg
kojom	koji	Pi-fsi
je	biti	Var3s
regulirao	regulirati	Vmp-sm
način	način	Ncmsan
izvršavanja	izvršavanje	Ncnsg
roditeljske	roditeljski	Agpfsgy
skrbi	skrb	Ncfsg
uopće	uopće	Rgp
nije	biti	Var3s
zatražio	zatražiti	Vmp-sm
mišljenje	mišljenje	Ncnsa
i	i	Cc
prijedlog	prijedlog	Ncmsn
CZSS	CZSS	Npmsn
S.	S.	Y
(	(	Z
tj.	tj.	Y
kada	kada	Cs
ga	on	Pp3msa
je	biti	Var3s
i	i	Qo
dobio	dobiti	Vmp-sm
,	,	Z
potpuno	potpuno	Rgp
ga	on	Pp3msa
izostavlja	izostavljati	Vmr3s
i	i	Qo
ne	ne	Qz
obrazlaže	obrazlagati	Vmr3s
zašto	zašto	Rgp
sudi	suditi	Vmr3s
drugačije	drugačije	Rgp
)	)	Z
...	...	Z

(...)	(...)	Ncfsn

Sve	sav	Agpnsny
navedeno	navesti	Appnsny
,	,	Z
rezultiralo	rezultirati	Vmp-sn
je	biti	Var3s
time	taj	Pd-nsi
da	da	Cs
ključna	ključan	Agpfsny
činjenica	činjenica	Ncfsn
u	u	Sl
ovom	ovaj	Pd-msl
postupku	postupak	Ncmsl
,	,	Z
a	a	Cc
to	taj	Pd-nsn
je	biti	Var3s
da	da	Cs
su	biti	Var3p
II	ii	Mro
.	.	Z
i	i	Cc
III	III	Agpmpny
.	.	Z
podnositelji	podnositelj	Ncmpn
bili	biti	Vap-pm
podvrgnuti	podvrgnuti	Appmpny
nasilničkom	nasilnički	Agpnsly
ponašanju	ponašanje	Ncnsl
i	i	Cc
zanemarivanju	zanemarivanje	Ncnsl
od	od	Sg
strane	strana	Ncfsg
majke	majka	Ncfsg
,	,	Z
nije	biti	Var3s
utvrđena	utvrditi	Appfsny
,	,	Z
a	a	Cc
sve	sav	Agpfpay
okolnosti	okolnost	Ncfpa
koje	koji	Pi-fpn
upućuju	upućivati	Vmr3p
na	na	Sa
postojanje	postojanje	Ncnsa
te	taj	Pd-fsg
činjenice	činjenica	Ncfsg
nisu	biti	Var3p
obrazložene	obrazložiti	Appfpny
u	u	Sl
dovoljnoj	dovoljan	Agpfsly
mjeri	mjera	Ncfsl
da	da	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
moglo	moći	Vmp-sn
reći	reći	Vmn
da	da	Cs
su	biti	Var3p
poštovani	poštovati	Appmpny
standardi	standard	Ncmpn
iz	iz	Sg
članka	članak	Ncmsg
29.	29.	Mdo

Ustava	ustava	Ncfsn
...	...	Z
«	«	Z

Ukazujući	ukazivati	Rr
na	na	Sa
pristranost	pristranost	Ncfsa
sutkinje	sutkinja	Ncfsg
I.	I.	Mro
P.	P.	Y
,	,	Z
podnositelji	podnositelj	Ncmpn
navode	navoditi	Vmr3p
:	:	Z

»	»	I
...	...	Z
da	da	Cs
je	biti	Var3s
sutkinja	sutkinja	Ncfsn
I.	I.	Mro
P.	P.	Y
istovremeno	istovremeno	Rgp
obavljala	obavljati	Vmp-sf
sudačku	sudački	Agpfsay
dužnost	dužnost	Ncfsa
u	u	Sa
dva	dva	Mlc
predmeta	predmet	Ncmsg
i	i	Cc
to	to	Qo
u	u	Sl
parničnom	parnični	Agpmsly
predmetu	predmet	Ncmsl
P-259	P-259	Mdc
/	/	Z
13	13	Mdc
te	te	Cc
u	u	Sl
postupku	postupak	Ncmsl
ovrhe	ovrha	Ncfsg
koji	koji	Pi-msn
je	biti	Var3s
vođen	voditi	Appmsnn
pod	pod	Si
poslovnim	poslovan	Agpmsiy
brojem	broj	Ncmsi
Ovr-37	Ovr-37	X
/	/	Z
2014.	2014.	Mdo

(...)	(...)	Ncfsn

(...)	(...a	Ncfpn
čak	čak	Rgp
i	i	Qo
neovisno	neovisan	Agpnsny
o	o	Sl
tome	taj	Pd-nsl
je	biti	Var3s
li	li	Qq
podnositelj	podnositelj	Ncmsn
podnio	podnijeti	Vmp-sm
zahtjev	zahtjev	Ncmsan
za	za	Sa
izuzeće	izuzeće	Ncnsa
ili	ili	Cc
ne	ne	Qz
,	,	Z
sutkinja	sutkinja	Ncfsn
I.	I.	Mro
P.	P.	Y
je	biti	Var3s
i	i	Qo
po	po	Sl
službenoj	služben	Agpfsly
dužnosti	dužnost	Ncfsl
imala	imati	Vmp-sf
obvezu	obveza	Ncfsa
prekinuti	prekinuti	Vmn
svaki	svaki	Pi-msan
rad	rad	Ncmsan
na	na	Sl
jednom	jedan	Mlcmsl
od	od	Sg
ovih	ovaj	Pd-mpg
predmeta	predmet	Ncmpg
,	,	Z
što	što	Pi3n-n
nije	biti	Var3s

