druge	drugi	Mlofsg
pretraživati	pretraživati	Vmn
evidencije	evidencija	Ncfpa
koje	koji	Pi-fpn
se	sebe	Px--sa
vode	voditi	Vmr3p
na	na	Sl
papiru	papir	Ncmsl
iz	iz	Sg
članka	članak	Ncmsg
21.	21.	Mdo
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ako	ako	Cs
informacije	informacija	Ncfpn
izvještajnih	izvještajni	Agpfpgy
financijskih	financijski	Agpfpgy
institucija	institucija	Ncfpg
koje	koji	Pi-fpn
se	sebe	Px--sa
mogu	moći	Vmr3p
elektronički	elektronički	Agpmpny
pretraživati	pretraživati	Vmn
obuhvaćaju	obuhvaćati	Vmr3p
sljedeće	sljedeći	Agpnsay
:	:	Z

1.	1.	Mdo
status	status	Ncmsan
rezidentnosti	rezidentnost	Ncfsg
imatelja	imatelj	Ncmsg
računa	račun	Ncmsg
,	,	Z

2.	2.	Mdo
trenutačno	trenutačno	Rgp
pohranjenu	pohraniti	Appfsay
adresu	adresa	Ncfsa
prebivališta	prebivalište	Ncnsg
i	i	Cc
adresu	adresa	Ncfsa
za	za	Sa
zaprimanje	zaprimanje	Ncnsa
pismena	pismena	Ncnsg
imatelja	imatelj	Ncmsg
računa	račun	Ncmsg
,	,	Z

3.	3.	Mdo
trenutačno	trenutačno	Rgp
pohranjeni	pohraniti	Appmpny
telefonski	telefonski	Agpmsny
broj	broj	Ncmsn
imatelja	imatelj	Ncmpg
računa	račun	Ncmsg
,	,	Z
ako	ako	Cs
postoji	postojati	Vmr3s
,	,	Z

4.	4.	Mdo
u	u	Sl
slučaju	slučaj	Ncmsl
financijskih	financijski	Agpmpgy
računa	račun	Ncmpg
koji	koji	Pi-mpn
nisu	biti	Var3p
depozitni	depozitni	Agpmpny
računi	račun	Ncmpn
,	,	Z
informaciju	informacija	Ncfsa
o	o	Sl
tome	taj	Pd-nsl
postoje	postojati	Vmr3p
li	li	Qq
trajni	trajan	Agpmpny
nalozi	nalog	Ncmpn
za	za	Sa
prijenos	prijenos	Ncmsan
sredstava	sredstvo	Ncnpg
s	sa	Sg
računa	račun	Ncmsg
na	na	Sa
račun	račun	Ncmsan
(	(	Z
uključujući	uključivati	Rr
račun	račun	Ncmsan
u	u	Sl
drugoj	drugi	Mlofsl
podružnici	podružnica	Ncfsl
izvještajne	izvještajni	Agpfsgy
financijske	financijski	Agpfsgy
institucije	institucija	Ncfsg
ili	ili	Cc
u	u	Sl
drugoj	drugi	Mlofsl
financijskoj	financijski	Agpfsly
instituciji	institucija	Ncfsl
)	)	Z
,	,	Z

5.	5.	Mdo
informaciju	informacija	Ncfsa
o	o	Sl
tome	taj	Pd-nsl
postoji	postojati	Vmr3s
li	li	Qq
trenutačno	trenutačno	Rgp
važeća	važeći	Agpfsny
adresa	adresa	Ncfsn
iz	iz	Sg
usluge	usluga	Ncfsg
ili	ili	Cc
nalog	nalog	Ncmsn
za	za	Sa
zadržavanje	zadržavanje	Ncnsa
pošte	pošta	Ncfsg
za	za	Sa
imatelja	imatelj	Ncmsay
računa	račun	Ncmsg
i	i	Cc

6.	6.	Mdo
informacije	informacija	Ncfpa
o	o	Sl
tome	taj	Pd-nsl
postoji	postojati	Vmr3s
li	li	Cs
punomoć	punomoć	Ncfsn
ili	ili	Cc
ovlaštenje	ovlaštenje	Ncnsa
za	za	Sa
potpisivanje	potpisivanje	Ncnsa
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
račun	račun	Ncmsan
.	.	Z

2.2.4.	2.2.4.	Mdo

Dodatna	dodatan	Agpnpny
saznanja	saznanje	Ncnpn
o	o	Sl
imatelju	imatelj	Ncmsl
računa	račun	Ncmsg

Članak	članak	Ncmsn
23.	23.	Mdo

