videokapsulom	videokapsul	Npmsi
terapiju	terapija	Ncfsa
.	.	Z

Odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
zaustavljanje	zaustavljanje	Ncnsa
krvarenja	krvarenje	Ncnsg
i	i	Cc
preveniranje	preveniranje	Ncnsa
potencijalnog	potencijalan	Agpnsgy
krvarenja	krvarenje	Ncnsg
nakon	nakon	Sg
intervencije	intervencija	Ncfsg
.	.	Z
3,14	3,14	Mdc
690,80	690,80	Mdc
GE031	GE031	Mdc
Endoskopska	endoskopski	Agpfsny
koagulacija	koagulacija	Ncfsn
argonom	argona	Ncfsi
Ne	ne	Qz
uključuje	uključivati	Vmr3s
EGD	EGD	Npmsn
,	,	Z
kolonoskopiju	kolonoskopija	Ncfsa
1,54	1,54	Mdc
338,80	338,80	Mdc
GE032	GE032	Mdc
Endoskopska	endoskopski	Agpfsny
hemostaza	hemostaza	Ncfsn
/	/	Z
injekcijska	injekcijski	Agpfsny
sklerozacija	sklerozacija	Ncfsn
(	(	Z
polidocanol	polidocanol	Ncmsn
)	)	Z
Ne	ne	Qz
uključuje	uključivati	Vmr3s
EGD	EGD	Npmsn
,	,	Z
kolonoskopiju	kolonoskopija	Ncfsa
1,07	1,07	Mdc
235,40	235,40	Mdc
GE033	GE033	Mdc
Endoskopska	endoskopski	Agpfsny
mehanička	mehanički	Agpfsny
hemostaza	hemostaza	Ncfsn
sa	sa	Si
klipsom	klipsa	Ncfsi
Ne	ne	Qz
uključuje	uključivati	Vmr3s
EGD	EGD	Npmsn
,	,	Z
kolonoskopiju	kolonoskopija	Ncfsa
1,07	1,07	Mdc
235,40	235,40	Mdc
GE034	GE034	Mdc
Endoskopsko	endoskopski	Agpnsny
podvezivanje	podvezivanje	Ncnsn
varikoziteta	varikozitet	Ncmsg
jednjaka	jednjak	Ncmsg
–	–	Z
ligature	ligatura	Ncfsg
Ne	ne	Qz
uključuje	uključivati	Vmr3s
EGD	EGD	Npmsn
1,89	1,89	Mdc
415,80	415,80	Mdc
GE035	GE03	Npmsg
Sklerozacija	Sklerozaci	Npmsg
u	u	Sl
proktologiji	proktologija	Ncfsl
1,04	1,04	Mdc
228,80	228,80	Mdc
GE036	GE036	Mdc
Endoskopska	endoskopski	Agpfsny
dilatacija	dilatacija	Ncfsn
benignih	benigan	Agpfpgy
i	i	Cc
malignih	maligan	Agpfpgy
stenoza	stenoza	Ncfpg
koledokusa	koledokus	Ncmpg
i	i	Cc
/	/	Z
ili	ili	Cc
pankreatikusa	pankreatikus	Ncmsay
Uključuje	uključivati	Vmr3s
dilataciju	dilatacija	Ncfsa
stenoza	stenoza	Ncfpg
TTS	t	Agpmpiy
balonima	balon	Ncmpi
.	.	Z

Nije	biti	Var3s
uključen	uključiti	Appmsnn
ERC	ERC	Npmsn
/	/	Z
ERP	ERP	Npmsn
i	i	Cc
papilotomiju	papilotomij	Ncmsl
.	.	Z
1,54	1,54	Mdc
338,80	338,80	Mdc
GE037	GE037	Mdo
Implantacija	implantacija	Ncfsn
stenta	stent	Ncmsg
u	u	Sa
koledohus	koledohus	Ncmsan
ili	ili	Cc
pankreatikus	pankreatikua	Ncfsl
(	(	Z
11	11	Mdc
)	)	Z
Uključuje	uključivati	Vmr3s
postavljanje	postavljanje	Ncnsa
samoširećeg	samošireći	Agpmsgy
metalnog	metalan	Agpmsgy
stenta	stent	Ncmsg
ili	ili	Cc
plastičnog	plastičan	Agpmsgy
stenta	stent	Ncmsg
u	u	Sa
koledohus	koledohus	Ncmsan
ili	ili	Cc
pankreatikus	pankreatikus	Ncmsan
.	.	Z

Nije	biti	Var3s
uključen	uključiti	Appmsnn
ERC	ERC	Npmsn
/	/	Z
ERP	ERP	Npmsn
i	i	Cc
papilotomiju	papilotomij	Ncmsl
i	i	Cc
dilataciju	dilatacija	Ncfsa
.	.	Z

Ne	ne	Qz
uključuje	uključivati	Vmr3s
trošak	trošak	Ncmsan
stenta	stent	Ncmsg
1,54	1,54	Mdc
338,80	338,80	Mdc
GE038	ge03i	Agpnsny
Uzimanje	uzimanje	Ncnsn
citološkog	citološki	Agpmsgy
brisa	bris	Ncmsg
četkicom	četkica	Ncfsi
pod	pod	Si
kontrolom	kontrola	Ncfsi
EUS-a	EUS	Npmsg
Odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
uzimanje	uzimanje	Ncnsa
jednog	jedan	Mlcmsg
ili	ili	Cc
više	mnogo	Rgc
uzoraka	uzorak	Ncmpg
0,69	0,69	Mdc
151,80	151,80	Mdc
GE039	GE039	X
Perkutana	perkutan	Agpfsny
citološka	citološki	Agpfsny
punkcija	punkcija	Ncfsn
jetre	jetra	Ncfsg
i	i	Cc
/	/	Z
ili	ili	Cc
okolnih	okolni	Agpmpgy
organa	organ	Ncmpg
Uključuje	uključivati	Vmr3s
:	:	Z
perkutanu	perkutan	Agpfsay
citološku	citološki	Agpfsay
punkciju	punkcija	Ncfsa
lezija	lezija	Ncfpg
(	(	Z
tumora	tumor	Ncmpg
)	)	Z
ili	ili	Cc
kolekcija	kolekcija	Ncfsn
u	u	Sl
abdomenu	abdomen	Ncmsl
pod	pod	Si
kontrolom	kontrola	Ncfsi
UZV-a	UZV	Npmsg
u	u	Sa
svrhu	svrha	Ncfsa
dobivanja	dobivanje	Ncnsg
citološke	citološki	Agpfsgy
dijagnoze	dijagnoza	Ncfsg
2,19	2,19	Mdc
481,80	481,80	Mdc
GE040	GE040	Mdc
Perkutana	perkutan	Aspfsny
biopsija	biopsija	Ncfsn
jetre	jetra	Ncfsg
U	u	Sa
svrhu	svrha	Ncfsa
histopatološke	histopatološki	Agpfsgy
dijagnostike	dijagnostika	Ncfsg
(	(	Z
»	»	Z
slijepa	slijep	Agpfsny
«	«	Z
ili	ili	Cc
pod	pod	Si
kontrolom	kontrola	Ncfsi
UZV-a	UZV	Npmsg
)	)	Z
2,19	2,19	Mdc
481,80	481,80	Mdc
GE041	GE041	Mdc
Endoskopska	endoskopski	Agpfsny
elektrodijatermijska	elektrodijatermijski	Agpfsny
polipektomija	polipektomija	Ncfsn
probavnog	probavni	Agpmsgy
sustava	sustav	Ncmsg
(	(	Z
15	15	Mdc
)	)	Z
Nije	biti	Var3s
uračunat	uračunati	Appmsnn
osnovni	osnovan	Agpmsny
endoskopski	endoskopski	Agpmsny
pregled	pregled	Ncmsn
.	.	Z

