njegovom	njegov	Ps3msl
posebnu	poseban	Agpfsay
pažnju	pažnja	Ncfsa
posvetiti	posvetiti	Vmn
tome	taj	Pd-nsd
je	biti	Var3s
li	li	Qq
birač	birač	Ncmsn
glasovao	glasovati	Vmp-sm
za	za	Sa
liste	lista	Ncfpa
izborne	izborni	Agpfsgy
jedinice	jedinica	Ncfsg
ili	ili	Cc
za	za	Sa
kandidate	kandidat	Ncmpa
u	u	Sl
XII	xia	Ncfsl
.	.	Z
izbornoj	izborni	Agpfsly
jedinici	jedinica	Ncfsl
i	i	Cc
shodno	shodno	Rgp
tome	taj	Pd-nsd
zaokružiti	zaokružiti	Vmn
u	u	Sl
odgovarajućem	odgovarajući	Agpmsly
stupcu	stupac	Ncmsl
izvadka	izvadk	Ncmpg
iz	iz	Sg
popisa	popis	Ncmsg
birača	birač	Ncmpg
i	i	Cc
odmah	odmah	Rgp
ga	on	Pp3msa
upisati	upisati	Vmn
u	u	Sa
zapisnik	zapisnik	Ncmsan
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
u	u	Sl
za	za	Sa
to	taj	Pd-nsa
predviđenu	predvidjeti	Agpfsay
rubriku	rubrika	Ncfsa
(	(	Z
odjeljci	odjeljak	Ncmpn
V.	V.	Mro
,	,	Z
obrazaca	obrazac	Ncmpg
OZ-37	OZ-37	Mdm
,	,	Z
OZ-38	OZ-38	Mdm
,	,	Z
OZ-39	OZ-39	Mdm
,	,	Z
OZ-40	OZ-40	Mdm
,	,	Z
OZ-41	OZ-41	Mdm
,	,	Z
OZ-42	OZ-42	Npmsn
i	i	Cc
OZ-43	OZ-43	Mdm
)	)	Z
.	.	Z

Kako	kako	Cs
bi	biti	Vaa3s
se	sebe	Px--sa
osigurala	osigurati	Vmp-sf
kontrola	kontrola	Ncfsn
izlazaka	izlazak	Ncmpg
članova	član	Ncmpg
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
radi	radi	Sg
provedbe	provedba	Ncfsg
glasovanja	glasovanje	Ncnsg
birača	birač	Ncmpg
izvan	izvan	Sg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
te	te	Cc
broja	broj	Ncmsg
preuzetih	preuzet	Agpmpgy
i	i	Cc
vraćenih	vratiti	Agpmpgy
glasačkih	glasački	Agpmpgy
listića	listić	Ncmpg
,	,	Z
predsjednik	predsjednik	Ncmsn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
dužan	dužan	Agpmsnn
je	biti	Var3s
osigurati	osigurati	Vmn
vođenje	vođenje	Ncnsa
evidencije	evidencija	Ncfsg
izlazaka	izlazak	Ncmpg
članova	član	Ncmpg
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
sukladno	sukladno	Rgp
obrascu	obrazac	Ncmsd
koji	koji	Pi-msn
će	htjeti	Var3s
biti	biti	Van
dostavljen	dostaviti	Appmsnn
u	u	Sl
izbornom	izborni	Agpmsly
materijalu	materijal	Ncmsl
.	.	Z

Navedeni	naveden	Agpmsayn
obrazac	obrazac	Ncmsan
dužni	dužan	Agpmpny
su	biti	Var3p
čitko	čitko	Rgp
ispuniti	ispuniti	Vmn
i	i	Cc
potpisati	potpisati	Vmn
članovi	član	Ncmpn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
koji	koji	Pi-mpn
su	biti	Var3p
proveli	provesti	Vmp-pm
postupak	postupak	Ncmsan
glasovanja	glasovanje	Ncnsg
birača	birač	Ncmpg
izvan	izvan	Sg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
.	.	Z

3.	3.	Mdo
Kad	kad	Cs
biračko	birački	Agpnsny
mjesto	mjesto	Ncnsn
,	,	Z
pored	pored	Sg
svih	sav	Agpnpgy
nastojanja	nastojanje	Ncnpg
da	da	Cs
se	sebe	Px--sa
osigura	osigurati	Vmr3s
pristupačnost	pristupačnost	Ncfsn
osobama	osoba	Agpfsny
s	sa	Si
invaliditetom	invaliditet	Ncmsi
,	,	Z
ne	ne	Qz
zadovoljava	zadovoljavati	Vmr3s
zahtjeve	zahtjev	Ncmpa
pristupačnosti	pristupačnost	Ncfsg
osobama	osoba	Ncfpd
s	sa	Si
invaliditetom	invaliditet	Ncmsi
,	,	Z
a	a	Cc
birač	birač	Ncmsn
–	–	Z
osoba	osoba	Ncfsn
s	sa	Si
invaliditetom	invaliditet	Ncmsi
dođe	doći	Vmr3s
ispred	ispred	Sg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
i	i	Cc
izrazi	izraziti	Vmr3s
želju	želja	Ncfsa
glasovati	glasovati	Vmn
,	,	Z
predsjednik	predsjednik	Ncmsn
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
odrediti	odrediti	Vmn
će	htjeti	Var3s
dva	dva	Mlc
člana	član	Ncmsg
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
i	i	Cc
uputiti	uputiti	Vmn
ih	oni	Pp3-pa
da	da	Cs
ispred	ispred	Sg
biračkog	birački	Agpnsgy
mjesta	mjesto	Ncnsg
omoguće	omogućiti	Vmr3p
biraču	birač	Ncmsd
–	–	Z
osobi	osoba	Ncfsl
s	sa	Si
invaliditetom	invaliditet	Ncmsi
glasovanje	glasovanje	Ncnsa
na	na	Sa
način	način	Ncmsan
predviđen	predvidjeti	Appmsnn
u	u	Sa
toč	toč	Ncmsan
.	.	Z
2.	2.	Mdo
ovih	ovaj	Pd-fpg
Obvezatnih	obvezatan	Agpfpgy
uputa	uputa	Ncfpg
te	te	Cc
će	htjeti	Var3s
oni	oni	Pp3mpn
postupiti	postupiti	Vmn
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
istima	isti	Agpmpiy
.	.	Z

4.	4.	Mdo
Birače	birač	Ncmpa
koji	koji	Pi-mpn
su	biti	Var3p
glasovali	glasovati	Vmp-pm
uz	uz	Sa
pomoć	pomoć	Ncfsa
druge	drugi	Mlofsg
osobe	osoba	Ncfsg
mora	morati	Vmr3s
se	sebe	Px--sa
poimenično	poimenično	Rgp
navesti	navesti	Vmn
u	u	Sl
zapisniku	zapisnik	Ncmsl
o	o	Sl
radu	rad	Ncmsl
biračkog	birački	Agpmsgy
odbora	odbor	Ncmsg
u	u	Sl
za	za	Sa
to	taj	Pd-nsa
predviđenu	predvidjeti	Agpfsay
rubriku	rubrika	Ncfsa
(	(	Z
odjeljci	odjeljak	Ncmpn
V.	V.	Mro
,	,	Z
obrazaca	obrazac	Ncmpg
OZ-37	OZ-37	Mdm
,	,	Z
OZ-38	OZ-38	Mdm
,	,	Z
OZ-39	OZ-39	Mdm
,	,	Z
OZ-40	OZ-40	Mdm
,	,	Z
OZ-41	OZ-41	Mdm
,	,	Z
OZ-42	OZ-42	Npmsn
i	i	Cc
OZ-43	OZ-43	Mdm
)	)	Z
.	.	Z

5.	5.	Mdo
Ove	ovaj	Pd-fsg
Obvezatne	obvezatan	Agpfsgy
upute	uputa	Ncfsg
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
u	u	Sl
»		Agpfply
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
i	i	Cc
stupaju	stupati	Vmr3p
na	na	Sa
snagu	snaga	Ncfsa
danom	dan	Agpmsly
objave	objava	Ncfsg
u	u	Sl
»	»	Z
Narodnim	narodni	Agpfply
novinama	novina	Ncfpl
«	«	Z
,	,	Z
a	a	Cc
objavit	objaviti	Vmn
će	htjeti	Var3s
se	sebe	Px--sa
i	i	Qo
na	na	Sl
internetskoj	internetski	Agpfsly
stranici	stranica	Ncfsl
Državnog	državni	Agpnsgy
izbornog	izborni	Agpnsgy
povjerenstva	povjerenstvo	Ncnsg
www.izbori.hr	www.izbori.hr	X
.	.	Z

Klasa	klasa	Ncfsn
:	:	Z
013	013	Mdc
-	-	Z
03/16	03/16	Mdc
-	-	Z
01/29	01/29	Mdc

Urbroj	urbroj	Ncmsn
:	:	Z
507/11	507/11	Mdc
-	-	Z
16	16	Mdc
-	-	Z
7	7	Mdc

Zagreb	Zagreb	Npmsn
,	,	Z
3.	3.	Mdo
kolovoza	kolovoz	Ncmsg
2016.	2016.	Mdo

Predsjednik	predsjednik	Ncmsn
Branko	Branko	Npmsn
Hrvatin	Hrvatin	Npmsn
,	,	Z
dipl.	dipl.	Y
iur.	iur.	Y
,	,	Z
v.	v.	Y
r.	r.	Y

