korisnicima	korisnik	Ncmpd
izvješća	izvješće	Ncnpa
o	o	Sl
radu	rad	Ncmsl
Službe	služba	Ncfsg
i	i	Cc
dostavlja	dostavljati	Vmr3s
ih	oni	Pp3-pa
nadležnim	nadležan	Agpfpiy
institucijama	institucija	Ncfpi
i	i	Cc
osobama	osoba	Ncfpl
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
važećim	važeći	Agpmpiy
propisima	propis	Ncmpi
,	,	Z
surađuje	surađivati	Vmr3s
sa	sa	Si
Sektorom	sektor	Ncmsi
za	za	Sa
harmonizaciju	harmonizacija	Ncfsa
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
i	i	Cc
financijske	financijski	Agpfsgy
kontrole	kontrola	Ncfsg
što	što	Pi3n-n
uključuje	uključivati	Vmr3s
i	i	Qo
obvezu	obveza	Ncfsa
dostave	dostava	Ncfsg
strateških	strateški	Agpfpgy
i	i	Cc
godišnjih	godišnji	Agpmpgy
planova	plan	Ncmpg
,	,	Z
te	te	Cc
godišnjeg	godišnji	Agpnsgy
izvješća	izvješće	Ncnsg
tom	taj	Pd-msl
Sektoru	sektor	Ncmsl
,	,	Z
prati	pratiti	Vmr3s
i	i	Cc
predlaže	predlagati	Vmr3s
stalnu	stalan	Agpfsay
edukaciju	edukacija	Ncfsa
unutarnjih	unutarnji	Agpmpgy
revizora	revizor	Ncmpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
Međunarodnim	međunarodni	Agpmpiy
standardima	standard	Ncmpi
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
,	,	Z
surađuje	surađivati	Vmr3s
s	sa	Si
Agencijom	agencija	Ncfsi
za	za	Sa
reviziju	revizija	Ncfsa
sustava	sustav	Ncmsg
provedbe	provedba	Ncfsg
programa	program	Ncmsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
Državnim	državni	Agpmsiy
uredom	ured	Ncmsi
za	za	Sa
reviziju	revizija	Ncfsa
i	i	Cc
drugim	drugi	Mlofpl
vanjskim	vanjski	Agpfply
revizijama	revizija	Ncfpl
.	.	Z

11.	11.	Mdo

SAMOSTALNA	samostalan	Agpfsny
SLUŽBA	služba	Ncfsn
ZA	za	Sa
EUROPSKE	europski	Agpmpay
POSLOVE	posao	Ncmpa

Članak	članak	Ncmsn
160.	160.	Mdo

Samostalna	samostalan	Agpfsny
služba	služba	Ncfsn
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
sukladno	sukladno	Rgp
djelokrugu	djelokrug	Ncmsd
i	i	Cc
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
prijedloga	prijedlog	Ncmsg
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
i	i	Cc
drugih	drugi	Mlompg
dokumenata	dokument	Ncmpg
potrebnih	potreban	Agpmpgy
za	za	Sa
sudjelovanje	sudjelovanje	Ncnsa
predstavnika	predstavnik	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
radu	rad	Ncmsl
institucija	institucija	Ncfpg
i	i	Cc
tijela	tijelo	Ncnsg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
koordinira	koordinirati	Vmr3s
praćenje	praćenje	Ncnsa
ispunjavanja	ispunjavanje	Ncnsg
obveza	obveza	Ncfpg
koje	koji	Pi-fpn
proizlaze	proizlaziti	Vmr3p
iz	iz	Sg
obveze	obveza	Ncfsg
usklađivanje	usklađivanje	Ncnsa
pravnog	pravni	Agpmsgy
sustava	sustav	Ncmsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
s	sa	Si
pravnom	pravni	Agpfsiy
stečevinom	stečevina	Ncfsi
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
djeluje	djelovati	Vmr3s
kao	kao	Cs
kontakt	kontakt	Ncmsn
točka	točka	Ncfsn
za	za	Sa
primanje	primanje	Ncnsa
i	i	Cc
distribuciju	distribucija	Ncfsa
dokumenata	dokument	Ncmpg
Europske	europski	Agpfsgy
unije	unija	Ncfsg
,	,	Z
te	te	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
i	i	Cc
provedbi	provedba	Ncfsl
drugih	drugi	Mlofpg
aktivnosti	aktivnost	Ncfpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
članstvo	članstvo	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
.	.	Z

Za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
Samostalne	samostalan	Agpfsgy
službe	služba	Ncfsg
za	za	Sa
europske	europski	Agpmpay
poslove	posao	Ncmpa
,	,	Z
ustrojavaju	ustrojavati	Vmr3p
se	sebe	Px--sa
sljedeći	sljedeći	Agpmpny
odjeli	odjel	Ncmpn
:	:	Z

11.1.	11.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
EU	EU	Npmsan
legislativu	legislativa	Ncfsa
u	u	Sl
donošenju	donošenje	Ncnsl

11.2.	11.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
EU	E	Npmsg
legislative	legislativa	Ncfpa

11.1.	11.1.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
EU	EU	Npmsan
legislativu	legislativa	Ncfsa
u	u	Sl
donošenju	donošenje	Ncnsl

Članak	članak	Ncmsn
161.	161.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
EU	EU	Npmsan
legislativu	legislativa	Ncfsa
u	u	Sl
donošenju	donošenje	Ncnsl
sukladno	sukladno	Rgp
djelokrugu	djelokrug	Ncmsl
i	i	Cc
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
koordinira	koordinirati	Vmr3s
pripremu	priprema	Ncfsa
i	i	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
izradi	izrada	Ncfsl
prijedloga	prijedlog	Ncmsg
nacionalnih	nacionalan	Agpnpgy
stajališta	stajalište	Ncnpg
koja	koji	Pi-npa
usvaja	usvajati	Vmr3s
Vlada	vlada	Ncfsn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
kao	kao	Cs
i	i	Qo
drugih	drugi	Mlompg
dokumenata	dokument	Ncmpg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
za	za	Sa
sastanke	sastanak	Ncmpa
radnih	radni	Agpfpgy
skupina	skupina	Ncfpg
u	u	Sl
području	područje	Ncnsl
prometa	promet	Ncmsg
i	i	Cc
telekomunikacija	telekomunikacija	Ncfpg
,	,	Z
sastanke	sastanak	Ncmpa
Odbora	odbor	Ncmpg
zamjenika	zamjenik	Ncmpg
Stalnih	stalan	Agpmpgy
predstavnika	predstavnik	Ncmpg
pri	pri	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
(	(	Z
COREPER	COREPER	Npmsn
I	i	Cc
)	)	Z
za	za	Sa
dosjee	dosje	Ncmpa
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Ministarstva	ministarstvo	Ncnsg
,	,	Z
kao	kao	Cs
i	i	Cc
Vijeća	vijeće	Ncnsg
ministara	ministar	Ncmpg
u	u	Sl
formatu	format	Ncmsl
prometa	promet	Ncmsg
i	i	Cc
telekomunikacija	telekomunikacija	Ncfpg
;	;	Z
prati	pratiti	Vmr3s
i	i	Cc
analizira	analizirati	Vmr3s
politike	politika	Ncfpa
EU	E	Npmsg
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Ministarstva	ministarstvo	Ncnsg
;	;	Z
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
dokumenta	dokument	Ncmsg
kojim	koji	Pi-msi
se	sebe	Px--sa
određuju	određivati	Vmr3p
prioritetni	prioritetni	Agpmpny
dosjei	dosje	Ncmpn
EU	E	Npmsg
za	za	Sa
praćenje	praćenje	Ncnsa
od	od	Sg
strane	strana	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
područjima	područje	Ncnpl
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Ministarstva	ministarstvo	Ncnsg
,	,	Z
prati	pratiti	Vmr3s
stajališta	stajalište	Ncnpa
i	i	Cc
aktivnosti	aktivnost	Ncfpg
institucija	institucija	Ncfpg
i	i	Cc
tijela	tijelo	Ncnsg
EU	E	Npmsg
i	i	Cc
država	država	Ncfpg
članica	članica	Ncfpg
EU	E	Npmsg
vezano	vezano	Rgp
uz	uz	Sa
prioritetne	prioritetni	Agpmpay
dosjee	dosje	Ncmpa
,	,	Z
te	te	Cc
izrađuje	izrađivati	Vmr3s
dokumente	dokument	Ncmpa
s	sa	Si
pregledom	pregled	Ncmsi
stanja	stanje	Ncnsg
spomenutih	spomenuti	Appmpgy
dosjea	dosje	Ncmpg
za	za	Sa
potrebe	potreba	Ncfpa
Vlade	vlada	Ncfsg
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
i	i	Cc
Hrvatskoga	hrvatski	Agpmsgy
sabora	sabor	Ncmsg
;	;	Z
te	te	Cc
sudjeluje	sudjelovati	Vmr3s
u	u	Sl
pripremi	priprema	Ncfsl
i	i	Cc
provedbi	provedba	Ncfsl
drugih	drugi	Mlofpg
aktivnosti	aktivnost	Ncfpg
vezanih	vezan	Agpfpgy
uz	uz	Sa
članstvo	članstvo	Ncnsa
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
u	u	Sl
Europskoj	europski	Agpfsly
uniji	unija	Ncfsl
.	.	Z

11.2.	11.2.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
EU	E	Npmsg
legislative	legislativa	Ncfpa

Članak	članak	Ncmsn
162.	162.	Mdo

Odjel	odjel	Ncmsn
za	za	Sa
provođenje	provođenje	Ncnsa
EU	E	Npmsg
legislative	legislativa	Ncfpa
sukladno	sukladan	Agpnsny
djelokrugu	djelokrug	Ncmsl
i	i	Cc
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
koordinira	koordinirati	Vmr3s
izradu	izrada	Ncfsa
i	i	Cc
prati	pratiti	Vmr3s
provedbu	provedba	Ncfsa
dijelova	dio	Ncmpg
Programa	program	Ncmsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
i	i	Cc
provedbu	provedba	Ncfsa
pravne	pravni	Agpfsgy
stečevine	stečevina	Ncfsg
EU	E	Npmsg
u	u	Sl
nadležnosti	nadležnost	Ncfsl
Ministarstva	ministarstvo	Ncnsg
;	;	Z
koordinira	koordinirati	Vmr3s
aktivnosti	aktivnost	Ncfpa
ustrojstvenih	ustrojstven	Agpfpgy
jedinica	jedinica	Ncfpg
Ministarstva	ministarstvo	Ncnsg
radi	radi	Sg
učinkovitog	učinkovit	Agpnsgy
usvajanja	usvajanje	Ncnsg
pravne	pravni	Agpfsgy
stečevine	stečevina	Ncfsg
EU	E	Npmsg
;	;	Z
izrađuje	izrađivati	Vmr3s
redovita	redovit	Agpnpay
izvješća	izvješće	Ncnpa
o	o	Sl
provedbi	provedba	Ncfsl
Programa	program	Ncmsg
za	za	Sa
preuzimanje	preuzimanje	Ncnsa
i	i	Cc
provedbu	provedba	Ncfsa
pravne	pravni	Agpfsgy
stečevine	stečevina	Ncfsg
EU	E	Npmsg
;	;	Z
na	na	Sl
razini	razina	Ncfsl
Ministarstva	ministarstvo	Ncnsg
koordinira	koordinirati	Vmr3s

