razdoblja	razdoblje	Ncnpn
Zakona	zakon	Ncmsg
su	biti	Var3p
trajni	trajan	Agpmpny
travnjaci	travnjak	Ncmpn
upisani	upisati	Appmpny
u	u	Sa
ARKOD	arkod	Ncmsan
sa	sa	Si
statusom	status	Ncmsi
okolišno-osjetljivih	okolišno-osjetljivih	Sg
travnjaka	travnjak	Ncmsg
na	na	Sa
dan	dan	Ncmsan
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
i	i	Cc
trajni	trajan	Agpmpny
travnjaci	travnjak	Ncmpn
koje	koji	Pi-mpa
će	htjeti	Var3p
poljoprivrednici	poljoprivrednik	Ncmpn
upisati	upisati	Vmn
u	u	Sl
ARKOD	ARKO	Npmsl
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
,	,	Z
a	a	Cc
nalaze	nalaziti	Vmr3p
se	sebe	Px--sa
na	na	Sl
posebnim	poseban	Agpnply
područjima	područje	Ncnpl
utvrđenima	utvrditi	Ncmpl
u	u	Sl
Tablici	tablica	Ncfsl
7.	7.	Mdo
iz	iz	Sg
Priloga	prilog	Ncmsg
1.	1.	Mdo
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
6	6	Mdc
)	)	Z
Korisnici	korisnik	Ncmpn
od	od	Sg
dana	dan	Ncmpg
stupanja	stupanje	Ncnsg
na	na	Sa
snagu	snaga	Ncfsa
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
ne	ne	Qz
smiju	smjeti	Vmr3p
okolišno-osjetljive	okolišno-osjetljiv	Agpmpay
travnjake	travnjak	Ncmpa
iz	iz	Sg
stavka	stavak	Ncmsg
5.	5.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
prenamijeniti	prenamijeniti	Vmn
niti	niti	Qo
preorati	preorati	Vmn
.	.	Z

Ako	ako	Cs
poljoprivrednik	poljoprivrednik	Ncmsn
prenamijeni	prenamijeniti	Vmr3s
ili	ili	Cc
obradi	obraditi	Vmr3s
okolišno-osjetljivi	okolišno-osjetljiv	Agpmsayn
travnjak	travnjak	Ncmsan
,	,	Z
dužan	dužan	Agpmsnn
je	biti	Var3s
izvršiti	izvršiti	Vmn
ponovnu	ponovan	Agpfsay
prenamjenu	prenamjena	Ncfsa
zemljišta	zemljište	Ncnsg
natrag	natrag	Rgp
u	u	Sa
trajni	trajan	Agpmsayn
travnjak	travnjak	Ncmsan
sukladno	sukladno	Rgp
članku	članak	Ncmsd
42.	42.	Mdo

Delegirane	delegiran	Agpfpny
uredbe	uredba	Ncfpn
Komisije	komisija	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
639/2014	639/2014	Mdc
najkasnije	kasno	Rgs
do	do	Sg
31.	31.	Mdo
svibnja	svibanj	Ncmsg
slijedeće	slijedeći	Agpfsgy
godine	godina	Ncfsg
.	.	Z

Ekološki	ekološki	Rgp
značajne	značajan	Agpfsgy
površine	površina	Ncfsg

Članak	članak	Ncmsn
32.	32.	Mdo

(	(	Z
1	1	Mdc
)	)	Z
Za	za	Sa
potrebe	potreba	Ncfpa
provedbe	provedba	Ncfsg
zelene	zelen	Agpfsgy
prakse	praksa	Ncfsg
sukladno	sukladan	Agpnsny
članku	članak	Ncmsl
42.	42.	Mdo

Zakona	zakon	Ncmsg
ekološki	ekološki	Rgp
značajnim	značajan	Agpfply
površinama	površina	Ncfpl
smatraju	smatrati	Vmr3p
se	sebe	Px--sa
:	:	Z

a	a	Cc
)	)	Z
zemljište	zemljište	Ncnsn
na	na	Sl
ugaru	ugar	Ncmsl
,	,	Z

b	b	Npmsn
)	)	Z
obilježja	obilježje	Ncnsg
krajobraza	krajobraz	Ncmsg
,	,	Z

c	C	Npmsn
)	)	Z
rubni	rubni	Agpmpny
pojasevi	pojas	Ncmpn
duž	duž	Sg
vodotoka	vodotok	Ncmsg
uključujući	uključivati	Rr
rubne	rubni	Agpmpay
pojaseve	pojas	Ncmpa
pod	pod	Si
trajnim	trajan	Agpmsiy
travnjakom	travnjak	Ncmsi
,	,	Z

d	d	Npmsn
)	)	Z
pojasevi	pojas	Ncmpn
prihvatljivih	prihvatljiv	Agpmpgy
hektara	hektar	Ncmpg
uz	uz	Sa
rubove	rub	Ncmpa
šume	šuma	Ncfpa
bez	bez	Sg
proizvodnje	proizvodnja	Ncfsg
,	,	Z

e	e	I
)	)	Z
površine	površina	Ncfsg
s	sa	Si
kulturama	kultura	Ncfpi
kratkih	kratak	Agpfpgy
ophodnji	ophodnja	Ncfpg
na	na	Sl
kojima	koji	Pi-fpl
se	sebe	Px--sa
ne	ne	Qz
koriste	koristiti	Vmr3p
mineralna	mineralan	Agpnpay
gnojiva	gnojivo	Ncnpa
i	i	Cc
/	/	Z
ili	ili	Cc
sredstva	sredstvo	Ncnsg
za	za	Sa
zaštitu	zaštita	Ncfsa
bilja	bilje	Ncnsg
,	,	Z

f	f	Npmsn
)	)	Z
površine	površina	Ncfsg
s	sa	Si
postrnim	postran	Agpmpiy
usjevima	usjev	Ncmpi
,	,	Z
pokrovnim	pokrovni	Agpmply
usjevima	usjev	Ncmpl
i	i	Cc
pod-usjevom	pod-usjevoi	Agpfsgy
trave	trava	Ncfsg
,	,	Z

g	g	I
)	)	Z
površine	površina	Ncfsg
s	sa	Si
kulturama	kultura	Ncfpi
koje	koji	Pi-fpn
fiksiraju	fiksirati	Vmr3p
dušik	dušik	Ncmsan
.	.	Z

(	(	Z
2	2	Mdc
)	)	Z
Ekološki	ekološki	Rgp
značajna	značajan	Agpfsny
površina	površina	Ncfsn
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
na	na	Sl
obradivom	obradiv	Agpnsly
zemljištu	zemljište	Ncnsl
,	,	Z
osim	osim	Sg
površina	površina	Ncfsn
s	sa	Si
kulturama	kultura	Ncfpi
kratkih	kratak	Agpfpgy
ophodnji	ophodnja	Ncfpg
.	.	Z

Granični	graničan	Agpmpny
pojasevi	pojas	Ncmpn
duž	duž	Sg
vodotoka	vodotok	Ncmsg
,	,	Z
pojasevi	pojas	Ncmpn
prihvatljivih	prihvatljiv	Agpmpgy
hektara	hektar	Ncmpg
uz	uz	Sa
rubove	rub	Ncmpa
šuma	šum	Ncmsg
bez	bez	Sg
proizvodnje	proizvodnja	Ncfsg
te	te	Cc
pojedina	pojedini	Agpnpay
obilježja	obilježje	Ncnpa
krajobraza	krajobraza	Pi-mpn
mogu	moći	Vmr3p
se	sebe	Px--sa
nalaziti	nalaziti	Vmn
na	na	Sl
granici	granica	Ncfsl
obradivog	obradiv	Agpnsay
zemljište	zemljište	Ncnsa
prijavljenog	prijaviti	Ncfpg
za	za	Sa
potporu	potpora	Ncfsa
.	.	Z

(	(	Z
3	3	Mdc
)	)	Z
Način	način	Ncmsn
izračuna	izračun	Ncmsg
površina	površina	Ncfsn
prihvatljivih	prihvatljiv	Agpmpgy
za	za	Sa
ekološki	ekološki	Rgp
značajne	značajan	Agpfsgy
površine	površina	Ncfsg
nalazi	nalaziti	Vmr3s
se	sebe	Px--sa
u	u	Sl
Tablici	tablica	Ncfsl
8	8	Mdc
a.	a.	Y
iz	iz	Sg
Priloga	prilog	Ncmsg
1.	1.	Mdo
koji	koji	Pi-msn
je	biti	Var3s
sastavni	sastavan	Agpmsny
dio	dio	Ncmsn
ovoga	ovaj	Pd-msg
Pravilnika	pravilnik	Ncmsg
.	.	Z

(	(	Z
4	4	Mdc
)	)	Z
Izračun	izračun	Ncmsn
ukupnog	ukupan	Agpmsgy
broja	broj	Ncmsg
hektara	hektar	Ncmpg
koji	koji	Pi-mpn
predstavlja	predstavljati	Vmr3s
ekološki	ekološki	Rgp
značajnu	značajan	Agpfsay
površinu	površina	Ncfsa
kao	kao	Cs
i	i	Qo
njegov	njegov	Ps3msn
udio	udjel	Ncmsn
u	u	Sl
ukupnom	ukupan	Agpnsly
obradivom	obradiv	Agpnsly
zemljištu	zemljište	Ncnsl
poljoprivrednog	poljoprivredni	Agpnsgy
gospodarstva	gospodarstvo	Ncnsg
korisnicima	korisnik	Ncmpd
je	biti	Var3s
raspoloživ	raspoloživ	Agpmsnn
u	u	Sl
AGRONET-u	AGRONET	Npmsl
(	(	Z
EZP	EZP	Npmsn
kalkulator	kalkulator	Ncmsn
)	)	Z
.	.	Z

(	(	Z
5	5	Mdc
)	)	Z
Iznimka	iznimka	Ncfsn
od	od	Sg
obveze	obveza	Ncfsg
pridržavanja	pridržavanje	Ncnsg
prakse	praksa	Ncfsg
ekološki	ekološki	Rgp
značajne	značajan	Agpfsgy
površine	površina	Ncfsg
propisana	propisati	Appfsny
je	biti	Var3s
u	u	Sl
članku	članak	Ncmsl
46.	46.	Mdo
stavku	stavak	Ncmsl
4.	4.	Mdo
Uredbe	uredba	Ncfsg
(	(	Z
EU	EU	Npmsn
)	)	Z
br.	br.	Y
1307/2013.	1307/2013.	Mds

(	(	Z
6	6	Mdc
)	)	Z
Za	za	Sa
potrebe	potreba	Ncfpa
ekološki	ekološki	Rgp
značajnih	značajan	Agpfpgy
površina	površina	Ncfpg
,	,	Z
zemljište	zemljište	Ncnsn
na	na	Sl
ugaru	ugar	Ncmsl
treba	trebati	Vmr3s
biti	biti	Van
u	u	Sl
mirovanju	mirovanje	Ncnsl
tijekom	tijekom	Sg
razdoblja	razdoblje	Ncnsg
od	od	Sg
15.	15.	Mdo
veljače	veljača	Ncfsg
do	do	Sg
15.	15.	Mdo
kolovoza	kolovoz	Ncmsg
godine	godina	Ncfsg
u	u	Sl
kojoj	koji	Pi-fsl
se	sebe	Px--sa
podnosi	podnositi	Vmr3s
jedinstveni	jedinstven	Agpmsny
zahtjev	zahtjev	Ncmsn
.	.	Z

Na	na	Sl
površinama	površina	Ncfpl
pod	pod	Si
ugarom	ugar	Ncmsi
koje	koji	Pi-fpn
su	biti	Var3p
ekološki	ekološki	Rgp
značajne	značajan	Agpfpny
površine	površina	Ncfpn
ne	ne	Qz
smiju	smjeti	Vmr3p
se	sebe	Px--sa
primjenjivati	primjenjivati	Vmn
zaštitna	zaštitni	Agpnpay
sredstva	sredstvo	Ncnpa
.	.	Z

Parcele	parcela	Ncfpn
zemljišta	zemljište	Ncnsg
na	na	Sl
ugaru	ugar	Ncmsl
koje	koji	Pi-fpn
se	sebe	Px--sa
prijavljuju	prijavljivati	Vmr3p
kao	kao	Cs
ekološki	ekološki	Rgp
značajne	značajan	Agpfsgy
površine	površina	Ncfsg
više	mnogo	Rgc
od	od	Sg
pet	pet	Mlc
uzastopnih	uzastopni	Agpfpgy
godina	godina	Ncfpg
ostaju	ostajati	Vmr3p
kategorizirane	kategorizirati	Appfsgy
kao	kao	Cs
obradivo	obradiv	Agpnsny
zemljište	zemljište	Ncnsn
.	.	Z

(	(	Z
7	7	Mdc
)	)	Z
Obilježja	obilježje	Ncnsg
krajobraza	krajobraz	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
b.	b.	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
su	biti	Var3p
:	:	Z

a	a	Cc
)	)	Z
živice	živica	Ncfpn
ili	ili	Cc
pojasevi	pojas	Ncmpn
drvenastih	drvenast	Agpfpgy
kultura	kultura	Ncfpg
najveće	velik	Agsfsgy
širine	širina	Ncfsg
2	2	Mdc
m	m	Y
unutar	unutar	Sg
parcele	parcela	Ncfsg
ili	ili	Cc
4	4	Mdc
m	m	Y
na	na	Sl
granici	granica	Ncfsl
parcele	parcela	Ncfsg
i	i	Cc
najmanje	malo	Rgs
dužine	dužina	Ncfsg
10	10	Mdc
m	m	Y
;	;	Z

b	b	Npfsn
)	)	Z
pojedinačna	pojedinačan	Agpnpny
stabla	stablo	Ncnpn
s	sa	Si
promjerom	promjer	Ncmsi
krošnje	krošnja	Ncfsg
od	od	Sg
najmanje	malo	Rgs
4	4	Mdc
m	m	Y
;	;	Z

c	C	Npmsn
)	)	Z
drvored	drvored	Ncmsan
s	sa	Si
promjerom	promjer	Ncmsi
krošnje	krošnja	Ncfsg
od	od	Sg
najmanje	malo	Rgs
4	4	Mdc
m	m	Y
,	,	Z
pri	pri	Sl
čemu	što	Pi3n-l
prostor	prostor	Ncmsan
između	između	Sg
krošnji	krošnja	Ncfpg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
5	5	Mdc
m	m	Y
;	;	Z

d	d	Qr
)	)	Z
šumarak	šumarak	Ncmsan
(	(	Z
skupina	skupina	Ncfsn
stabala	stablo	Ncmpg
i	i	Cc
grmlja	grmlje	Ncnsg
)	)	Z
su	biti	Var3p
stabla	stablo	Ncnsg
spojena	spojiti	Appnpny
krošnjama	krošnja	Ncfpi
koja	koji	Pi-fsn
se	sebe	Px--sa
preklapaju	preklapati	Vmr3p
,	,	Z
najveće	velik	Agsfsgy
površine	površina	Ncfsg
0,2	0,2	Mdc
ha	ha	Ncmpg
i	i	Cc
najmanje	malo	Rgs
površine	površina	Ncfsg
100	100	Mdc
m2	m2	Xf
;	;	Z

e	e	I
)	)	Z
jezerca	jezerce	Ncnsg
(	(	Z
lokve	lokva	Ncfsg
)	)	Z
površine	površina	Ncfsg
do	do	Sg
najviše	mnogo	Rgs
0,1	0,1	Mdc
ha	ha	Ncmpg
;	;	Z

f	f	Qr
)	)	Z
jarak	jarak	Ncmsan
najveće	velik	Agsfsgy
širine	širina	Ncfsg
2	2	Mdc
m	m	Y
,	,	Z
uključujući	uključivati	Rr
zemljane	zemljani	Agpmpay
otvorene	otvoren	Agpmpay
vodotoke	vodotok	Ncmpa
za	za	Sa
navodnjavanje	navodnjavanje	Ncnsa
ili	ili	Cc
odvodnju	odvodnja	Ncfsa
,	,	Z

g	g	Npmsn
)	)	Z
tradicionalni	tradicionalan	Agpmsny
suhozid	suhozid	Ncmsn
najveće	velik	Agsfsgy
širine	širina	Ncfsg
2	2	Mdc
m	m	Y
unutar	unutar	Sg
parcele	parcela	Ncfsg
i	i	Cc
4	4	Mdc
m	m	Y
na	na	Sl
granici	granica	Ncfsl
parcele	parcela	Ncfsg
.	.	Z

(	(	Z
8	8	Mdc
)	)	Z
Rubni	rubni	Agpmpny
pojasevi	pojas	Ncmpn
duž	duž	Sg
vodotoka	vodotok	Ncmsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg
c.	c.	Sg
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
široki	širok	Agpmsny
su	biti	Var3p
najmanje	malo	Rgs
3	3	Mdc
m	m	Y
a	a	Cc
najviše	mnogo	Rgs
10	10	Mdc
m.	m.	Y
Na	na	Sl
njima	oni	Pp3-pl
je	biti	Var3s
moguće	moguć	Agpnsny
napasivanje	napasivanje	Ncnsn
ili	ili	Cc
košnja	košnja	Ncfsn
.	.	Z

(	(	Z
9	9	Mdc
)	)	Z
Pojasevi	pojas	Ncmpn
prihvatljivih	prihvatljiv	Agpmpgy
hektara	hektar	Ncmpg
uz	uz	Sa
rubove	rub	Ncmpa
šume	šuma	Ncfpa
bez	bez	Sg
proizvodnje	proizvodnja	Ncfsg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točke	točka	Ncfsg

