unatoč	unatoč	Sd
stranaka	stranka	Ncfpg
te	te	Cc
o	o	Sl
svim	sav	Agpnply
pitanjima	pitanje	Ncnpl
koja	koji	Pi-npn
su	biti	Var3p
predmet	predmet	Ncmsan
ovog	ovaj	Pd-msg
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
.	.	Z

Na	na	Sl
istom	isti	Agpnsly
ročištu	ročište	Ncnsl
tužitelj	tužitelj	Ncmsn
je	biti	Var3s
ostao	ostati	Vmp-sm
kod	kod	Sg
svih	sav	Agpmpgy
navoda	navod	Ncmpg
iznesenih	iznijeti	Appmpgy
u	u	Sl
tijeku	tijek	Ncmsl
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
,	,	Z
nakon	nakon	Sg
čega	što	Pi3n-g
je	biti	Var3s
izvršen	izvršiti	Appmsnn
uvid	uvid	Ncmsn
u	u	Sa
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
prileži	prileži	Sl
spisu	spis	Ncmsl
predmeta	predmet	Ncmsg
upravnoga	upravan	Agpmsgy
spora	spor	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sa
onu	onaj	Pd-fsa
koja	koji	Pi-fsn
prileži	priležiti	Vmr3s
spisu	spis	Ncmsl
predmeta	predmet	Ncmsg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
te	te	Cc
je	biti	Var3s
zaključena	zaključiti	Appfsny
rasprava	rasprava	Ncfsn
.	.	Z

Uvidom	uvid	Ncmsi
u	u	Sa
dokumentaciju	dokumentacija	Ncfsa
koja	koji	Pi-fsn
prileži	prileži	Sl
spisu	spis	Ncmsl
predmeta	predmet	Ncmsg
upravnog	upravan	Agpmsgy
spora	spor	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sa
onu	onaj	Pd-fsa
koja	koji	Pi-fsn
prileži	priležiti	Vmr3s
spisu	spis	Ncmsl
predmeta	predmet	Ncmsg
upravnog	upravan	Agpmsgy
postupka	postupak	Ncmsg
,	,	Z
,	,	Z
utvrđeno	utvrditi	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
tuženik	tuženik	Ncmsn
11.	11.	Mdo
srpnja	srpanj	Ncmsg
2013.	2013.	Mdo
zaprimio	zaprimiti	Vmp-sm
»	»	Z
zahtjev	zahtjev	Ncmsan
za	za	Sa
rješavanje	rješavanje	Ncnsa
spora	spor	Ncmsg
između	između	Sg
korisnika	korisnik	Ncmpg
i	i	Cc
operatera	operater	Ncmpg
«	«	Z
,	,	Z
a	a	Cc
kojem	koji	Pi-msl
zahtjevu	zahtjev	Ncmsl
prileži	prilež	Ncfsg
podnesak	podnesak	Ncmsn
tužitelja	tužitelj	Ncmsg
u	u	Sl
kojem	koji	Pi-msl
je	biti	Var3s
opisao	opisati	Vmp-sm
tri	tri	Mlc
slučaja	slučaj	Ncmsg
od	od	Sg
kojih	koji	Pi-mpg
se	sebe	Px--sa
samo	samo	Rgp
prvi	prvi	Mlomsn
slučaj	slučaj	Ncmsn
odnosi	odnositi	Vmr3s
na	na	Sa
situacije	situacija	Ncfpa
opisane	opisati	Appfpay
u	u	Sl
tužbi	tužba	Ncfsl
tužitelja	tužitelj	Ncmpg
zaprimljenoj	zaprimiti	Appfsly
kod	kod	Sg
ovog	ovaj	Pd-msg
Suda	sud	Ncmsg
31.	31.	Mdo
listopada	listopad	Ncmsg
2013.	2013.	Mdo

Utvrđeno	utvrditi	Appnsny
je	biti	Var3s
da	da	Cs
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
u	u	Sl
prvom	prvi	Mlomsl
slučaju	slučaj	Ncmsl
naveo	navesti	Vmp-sm
da	da	Cs
prijenos	prijenos	Ncmsn
dvaju	dva	Mlcm-g
brojeva	broj	Ncmpg
095/5240	095/5240	Mdc
-	-	Z
246	246	Mdc
i	i	Cc
095/5372	095/5372	Mdc
-	-	Z
609	609	Mdc
u	u	Sa
mrežu	mreža	Ncfsa
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
nije	biti	Var3s
realiziran	realizirati	Appmsnn
do	do	Sg
danas	danas	Rgp
,	,	Z
štoviše	štoviše	Rgp
da	da	Cs
je	biti	Var3s
njegov	njegov	Ps3msn
zahtjev	zahtjev	Ncmsn
za	za	Sa
prijenos	prijenos	Ncmsan
navedena	naveden	Agpmsgn
dva	dva	Mlc
broja	broj	Ncmsg
neopravdano	neopravdano	Rgp
odbijen	odbiti	Appmsnn
od	od	Sg
Tele2	Tele	Npmsg
unatoč	unatoč	Sd
činjenici	činjenica	Ncfsl
što	što	Pi3n-n
je	biti	Var3s
tužitelj	tužitelj	Ncmsn
poštivajući	poštivati	Rr
odredbe	odredba	Ncfpa
Pravilnika	pravilnik	Ncmpg
ostvario	ostvariti	Vmp-sm
prvi	prvi	Mlomsan
poziv	poziv	Ncmsan
,	,	Z
a	a	Cc
da	da	Cs
ga	on	Pp3msa
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
kao	kao	Cs
primatelj	primatelj	Ncmsn
broja	broj	Ncmsg
sukladno	sukladno	Rgp
članku	članak	Ncmsd
18.	18.	Mdo
stavku	stavak	Ncmsl
3.	3.	Mdo
Pravilnika	pravilnik	Ncmsg
nije	biti	Var3s
obavijestila	obavijestiti	Vmp-sf
o	o	Sl
razlozima	razlog	Ncmpl
odbijanja	odbijanje	Ncnsg
njegovog	njegov	Ps3msg
zahtjeva	zahtjev	Ncmsg
.	.	Z

Nastavno	nastavno	Rgp
,	,	Z
istaknuo	istaknuti	Vmp-sm
je	biti	Var3s
da	da	Cs
je	biti	Var3s
unatoč	unatoč	Sd
tome	taj	Pd-nsd
što	što	Pi3n-n
je	biti	Var3s
telefonskim	telefonski	Agpmsiy
putem	put	Ncmsi
kontaktirao	kontaktirati	Vmp-sm
službu	služba	Ncfsa
za	za	Sa
korisnike	korisnik	Ncmpa
zainteresirane	zainteresiran	Agpfpay
osobe	osoba	Ncfpa
ukazujući	ukazivati	Rr
im	oni	Pp3-pd
da	da	Cs
nije	biti	Var3s
bilo	biti	Vap-sn
razloga	razlog	Ncmpg
za	za	Sa
odbijanje	odbijanje	Ncnsa
prijenosa	prijenos	Ncmsg
broja	broj	Ncmsg
,	,	Z
budući	budući	Cs
da	da	Cs
su	biti	Var3p
spomenuta	spomenuti	Ncfpn
gore	zlo	Rgp
navedena	navesti	Appfsny
dva	dva	Ncfsn
broja	broj	Ncmsg
u	u	Sl
potpunosti	potpunost	Ncfsl
zadovoljavala	zadovoljavati	Vmp-sf
uvjete	uvjet	Ncmpa
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
iz	iz	Sg
Tele2	Tele	Npmsg
u	u	Sl
Multiplus	Multiplu	Npmsl
Mobile	Mobile	Npmsn
,	,	Z
jer	jer	Cs
su	biti	Var3p
ostvareni	ostvariti	Appmpny
prvi	prvi	Mlompn
pozivi	poziv	Ncmpn
,	,	Z
iz	iz	Sg
kojeg	koji	Pi-msg
razloga	razlog	Ncmsg
su	biti	Var3p
trebali	trebati	Vmp-pm
gore	zlo	Rgp
navedeni	naveden	Agpmpny
korisnički	korisnički	Agpmpny
brojevi	broj	Ncmpn
biti	biti	Van
prebačeni	prebaciti	Appmpny
u	u	Sa
status	status	Ncmsan
aktivan	aktivan	Ncmsan
na	na	Sl
centrali	centrala	Ncfsl
Tele2	Tele	Npmsl
,	,	Z
te	te	Cc
se	sebe	Px--sa
u	u	Sl
svezi	sveza	Ncfsl
istih	isti	Agpmpgy
nije	biti	Var3s
mogla	moći	Vmp-sf
primijeniti	primijeniti	Vmn
nijedna	nijedan	Agpfsny
situacija	situacija	Ncfsn
opisana	opisati	Appfsny
u	u	Sl
članku	članak	Ncmsl
18.	18.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
a	a	Cc
–	–	Z
k	k	Sd
Pravilnika	pravilnik	Ncmsg
,	,	Z
zainteresirana	zainteresiran	Agpfsny
osoba	osoba	Ncfsn
je	biti	Var3s
odbila	odbiti	Vmp-sf
poslati	poslati	Vmn
prigovor	prigovor	Ncmsan
Tele2	Tele	Npmsg
te	te	Cc
zatražiti	zatražiti	Vmn
detaljnije	detaljan	Agcnsay
obrazloženje	obrazloženje	Ncnsa
zbog	zbog	Sg
odbijanja	odbijanje	Ncnsg
prijenosa	prijenos	Ncmsg
brojeva	broj	Ncmpg
.	.	Z

U	u	Sl
tom	taj	Pd-msl
istom	isti	Agpmsly
podnesku	podnesak	Ncmsl
tužitelj	tužitelj	Ncmsn
je	biti	Var3s
zatražio	zatražiti	Vmp-sm
da	da	Cs
mu	on	Pp3msd
operator	operator	Ncmsn
nadoknadi	nadoknaditi	Vmr3s
štetu	šteta	Ncfsa
zbog	zbog	Sg
kašnjenja	kašnjenje	Ncnsg
prijenosa	prijenos	Ncmsg
navedenih	naveden	Agpmpgy
dvaju	dva	Ncmpg
brojeva	broj	Ncmpg
,	,	Z
kao	kao	Cs
i	i	Cc
da	da	Cs
mu	on	Pp3msd
nadoknadi	nadoknaditi	Vmr3s
štetu	šteta	Ncfsa
zbog	zbog	Sg
nepravovremenog	nepravovremen	Agpmsgy
prijenosa	prijenos	Ncmsg
preostala	preostati	Vmp-sf
tri	tri	Mlc
broja	broj	Ncmsg
u	u	Sa
mrežu	mreža	Ncfsa
zainteresirane	zainteresiran	Agpfsgy
osobe	osoba	Ncfsg
koji	koji	Pi-msn
da	da	Cs
su	biti	Var3p
izvršeni	izvršiti	Appmpny
7.	7.	Mdo
svibnja	svibanj	Ncmsg
2013.	2013.	Mdo
,	,	Z
umjesto	umjesto	Sg
3.	3.	Mdo
svibnja	svibanj	Ncmsg
2013.	2013.	Mdo
sve	sav	Agpnsny
zbog	zbog	Sg
greške	greška	Ncfsg
zaposlenika	zaposlenik	Ncmpg
Konzuma	konzum	Ncmsg
koji	koji	Pi-msn
da	da	Cs
je	biti	Var3s
samovoljno	samovoljno	Rgp
odredio	odrediti	Vmp-sm
u	u	Sl
zahtjevu	zahtjev	Ncmsl
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
peti	peti	Mlomsan
dan	dan	Ncmsan
za	za	Sa
prijenos	prijenos	Ncmsan
brojeva	broj	Ncmpg
,	,	Z
a	a	Cc
da	da	Cs
tužitelj	tužitelj	Ncmsn
prilikom	prilikom	Sg
potpisivanja	potpisivanje	Ncnsg
zahtjeva	zahtjev	Ncmpg
za	za	Sa
prijenos	prijenos	Ncmsan
brojeva	broj	Ncmpg
nije	biti	Var3s
tražio	tražiti	Vmp-sm
produženje	produženje	Ncnsa
roka	rok	Ncmsg
prijenosa	prijenos	Ncmsg
.	.	Z

U	u	Sl
drugom	drugi	Mlomsl
i	i	Cc
trećem	treći	Agpmsly
opisanom	opisati	Agpmsly
slučaju	slučaj	Ncmsl
tužitelj	tužitelj	Ncmsn
je	biti	Var3s
opisao	opisati	Vmp-sm
situacije	situacija	Ncfpa
vezane	vezan	Agpmpay
uz	uz	Sa
zahtjeve	zahtjev	Ncmpa
za	za	Sa
prijenos	prijenos	Ncmsan
broja	broj	Ncmsg
iz	iz	Sg
VIP-a	VIP	Npmsg
u	u	Sl
Multiplus	Multiplu	Npmsl
Mobile	Mobile	Npmsn
koje	koji	Pi-mpa

