2,17	2,17	Mdc
urina	urin	Ncmsg
(	(	Z
tri	tri	Mlc
uzorka	uzorak	Ncmsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmsg
citologa	citolog	Ncmsg
2,71	2,71	Mdc
596,20	596,20	Mdc
LC014	LC014	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
sputuma	sputum	Ncmsg
(	(	Z
tri	tri	Mlc
uzorka	uzorak	Ncmsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmsg
citologa	citolog	Ncmsg
2,49	2,49	Mdc
547,80	547,80	Mdc
LC015	LC015	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
direktnog	direktan	Agpmsgy
uzorka	uzorak	Ncmsg
endometrija	endometrij	Ncmsg
(	(	Z
aspirat	aspirat	Ncmsn
,	,	Z
četkica	četkica	Ncfsn
i	i	Cc
sl.	sl.	Y
)	)	Z
Uključuje	uključivati	Vmr3s
standardnu	standardan	Agpfsay
pripreme	priprema	Ncfsg
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopski	mikroskopski	Agpmsayn
pregled	pregled	Ncmsan
citotehnologa	citotehnolog	Ncmsg
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmpg
specijaliste	specijalist	Ncmpa
citologa	citologa	Ncfsg
–	–	Z
veza	veza	Ncfpg
na	na	Sa
šifru	šifra	Ncfsa
DTP-a	DTP	Npmsg
LC019	LC019	Mdc
1,97	1,97	Mdc
433,40	433,40	Mdc
LC016	LC016	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
direktnog	direktan	Agpmsgy
uzorka	uzorak	Ncmsg
endometrija	endometrij	Ncmsg
(	(	Z
aspirat	aspirat	Ncmsn
,	,	Z
četkica	četkica	Ncfsn
i	i	Cc
sl.	sl.	Y
)	)	Z
+	+	Z
obrada	obrada	Ncfsn
uzorka	uzorak	Ncmsg
u	u	Sl
Cytolitu	Cytolit	Npmsl
Uključuje	uključivati	Vmr3s
standardnu	standardan	Agpfsay
pripremu	priprema	Ncfsa
+	+	Z
obradu	obrada	Ncfsa
uzorka	uzorak	Ncmsg
u	u	Sl
Cytolitu	Cytolit	Npmsl
,	,	Z
mikroskopski	mikroskopski	Agpmsayn
pregled	pregled	Ncmsan
citotehnologa	citotehnolog	Ncmsg
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmpg
specijaliste	specijalist	Ncmpa
citologa	citologa	Ncfsg
–	–	Z
veza	veza	Ncfpg
na	na	Sa
šifru	šifra	Ncfsa
DTP-a	DTP	Npmsg
LC019	LC019	Mdc
2,73	2,73	Mdc
600,60	600,60	Mdc
LC017	LC017	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
obriska	obrisak	Ncmsg
intrauterinog	intrauterini	Agpnsgy
sredstva	sredstvo	Ncnsg
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
liječnika	liječnik	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
1,29	1,29	Mdc
283,80	283,80	Mdc
LC018	LC018	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
svakog	svaki	Pi-msg
sljedećeg	sljedeći	Agpmsgy
uzorka	uzorak	Ncmsg
(	(	Z
više	mnogo	Rgc
od	od	Sg
tri	tri	Mlc
uzorka	uzorak	Ncmsg
jedne	jedan	Agpfsgy
lezije	lezija	Ncfsg
)	)	Z
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
liječnika	liječnik	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
.	.	Z

Odnosi	odnositi	Vmr3s
se	sebe	Px--sa
na	na	Sa
dodatne	dodatan	Agpmpay
citološke	citološki	Agpmpay
uzorke	uzorak	Ncmpa
tekućih	tekući	Agpmpgy
uzoraka	uzorak	Ncmpg
,	,	Z
urina	urin	Ncmsg
,	,	Z
sekreta	sekret	Ncmsg
dojke	dojka	Ncfsg
,	,	Z
sputuma	sputum	Ncmsg
i	i	Cc
sl.	sl.	Y
0,71	0,71	Mdc
156,20	156,20	Mdc
LC019	LC019	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
briseva	bris	Ncmpg
sluznice	sluznica	Ncfsg
/	/	Z
skarifikata	skarifikat	Ncmsg
kože	koža	Ncfsg
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmsg
citologa	citolog	Ncmsg
1,81	1,81	Mdc
398,20	398,20	Mdc
LC020	LC020	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
briseva	bris	Ncmpg
tijekom	tijekom	Sg
endoskopije	endoskopija	Ncfsg
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
doktora	doktor	Ncmsg
specijalista	specijalist	Ncmpg
citologa	citologa	Ncfsg
–	–	Z
veza	veza	Ncfpg
na	na	Sa
šifru	šifra	Ncfsa
DTP-a	DTP	Npmsg
LC019	LC019	Mdc
2,37	2,37	Mdc
521,40	521,40	Mdc
LC021	LC021	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
obriska	obrisak	Ncmsg
vulve	vulva	Ncfsg
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopski	mikroskopski	Agpmsayn
pregled	pregled	Ncmsan
citotehnologa	citotehnolog	Ncmsg
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
i	i	Cc
nalaz	nalaz	Ncmsan
doktora	doktor	Ncmsg
spec	spei	Agpfsgy
citologa	citologa	Ncfsg
–	–	Z
veza	veza	Ncfpg
na	na	Sa
šifru	šifra	Ncfsa
DTP-a	DTP	Npmsg
LC023	LC023	Mdc
1,75	1,75	Mdc
385,00	385,00	Mdc
LC022	LC022	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
vrata	vrat	Ncmsg
maternice	maternica	Ncfsg
–	–	Z
Papa	papa	Ncmsn
test	test	Ncmsan
u	u	Sl
probiru	probir	Ncmsl
,	,	Z
negativan	negativan	Agpmsnn
na	na	Sa
intraepitelnu	intraepitelan	Agpfsay
ili	ili	Cc
invazivnu	invazivan	Agpfsay
leziju	lezija	Ncfsa
Uključuje	uključivati	Vmr3s
pripremu	priprema	Ncfsa
,	,	Z
bojenje	bojenje	Ncnsa
,	,	Z
mikroskopsku	mikroskopski	Agpfsay
analizu	analiza	Ncfsa
citotehnologa	citotehnolog	Ncmsg
i	i	Cc
superviziju	supervizija	Ncfsa
doktora	doktor	Ncmpg
specijalista	specijalist	Ncmpg
citologa	citolog	Ncmsg
0,91	0,91	Mdc
200,20	200,20	Mdc
LC023	LC023	Mdc
Citološka	citološki	Agpfsny
analiza	analiza	Ncfsn
vrata	vrat	Ncmsg
maternice	maternica	Ncfsg
–	–	Z
Papa	papa	Ncmsn

