kalcij-klorid	kalcij-klorid	Ncmsn
praš	prati	Vmr2s
.	.	Z
za	za	Sa
oral	oral	Ncmsan
.	.	Z
susp	susp	Rgp
.	.	Z
1	1	Mdc
x100	x100	Xf
ml	ml	Xf
(	(	Z
250	250	Mdc
mg	mg	Y
/	/	Z
5	5	Mdc
ml	ml	Y
)	)	Z
15,98	15,98	Mdc
16,78	16,78	Mdc
15,98	15,98	Mdc
16,78	16,78	Mdc
RRJ05	RRJ05	X
J01DH02	J01DH02	X
065	065	Mdc
DS	DS	Y
meropenemNJ101	meropenemNJ101	Mdc
2	2	Mdc
g	g	Y
228,24	228,24	Mdc
239,65	239,65	Mdc
P	P	Y
Hospira	Hospir	Npmsg
UK	U	Npmsg
Limited	Limite	Npmsg
Hospira	Hospir	Npmsg
UK	U	Npmsg
Meropenem	Meropene	Npmsg
Hospira	Hospir	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
ili	ili	Cc
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Ncmsan
.	.	Z
10	10	Mdc
x500	x500	Mdc
mg	mg	Ncmpg
57,06	57,06	Mdc
59,91	59,91	Mdc
570,60	570,60	Mdc
599,13	599,13	Mdc
J01DH02	J01DH02	Mdc
066	066	Mdc
DS	DS	Y
meropenemNJ101	meropenemNJ101	Mdc
2	2	Mdc
g	g	Y
208,32	208,32	Mdc
218,74	218,74	Mdc
P	P	Y
Hospira	Hospir	Npmsg
UK	U	Npmsg
Limited	Limite	Npmsg
Hospira	Hospir	Npmsg
UK	U	Npmsg
Meropenem	Meropene	Npmsg
Hospira	Hospir	Npmsg
praš	prati	Vmr2s
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inj	inj	Ncmsan
.	.	Z
ili	ili	Cc
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	boč	Ncmsan
.	.	Z
stakl	stakl	Ncmsan
.	.	Z
10	10	Mdc
x1000	x1000	Xf
mg	mg	Xf
104,16	104,16	Mdc
109,37	109,37	Mdc
1.041,60	1.041,60	Mdc
1.093,68	1.093,68	Mdc
J01DH51	J01DH51	Mdc
071	071	Mdc
DS	DS	Y
imipenem	imipeac	Ncmsi
+	+	Z
cilastatinNJ101	cilastatinNJ101	Mdc
2	2	Mdc
g	g	Y
124,00	124,00	Mdc
130,20	130,20	Mdc
P	P	Y
Hospira	Hospir	Npmsg
UK	U	Npmsg
Limited	Limite	Npmsg
Hospira	Hospir	Npmsg
UK	U	Npmsg
Imipenem	Imipen	Npmsi
/	/	Z
Cilastatin	Cilastati	Npmsay
Hospira	Hospir	Npmsay
praš	prati	Vmr2s
.	.	Z
za	za	Sa
otop	otop	Ncmsan
.	.	Z
za	za	Sa
inf	inf	Ncmsan
.	.	Z
,	,	Z
boč	bo	Mlompg
.	.	Z
5	5	Mdc
x	X	X
(	(	Z
500	500	Mdc
mg	mg	Y
+500	+500	Mdc
mg	mg	Y
)	)	Z
31,00	31,00	Mdc
32,55	32,55	Mdc
155,00	155,00	Mdc
162,75	162,75	Mdc
J01FA09	J01FA09	X
131	131	Mdc
klaritromicin	klaritromicin	Rgp
0,5	0,5	Mdc
g	g	Y
3,49	3,49	Mdc
3,66	3,66	Mdc
O	o	Sl
KRKA-FARMA	krka-far	Ncfpl
d.o.o.	d.o.	Ncfpl

Krka	Krka	Npfsn
d.	d.	Y
d.	d.	Y
Fromilid	Fromilid	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
14	14	Mdc
x250	x250	Xf
mg	mg	Xf
1,74	1,74	Mdc
1,83	1,83	Mdc
24,41	24,41	Mdc
25,63	25,63	Mdc
RRJ11	RRJ11	X
J01FA09	J01FA09	X
132	132	Mdc
klaritromicin	klaritromicin	Rgp
0,5	0,5	Mdc
g	g	Y
3,60	3,60	Mdc
3,78	3,78	Mdc
O	o	Sl
KRKA-FARMA	krka-far	Ncfpl
d.o.o.	d.o.	Ncfpl

Krka	Krka	Npfsn
d.	d.	Y
d.	d.	Y
Fromilid	Fromilid	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsan
obl	obl	Ncmsan
.	.	Z
14	14	Mdc
x500	x500	Xf
mg	mg	Xf
3,60	3,60	Mdc
3,78	3,78	Mdc
50,34	50,34	Mdc
52,86	52,86	Mdc
RRJ11	RRJ11	X
J01FA10	J01FA10	X
111	111	Mdc
azitromicin	azitromicin	Ncmsan
0,3	0,3	Mdc
g	g	Y
2,96	2,96	Mdc
3,11	3,11	Mdc
O	o	Sl
Belupo	belupo	Agpfply
d.		Ncfpl
d.	d.	Y
Belupo	Belupo	Npmsn
Azitromicin	Azitromicin	Npmsn
Belupo	Belupo	Npmsn
tbl		Agsmsny
.	.	Z
film	film	Ncmsan
obl	obl	Ncfpg
.	.	Z
6	6	Mdc
x250	x250	Xf
mg	mg	Xf
2,47	2,47	Mdc
2,59	2,59	Mdc
14,82	14,82	Mdc
15,56	15,56	Mdc
RRJ12	RRJ12	X
J01FA10	J01FA10	X
112	112	Mdc
azitromicin	azitromicin	Ncmsan
0,3	0,3	Mdc
g	g	Y
2,85	2,85	Mdc
2,99	2,99	Mdc
O	o	Sl
Belupo	belupo	Agpfply
d.		Ncfpl
d.	d.	Y
Belupo	Belupo	Npmsn
Azitromicin	Azitromicin	Npmsn
Belupo	Belupo	Npmsn
tbl		Agsmsny
.	.	Z
film	film	Ncmsan
obl	obl	Ncfpg
.	.	Z
3	3	Mdc
x500	x500	Xf
mg	mg	Xf
4,75	4,75	Mdc
4,99	4,99	Mdc
14,25	14,25	Mdc
14,96	14,96	Mdc
RRJ12	RRJ12	X
J01FA10	J01FA10	X
125	125	Mdc
azitromicin	azitromicin	Ncmsan
0,3	0,3	Mdc
g	g	Y
2,81	2,81	Mdc
2,95	2,95	Mdc
O	o	Sa
Jadran	Jadran	Npmsan
–	–	Z
Galenski	galenski	Agpmsny
Laboratorij	laboratorij	Ncmsn
d.	d.	Y
d.	d.	Y
JGL	JGL	Npmsn
d.	d.	Y
d.	d.	Y
Makromicin	Makromicin	Npmsn
tbl	tti	Vmr3p
.	.	Z
film	film	Ncmsan
obl	obl	Ncfpg
.	.	Z
3	3	Mdc
x500	x500	Xf
mg	mg	Xf
4,68	4,68	Mdc
4,91	4,91	Mdc
14,04	14,04	Mdc
14,74	14,74	Mdc
RRJ12	RRJ12	X
J01FA10	J01FA10	X
131	131	Mdc
azitromicin	azitromicin	Ncmsan
0,3	0,3	Mdc
g	g	Y
2,85	2,85	Mdc
2,99	2,99	Mdc
O	o	Sl
PLIVA	plivati	Vmr3s
HRVATSKA	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Pliva	plivati	Vmr3s
Hrvatska	Hrvatska	Npfsn
d.o.o.	d.o.o.	Y

Azimed	Azimed	Sg
caps	caps	Ncfpg
.	.	Z
6	6	Mdc
x250	x250	Xf
mg	mg	Xf
2,38	2,38	Mdc
2,49	2,49	Mdc
14,25	14,25	Mdc
14,96	14,96	Mdc
RRJ12	RRJ12	X
J01FA10	J01FA10	X

