suđenju	suđenje	Ncnsd
stjecanja	stjecanje	Ncnsg
vlasništva	vlasništvo	Ncnsg
tzv.	tzi	Agpnsgy
neprocijenjenog	neprocijenjen	Agpnsgy
zemljišta	zemljište	Ncnsg
u	u	Sl
turizmu	turizam	Ncmsl
.	.	Z

(...)	(...)	Ncfsn

U	u	Sl
praksi	praksa	Ncfsl
je	biti	Var3s
postalo	postati	Vmp-sn
nesporno	nesporan	Agpnsny
da	da	Cs
su	biti	Var3p
tzv.	tzv.	Y
neprocijenjena	neprocijenjen	Agpnpny
zemljišta	zemljište	Ncnpn
nedvojbeno	nedvojbeno	Rgp
predstavljala	predstavljati	Vmp-sf
dio	dio	Ncmsan
tehnoloških	tehnološki	Agpfpgy
cjelina	cjelina	Ncfpg
ugostiteljsko	ugostiteljsko	Rgp
–	–	Z
turističkih	turistički	Agpmpgy
objekata	objekt	Ncmpg
(	(	Z
hotela	hotel	Ncmpg
,	,	Z
kampova	kamp	Ncmpg
i	i	Cc
dr.	dr.	Y
)	)	Z
,	,	Z
čije	čiji	Pi-nsn
bi	biti	Vaa3s
odvajanje	odvajanje	Ncnsa
objekta	objekt	Ncmsg
od	od	Sg
zemljišta	zemljište	Ncnsg
značilo	značiti	Vmp-sn
nemogućnost	nemogućnost	Ncfsa
daljnjeg	daljnji	Agpmsgy
opstanka	opstanak	Ncmsg
i	i	Cc
rada	rad	Ncmsg
tih	taj	Pd-fpg
cjelina	cjelina	Ncfpg
.	.	Z

Zbog	zbog	Sg
navedenoga	naveden	Agpmsgy
,	,	Z
jedna	jedan	Mlcfsn
frakcija	frakcija	Ncfsn
u	u	Sl
pravnoj	pravni	Agpfsly
teoriji	teorija	Ncfsl
i	i	Cc
pravosuđu	pravosuđe	Ncnsl
je	biti	Var3s
zauzela	zauzeti	Vmp-sf
stav	stav	Ncmsan
kako	kako	Cs
su	biti	Var3p
trgovačka	trgovački	Agpnpny
društva	društvo	Ncnpn
na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
postala	postati	Vmp-sf
vlasnici	vlasnik	Ncmpn
takovih	takovih	Sg
neprocijenjenih	neprocijenjen	Agpfpgy
turističkih	turistički	Agpfpgy
cjelina	cjelina	Ncfpg
,	,	Z
budući	budući	Cs
da	da	Cs
se	sebe	Px--sa
radi	raditi	Vmr3s
o	o	Sl
zemljištima	zemljište	Ncnpl
koja	koji	Pi-npn
su	biti	Var3p
tehnološki	tehnološki	Rgp
nedjeljiva	nedjeljiv	Agpfsny
,	,	Z
u	u	Sl
smislu	smisao	Ncmsl
da	da	Cs
su	biti	Var3p
ugostiteljsko	ugostiteljsko	Rgp
turistički	turistički	Agpmpny
objekti	objekt	Ncmpn
(	(	Z
hoteli	hotel	Ncmpn
...	...	Z
)	)	Z
procijenjeni	procijeniti	Appmpny
u	u	Sa
temeljni	temeljan	Agpmsayn
kapital	kapital	Ncmsan
te	te	Cc
time	taj	Pd-nsi
ostali	ostali	Agpmpny
su	biti	Var3p
vlasništvo	vlasništvo	Ncnsa
trgovačkog	trgovački	Agpnsgy
društva	društvo	Ncnsg
nastalih	nastao	Agpmpgy
pretvorbom	pretvorba	Ncfsi
,	,	Z
iz	iz	Sg
kojeg	koji	Pi-msg
razloga	razlog	Ncmsg
i	i	Cc
zemljišta	zemljište	Ncnsg
na	na	Sl
kojima	koji	Pi-npl
su	biti	Var3p
objekti	objekt	Ncmpn
izgrađeni	izgraditi	Appmpny
moraju	morati	Vmr3p
dijeliti	dijeliti	Vmn
njihovu	njihov	Ps3fsa
pravnu	pravni	Agpfsay
i	i	Cc
vlasničku	vlasnički	Agpfsay
sudbinu	sudbina	Ncfsa
,	,	Z
kako	kako	Cs
je	biti	Var3s
to	taj	Pd-nsn
određeno	odrediti	Appnsny
čl.	čl.	Y
366	366	Mdc
i	i	Cc
395	395	Mdc
b	b	Y
Zakona	Zakon	Npmsg
o	o	Sl
vlasništvu	vlasništvo	Ncnsl
,	,	Z
odnosno	odnosno	Rgp
pravilima	pravilo	Ncnpl
za	za	Sa
uspostavljanje	uspostavljanje	Ncnsa
načela	načelo	Ncnsg
jedinstva	jedinstvo	Ncnsg
nekretnine	nekretnina	Ncfsg
prilikom	prilikom	Sg
pretvaranja	pretvaranje	Ncnsg
društvenog	društven	Agpnsgy
prava	pravo	Ncnsg
vlasništva	vlasništvo	Ncnsg
u	u	Sa
vlasništvo	vlasništvo	Ncnsa
,	,	Z
u	u	Sl
kom	koji	Pi-msl
je	biti	Var3s
smislu	smisao	Ncmsl
vlasništvo	vlasništvo	Ncnsn
tzv.	tzv.	Y
neprocijenjenih	neprocijenjen	Agpnpgy
turističkih	turistički	Agpnpgy
zemljišta	zemljište	Ncnpg
stečeno	steći	Appnsny
temeljem	temelj	Sg
samog	sam	Agpmsgy
zakona	zakon	Ncmsg
a	a	Cc
upis	upis	Ncmsan
u	u	Sa
zemljišne	zemljišni	Agpfpay
knjige	knjiga	Ncfpa
je	biti	Var3s
samo	samo	Rgp
deklaratorne	deklaratoran	Agpfsgy
naravi	narav	Ncfsg
.	.	Z

Navedenom	naveden	Agpmsly
se	sebe	Px--sa
stavu	stav	Ncmsl
,	,	Z
prilikom	prilikom	Sg
donošenja	donošenje	Ncnsg
pobijanog	pobijati	Agpnsgy
rješenja	rješenje	Ncnsg
,	,	Z
priklonio	prikloniti	Vmp-sm
i	i	Cc
Podnositelj	podnositelj	Ncmsn
.	.	Z
«	«	Z

11.1.	11.1.	Mdo

Prigovori	prigovor	Ncmpn
iz	iz	Sg
ustavne	ustavan	Agpfsgy
tužbe	tužba	Ncfsg
podnositelja	podnositelj	Ncmsg
Pere	Pera	Npmsg
Vićana	Vićan	Npmsg
:	:	Z

»	»	Z
1.	1.	Mdo
U	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
navod	navod	Ncmsan
podnositelja	podnositelj	Ncmpg
da	da	Cs
se	sebe	Px--sa
u	u	Sa
inkriminirano	inkriminiran	Agpnsay
vrijeme	vrijeme	Ncnsa
kazneno	kazneni	Agpnsny
djelo	djelo	Ncnsn
iz	iz	Sg
čl.	čl.	Y
337.	337.	Mdo

KZ-a	KZ	Npmsg
moglo	moći	Vmp-sn
počiniti	počiniti	Vmn
samo	samo	Rgp
ako	ako	Cs
je	biti	Var3s
protupravna	protupravan	Agpfsny
imovinska	imovinski	Agpfsny
korist	korist	Ncfsn
bila	biti	Vap-sf
pribavljena	pribaviti	Appfsny
fizičkoj	fizički	Agpfsdy
,	,	Z
a	a	Cc
ne	ne	Qz
i	i	Cc
pravnoj	pravni	Agpfsly
osobi	osoba	Ncfsl
...	...	Z

(...)	(...)	Ncfsn

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
RH	RH	Npfsg
zaključuje	zaključivati	Vmr3s
da	da	Cs
navedena	navesti	Appfsny
izmjena	izmjena	Ncfsn
kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
predstavlja	predstavljati	Vmr3s
izvornu	izvoran	Agpfsay
volju	volja	Ncfsa
zakonodavstva	zakonodavstvo	Ncnsg
,	,	Z
dakle	dakle	Cc
volju	volja	Ncfsa
koje	koji	Pi-fpa
je	biti	Var3s
postojala	postojati	Vmp-sf
i	i	Qo
u	u	Sl
trenutku	trenutak	Ncmsl
donošenja	donošenje	Ncnsg
kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
koji	koji	Pi-msn
je	biti	Var3s
bio	biti	Vap-sm
na	na	Sl
snazi	snaga	Ncfsl
tempore	tempora	Ncfsg
criminis	criminis	Pp2-pa
...	...	Z

Ovakvo	ovakav	Pd-nsa
stajalište	stajalište	Ncnsa
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
RH	RH	Npfsg
je	biti	Var3s
potpuno	potpuno	Rgp
neosnovano	neosnovan	Agpnsny
.	.	Z

Prije	prije	Sg
svega	sav	Agpnsgy
riječ	riječ	Ncfsn
‘	‘	Z
drugom	drugi	Mlofsi
’	’	Z
nije	biti	Var3s
zamijenjena	zamijeniti	Appfsny
nego	nego	Cc
dopunjena	dopuniti	Appfsny
riječima	riječ	Ncfpi
‘	‘	Z
drugoj	drugi	Mlofsl
pravnoj	pravni	Agpfsly
ili	ili	Cc
fizičkoj	fizički	Agpfsly
osobi	osoba	Ncfsl
’	’	Z
što	što	Pi3n-n
ukazuje	ukazivati	Vmr3s
na	na	Sa
volju	volja	Ncfsa
zakonodavca	zakonodavac	Ncmsg
da	da	Cs
proširi	proširiti	Vmr3s
zonu	zona	Ncfsa
kažnjivosti	kažnjivost	Ncfsg
,	,	Z
(...)	(...)	Agpmsnn
toga	taj	Pd-nsg
je	biti	Var3s
bio	biti	Vap-sm
svjestan	svjestan	Agpmsnn
i	i	Cc
sam	sam	Agpmsnn
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
RH	RH	Npfsg
koji	koji	Pi-msn
je	biti	Var3s
u	u	Sl
dosadašnjoj	dosadašnji	Agpfsly
praksi	praksa	Ncfsl
davao	davati	Vmp-sm
potpuno	potpun	Agpnsay
drugačije	drugačiji	Agpnsay
tumačenje	tumačenje	Ncnsa
ovog	ovaj	Pd-msg
zakonskog	zakonski	Agpmsgy
propisa	propis	Ncmsg
...	...	Z
(	(	Z
pravno	pravni	Agpnsny
stajalište	stajalište	Ncnsn
Su-252	Su-252	Pi-nsn
/	/	Z
IV	IV	Mrc
od	od	Sg
02.11.2000.	02.11.2000.	Mds
g.	g.	Y
)	)	Z
(...)	(...)	Agpmsny
Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
RH	RH	Npmsn
je	biti	Var3s
u	u	Sl
razdoblju	razdoblje	Ncnsl
od	od	Sg
donošenja	donošenje	Ncnsg
navedenog	naveden	Agpnsgy
pravnog	pravni	Agpnsgy
shvaćanja	shvaćanje	Ncnsg
(	(	Z
konca	konac	Ncmsg
2000.	2000.	Mdo
god.	god.	Y
)	)	Z
pa	pa	Cc
sve	sve	Qo
do	do	Sg
donošenja	donošenje	Ncnsg
Zakona	zakon	Ncmsg
o	o	Sl
izmjenama	izmjena	Ncfpl
i	i	Cc
dopunama	dopuna	Ncfpl
Kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
(	(	Z
2006.	2006.	Mdo
god.	god.	Y
)	)	Z
pa	pa	Cc
i	i	Qo
kasnije	kasno	Rgc
donio	donijeti	Vmp-sm
niz	niz	Ncmsan
presuda	presuda	Ncfpg
u	u	Sl
skladu	sklad	Ncmsl
s	sa	Si
tako	tako	Rgp
izraženim	izraziti	Appnsiy
pravnim	pravni	Agpnsiy
shvaćanjem	shvaćanje	Ncnsi
.	.	Z

(...)	(...)	Ncfsn

Naime	naime	Qo
,	,	Z
postavlja	postavljati	Vmr3s
se	sebe	Px--sa
logično	logičan	Agpnsny
pitanje	pitanje	Ncnsn
zbog	zbog	Sg
čega	što	Pi3n-g
bi	biti	Vaa3s
se	sebe	Px--sa
zakonodavac	zakonodavac	Ncmsn
upuštao	upuštati	Vmp-sm
u	u	Sa
izmjenu	izmjena	Ncfsa
Kaznenog	kazneni	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z
ako	ako	Cs
je	biti	Var3s
u	u	Sl
njemu	on	Pp3msl
već	već	Rgp
prethodno	prethodno	Rgp
sve	sav	Agpnsny
riješeno	riješen	Agpnsny
i	i	Cc
jasno	jasan	Agpnsny
...	...	Z

Vrhovni	vrhovni	Agpmsny
sud	sud	Ncmsn
RH	RH	Npfsg
uopće	uopće	Rgp
nije	biti	Var3s
dao	dati	Vmp-sm
razumno	razuman	Agpnsay
obrazloženje	obrazloženje	Ncnsa
zbog	zbog	Sg
čega	što	Pi3n-g
je	biti	Var3s
imao	imati	Vmp-sm
potpuno	potpuno	Rgp
neujednačene	neujednačen	Agpmpay
kriterije	kriterij	Ncmpa
suđenja	suđenje	Ncnsg
i	i	Cc
zauzimao	zauzimati	Vmp-sm
potpuno	potpuno	Rgp
divergentne	divergentan	Agpmpay
pravne	pravni	Agpmpay
stavove	stav	Ncmpa
što	što	Pi3n-n
je	biti	Var3s
rezultiralo	rezultirati	Vmp-sn
potpuno	potpuno	Rgp
različitim	različit	Agpfpiy
odlukama	odluka	Ncfpi
u	u	Sl
jednakim	jednak	Agpfply
pravnim	pravni	Agpfply
situacijama	situacija	Ncfpl
.	.	Z

Ovakva	ovakav	Pd-fsn
nedosljedna	nedosljedan	Agpfsny
praksa	praksa	Ncfsn
Vrhovnog	vrhovni	Agpmsgy
suda	sud	Ncmsg
RH	RH	Npfsg
dovela	dovesti	Vmp-sf
je	biti	Var3s
do	do	Sg
stvaranja	stvaranje	Ncnsg
trajne	trajan	Agpfsgy
neizvjesnosti	neizvjesnost	Ncfsg
i	i	Cc
pravne	pravni	Agpfsgy
nesigurnosti	nesigurnost	Ncfsg
čime	što	Pi3n-i
je	biti	Var3s
podnositelju	podnositelj	Ncmsl
uskraćeno	uskratiti	Appnsny
pošteno	pošten	Agpnsny
suđenje	suđenje	Ncnsn
pred	pred	Si
tim	taj	Pd-msi
sudom	sud	Ncmsi
.	.	Z

(...)	(...)	Ncfsn

Također	također	Rgp
su	biti	Var3p
prekršene	prekršiti	Appfpny
odredbe	odredba	Ncfpn
čl.	čl.	Y
7.	7.	Mdo
Europske	europski	Agpfsgy
konvencije	konvencija	Ncfsg
o	o	Sl
ljudskim	ljudski	Agpnply
pravima	pravo	Ncnpl
i	i	Cc
već	već	Rgp
navedenog	naveden	Agpmsgy
čl.	čl.	Y
31.	31.	Mdo
st.	sta	Ncfsg
1.	1.	Mdo
Ustava	ustav	Ncmsg
RH	RH	Npfsg
jer	jer	Cs
su	biti	Var3p
u	u	Sl
odnosu	odnos	Ncmsl
na	na	Sa
podnositelja	podnositelj	Ncmsay

