CAF-a	CAF	Npmsg
i	i	Cc
unutarnje	unutarnji	Agpfsgy
revizije	revizija	Ncfsg
uz	uz	Sa
koordinaciju	koordinacija	Ncfsa
i	i	Cc
harmonizaciju	harmonizacija	Ncfsa
koje	koji	Pi-nsn
provodi	provoditi	Vmr3s
Ministarstvo	ministarstvo	Ncnsn
financija	financije	Ncfpg
.	.	Z

Ovim	ovaj	Pd-msi
sustavom	sustav	Ncmsi
obuhvaćeni	obuhvatiti	Appmpny
su	biti	Var3p
kontrolno	kontrolan	Agpnsay
okruženje	okruženje	Ncnsa
,	,	Z
upravljanje	upravljanje	Ncnsn
rizicima	rizik	Ncmpi
,	,	Z
kontrolne	kontrolan	Agpfpny
aktivnosti	aktivnost	Ncfpn
,	,	Z
informacije	informacija	Ncfpa
i	i	Cc
praćenje	praćenje	Ncnsa
i	i	Cc
procjena	procjena	Ncfsn
sustava	sustav	Ncmsg
.	.	Z

Nastavno	nastavno	Rgp
na	na	Sa
zadnji	zadnji	Agpmsayn
izvještaj	izvještaj	Ncmsan
o	o	Sl
sustavu	sustav	Ncmsl
unutarnjih	unutarnji	Agpfpgy
financijskih	financijski	Agpfpgy
kontrola	kontrola	Ncfpg
u	u	Sl
javnom	javan	Agpmsly
sektoru	sektor	Ncmsl
iz	iz	Sg
2013.	2013.	Mdo
godine	godina	Ncfsg
[	[	Z
18	18	Mdc
]	]	Z
i	i	Cc
dalje	daleko	Rgc
postoje	postojati	Vmr3p
slabosti	slabost	Ncfpa
u	u	Sl
:	:	Z

−	i	Agpnsly
strateškom	strateški	Agpnsly
planiranju	planiranje	Ncnsl
,	,	Z
osobito	osobito	Rgp
na	na	Sl
lokalnoj	lokalan	Agpfsly
razini	razina	Ncfsl

−	i	Agpfsly
delegaciji	delegacija	Ncfsl
ovlasti	ovlast	Ncfsg
i	i	Cc
odgovornosti	odgovornost	Ncfsg
unutar	unutar	Sg
organizacijske	organizacijski	Agpfsgy
strukture	struktura	Ncfsg
za	za	Sa
realizaciju	realizacija	Ncfsa
postavljenih	postavljen	Agpmpgy
ciljeva	cilj	Ncmpg
i	i	Cc
upravljanje	upravljanje	Ncnsa
dodijeljenim	dodijeljen	Agpmpiy
proračunskim	proračunski	Agpnpiy
sredstvima	sredstvo	Ncnpi

−		Agcfsgy
povezanosti	povezanost	Ncfsg
i	i	Cc
usklađenosti	usklađenost	Ncfsg
strateških	strateški	Agpmpgy
ciljeva	cilj	Ncmpg
i	i	Cc
ciljeva	cilj	Ncmpg
iz	iz	Sg
godišnjih	godišnji	Agpmpgy
planova	plan	Ncmpg
rada	rad	Ncmsg

−	i	Agpnsly
povezivanju	povezivanje	Ncnsl
procesa	proces	Ncmsg
upravljanja	upravljanje	Ncnsg
rizicima	rizik	Ncmpi
s	sa	Si
procesima	proces	Ncmpi
strateškog	strateški	Agpnsgy
planiranja	planiranje	Ncnsg
,	,	Z
programiranja	programiranje	Ncnsg
i	i	Cc
godišnjeg	godišnji	Agpnsgy
planiranja	planiranje	Ncnsg
rada	rad	Ncmsg
,	,	Z
kao	kao	Cs
i	i	Qo
u	u	Sl
izvješćivanju	izvješćivanje	Ncnsl
o	o	Sl
najznačajnijim	značajan	Ncfsl
rizicima	rizik	Ncmpl

−		Agpmpiy
neuređenim	neuređen	Agpmpiy
odnosima	odnos	Ncmpi
prve	prvi	Mlofsg
i	i	Cc
druge	drugi	Mlofsg
razine	razina	Ncfsg
korisnika	korisnik	Ncmpg
proračuna	proračun	Ncmsg
posebno	posebno	Rgp
u	u	Sl
dijelu	dio	Ncmsl
ovlasti	ovlast	Ncfsg
i	i	Cc
odgovornosti	odgovornost	Ncfsg
u	u	Sl
planiranju	planiranje	Ncnsl
,	,	Z
financiranju	financiranje	Ncnsl
,	,	Z
nadziranju	nadziranje	Ncnsl
(	(	Z
načinu	način	Ncmsl
na	na	Sa
koji	koji	Pi-msan
će	htjeti	Var3s
pojedini	pojedini	Agpmsny
korisnik	korisnik	Ncmsn
prve	prvi	Mlofsg
razine	razina	Ncfsg
nadgledati	nadgledati	Vmn
poslove	posao	Ncmpa
druge	drugi	Mlofsg
razine	razina	Ncfsg
)	)	Z
i	i	Cc

−		Agpmpiy
sustavima	sustav	Ncmpi
praćenja	praćenje	Ncnsg
ostvarivanja	ostvarivanje	Ncnsg
rezultata	rezultat	Ncmpg
programa	program	Ncmpg
i	i	Cc
projekata	projekat	Ncmpg
kroz	kroz	Sa
pokazatelje	pokazatelj	Ncmpa
uspješnosti	uspješnost	Ncfsg
te	te	Cc
izvještavanje	izvještavanje	Ncnsn
o	o	Sl
ostvarenju	ostvarenje	Ncnsl
ciljeva	cilj	Ncmpg
.	.	Z

Trenutačno	trenutačno	Rgp
ne	ne	Qz
postoje	postojati	Vmr3p
podaci	podatak	Ncmpn
koliko	koliko	Rgp
institucija	institucija	Ncfpg
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
implementira	implementirati	Vmr3s
neki	neki	Pi-mpn
od	od	Sg
standarda	standard	Ncmpg
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncmpg
te	te	Cc
će	htjeti	Var3s
u	u	Sl
idućem	idući	Agpnsly
razdoblju	razdoblje	Ncnsl
biti	biti	Van
potrebno	potreban	Agpnsny
napraviti	napraviti	Vmn
analizu	analiza	Ncfsa
stanja	stanje	Ncnsg
u	u	Sl
svim	sav	Agpfply
institucijama	institucija	Ncfpl
javne	javan	Agpfsgy
uprave	uprava	Ncfsg
.	.	Z

Također	također	Rgp
ne	ne	Qz
postoje	postojati	Vmr3p
dostupni	dostupan	Agpmpny
prijevodi	prijevod	Ncmpn
standarda	standard	Ncmpg
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsg
,	,	Z
kao	kao	Cs
ni	ni	Qo
sustavna	sustavan	Agpfsny
izobrazba	izobrazba	Ncfsn
rukovodećih	rukovodeći	Agpmpgy
službenika	službenik	Ncmpg
o	o	Sl
sustavima	sustav	Ncmpl
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsi
u	u	Sl
javnoj	javan	Agpfsly
upravi	uprava	Ncfsl
s	sa	Si
praktičnim	praktičan	Agpmpiy
primjerima	primjer	Ncmpi
.	.	Z

U	u	Sl
postojećem	postojeći	Agpmsly
zakonskom	zakonski	Agpmsly
okviru	okvir	Ncmsl
postoje	postojati	Vmr3p
instrumenti	instrument	Ncmpn
koji	koji	Pi-mpn
se	sebe	Px--sa
također	također	Rgp
mogu	moći	Vmr3p
iskoristiti	iskoristiti	Vmn
u	u	Sl
cilju	cilj	Ncmsl
daljnjeg	daljnji	Agpmsgy
razvoja	razvoj	Ncmsg
sustava	sustav	Ncmsg
upravljanja	upravljanje	Ncnsg
kvalitetom	kvaliteta	Ncfsg
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
Zakona	zakon	Ncmsg
o	o	Sl
sustavu	sustav	Ncmsl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
postoje	postojati	Vmr3p
sljedeći	sljedeći	Agpmpny
instituti	institut	Ncmpn
:	:	Z

−	−	Agpmsny
upravni	upravan	Agpmsny
nadzor	nadzor	Ncmsn
–	–	Z
kroz	kroz	Sa
koji	koji	Pi-msan
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
nadziru	nadzirati	Vmr3p
zakonitost	zakonitost	Ncfsa
rada	rad	Ncmsg
i	i	Cc
postupanja	postupanje	Ncnsg
;	;	Z
rješavanje	rješavanje	Ncnsa
u	u	Sl
upravnim	upravan	Agpfply
stvarima	stvar	Ncfpl
;	;	Z
djelotvornost	djelotvornost	Ncfsa
,	,	Z
ekonomičnost	ekonomičnost	Ncfsa
i	i	Cc
svrhovitost	svrhovitost	Ncfsa
rada	rad	Ncmsg
u	u	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
;	;	Z
svrhovitost	svrhovitost	Ncfsa
unutarnjeg	unutarnji	Agpnsgy
ustrojstva	ustrojstvo	Ncnsg
i	i	Cc
osposobljenost	osposobljenost	Ncfsn
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
za	za	Sa
obavljanje	obavljanje	Ncnsa
poslova	posao	Ncmpg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
te	te	Cc
odnos	odnos	Ncmsan
službenika	službenik	Ncmpg
i	i	Cc
namještenika	namještenik	Ncmpg
prema	prema	Sl
građanima	građanin	Ncmpl
i	i	Cc
drugim	drugi	Mlofpl
strankama	stranka	Ncfpl

−	−	Sa
praćenje	praćenje	Ncnsa
stanja	stanje	Ncnsg
–	–	Z
kroz	kroz	Sa
koji	koji	Pi-msan
tijela	tijelo	Ncnsg
državne	državni	Agpfsgy
uprave	uprava	Ncfsg
prate	pratiti	Vmr3p
stanje	stanje	Ncnsa
u	u	Sl
okviru	okvir	Ncmsl
svog	svoj	Px-msg
djelokruga	djelokrug	Ncmsg
prikupljanjem	prikupljanje	Ncnsi
potrebnih	potreban	Agpmpgy
podataka	podatak	Ncmpg
i	i	Cc
obavijesti	obavijest	Ncfsl
,	,	Z
izradom	izrada	Ncfsi
odgovarajućih	odgovarajući	Agpfpgy
stručnih	stručan	Agpfpgy
podloga	podloga	Ncfpg
te	te	Cc
na	na	Sa
druge	drugi	Agpmpay
prikladne	prikladan	Agpmpay
načine	način	Ncmpa
,	,	Z
a	a	Cc
na	na	Sl
temelju	temelj	Ncmsl
izrađenih	izraditi	Appfpgy
stručnih	stručan	Agpfpgy
podloga	podloga	Ncfpg
(	(	Z
izvješća	izvješće	Ncnsg
,	,	Z
elaborata	elaborat	Ncmpg
,	,	Z
analiza	analiza	Ncfpg
,	,	Z
itd.	itd.	Y
)	)	Z
te	te	Cc
na	na	Sa
drugi	drugi	Mlomsan
način	način	Ncmsan
prikupljenih	prikupiti	Agpnpgy
saznanja	saznanje	Ncnpg
o	o	Sl
stanju	stanje	Ncnsl
u	u	Sl
svom	svoj	Px-msl
djelokrugu	djelokrug	Ncmsl
poduzimaju	poduzimati	Vmr3p
mjere	mjera	Ncfpa
i	i	Cc
radnje	radnja	Ncfpa
za	za	Sa
koje	koji	Pi-mpa
su	biti	Var3p
zakonom	zakon	Ncmsi
i	i	Cc
drugim	drugi	Mlompi
propisima	propis	Ncmpi
ovlašteni	ovlastiti	Appmpny
te	te	Cc
predlažu	predlagati	Vmr3p
nadležnim	nadležan	Agpmsiy
državnim	državni	Agpnply
tijelima	tijelo	Ncnpl
donošenje	donošenje	Ncnsa
propisa	propis	Ncmsg
i	i	Cc
drugih	drugi	Mlompg
akata	akt	Ncmpg
iz	iz	Sg
njihove	njihov	Ps3fsg
nadležnosti	nadležnost	Ncfsg

−		Agcnsay
pružanje	pružanje	Ncnsa
stručne	stručan	Agpfsgy
pomoći	pomoć	Ncfsg
u	u	Sl
poslovima	posao	Ncmpl
u	u	Sl
djelokrugu	djelokrug	Ncmsl
te	te	Cc
dužnost	dužnost	Ncfsn
davanja	davanje	Ncnsg
podataka	podatak	Ncmpg
,	,	Z
obavijesti	obavijest	Ncfsl
i	i	Cc
uputa	uputa	Ncfpg
građanima	građanin	Ncmpd
i	i	Cc
pravnim	pravni	Agpfply
osobama	osoba	Ncfpl

−		Agpfpgy
izrada	izrada	Ncfpg
i	i	Cc
objava	objava	Ncfsn
izvješća	izvješće	Ncnsg
o	o	Sl
obavljanju	obavljanje	Ncnsl
poslova	posao	Ncmpg
,	,	Z
odnosno	odnosno	Rgp
godišnjih	godišnji	Agpmpgy
izvještaja	izvještaj	Ncmpg
o	o	Sl
radu	rad	Ncmsl

−	−	Sa
održavanje	održavanje	Ncnsa
konferencija	konferencija	Ncfpg
s	sa	Si
predstavnicima	predstavnik	Ncmpi
sredstava	sredstvo	Ncnpg
javnog	javan	Agpnsgy
priopćavanja	priopćavanje	Ncnsg
o	o	Sl
značajnijim	značajan	Pi-npl
pitanjima	pitanje	Ncnpl
državne	državni	Agpfsgy
uprave	uprava	Ncfsg

−		Agcnsay
pozivanje	pozivanje	Ncnsa
svih	sav	Agpmpgy
zainteresiranih	zainteresiran	Agpmpgy
da	da	Cs
putem	put	Sg
sredstava	sredstvo	Ncmsg
javnog	javan	Agpnsgy
priopćavanja	priopćavanje	Ncnsg
iznesu	iznijeti	Vmr3p
svoje	svoj	Px-fpa
primjedbe	primjedba	Ncfpa
na	na	Sa
nacrte	nacrt	Ncmpa
propisa	propis	Ncmsg

−	i	Agpnsny
ustrojavanje	ustrojavanje	Ncnsn
rada	rad	Ncmsg
i	i	Cc
poslovanja	poslovanje	Ncnsg
tako	tako	Cs
da	da	Cs
građani	građanin	Ncmpn
i	i	Cc
pravne	pravni	Agpfpny
osobe	osoba	Ncfpn
mogu	moći	Vmr3p
na	na	Sa
jednostavan	jednostavan	Agpmsann
i	i	Cc
djelotvoran	djelotvoran	Agpmsann
način	način	Ncmsan
ostvarivati	ostvarivati	Vmn
svoja	svoj	Px-npa
Ustavom	ustav	Ncmsi
zajamčena	zajamčiti	Agpnpay
prava	pravo	Ncnpa
i	i	Cc
zakonom	zakon	Ncmsi
zaštićene	zaštititi	Agpmpay
interese	interes	Ncmpa
te	te	Cc
ispunjavati	ispunjavati	Vmn
svoje	svoj	Px-fpa
građanske	građanski	Agpfpay
dužnosti	dužnost	Ncfpa

−	−	Z
omogućiti	omogućiti	Vmn

