prometu	promet	Ncmsl
Zakona	zakon	Ncmsg
stječe	stjecati	Vmr3s
se	sebe	Px--sa
na	na	Sl
temelju	temelj	Ncmsl
izvršne	izvršan	Agpfsgy
odluke	odluka	Ncfsg
o	o	Sl
davanju	davanje	Ncnsl
koncesije	koncesija	Ncfsg
odnosno	odnosno	Rgp
odluke	odluka	Ncfsg
o	o	Sl
izboru	izbor	Ncmsl
najpovoljnijeg	povoljan	Agsmsgy
ponuditelja	ponuditelj	Ncmpg
,	,	Z
kao	kao	Cs
aktima	akt	Ncmpd
o	o	Sl
ovlaštenju	ovlaštenje	Ncnsl
kojima	koji	Pi-mpi
se	sebe	Px--sa
brodarima	brodar	Ncmpi
pružateljima	pružatelj	Ncmpl
usluga	usluga	Ncfpg
daju	dati	Vmr3p
ovlaštenja	ovlaštenje	Ncnpa
i	i	Cc
utvrđuju	utvrđivati	Vmr3p
obveze	obveza	Ncfpa
javne	javan	Agpfpay
usluge	usluga	Ncfpa
.	.	Z

Odluka	odluka	Ncfsn
o	o	Sl
davanju	davanje	Ncnsl
koncesije	koncesija	Ncfsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
na	na	Sl
linijama	linija	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
38.	38.	Mdo
stavka	stavak	Ncmsg
1.	1.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Odluka	odluka	Ncfsn
o	o	Sl
izboru	izbor	Ncmsl
najpovoljnijeg	povoljan	Agsmsgy
ponuditelja	ponuditelj	Ncmsg
donosi	donositi	Vmr3s
se	sebe	Px--sa
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
na	na	Sl
linijama	linija	Ncfpl
iz	iz	Sg
članka	članak	Ncmsg
49.	49.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
.	.	Z

Na	na	Sl
temelju	temelj	Ncmsl
izvršne	izvršan	Agpfpay
odluke	odluka	Ncfpa
o	o	Sl
davanju	davanje	Ncnsl
koncesije	koncesija	Ncfsg
odnosno	odnosno	Rgp
odluke	odluka	Ncfsg
o	o	Sl
izboru	izbor	Ncmsl
najpovoljnijeg	povoljan	Agsmsgy
ponuditelja	ponuditelj	Ncmsg
sklapa	sklapati	Vmr3s
se	sebe	Px--sa
ugovor	ugovor	Ncmsn
o	o	Sl
koncesiji	koncesija	Ncfsl
,	,	Z
odnosno	odnosno	Rgp
ugovor	ugovor	Ncmsan
o	o	Sl
obavljanju	obavljanje	Ncnsl
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
.	.	Z

Na	na	Sa
pitanja	pitanje	Ncnpa
koja	koji	Pi-npn
se	sebe	Px--sa
odnose	odnositi	Vmr3p
na	na	Sa
odluke	odluka	Ncfpa
i	i	Cc
ugovor	ugovor	Ncmsan
o	o	Sl
koncesiji	koncesija	Ncfsl
odgovarajuće	odgovarajući	Agpfsgy
se	sebe	Px--sa
primjenjuje	primjenjivati	Vmr3s
zakon	zakon	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuju	uređivati	Vmr3p
koncesije	koncesija	Ncfsg
,	,	Z
a	a	Cc
za	za	Sa
izbor	izbor	Ncmsan
najpovoljnijeg	povoljan	Agsmsgy
ponuditelja	ponuditelj	Ncmpg
i	i	Cc
ugovor	ugovor	Ncmsan
o	o	Sl
obavljanju	obavljanje	Ncnsl
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
odgovarajuće	odgovarajući	Agpfsgy
se	sebe	Ncfsg
primjenjuje	primjenjivati	Vmr3s
zakon	zakon	Ncmsan
kojim	koji	Pi-msi
se	sebe	Px--sa
uređuje	uređivati	Vmr3s
javna	javan	Agpfsny
nabava	nabava	Ncfsn
,	,	Z
ako	ako	Cs
ovim	ovaj	Pd-msi
Zakonom	zakon	Ncmsi
nije	biti	Var3s
drugačije	drugačije	Rgp
određeno	odrediti	Appnsny
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
16.	16.	Mdo

U	u	Sl
članku	članak	Ncmsl
27.	27.	Mdo
stavku	stavak	Ncmsl
1.	1.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Davatelj	davatelj	Ncmsn
koncesije	koncesija	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
javni	javan	Agpmsny
naručitelj	naručitelj	Ncmsn
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
2.	2.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Davatelj	davatelj	Ncmsn
koncesije	koncesija	Ncfsg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
javni	javan	Agpmsny
naručitelj	naručitelj	Ncmsn
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
3.	3.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
Davatelj	davatelj	Ncmsn
koncesija	koncesija	Ncfpg
«	«	Z
dodaju	dodati	Vmr3p
se	sebe	Px--sa
riječi	riječ	Ncfpn
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
javni	javan	Agpmsny
naručitelj	naručitelj	Ncmsn
«	«	Z
.	.	Z

U	u	Sl
stavku	stavak	Ncmsl
4.	4.	Mdo
iza	iza	Sg
riječi	riječ	Ncfsg
:	:	Z
»	»	Z
davanja	davanje	Ncnsg
koncesije	koncesija	Ncfsg
«	«	Z
briše	brisati	Vmr3s
se	sebe	Px--sa
točka	točka	Ncfsn
i	i	Cc
dodaju	dodati	Vmr3p
riječi	riječ	Ncfpa
:	:	Z
»	»	Z
odnosno	odnosno	Rgp
javne	javan	Agpfpay
usluge	usluga	Ncfpa
.	.	Z
«	«	Z
.	.	Z

Članak	članak	Ncmsn
17.	17.	Mdo

Članak	članak	Ncmsn
28.	28.	Mdo
mijenja	mijenjati	Vmr3s
se	sebe	Px--sa
i	i	Cc
glasi	glasiti	Vmr3s
:	:	Z

»	i	Agpnsny
Pravo	pravo	Ncnsn
obavljanja	obavljanje	Ncnsg
usluge	usluga	Ncfsg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
s	sa	Si
obvezom	obveza	Ncfsi
javne	javan	Agpfsgy
usluge	usluga	Ncfsg
može	moći	Vmr3s
se	sebe	Px--sa
dati	dati	Vmn
brodaru	brodar	Ncmsd
Europskog	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
(	(	Z
EGP	EGP	Npmsn
)	)	Z
,	,	Z
kako	kako	Cs
je	biti	Var3s
definirano	definirati	Appnsny
Uredbom	uredba	Ncfsi
(	(	Z
EEZ	EEZ	Npmsn
)	)	Z
broj	broj	Ncmsan
3577/92	3577/92	Mdc
,	,	Z
koji	koji	Pi-msn
ispunjava	ispunjavati	Vmr3s
sljedeće	sljedeći	Agpmpay
uvjete	uvjet	Ncmpa
:	:	Z

1.	1.	Mdo
da	da	Cs
je	biti	Var3s
u	u	Sl
upisnom	upisni	Agpmsly
listu	list	Ncmsl
broda	brod	Ncmsg
s	sa	Si
kojim	koji	Pi-msi
namjerava	namjeravati	Vmr3s
obavljati	obavljati	Vmn
javni	javan	Agpmsayn
prijevoz	prijevoz	Ncmsan
upisana	upisati	Appfsny
kao	kao	Cs
kompanija	kompanija	Ncfsn
kako	kako	Cs
je	biti	Var3s
definirano	definirati	Appnsny
odredbama	odredba	Ncfpi
posebnog	poseban	Agpmsgy
zakona	zakon	Ncmsg
,	,	Z

2.	2.	Mdo
da	da	Cs
ima	imati	Vmr3s
odgovarajući	odgovarajući	Agpmsayn
brod	brod	Ncmsan
za	za	Sa
pružanje	pružanje	Ncnsa
usluge	usluga	Ncfsg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
na	na	Sl
liniji	linija	Ncfsl
za	za	Sa
koju	koji	Pi-fsa
se	sebe	Px--sa
traži	tražiti	Vmr3s
koncesija	koncesija	Ncfsn
odnosno	odnosno	Rgp
na	na	Sl
liniji	linija	Ncfsl
koja	koji	Pi-fsn
je	biti	Var3s
predmet	predmet	Ncmsn
javne	javan	Agpfsgy
nabave	nabava	Ncfsg
,	,	Z

3.	3.	Mdo
da	da	Cs
je	biti	Var3s
brod	brod	Ncmsn
iz	iz	Sg
točke	točka	Ncfsg
2.	2.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
upisan	upisati	Appmsnn
u	u	Sa
odgovarajući	odgovarajući	Agpmsayn
upisnik	upisnik	Ncmsan
trgovačkih	trgovački	Agpmpgy
brodova	brod	Ncmpg
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
ili	ili	Cc
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
Europskog	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
(	(	Z
EGP	EGP	Npmsn
)	)	Z
,	,	Z

4.	4.	Mdo
da	da	Cs
brod	brod	Ncmsn
ispunjava	ispunjavati	Vmr3s
propisane	propisati	Agpmpay
tehničke	tehnički	Agpmpay
uvjete	uvjet	Ncmpa
sukladno	sukladno	Rgp
članku	članak	Ncmsd
13.	13.	Mdo
ovoga	ovaj	Pd-msg
Zakona	zakon	Ncmsg
,	,	Z

5.	5.	Mdo
da	da	Cs
su	biti	Var3p
članovi	član	Ncmpn
posade	posada	Ncfsg
broda	brod	Ncmsg
državljani	državljanin	Ncmpn
Republike	republika	Ncfsg
Hrvatske	Hrvatska	Npfsg
ili	ili	Cc
druge	drugi	Mlofsg
države	država	Ncfsg
članice	članica	Ncfsg
Europskog	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
(	(	Z
EGP	EGP	Npmsn
)	)	Z
koji	koji	Pi-msn
imaju	imati	Vmr3p
sklopljen	sklopiti	Appmsnn
ugovor	ugovor	Ncmsan
o	o	Sl
radu	rad	Ncmsl
s	sa	Si
brodarom	brodar	Ncmsi
,	,	Z
a	a	Cc
koji	koji	Pi-msn
se	sebe	Px--sa
temelji	temeljiti	Vmr3s
na	na	Sl
radnim	radni	Agpmply
i	i	Cc
socijalnim	socijalan	Agpmpiy
standardima	standard	Ncmpi
utvrđenim	utvrditi	Appmsiy
u	u	Sl
Nacionalnom	nacionalan	Agpmsly
kolektivnom	kolektivan	Agpmsly
ugovoru	ugovor	Ncmsl
,	,	Z

6.	6.	Mdo
članovi	član	Ncmpn
posade	posada	Ncfsg
moraju	morati	Vmr3p
se	sebe	Px--sa
služiti	služiti	Vmn
jezikom	jezik	Ncmsi
sukladno	sukladno	Rgp
propisima	propis	Ncmpd
o	o	Sl
kabotaži	kabotaža	Ncfsl
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
.	.	Z

Iznimno	izniman	Agpnsny
,	,	Z
održavanje	održavanje	Ncnsa
lokalnih	lokalan	Agpfpgy
brodskih	brodski	Agpfpgy
linija	linija	Ncfpg
kraćih	kratak	Agcmpgy
od	od	Sg
3	3	Mdc
Nm	Nm	Y
može	moći	Vmr3s
se	sebe	Px--sa
obavljati	obavljati	Vmn
brodicom	brodica	Ncfsi
registriranom	registriran	Agpfsiy
za	za	Sa
gospodarske	gospodarski	Agpfpay
svrhe	svrha	Ncfpa
,	,	Z
koja	koji	Pi-fsn
je	biti	Var3s
upisana	upisati	Appfsny
u	u	Sa
odgovarajući	odgovarajući	Agpmsayn
upisnik	upisnik	Ncmsan
(	(	Z
očevidnik	očevidnik	Ncmsn
)	)	Z
u	u	Sl
Republici	republika	Ncfsl
Hrvatskoj	Hrvatska	Npfsl
ili	ili	Cc
u	u	Sl
drugoj	drugi	Mlofsl
državi	država	Ncfsl
članici	članica	Ncfsl
Europskog	europski	Agpmsgy
gospodarskog	gospodarski	Agpmsgy
prostora	prostor	Ncmsg
.	.	Z

Prilikom	prilikom	Sg
podnošenja	podnošenje	Ncnsg
ponude	ponuda	Ncfsg
za	za	Sa
pružanje	pružanje	Ncnsa
usluga	usluga	Ncfpg
javnog	javan	Agpmsgy
prijevoza	prijevoz	Ncmsg
s	sa	Si
obvezom	obveza	Ncfsi
javne	javan	Agpfsgy
usluge	usluga	Ncfsg
podnositelj	podnositelj	Ncmsn
ponude	ponuda	Ncfsg
može	moći	Vmr3s
priložiti	priložiti	Vmn
rješenje	rješenje	Ncnsa
nadležne	nadležan	Agpfsgy
lučke	lučki	Agpfsgy
kapetanije	kapetanija	Ncfsg
o	o	Sl
predbilježbi	predbilježba	Ncfsl
upisa	upis	Ncmsg
broda	brod	Ncmsg
,	,	Z
odnosno	odnosno	Rgp
upisa	upis	Ncmsg
broda	brod	Ncmsg
u	u	Sl
gradnji	gradnja	Ncfsl
i	i	Cc
potvrdu	potvrda	Ncfsa
o	o	Sl
usklađenosti	usklađenost	Ncfsl
za	za	Sa
kompaniju	kompanija	Ncfsa
koju	koji	Pi-fsa
je	biti	Var3s
izdala	izdati	Vmp-sf
ovlaštena	ovlastiti	Appfsny
organizacija	organizacija	Ncfsn
umjesto	umjesto	Sg
uvjeta	uvjet	Ncmpg
iz	iz	Sg
stavka	stavak	Ncmsg
1.	1.	Mdo
točaka	točka	Ncfpg
1.	1.	Mdo
,	,	Z
2.	2.	Mdo
i	i	Cc
3.	3.	Mdo
ovoga	ovaj	Pd-msg
članka	članak	Ncmsg
,	,	Z
a	a	Cc
te	taj	Pd-mpa
uvjete	uvjet	Ncmpa
mora	morati	Vmr3s
ispuniti	ispuniti	Vmn
do	do	Sg
roka	rok	Ncmsg
utvrđenog	utvrditi	Appmsgy
ugovorom	ugovor	Ncmsi
o	o	Sl
javnoj	javan	Agpfsly
usluzi	usluga	Ncfsl
.	.	Z

Obavljanje	obavljanje	Ncnsn
javne	javan	Agpfsgy
usluge	usluga	Ncfsg
na	na	Sl
linijama	linija	Ncfpl
na	na	Sl
kojima	koji	Pi-fpl
prosječni	prosječan	Agpmsayn
godišnji	godišnji	Agpmsayn
promet	promet	Ncmsan
u	u	Sa
dvije	dva	Mlcf-a
godine	godina	Ncfsg
koje	koji	Pi-fpn
prethode	prethoditi	Vmr3p
godini	godina	Ncfsl
u	u	Sl
kojoj	koji	Pi-fsl
je	biti	Var3s
povjereno	povjeriti	Appnsny
obavljanje	obavljanje	Ncnsn
javne	javan	Agpfsgy
usluge	usluga	Ncfsg
ne	ne	Qz
prelazi	prelaziti	Vmr3s
300.000	300.000	Mdc
putnika	putnik	Ncmpg
,	,	Z
može	moći	Vmr3s
se	sebe	Px--sa
dati	dati	Vmn
na	na	Sa
rok	rok	Ncmsan
do	do	Sg
12	12	Mdc
godina	godina	Ncfpg

